iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,3.21083,0.24041,2.51598,0.21474,2.16110,0.19905
1,200,1.75718,0.17892,1.55381,0.17244,1.48325,0.16746
2,300,1.50661,0.17551,1.38619,0.17135,1.32032,0.16857
3,400,1.15314,0.17337,1.05926,0.17058,1.02530,0.16926
4,500,1.04208,0.17157,0.83172,0.16738,0.85180,0.16748
5,600,0.93621,0.17110,0.78929,0.16888,0.75818,0.16781
6,700,0.96827,0.16991,0.76686,0.17121,0.72345,0.16789
7,800,1.02075,0.17240,0.74534,0.17049,0.70339,0.16701
8,900,0.94056,0.16938,0.74467,0.16936,0.72665,0.16963
9,1000,0.96808,0.17114,0.74272,0.17124,0.70967,0.16927
10,1100,1.00088,0.17281,0.73468,0.17097,0.70826,0.16902
11,1200,0.97853,0.17281,0.77145,0.17369,0.70844,0.17057
12,1300,1.02305,0.17460,0.75542,0.17365,0.71495,0.17108
13,1400,1.00221,0.17331,0.73961,0.17281,0.69194,0.17068
14,1500,1.00782,0.17341,0.71514,0.17340,0.72515,0.17406
15,1600,1.03764,0.17250,0.71432,0.17415,0.67580,0.17008
16,1700,0.99865,0.17195,0.70950,0.17226,0.71144,0.17107
17,1800,1.02487,0.17339,0.72748,0.17168,0.69283,0.16936
18,1900,1.01566,0.17327,0.72656,0.17239,0.72425,0.17151
19,2000,1.02524,0.17340,0.71381,0.17204,0.71990,0.17139
20,2100,1.04915,0.17495,0.70915,0.17165,0.72728,0.17271
21,2200,1.03143,0.17190,0.74731,0.17312,0.72849,0.17242
22,2300,1.02655,0.17125,0.74456,0.17191,0.74586,0.17261
23,2400,1.05483,0.17375,0.74185,0.17254,0.76519,0.17270
24,2500,1.06123,0.17278,0.78205,0.17456,0.74751,0.17152
25,2600,1.03423,0.17326,0.76054,0.17107,0.77049,0.17328
26,2700,1.05805,0.17348,0.76243,0.17044,0.77214,0.17263
27,2800,1.08231,0.17329,0.77126,0.17350,0.76959,0.17133
28,2900,1.05510,0.17425,0.79249,0.17290,0.78987,0.17366
29,3000,1.09244,0.17458,0.77170,0.17184,0.80880,0.17227
30,3100,1.04908,0.17326,0.79754,0.17096,0.82687,0.17321
31,3200,1.06038,0.17483,0.80071,0.17262,0.82996,0.17274
32,3300,1.03971,0.17475,0.85178,0.17385,0.83815,0.17406
33,3400,1.06486,0.17409,0.87476,0.17520,0.88628,0.17543
34,3500,1.07773,0.17503,0.86691,0.17494,0.87100,0.17474
35,3600,1.08860,0.17469,0.87918,0.17583,0.87385,0.17473
36,3700,1.11708,0.17644,0.88630,0.17433,0.89094,0.17517
37,3800,1.09688,0.17485,0.89505,0.17470,0.91634,0.17403
38,3900,1.11475,0.17618,0.90840,0.17319,0.90457,0.17426
39,4000,1.11354,0.17381,0.89798,0.17251,0.91136,0.17417
40,4100,1.12289,0.17513,0.92151,0.17269,0.94424,0.17386
41,4200,1.12861,0.17437,0.95459,0.17473,0.94661,0.17414
42,4300,1.11824,0.17416,0.98092,0.17305,0.98938,0.17397
43,4400,1.12612,0.17209,1.00298,0.17372,0.99570,0.17466
44,4500,1.11269,0.17238,1.02044,0.17516,0.96569,0.17303
45,4600,1.14811,0.17478,1.04210,0.17608,0.99817,0.17387
46,4700,1.14872,0.17284,1.02889,0.17341,1.00675,0.17189
47,4800,1.15508,0.17305,1.02369,0.17222,1.04910,0.17575
48,4900,1.13921,0.17429,1.06484,0.17393,1.02516,0.17282
49,5000,1.15154,0.17434,1.04725,0.17322,1.07004,0.17330
50,5100,1.15422,0.17102,1.07343,0.17272,1.04393,0.17119
51,5200,1.18680,0.17299,1.11142,0.17132,1.07807,0.17136
52,5300,1.17622,0.17127,1.12761,0.17222,1.09222,0.17231
53,5400,1.16727,0.17189,1.13717,0.17222,1.12522,0.17194
54,5500,1.13704,0.17011,1.13700,0.17049,1.13715,0.17192
55,5600,1.17424,0.17099,1.15869,0.17056,1.15373,0.17088
56,5700,1.20274,0.17120,1.19139,0.17077,1.19350,0.17145
