number,rewards,variances,exploration_value
0,[-3.66912 0.31763 0.31763],[2.27897 0.58827 0.58827],0.9988953697090716
100,[-0.57235 -0.99399 -0.99399],[0.19054 0.64239 0.64239],0.9797606658876263
200,[-4.51797 0.85554 0.85554],[14.74375 0.69738 0.69738],0.9609925038496699
300,[-3.27641 0.30703 0.30703],[8.70088 0.74708 0.74708],0.9425838621706605
400,[-3.23052 0.10958 0.10958],[4.43924 0.32230 0.32230],0.9245278539275122
500,[-1.97165 -0.03552 -0.03552],[1.72499 0.02605 0.02605],0.9068177241220878
600,[-2.45339 -0.35011 -0.35011],[3.94209 0.38137 0.38137],0.889446847154093
700,[-0.90108 -0.39564 -0.39564],[0.14774 0.17773 0.17773],0.8724087243423219
800,[-2.29129 0.34079 0.34079],[4.60671 0.83550 0.83550],0.8556969814934174
900,[-1.00233 -0.05479 -0.05479],[0.20615 0.21640 0.21640],0.8393053665172148
1000,[-0.47778 -0.08101 -0.08101],[0.09667 0.12459 0.12459],0.8232277470877281
1100,[-1.12750 -0.31509 -0.31509],[0.87645 0.42615 0.42615],0.8074581083489812
1200,[-0.73469 0.08721 0.08721],[0.40856 0.65760 0.65760],0.7919905506647517
1300,[-0.85139 0.12004 0.12004],[0.50787 0.16298 0.16298],0.7768192874114557
1400,[-0.23146 -0.32358 -0.32358],[0.02822 0.03002 0.03002],0.7619386428132808
1500,[-0.68865 -0.12101 -0.12101],[0.38349 0.08804 0.08804],0.7473430498187978
1600,[-0.51730 0.12248 0.12248],[0.14852 0.22114 0.22114],0.7330270480182665
1700,[-0.48404 0.01885 0.01885],[0.01314 0.14533 0.14533],0.7189852816008054
1800,[-0.80621 0.29029 0.29029],[0.14391 0.14237 0.14237],0.705212497350724
1900,[-0.59145 0.30816 0.30816],[0.05468 0.08327 0.08327],0.6917035426822101
2000,[-0.62450 0.01264 0.01264],[0.34201 0.27338 0.27338],0.6784533637116886
2100,[-0.52750 0.12966 0.12966],[0.03167 0.03469 0.03469],0.6654570033670938
2200,[-0.55132 0.16440 0.16440],[0.04720 0.04408 0.04408],0.6527095995333525
2300,[-0.35785 0.08942 0.08942],[0.01989 0.03765 0.03765],0.6402063832334086
2400,[-0.50662 0.16212 0.16212],[0.01917 0.03703 0.03703],0.6279426768440843
2500,[-0.58114 0.32530 0.32530],[0.13290 0.04549 0.04549],0.6159138923461105
2600,[-0.59578 0.21168 0.21168],[0.11397 0.05164 0.05164],0.6041155296076918
2700,[-0.49212 0.09115 0.09115],[0.08273 0.11014 0.11014],0.5925431747009424
2800,[-0.36575 0.12104 0.12104],[0.10766 0.05814 0.05814],0.5811924982505915
2900,[-0.35901 0.24912 0.24912],[0.04055 0.02948 0.02948],0.5700592538142826
3000,[-0.50913 0.05145 0.05145],[0.11531 0.06175 0.06175],0.5591392762939287
3100,[-0.43536 0.18220 0.18220],[0.07084 0.01361 0.01361],0.5484284803774964
3200,[-0.56143 0.33973 0.33973],[0.11761 0.07100 0.07100],0.5379228590106419
3300,[-0.58875 0.46032 0.46032],[0.04726 0.00213 0.00213],0.5276184818975981
3400,[-0.31631 0.12590 0.12590],[0.05793 0.07120 0.07120],0.5175114940308205
3500,[-0.28805 0.09571 0.09571],[0.01198 0.04410 0.04410],0.5075981142487541
