iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,5.55867,0.49083,1.61007,9.04098,0.62652,1.60987,9.20942,0.63437,1.61064
1,200,2.11477,0.48295,1.61047,2.64873,0.58617,1.61004,2.76346,0.60305,1.61070
2,300,1.32950,0.47709,1.61156,1.35626,0.57136,1.61042,1.36696,0.58410,1.61055
3,400,0.74286,0.46586,1.61140,0.71512,0.56751,1.61046,0.70075,0.57802,1.61067
4,500,0.49381,0.45477,1.61199,0.36409,0.55865,1.61033,0.38272,0.56601,1.61053
5,600,0.39413,0.44577,1.61156,0.26139,0.54825,1.61048,0.25940,0.55707,1.61085
6,700,0.39005,0.43440,1.61134,0.21984,0.54033,1.61005,0.21252,0.54611,1.61025
7,800,0.38250,0.42187,1.61171,0.20067,0.52881,1.61048,0.18818,0.53453,1.60995
8,900,0.38016,0.41218,1.61121,0.19638,0.52141,1.61085,0.16732,0.52241,1.60986
9,1000,0.36878,0.39915,1.61127,0.18281,0.50902,1.61004,0.15862,0.50977,1.60982
10,1100,0.36917,0.38512,1.61215,0.17963,0.49515,1.61057,0.15486,0.49720,1.60981
11,1200,0.36754,0.37493,1.61151,0.17407,0.48305,1.61038,0.15420,0.48775,1.60984
12,1300,0.37611,0.36392,1.61160,0.17531,0.47179,1.61019,0.15460,0.47548,1.60964
13,1400,0.38424,0.35227,1.61192,0.16339,0.45771,1.61033,0.15539,0.46428,1.60977
14,1500,0.38743,0.34205,1.61158,0.16515,0.44721,1.61048,0.16109,0.45292,1.60973
15,1600,0.40282,0.33273,1.61116,0.16547,0.43765,1.61067,0.16782,0.44221,1.60955
16,1700,0.39848,0.32306,1.61129,0.16913,0.42710,1.61016,0.16971,0.43203,1.60926
17,1800,0.39422,0.31412,1.61103,0.17509,0.41761,1.61008,0.17204,0.42026,1.60947
18,1900,0.40535,0.30541,1.61113,0.18502,0.40666,1.61007,0.17428,0.40999,1.60921
19,2000,0.40580,0.29613,1.61112,0.18568,0.39640,1.61008,0.18457,0.39989,1.60931
20,2100,0.40006,0.28748,1.61101,0.19155,0.38809,1.61037,0.18746,0.38952,1.60911
21,2200,0.41549,0.28039,1.61091,0.20116,0.37963,1.61016,0.19647,0.38059,1.60954
22,2300,0.42092,0.27478,1.61077,0.20555,0.37043,1.60990,0.19929,0.37296,1.60922
23,2400,0.42079,0.26639,1.61081,0.21655,0.36048,1.60973,0.20665,0.36333,1.60930
24,2500,0.41150,0.25972,1.60971,0.21822,0.35010,1.61001,0.21044,0.35402,1.60940
25,2600,0.40230,0.25266,1.60986,0.22800,0.34432,1.61014,0.22633,0.34619,1.60905
26,2700,0.41584,0.24630,1.60984,0.23670,0.33702,1.61016,0.22664,0.33678,1.60894
27,2800,0.42479,0.23967,1.60982,0.24050,0.32838,1.61014,0.23198,0.33077,1.60947
28,2900,0.41776,0.23198,1.60946,0.25343,0.32081,1.60954,0.25288,0.32187,1.60923
29,3000,0.42770,0.22761,1.60947,0.25846,0.31319,1.60989,0.24940,0.31307,1.60910
30,3100,0.41231,0.22023,1.60944,0.26479,0.30670,1.60986,0.26158,0.30668,1.60926
31,3200,0.41137,0.21526,1.60884,0.27821,0.29917,1.61000,0.26767,0.29930,1.60918
32,3300,0.41478,0.20946,1.60871,0.29174,0.29266,1.60977,0.27640,0.29327,1.60935
33,3400,0.42454,0.20444,1.60822,0.30255,0.28442,1.60995,0.28621,0.28594,1.60909
34,3500,0.41981,0.19876,1.60842,0.31034,0.27924,1.60953,0.29185,0.27917,1.60927
35,3600,0.43230,0.19440,1.60837,0.31623,0.27210,1.60982,0.31455,0.27314,1.60938
36,3700,0.43574,0.18955,1.60838,0.32870,0.26627,1.60967,0.32010,0.26659,1.60935
37,3800,0.43235,0.18452,1.60791,0.34607,0.26044,1.60965,0.34430,0.26120,1.60921
38,3900,0.43057,0.17984,1.60765,0.35304,0.25543,1.60971,0.34667,0.25464,1.60929
39,4000,0.43542,0.17559,1.60791,0.35998,0.24914,1.60966,0.36285,0.24952,1.60929
40,4100,0.42346,0.17083,1.60736,0.37375,0.24400,1.60941,0.37354,0.24348,1.60900
41,4200,0.44473,0.16704,1.60715,0.38974,0.23822,1.60969,0.38107,0.23874,1.60903
42,4300,0.43966,0.16272,1.60698,0.40979,0.23286,1.60988,0.40556,0.23340,1.60893
43,4400,0.45621,0.15927,1.60729,0.42168,0.22753,1.60959,0.41500,0.22798,1.60908
44,4500,0.44465,0.15512,1.60668,0.44166,0.22187,1.60937,0.43083,0.22284,1.60889
45,4600,0.44240,0.15121,1.60665,0.44422,0.21779,1.60942,0.43870,0.21814,1.60888
46,4700,0.44585,0.14722,1.60677,0.45580,0.21314,1.60941,0.45337,0.21315,1.60850
47,4800,0.46540,0.14370,1.60601,0.47895,0.20845,1.60943,0.47226,0.20782,1.60862
48,4900,0.45545,0.14024,1.60567,0.49730,0.20373,1.60941,0.49120,0.20448,1.60851
49,5000,0.46080,0.13640,1.60585,0.50513,0.19999,1.60949,0.50555,0.19958,1.60805
50,5100,0.46528,0.13297,1.60592,0.52316,0.19468,1.60926,0.52077,0.19518,1.60825
51,5200,0.45745,0.12958,1.60561,0.54606,0.19088,1.60921,0.52608,0.19090,1.60821
52,5300,0.46109,0.12622,1.60571,0.55022,0.18659,1.60898,0.55050,0.18579,1.60779
53,5400,0.46625,0.12310,1.60563,0.56523,0.18193,1.60886,0.56179,0.18269,1.60762
54,5500,0.46915,0.11975,1.60540,0.56795,0.17872,1.60926,0.57194,0.17871,1.60801
55,5600,0.45749,0.11732,1.60503,0.58521,0.17518,1.60869,0.57406,0.17490,1.60808
56,5700,0.49031,0.11433,1.60538,0.60257,0.17109,1.60873,0.59536,0.17095,1.60778
57,5800,0.47499,0.11158,1.60507,0.60467,0.16774,1.60872,0.61008,0.16708,1.60772
58,5900,0.48004,0.10854,1.60439,0.61725,0.16458,1.60826,0.60379,0.16417,1.60750
59,6000,0.48487,0.10586,1.60467,0.63428,0.16080,1.60770,0.62652,0.16041,1.60776
60,6100,0.48705,0.10309,1.60417,0.64833,0.15731,1.60776,0.63523,0.15726,1.60741
61,6200,0.48904,0.10100,1.60400,0.66449,0.15383,1.60798,0.65400,0.15350,1.60764
62,6300,0.49236,0.09833,1.60359,0.67069,0.15060,1.60770,0.66916,0.15065,1.60699
63,6400,0.48394,0.09608,1.60350,0.68436,0.14701,1.60762,0.68024,0.14767,1.60732
64,6500,0.49977,0.09354,1.60385,0.69411,0.14388,1.60774,0.68862,0.14412,1.60737
