number,rewards,variances,exploration_value
0,[-3.66912 0.31763 0.31763],[2.27897 0.58827 0.58827],0.9988953697090716
100,[-0.57235 -1.00540 -1.00540],[0.19054 0.63642 0.63642],0.9797606658876263
200,[-6.31367 1.17866 1.17866],[15.28273 0.94417 0.94417],0.9609925038496699
300,[-3.18484 0.27975 0.27975],[9.37007 0.62187 0.62187],0.9425838621706605
400,[-3.78003 0.02150 0.02150],[5.33594 0.06520 0.06520],0.9245278539275122
500,[-2.37252 -0.05055 -0.05055],[5.07764 0.20567 0.20567],0.9068177241220878
600,[-2.15214 0.09700 0.09700],[2.14273 0.52292 0.52292],0.889446847154093
700,[-1.12209 -0.22200 -0.22200],[0.35539 0.06759 0.06759],0.8724087243423219
800,[-1.88026 0.28695 0.28695],[3.18835 0.34082 0.34082],0.8556969814934174
900,[-0.87119 0.04904 0.04904],[0.37711 0.02303 0.02303],0.8393053665172148
1000,[-0.38991 -0.11821 -0.11821],[0.02529 0.01329 0.01329],0.8232277470877281
1100,[-0.88992 -0.32684 -0.32684],[0.22376 0.38956 0.38956],0.8074581083489812
1200,[-1.12016 0.12211 0.12211],[0.61655 0.30016 0.30016],0.7919905506647517
1300,[-1.02202 -0.01879 -0.01879],[0.46849 0.26029 0.26029],0.7768192874114557
1400,[-0.24292 -0.24519 -0.24519],[0.01925 0.08040 0.08040],0.7619386428132808
1500,[-0.73694 0.09209 0.09209],[0.45017 0.06278 0.06278],0.7473430498187978
1600,[-0.45365 0.16956 0.16956],[0.14831 0.11379 0.11379],0.7330270480182665
1700,[-0.42663 0.08654 0.08654],[0.00559 0.02891 0.02891],0.7189852816008054
1800,[-0.80270 0.25225 0.25225],[0.27544 0.06131 0.06131],0.705212497350724
1900,[-0.54525 0.25188 0.25188],[0.04057 0.11757 0.11757],0.6917035426822101
2000,[-0.75476 0.26152 0.26152],[0.62713 0.30283 0.30283],0.6784533637116886
2100,[-0.58898 0.23657 0.23657],[0.02296 0.08251 0.08251],0.6654570033670938
2200,[-0.70691 0.26156 0.26156],[0.22784 0.13903 0.13903],0.6527095995333525
2300,[-0.28747 0.16583 0.16583],[0.00899 0.05065 0.05065],0.6402063832334086
2400,[-0.46508 0.02438 0.02438],[0.01275 0.05615 0.05615],0.6279426768440843
2500,[-0.57777 0.27194 0.27194],[0.15138 0.02165 0.02165],0.6159138923461105
2600,[-0.60585 0.26893 0.26893],[0.06975 0.02619 0.02619],0.6041155296076918
2700,[-0.47865 0.04802 0.04802],[0.05721 0.06897 0.06897],0.5925431747009424
2800,[-0.36170 0.16446 0.16446],[0.08610 0.04022 0.04022],0.5811924982505915
2900,[-0.31379 0.17214 0.17214],[0.03437 0.02479 0.02479],0.5700592538142826
3000,[-0.45187 -0.02372 -0.02372],[0.07556 0.07986 0.07986],0.5591392762939287
3100,[-0.40965 0.08516 0.08516],[0.07007 0.02559 0.02559],0.5484284803774964
3200,[-0.54195 0.28404 0.28404],[0.10334 0.04474 0.04474],0.5379228590106419
3300,[-0.50848 0.33080 0.33080],[0.03539 0.00986 0.00986],0.5276184818975981
3400,[-0.29971 0.11909 0.11909],[0.04775 0.07325 0.07325],0.5175114940308205
3500,[-0.28718 0.17600 0.17600],[0.01126 0.02809 0.02809],0.5075981142487541
