iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
0,100,0.87983,0.92190,0.89093
1,200,0.70494,0.75941,0.80556
2,300,0.50767,0.60173,0.62751
3,400,0.39798,0.34785,0.39226
4,500,0.36122,0.19828,0.21727
5,600,0.32000,0.15281,0.15470
6,700,0.33116,0.14196,0.13943
7,800,0.34001,0.13362,0.13250
8,900,0.34431,0.13055,0.12767
9,1000,0.34300,0.12107,0.12765
10,1100,0.34014,0.11887,0.12677
11,1200,0.34099,0.11664,0.12617
12,1300,0.34597,0.12001,0.12924
13,1400,0.35728,0.11929,0.12867
14,1500,0.35979,0.12452,0.13060
15,1600,0.36908,0.12874,0.13124
16,1700,0.36579,0.13160,0.13449
17,1800,0.37515,0.14046,0.13425
18,1900,0.37731,0.14477,0.14048
19,2000,0.37863,0.15010,0.15096
20,2100,0.38074,0.16078,0.15189
21,2200,0.38646,0.17000,0.15948
22,2300,0.39374,0.18141,0.16422
23,2400,0.39595,0.18828,0.17778
24,2500,0.38864,0.19635,0.18902
25,2600,0.39150,0.20582,0.19853
26,2700,0.40230,0.21838,0.20987
27,2800,0.41006,0.22906,0.21956
28,2900,0.41644,0.24315,0.23354
29,3000,0.41132,0.25309,0.24299
30,3100,0.39908,0.26209,0.25986
31,3200,0.40130,0.27570,0.27089
32,3300,0.41079,0.28626,0.28711
33,3400,0.41403,0.29799,0.29827
34,3500,0.41285,0.30806,0.31025
35,3600,0.42600,0.32715,0.32979
36,3700,0.42524,0.33663,0.34134
37,3800,0.42827,0.36178,0.35948
38,3900,0.44106,0.36656,0.37394
39,4000,0.43722,0.37445,0.38855
40,4100,0.42779,0.39210,0.40508
41,4200,0.43781,0.41390,0.41530
42,4300,0.44340,0.42296,0.42605
43,4400,0.44997,0.45269,0.44206
44,4500,0.44669,0.46231,0.45439
45,4600,0.45316,0.47189,0.46980
46,4700,0.45665,0.47445,0.50114
47,4800,0.45448,0.50219,0.49253
48,4900,0.45273,0.51246,0.51576
49,5000,0.45853,0.51927,0.52806
50,5100,0.47201,0.54569,0.54010
51,5200,0.46243,0.55507,0.54674
52,5300,0.47065,0.56906,0.56706
53,5400,0.47233,0.58810,0.57708
54,5500,0.46720,0.59329,0.57698
55,5600,0.46036,0.59916,0.58891
56,5700,0.49193,0.61926,0.59860
57,5800,0.50199,0.62337,0.62388
58,5900,0.49955,0.63399,0.62061
59,6000,0.49145,0.64867,0.62599
60,6100,0.49637,0.65878,0.63515
61,6200,0.49109,0.68066,0.66182
62,6300,0.48991,0.67349,0.66309
63,6400,0.48639,0.69750,0.66335
64,6500,0.49241,0.69663,0.67768
65,6600,0.48481,0.70480,0.68717
66,6700,0.50024,0.71117,0.68582
67,6800,0.49821,0.72704,0.71335
68,6900,0.50633,0.74157,0.70596
69,7000,0.50995,0.74677,0.71368
70,7100,0.52717,0.76464,0.72346
71,7200,0.51187,0.77546,0.72776
72,7300,0.50022,0.76010,0.72774
73,7400,0.51040,0.75902,0.74519
74,7500,0.50104,0.76735,0.75447
75,7600,0.53211,0.78603,0.75498
76,7700,0.53342,0.80017,0.74934
77,7800,0.53097,0.78299,0.74783
78,7900,0.50937,0.80165,0.75110
79,8000,0.52234,0.80966,0.78980
80,8100,0.51045,0.81214,0.75742
81,8200,0.52904,0.83032,0.76525
82,8300,0.52065,0.82455,0.76538
83,8400,0.52498,0.80187,0.78961
84,8500,0.52749,0.82980,0.78588
85,8600,0.53382,0.79953,0.79468
86,8700,0.52806,0.80926,0.78295
87,8800,0.55282,0.85478,0.79337
88,8900,0.54044,0.84003,0.79231
89,9000,0.52551,0.82413,0.78818
90,9100,0.54914,0.84459,0.79452
91,9200,0.55004,0.83861,0.79034
92,9300,0.57014,0.83777,0.80734
93,9400,0.54128,0.83532,0.82742
94,9500,0.55095,0.86874,0.78439
95,9600,0.54456,0.86126,0.80768
96,9700,0.55337,0.84569,0.83300
97,9800,0.54880,0.85300,0.80715
98,9900,0.57191,0.84236,0.80953
99,10000,0.54468,0.84822,0.81778
100,10100,0.55448,0.83484,0.83150
101,10200,0.54459,0.85434,0.81118
102,10300,0.55687,0.86743,0.81359
103,10400,0.54653,0.85673,0.81308
104,10500,0.56567,0.86022,0.82324
105,10600,0.56137,0.87482,0.81137
106,10700,0.56953,0.87708,0.82008
107,10800,0.57467,0.85555,0.83664
108,10900,0.56338,0.87602,0.82488
109,11000,0.58697,0.87067,0.81222
110,11100,0.57739,0.85704,0.81253
111,11200,0.55936,0.86018,0.78626
112,11300,0.57048,0.85760,0.83108
113,11400,0.57024,0.86010,0.80856
114,11500,0.58940,0.83749,0.80395
115,11600,0.58027,0.86805,0.82225
116,11700,0.57732,0.85359,0.83388
117,11800,0.57556,0.86445,0.81813
118,11900,0.56928,0.84045,0.81709
119,12000,0.54467,0.84665,0.81862
120,12100,0.57285,0.83888,0.79485
121,12200,0.57565,0.83974,0.78475
122,12300,0.58756,0.85633,0.79595
123,12400,0.57041,0.84478,0.81007
124,12500,0.58209,0.82048,0.81571
125,12600,0.56588,0.85815,0.79811
126,12700,0.57447,0.83121,0.80210
127,12800,0.58784,0.85073,0.81656
128,12900,0.61495,0.84694,0.79933
129,13000,0.58381,0.84286,0.78060
130,13100,0.58712,0.88721,0.80745
131,13200,0.58545,0.83987,0.76762
132,13300,0.57645,0.82354,0.81101
133,13400,0.60033,0.84298,0.81648
134,13500,0.58503,0.84710,0.81946
135,13600,0.61823,0.82593,0.78607
136,13700,0.60206,0.82825,0.81488
137,13800,0.57010,0.83649,0.79063
138,13900,0.60280,0.81893,0.77217
139,14000,0.58679,0.82904,0.80269
140,14100,0.57348,0.83939,0.78406
141,14200,0.60617,0.82880,0.81356
142,14300,0.56595,0.84979,0.80619
143,14400,0.56631,0.81621,0.77366
144,14500,0.59779,0.82869,0.75790
145,14600,0.60090,0.82817,0.76715
146,14700,0.61266,0.82015,0.80427
147,14800,0.58028,0.82673,0.80581
148,14900,0.59608,0.83150,0.78086
149,15000,0.61337,0.83357,0.80447
150,15100,0.59373,0.82293,0.76488
151,15200,0.57281,0.84940,0.76017
152,15300,0.59845,0.83608,0.77658
153,15400,0.60273,0.82201,0.77146
154,15500,0.61555,0.83010,0.78018
155,15600,0.58710,0.82857,0.77345
156,15700,0.60087,0.82214,0.76442
157,15800,0.62832,0.81192,0.78427
158,15900,0.61802,0.83280,0.79041
159,16000,0.59328,0.81495,0.81020
160,16100,0.59964,0.82550,0.77533
161,16200,0.61466,0.84752,0.77586
162,16300,0.62840,0.83795,0.75285
163,16400,0.62142,0.82125,0.76677
164,16500,0.61747,0.79596,0.76894
165,16600,0.60903,0.78750,0.77292
166,16700,0.61378,0.81648,0.77011
167,16800,0.64392,0.80094,0.77458
168,16900,0.59948,0.77918,0.78430
169,17000,0.58457,0.82325,0.75866
170,17100,0.62114,0.81981,0.77390
171,17200,0.62478,0.78358,0.79052
172,17300,0.63439,0.81903,0.77128
173,17400,0.60349,0.81694,0.74059
174,17500,0.61582,0.78544,0.73631
175,17600,0.61977,0.80890,0.76567
176,17700,0.60984,0.79721,0.78118
177,17800,0.63026,0.79464,0.77612
178,17900,0.62930,0.78669,0.76264
179,18000,0.62076,0.82302,0.75274
