number,rewards,variances,exploration_value
0,[-3.66912 0.31763 0.31763],[2.27897 0.58827 0.58827],0.9988953697090716
100,[-0.57235 -1.06172 -1.06172],[0.19054 0.50239 0.50239],0.9797606658876263
200,[-1.16381 -0.92631 -0.92631],[0.71097 0.44807 0.44807],0.9609925038496699
300,[-6.37052 0.11135 0.11135],[27.65593 0.76223 0.76223],0.9425838621706605
400,[-6.32976 0.45914 0.45914],[6.84357 0.56816 0.56816],0.9245278539275122
500,[-3.30325 -0.77172 -0.77172],[6.60100 0.88076 0.88076],0.9068177241220878
600,[-7.88249 1.13284 1.13284],[29.68111 0.95314 0.95314],0.889446847154093
700,[-4.12197 -0.11986 -0.11986],[16.08497 1.06926 1.06926],0.8724087243423219
800,[-7.05864 1.39809 1.39809],[10.30124 1.16358 1.16358],0.8556969814934174
900,[-2.45818 0.22178 0.22178],[2.41884 0.60381 0.60381],0.8393053665172148
1000,[-1.74025 -0.37736 -0.37736],[0.53987 0.08119 0.08119],0.8232277470877281
1100,[-0.91950 -0.54055 -0.54055],[0.94392 0.58309 0.58309],0.8074581083489812
1200,[-1.57599 -0.30789 -0.30789],[2.16939 0.05552 0.05552],0.7919905506647517
1300,[-1.88275 -0.83220 -0.83220],[0.07646 0.88093 0.88093],0.7768192874114557
1400,[-0.50564 -0.90722 -0.90722],[0.05673 0.20641 0.20641],0.7619386428132808
1500,[-0.99357 -0.68567 -0.68567],[0.88394 0.32079 0.32079],0.7473430498187978
1600,[-1.48270 0.01546 0.01546],[0.50434 0.51959 0.51959],0.7330270480182665
1700,[-0.60387 -0.39930 -0.39930],[0.04810 0.19683 0.19683],0.7189852816008054
1800,[-0.69671 -0.51069 -0.51069],[0.01453 0.15183 0.15183],0.705212497350724
1900,[-0.62945 -0.46797 -0.46797],[0.13109 0.87535 0.87535],0.6917035426822101
2000,[-0.73315 0.02629 0.02629],[0.43972 0.16395 0.16395],0.6784533637116886
2100,[-0.63293 -0.34035 -0.34035],[0.04768 0.29392 0.29392],0.6654570033670938
2200,[-0.86087 -0.22096 -0.22096],[0.05792 0.15476 0.15476],0.6527095995333525
2300,[-0.67058 -0.05237 -0.05237],[0.27513 0.49565 0.49565],0.6402063832334086
2400,[-0.58233 -0.14718 -0.14718],[0.04672 0.18197 0.18197],0.6279426768440843
2500,[-0.60105 0.06194 0.06194],[0.09472 0.06937 0.06937],0.6159138923461105
2600,[-0.54641 -0.33489 -0.33489],[0.18985 0.16723 0.16723],0.6041155296076918
2700,[-0.61397 -0.22870 -0.22870],[0.05627 0.02575 0.02575],0.5925431747009424
2800,[-0.51492 -0.04898 -0.04898],[0.25808 0.11514 0.11514],0.5811924982505915
