iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,82.06261,1.87167,82.08502,1.86424,81.97659,1.86374
1,200,36.32883,1.76877,36.92279,1.75668,37.22401,1.76724
2,300,8.63650,1.73719,8.35366,1.73445,8.57328,1.72835
3,400,4.19638,1.69376,3.70397,1.68925,3.80140,1.69080
4,500,1.78501,1.62892,1.26615,1.63558,1.27620,1.62712
5,600,0.89927,1.58497,0.55202,1.58450,0.62761,1.57619
6,700,0.62402,1.54169,0.34874,1.54729,0.41482,1.55944
7,800,0.50145,1.51300,0.27795,1.50795,0.32143,1.51713
8,900,0.46076,1.47460,0.28173,1.48144,0.27036,1.47845
9,1000,0.45141,1.43045,0.24314,1.43421,0.24865,1.43402
10,1100,0.44142,1.38767,0.24494,1.38695,0.22388,1.38759
11,1200,0.43439,1.35239,0.23415,1.34838,0.25406,1.34937
12,1300,0.42277,1.30649,0.23081,1.30585,0.27843,1.30548
13,1400,0.43399,1.25906,0.22164,1.26119,0.23403,1.26048
14,1500,0.45131,1.22999,0.22077,1.22448,0.22490,1.22919
15,1600,0.43499,1.19254,0.23133,1.18788,0.21033,1.19372
16,1700,0.44411,1.15839,0.24909,1.15475,0.20989,1.15607
17,1800,0.43793,1.11395,0.24802,1.11188,0.21485,1.11440
18,1900,0.42958,1.07639,0.24853,1.07014,0.22734,1.07649
19,2000,0.42617,1.02531,0.22594,1.02969,0.22336,1.02728
20,2100,0.42570,0.98906,0.26400,0.99208,0.22995,0.98925
21,2200,0.42654,0.95979,0.24545,0.96115,0.21646,0.95774
22,2300,0.44267,0.91902,0.22642,0.91819,0.23870,0.91773
23,2400,0.44095,0.87423,0.25497,0.87870,0.25919,0.87327
24,2500,0.45024,0.84061,0.25437,0.83557,0.23209,0.84063
25,2600,0.43106,0.80326,0.24649,0.80148,0.23413,0.80259
26,2700,0.44826,0.76643,0.27676,0.76790,0.23334,0.76442
27,2800,0.44048,0.73480,0.28341,0.73397,0.24819,0.73683
28,2900,0.43804,0.70010,0.26583,0.70199,0.28180,0.70166
29,3000,0.44193,0.66768,0.27664,0.67400,0.25605,0.67145
30,3100,0.42237,0.63978,0.27613,0.64126,0.27026,0.64043
31,3200,0.42748,0.61162,0.27916,0.61176,0.27558,0.61292
32,3300,0.43645,0.58460,0.29316,0.58554,0.29434,0.58238
33,3400,0.43874,0.55988,0.29347,0.55914,0.29626,0.56178
34,3500,0.42849,0.53071,0.30038,0.53217,0.29544,0.53165
35,3600,0.44592,0.50863,0.31130,0.50627,0.30731,0.50814
36,3700,0.44381,0.48475,0.31574,0.48519,0.34493,0.48317
37,3800,0.45528,0.46318,0.34370,0.46274,0.37277,0.46530
38,3900,0.44769,0.44221,0.33974,0.44415,0.39055,0.44296
39,4000,0.46082,0.42475,0.34712,0.42407,0.36023,0.42399
40,4100,0.45069,0.40288,0.35550,0.40465,0.34792,0.40088
41,4200,0.45697,0.38491,0.36006,0.38689,0.38591,0.38673
42,4300,0.45770,0.37022,0.37307,0.36924,0.38620,0.36995
43,4400,0.51253,0.35340,0.39608,0.35534,0.36491,0.35534
44,4500,0.45491,0.34096,0.39087,0.33755,0.38415,0.33876
45,4600,0.50015,0.32547,0.39724,0.32506,0.40772,0.32525
46,4700,0.46532,0.31012,0.39684,0.31109,0.40487,0.30986
47,4800,0.47137,0.29840,0.42085,0.29821,0.43087,0.29639
48,4900,0.47106,0.28530,0.43246,0.28583,0.40027,0.28596
49,5000,0.47931,0.27412,0.43356,0.27547,0.41238,0.27532
50,5100,0.52279,0.26608,0.44626,0.26226,0.43449,0.26363
51,5200,0.48462,0.25332,0.45227,0.25255,0.44717,0.25411
52,5300,0.48293,0.24419,0.47033,0.24413,0.45475,0.24260
53,5400,0.49452,0.23559,0.48794,0.23339,0.48117,0.23516
54,5500,0.51200,0.22571,0.47860,0.22655,0.48897,0.22738
55,5600,0.47188,0.21760,0.51299,0.21898,0.50941,0.21902
56,5700,0.50138,0.21251,0.51035,0.21280,0.48472,0.21140
57,5800,0.48144,0.20554,0.54937,0.20618,0.51668,0.20466
58,5900,0.49108,0.19908,0.53040,0.19862,0.50191,0.19925
59,6000,0.49976,0.19428,0.55155,0.19491,0.52116,0.19381
60,6100,0.50691,0.18716,0.54585,0.18981,0.54510,0.18834
61,6200,0.52269,0.18419,0.56044,0.18329,0.55508,0.18313
62,6300,0.51525,0.17972,0.56226,0.17867,0.56037,0.17951
63,6400,0.49975,0.17417,0.58623,0.17528,0.58928,0.17660
64,6500,0.52783,0.17144,0.59681,0.17048,0.61937,0.17021
65,6600,0.49612,0.16824,0.59112,0.16713,0.61144,0.16708
66,6700,0.50536,0.16296,0.62370,0.16232,0.60689,0.16151
67,6800,0.50833,0.15873,0.62676,0.15970,0.64224,0.15888
68,6900,0.51628,0.15510,0.62387,0.15710,0.62000,0.15588
69,7000,0.50751,0.15267,0.65810,0.15299,0.63723,0.15284
70,7100,0.51620,0.14986,0.65508,0.15005,0.65447,0.14976
71,7200,0.50820,0.14743,0.64168,0.14716,0.69773,0.14626
72,7300,0.50280,0.14459,0.65390,0.14310,0.68224,0.14447
73,7400,0.51168,0.14060,0.65401,0.14077,0.70791,0.13994
74,7500,0.51328,0.13792,0.71563,0.13880,0.69188,0.13795
75,7600,0.52465,0.13561,0.67488,0.13615,0.68627,0.13588
76,7700,0.51079,0.13400,0.69345,0.13251,0.69862,0.13337
77,7800,0.51988,0.13015,0.70052,0.13111,0.69922,0.13076
78,7900,0.50201,0.12884,0.70141,0.12840,0.73047,0.12919
79,8000,0.53084,0.12666,0.73297,0.12600,0.73562,0.12634
80,8100,0.50042,0.12321,0.73595,0.12385,0.70984,0.12389
81,8200,0.52770,0.12164,0.75076,0.12086,0.74253,0.12147
82,8300,0.51323,0.11911,0.74175,0.11908,0.72285,0.11990
83,8400,0.52126,0.11737,0.75240,0.11707,0.77441,0.11729
84,8500,0.51979,0.11517,0.77969,0.11514,0.76785,0.11453
85,8600,0.52272,0.11303,0.73560,0.11322,0.79794,0.11291
86,8700,0.52073,0.11101,0.74564,0.11067,0.75523,0.11111
87,8800,0.53832,0.10899,0.79548,0.10844,0.75130,0.10979
88,8900,0.51237,0.10802,0.76798,0.10784,0.76661,0.10763
89,9000,0.52185,0.10637,0.77329,0.10537,0.78409,0.10515
90,9100,0.52503,0.10388,0.80162,0.10356,0.81304,0.10397
91,9200,0.52914,0.10106,0.78479,0.10271,0.77645,0.10222
92,9300,0.53207,0.10105,0.78652,0.10012,0.77510,0.10003
93,9400,0.53281,0.09842,0.78569,0.10005,0.80970,0.09832
94,9500,0.54065,0.09770,0.80605,0.09765,0.77732,0.09705
95,9600,0.52972,0.09585,0.80741,0.09515,0.83389,0.09582
96,9700,0.53959,0.09408,0.79026,0.09426,0.80079,0.09362
97,9800,0.55167,0.09260,0.81176,0.09196,0.83244,0.09196
98,9900,0.54680,0.09088,0.78997,0.09134,0.81007,0.09170
99,10000,0.51237,0.09028,0.78921,0.08907,0.81637,0.08964
100,10100,0.53450,0.08834,0.80940,0.08853,0.81645,0.08752
101,10200,0.54016,0.08687,0.79778,0.08706,0.81022,0.08638
102,10300,0.54305,0.08559,0.82281,0.08473,0.81720,0.08562
103,10400,0.52331,0.08350,0.81397,0.08390,0.82584,0.08436
104,10500,0.54119,0.08322,0.82276,0.08183,0.82607,0.08296
105,10600,0.55989,0.08215,0.80712,0.08143,0.81244,0.08097
106,10700,0.55415,0.07966,0.82513,0.07986,0.83007,0.08035
107,10800,0.56653,0.07863,0.82961,0.07957,0.82379,0.07916
108,10900,0.54295,0.07779,0.82548,0.07792,0.82619,0.07803
109,11000,0.55170,0.07651,0.84593,0.07622,0.83479,0.07596
110,11100,0.55840,0.07605,0.83116,0.07500,0.84345,0.07550
111,11200,0.54837,0.07420,0.82789,0.07426,0.83218,0.07445
112,11300,0.56106,0.07319,0.83897,0.07354,0.83877,0.07340
113,11400,0.53253,0.07179,0.83282,0.07236,0.84708,0.07197
114,11500,0.56000,0.07126,0.82340,0.06991,0.84140,0.07092
115,11600,0.56015,0.06966,0.84945,0.06986,0.84947,0.06989
116,11700,0.52884,0.06866,0.81602,0.06950,0.84607,0.06879
117,11800,0.56107,0.06838,0.83466,0.06817,0.82302,0.06813
118,11900,0.56180,0.06656,0.84246,0.06666,0.85383,0.06714
119,12000,0.52768,0.06595,0.84079,0.06528,0.83301,0.06604
120,12100,0.54957,0.06501,0.82406,0.06487,0.82790,0.06510
121,12200,0.54453,0.06451,0.81596,0.06452,0.83884,0.06489
122,12300,0.56668,0.06386,0.84848,0.06329,0.82990,0.06411
123,12400,0.54499,0.06255,0.83510,0.06276,0.81412,0.06284
124,12500,0.56611,0.06186,0.81184,0.06221,0.84144,0.06112
125,12600,0.53559,0.06082,0.83684,0.06081,0.87352,0.06066
126,12700,0.55806,0.06074,0.82180,0.05988,0.83478,0.06017
127,12800,0.54540,0.05911,0.83788,0.05939,0.84582,0.05940
128,12900,0.57242,0.05881,0.81155,0.05947,0.84038,0.05861
129,13000,0.57112,0.05772,0.84107,0.05713,0.82807,0.05747
130,13100,0.55685,0.05668,0.83051,0.05696,0.82287,0.05719
131,13200,0.56082,0.05669,0.80437,0.05567,0.82910,0.05637
132,13300,0.55718,0.05532,0.81165,0.05568,0.83149,0.05553
133,13400,0.58077,0.05497,0.81123,0.05514,0.86043,0.05488
134,13500,0.55808,0.05441,0.82215,0.05431,0.84929,0.05372
135,13600,0.56763,0.05353,0.80550,0.05342,0.87987,0.05268
136,13700,0.55127,0.05305,0.80829,0.05331,0.86503,0.05241
137,13800,0.55742,0.05203,0.80466,0.05225,0.83803,0.05181
138,13900,0.55747,0.05143,0.80927,0.05167,0.84739,0.05162
139,14000,0.54894,0.05088,0.81977,0.05086,0.82876,0.05108
140,14100,0.54250,0.05054,0.80570,0.05089,0.83723,0.05034
141,14200,0.56010,0.05027,0.79235,0.05015,0.84512,0.04974
142,14300,0.55469,0.04932,0.80418,0.04912,0.83095,0.04935
143,14400,0.54453,0.04837,0.81425,0.04832,0.79636,0.04911
144,14500,0.56508,0.04817,0.79736,0.04755,0.80848,0.04839
145,14600,0.57498,0.04771,0.80099,0.04809,0.81319,0.04767
146,14700,0.56477,0.04738,0.79394,0.04712,0.83278,0.04723
147,14800,0.55738,0.04656,0.80938,0.04624,0.83993,0.04635
148,14900,0.56139,0.04624,0.80366,0.04609,0.82936,0.04602
149,15000,0.56461,0.04594,0.77011,0.04541,0.80855,0.04557
150,15100,0.56633,0.04444,0.80997,0.04477,0.81680,0.04510
151,15200,0.54904,0.04466,0.77550,0.04443,0.81874,0.04485
152,15300,0.56463,0.04434,0.79662,0.04417,0.80725,0.04419
153,15400,0.57482,0.04358,0.79286,0.04383,0.81511,0.04336
154,15500,0.58274,0.04262,0.80030,0.04320,0.82659,0.04308
155,15600,0.55570,0.04260,0.79407,0.04270,0.80216,0.04254
156,15700,0.57239,0.04229,0.80038,0.04231,0.83357,0.04243
157,15800,0.58606,0.04265,0.79876,0.04188,0.84192,0.04149
158,15900,0.55727,0.04169,0.81426,0.04123,0.80954,0.04155
159,16000,0.56143,0.04118,0.79335,0.04064,0.84012,0.04083
160,16100,0.56768,0.04055,0.78603,0.04036,0.81408,0.04064
161,16200,0.57616,0.04064,0.79505,0.04041,0.80564,0.04032
162,16300,0.58539,0.04005,0.78576,0.03997,0.82697,0.03984
163,16400,0.58955,0.03983,0.78921,0.03933,0.82877,0.03938
164,16500,0.57265,0.03911,0.78070,0.03874,0.82057,0.03872
165,16600,0.55465,0.03838,0.79232,0.03876,0.80166,0.03854
166,16700,0.58978,0.03847,0.79622,0.03837,0.80899,0.03836
167,16800,0.58602,0.03774,0.78430,0.03798,0.80916,0.03804
168,16900,0.57848,0.03753,0.76852,0.03766,0.81316,0.03785
169,17000,0.56588,0.03702,0.78604,0.03759,0.82641,0.03697
170,17100,0.57831,0.03699,0.78534,0.03684,0.78635,0.03681
171,17200,0.58308,0.03695,0.76641,0.03646,0.81538,0.03651
172,17300,0.58652,0.03610,0.77091,0.03649,0.83327,0.03600
173,17400,0.57500,0.03612,0.76713,0.03570,0.79710,0.03631
174,17500,0.58553,0.03546,0.76097,0.03597,0.79396,0.03574
175,17600,0.58678,0.03561,0.78329,0.03544,0.81521,0.03539
176,17700,0.59231,0.03510,0.78781,0.03500,0.81030,0.03502
177,17800,0.59265,0.03460,0.76299,0.03476,0.81149,0.03462
178,17900,0.58350,0.03442,0.77223,0.03456,0.82457,0.03415
179,18000,0.58277,0.03385,0.78243,0.03383,0.80043,0.03444
180,18100,0.58632,0.03407,0.79080,0.03368,0.79614,0.03399
181,18200,0.60036,0.03365,0.77794,0.03346,0.79838,0.03340
182,18300,0.58719,0.03332,0.78098,0.03303,0.78547,0.03348
183,18400,0.58464,0.03296,0.76692,0.03308,0.82255,0.03291
184,18500,0.58138,0.03264,0.78121,0.03273,0.80580,0.03277
185,18600,0.58465,0.03295,0.79818,0.03212,0.79556,0.03235
186,18700,0.59079,0.03221,0.76414,0.03237,0.81950,0.03252
187,18800,0.60233,0.03190,0.77080,0.03192,0.79634,0.03183
188,18900,0.59623,0.03160,0.77860,0.03169,0.80211,0.03157
189,19000,0.60936,0.03164,0.76446,0.03182,0.79411,0.03142
190,19100,0.60534,0.03082,0.78244,0.03151,0.79255,0.03118
191,19200,0.60980,0.03086,0.77386,0.03125,0.80075,0.03104
192,19300,0.58862,0.03074,0.79311,0.03055,0.81822,0.03054
193,19400,0.57858,0.03059,0.77688,0.03058,0.79989,0.03054
194,19500,0.58586,0.03009,0.78540,0.03047,0.82485,0.02990
195,19600,0.61387,0.03000,0.76628,0.03000,0.80828,0.02992
196,19700,0.61417,0.02993,0.79896,0.02977,0.81382,0.02977
197,19800,0.59702,0.02965,0.76598,0.02944,0.79913,0.02973
198,19900,0.60968,0.02930,0.75420,0.02961,0.79217,0.02981
199,20000,0.59541,0.02940,0.78416,0.02903,0.80537,0.02901
200,20100,0.59540,0.02917,0.78474,0.02903,0.77891,0.02913
201,20200,0.58241,0.02865,0.75272,0.02883,0.79200,0.02905
202,20300,0.60487,0.02860,0.78190,0.02856,0.80513,0.02846
203,20400,0.60890,0.02841,0.75855,0.02879,0.81200,0.02809
204,20500,0.62594,0.02832,0.77397,0.02806,0.80957,0.02800
205,20600,0.60937,0.02818,0.77523,0.02782,0.80637,0.02819
206,20700,0.62153,0.02786,0.78445,0.02769,0.78375,0.02784
207,20800,0.58526,0.02775,0.77952,0.02763,0.79238,0.02777
208,20900,0.57926,0.02748,0.77317,0.02726,0.79650,0.02733
