iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,4.59880,0.34608,4.17959,0.32675,4.20794,0.33053
1,200,2.50405,0.27468,2.11787,0.26962,2.04992,0.26847
2,300,2.02416,0.26752,1.73889,0.26002,1.77037,0.26048
3,400,1.55893,0.26559,1.51988,0.26589,1.47368,0.25765
4,500,1.41501,0.26792,1.24202,0.26227,1.24839,0.26035
5,600,1.40192,0.26762,1.11442,0.25931,1.17981,0.26306
6,700,1.37397,0.26826,1.14004,0.25867,1.17889,0.26297
7,800,1.33532,0.26420,1.14919,0.25935,1.17565,0.26264
8,900,1.32394,0.26354,1.09845,0.25606,1.12767,0.26341
9,1000,1.30985,0.26236,1.12322,0.25888,1.14086,0.26305
10,1100,1.32460,0.26348,1.10056,0.25628,1.11973,0.26066
11,1200,1.32329,0.26297,1.13677,0.25751,1.08463,0.25919
12,1300,1.38880,0.26488,1.12614,0.25923,1.09353,0.25760
13,1400,1.33628,0.26360,1.12098,0.25724,1.08739,0.25602
14,1500,1.32859,0.26258,1.11227,0.26087,1.10276,0.25965
15,1600,1.35745,0.26345,1.12242,0.25936,1.12395,0.25999
16,1700,1.34634,0.26320,1.11066,0.26177,1.13400,0.25920
17,1800,1.34187,0.26355,1.11596,0.26094,1.09102,0.25704
18,1900,1.37859,0.26142,1.09350,0.25795,1.11065,0.25654
19,2000,1.37726,0.26535,1.14416,0.26144,1.11347,0.25596
20,2100,1.39700,0.26337,1.13103,0.26016,1.09516,0.25553
21,2200,1.40395,0.26434,1.10824,0.25839,1.12557,0.25523
22,2300,1.40909,0.26377,1.14180,0.25745,1.14021,0.25565
23,2400,1.40464,0.26351,1.15719,0.26082,1.12080,0.25693
24,2500,1.43137,0.26292,1.15077,0.25907,1.13766,0.25437
25,2600,1.42797,0.26238,1.15511,0.25879,1.17236,0.25559
26,2700,1.42074,0.26175,1.13491,0.25655,1.15149,0.25260
27,2800,1.39873,0.25999,1.17455,0.25928,1.18523,0.25560
28,2900,1.40912,0.25984,1.19652,0.26111,1.16383,0.25160
29,3000,1.43979,0.26062,1.16696,0.25876,1.17975,0.25230
30,3100,1.43361,0.25793,1.19308,0.26002,1.19676,0.25161
31,3200,1.43184,0.25738,1.20848,0.25880,1.19399,0.25212
32,3300,1.45473,0.25970,1.23374,0.26069,1.24063,0.25245
33,3400,1.47539,0.25734,1.27393,0.26001,1.24178,0.25128
34,3500,1.44182,0.25641,1.27316,0.25804,1.25791,0.25149
35,3600,1.50803,0.25739,1.28571,0.25972,1.27288,0.24966
36,3700,1.45965,0.25280,1.26689,0.25567,1.29635,0.25206
37,3800,1.49315,0.25524,1.27982,0.25348,1.31469,0.25100
38,3900,1.53673,0.25532,1.32636,0.25594,1.32872,0.25143
39,4000,1.51588,0.25468,1.32974,0.25530,1.33416,0.24989
40,4100,1.50810,0.25095,1.34801,0.25401,1.37053,0.25129
41,4200,1.54870,0.25161,1.34302,0.25210,1.36178,0.24991
42,4300,1.49834,0.24992,1.34991,0.25244,1.39208,0.25199
43,4400,1.50480,0.24847,1.40960,0.25283,1.39277,0.24900
44,4500,1.51392,0.24795,1.40904,0.25253,1.43297,0.24650
45,4600,1.57339,0.24965,1.40591,0.24924,1.45608,0.24989
46,4700,1.54932,0.24667,1.44387,0.25155,1.43666,0.24722
47,4800,1.57833,0.24786,1.48516,0.25180,1.42451,0.24375
48,4900,1.54276,0.24340,1.48468,0.25207,1.43855,0.24481
49,5000,1.60257,0.24542,1.47353,0.24754,1.51176,0.24562
50,5100,1.55480,0.24380,1.47692,0.24841,1.52391,0.24716
51,5200,1.55247,0.24378,1.47014,0.24472,1.50033,0.24344
52,5300,1.59857,0.24424,1.49846,0.24521,1.56197,0.24547
53,5400,1.59331,0.24192,1.55099,0.24596,1.52803,0.24193
54,5500,1.62039,0.24010,1.53447,0.24629,1.58015,0.24111
55,5600,1.56419,0.23880,1.54204,0.24371,1.58089,0.24141
56,5700,1.56392,0.23700,1.56571,0.24383,1.55171,0.23980
57,5800,1.59733,0.23764,1.55530,0.24144,1.59801,0.23945
58,5900,1.60454,0.23876,1.60634,0.23980,1.55845,0.23547
59,6000,1.57816,0.23456,1.57689,0.23876,1.64180,0.23699
60,6100,1.58860,0.23575,1.58976,0.23911,1.59388,0.23325
61,6200,1.59300,0.23434,1.60530,0.23494,1.62735,0.23184
62,6300,1.59832,0.23091,1.65879,0.23773,1.60291,0.23023
63,6400,1.62035,0.23187,1.58138,0.23294,1.62104,0.22944
64,6500,1.57043,0.23075,1.62688,0.23150,1.66071,0.23046
65,6600,1.58783,0.22724,1.68416,0.23247,1.68869,0.22892
66,6700,1.59503,0.22934,1.64401,0.23106,1.68201,0.22686
67,6800,1.61406,0.22983,1.65868,0.22938,1.71485,0.22575
68,6900,1.62476,0.22782,1.65104,0.22714,1.71296,0.22515
69,7000,1.59168,0.22503,1.65825,0.22693,1.69553,0.22356
70,7100,1.63608,0.22654,1.65489,0.22477,1.69700,0.22276
71,7200,1.63150,0.22598,1.68343,0.22755,1.67433,0.22083
72,7300,1.66026,0.22540,1.66577,0.22212,1.70898,0.22045
73,7400,1.64354,0.22500,1.67918,0.22298,1.69630,0.21905
74,7500,1.66907,0.22276,1.70907,0.22272,1.72231,0.21816
75,7600,1.63369,0.22324,1.67732,0.22094,1.72875,0.21751
76,7700,1.65374,0.22148,1.69938,0.21940,1.69582,0.21452
77,7800,1.65602,0.21850,1.71136,0.21883,1.73030,0.21589
78,7900,1.63472,0.21941,1.71365,0.21786,1.71871,0.21461
79,8000,1.62329,0.21649,1.71655,0.21454,1.72306,0.21392
80,8100,1.60364,0.21609,1.72904,0.21539,1.82071,0.21385
81,8200,1.64517,0.21867,1.72333,0.21462,1.74424,0.21131
82,8300,1.60395,0.21352,1.72303,0.21410,1.75294,0.21183
83,8400,1.61350,0.21543,1.75109,0.21266,1.79162,0.21055
84,8500,1.61115,0.21330,1.78976,0.21234,1.77206,0.20809
85,8600,1.67229,0.21238,1.76675,0.21064,1.81939,0.21019
86,8700,1.62649,0.21228,1.78540,0.21120,1.77082,0.20732
87,8800,1.64234,0.21416,1.79017,0.21005,1.81929,0.20688
88,8900,1.61056,0.21065,1.77165,0.20742,1.83710,0.20546
89,9000,1.61497,0.20934,1.81610,0.21114,1.82462,0.20560
90,9100,1.66524,0.21045,1.77148,0.20709,1.79855,0.20314
91,9200,1.66133,0.20906,1.75938,0.20645,1.84119,0.20449
92,9300,1.59502,0.20710,1.79835,0.20501,1.78842,0.20148
93,9400,1.61291,0.20710,1.76988,0.20307,1.74473,0.19845
94,9500,1.62935,0.20589,1.75665,0.20046,1.82133,0.19979
95,9600,1.60826,0.20414,1.79239,0.20307,1.82089,0.19885
96,9700,1.59368,0.20485,1.77798,0.20315,1.83920,0.19703
97,9800,1.66135,0.20616,1.79292,0.19971,1.78756,0.19573
98,9900,1.57614,0.20241,1.80522,0.19953,1.84615,0.19942
99,10000,1.62078,0.20300,1.79052,0.19792,1.80739,0.19726
100,10100,1.57667,0.20259,1.80774,0.19715,1.79947,0.19601
101,10200,1.61101,0.20153,1.80054,0.19862,1.86903,0.19659
102,10300,1.61078,0.19866,1.81626,0.19651,1.81608,0.19292
103,10400,1.57834,0.19780,1.82611,0.19594,1.82628,0.19416
104,10500,1.61483,0.19907,1.81630,0.19605,1.89714,0.19382
105,10600,1.58701,0.19754,1.82843,0.19496,1.80304,0.19189
106,10700,1.59467,0.19913,1.80860,0.19526,1.84521,0.19133
