iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,49.60482,1.44752,82.59143,1.86718,80.61434,1.84221
1,200,22.38264,1.44124,33.04397,1.75113,33.83436,1.75706
2,300,5.73422,1.44360,6.55098,1.69203,6.97158,1.69857
3,400,2.82236,1.42396,2.86935,1.63733,2.68500,1.63951
4,500,1.18191,1.39259,1.13428,1.60161,0.95616,1.60310
5,600,0.64205,1.37201,0.67053,1.58873,0.57283,1.58127
6,700,0.48090,1.37397,0.47175,1.60900,0.43815,1.58028
7,800,0.41372,1.36618,0.37894,1.59903,0.39812,1.57604
8,900,0.39561,1.36041,0.37846,1.59586,0.36273,1.58016
9,1000,0.42571,1.34296,0.35460,1.59549,0.29920,1.56111
10,1100,0.39665,1.31757,0.35862,1.57585,0.33288,1.57997
11,1200,0.37031,1.30474,0.31598,1.57242,0.31424,1.55849
12,1300,0.40524,1.28894,0.30565,1.56030,0.29091,1.55138
13,1400,0.39059,1.26784,0.34531,1.54098,0.32549,1.54208
14,1500,0.38563,1.24911,0.29666,1.52067,0.33339,1.55019
15,1600,0.40485,1.24026,0.39958,1.52082,0.33620,1.53219
16,1700,0.38863,1.21235,0.31228,1.49488,0.31540,1.52305
17,1800,0.39535,1.19129,0.31095,1.48369,0.32587,1.49920
18,1900,0.40403,1.18278,0.35452,1.46633,0.32552,1.48730
19,2000,0.38989,1.15161,0.35083,1.44108,0.31334,1.47219
20,2100,0.40271,1.13693,0.32420,1.42955,0.28497,1.45521
21,2200,0.41544,1.11728,0.34802,1.40031,0.27316,1.43286
22,2300,0.43644,1.10512,0.53086,1.39679,0.34606,1.42137
23,2400,0.41292,1.08037,0.35493,1.36343,0.29651,1.40442
24,2500,0.41832,1.06193,0.29773,1.33494,0.37735,1.37466
25,2600,0.41679,1.04277,0.32689,1.31589,0.34906,1.35800
26,2700,0.40824,1.01932,0.33431,1.29288,0.34205,1.33714
27,2800,0.40932,1.00125,0.32046,1.26583,0.30598,1.31725
28,2900,0.40084,0.98442,0.31964,1.24456,0.33349,1.29123
29,3000,0.41694,0.96604,0.34722,1.22847,0.36430,1.28224
30,3100,0.43247,0.95349,0.31675,1.20007,0.42588,1.26181
31,3200,0.40530,0.93427,0.36120,1.17763,0.40102,1.22425
32,3300,0.41719,0.91696,0.35495,1.15140,0.42439,1.21947
33,3400,0.41273,0.90282,0.41409,1.12676,0.42283,1.18987
34,3500,0.41587,0.88960,0.42581,1.10780,0.33287,1.16957
35,3600,0.43140,0.86985,0.38180,1.07682,0.39009,1.14534
36,3700,0.42462,0.85809,0.41546,1.05991,0.37952,1.12447
37,3800,0.43158,0.84139,0.38403,1.04385,0.37836,1.10309
38,3900,0.43615,0.82595,0.40836,1.01758,0.38707,1.09035
39,4000,0.43588,0.80775,0.43594,0.99978,0.41542,1.06045
40,4100,0.44951,0.80185,0.39610,0.98028,0.53651,1.04103
41,4200,0.44924,0.78179,0.41492,0.96082,0.45773,1.03047
42,4300,0.44912,0.77034,0.45207,0.94339,0.42910,1.00649
43,4400,0.47182,0.76142,0.43687,0.92104,0.43994,0.99201
44,4500,0.47646,0.74834,0.46400,0.91138,0.42389,0.97405
45,4600,0.47942,0.73500,0.49373,0.88504,0.50319,0.94459
46,4700,0.48037,0.72051,0.46109,0.87060,0.43967,0.93031
47,4800,0.47314,0.70620,0.46806,0.85006,0.60567,0.91697
48,4900,0.48072,0.69205,0.49461,0.83803,0.53746,0.89256
49,5000,0.47776,0.68240,0.48748,0.82195,0.46268,0.87326
50,5100,0.47352,0.67127,0.47173,0.79637,0.48129,0.85784
51,5200,0.46519,0.65709,0.47952,0.78612,0.50140,0.84217
52,5300,0.46240,0.64507,0.50528,0.77051,0.51366,0.82466
53,5400,0.47338,0.63614,0.51488,0.75548,0.55543,0.81411
54,5500,0.47673,0.62522,0.52093,0.74279,0.55080,0.78987
55,5600,0.47448,0.61232,0.54769,0.72882,0.55428,0.77779
56,5700,0.48533,0.60729,0.52618,0.70779,0.55972,0.76058
57,5800,0.48570,0.59596,0.57818,0.70176,0.55639,0.74391
58,5900,0.48250,0.58509,0.59614,0.68623,0.56005,0.73302
59,6000,0.49583,0.58054,0.58561,0.67400,0.61010,0.71843
60,6100,0.47207,0.56847,0.57915,0.65783,0.67026,0.70930
61,6200,0.48782,0.55737,0.59265,0.64830,0.64324,0.68976
62,6300,0.48694,0.55267,0.61847,0.63125,0.58071,0.67938
63,6400,0.48292,0.54227,0.58272,0.62540,0.65128,0.66975
64,6500,0.48390,0.52960,0.59279,0.61170,0.66434,0.65248
65,6600,0.49143,0.52505,0.61182,0.59977,0.60243,0.63375
66,6700,0.48860,0.51477,0.59956,0.58764,0.63297,0.62524
67,6800,0.50229,0.50639,0.60623,0.58189,0.61866,0.61889
68,6900,0.49747,0.49856,0.62631,0.56099,0.63859,0.59675
69,7000,0.50417,0.49089,0.64015,0.55713,0.67702,0.59110
70,7100,0.49280,0.48139,0.63922,0.54746,0.63870,0.58465
71,7200,0.50657,0.47124,0.62835,0.53768,0.65708,0.57318
72,7300,0.51330,0.46483,0.63288,0.52865,0.71115,0.56196
73,7400,0.49871,0.45788,0.66473,0.51526,0.65393,0.55184
74,7500,0.50670,0.44996,0.73016,0.50566,0.67904,0.54114
75,7600,0.51855,0.44373,0.67255,0.49805,0.66341,0.53050
76,7700,0.51593,0.43859,0.66287,0.48852,0.79879,0.52667
77,7800,0.51029,0.43062,0.65873,0.47816,0.70514,0.50740
78,7900,0.50585,0.42153,0.66885,0.46962,0.78512,0.50126
79,8000,0.49261,0.41707,0.74353,0.46312,0.74004,0.49175
80,8100,0.50652,0.40980,0.70836,0.45161,0.70245,0.47994
81,8200,0.50911,0.40234,0.67937,0.44549,0.70461,0.47298
82,8300,0.51498,0.39707,0.69616,0.43585,0.79083,0.46470
83,8400,0.50833,0.38636,0.72639,0.42632,0.72192,0.45444
