number,rewards,variances,exploration_value
0,[-5.38724 1.41529 1.41529],[15.95243 0.26622 0.26622],0.9988953697090716
100,[-5.36408 0.18430 0.18430],[3.89023 0.31135 0.31135],0.9797606658876263
200,[-2.60236 0.21975 0.21975],[1.86446 0.36136 0.36136],0.9609925038496699
300,[-2.29429 -0.15675 -0.15675],[10.54449 0.55514 0.55514],0.9425838621706605
400,[-2.17505 -0.10955 -0.10955],[10.73905 0.15931 0.15931],0.9245278539275122
500,[-1.49084 -0.38146 -0.38146],[1.43924 0.38505 0.38505],0.9068177241220878
600,[-2.42041 0.19770 0.19770],[2.72931 0.09272 0.09272],0.889446847154093
700,[-1.31209 0.13435 0.13435],[0.72083 0.11825 0.11825],0.8724087243423219
800,[-1.46964 0.36672 0.36672],[0.45366 0.11839 0.11839],0.8556969814934174
900,[-0.61692 -0.12498 -0.12498],[0.08970 0.04224 0.04224],0.8393053665172148
1000,[-1.14149 0.23424 0.23424],[0.57102 0.06196 0.06196],0.8232277470877281
1100,[-0.77500 0.18314 0.18314],[0.30800 0.10945 0.10945],0.8074581083489812
1200,[-1.23809 0.38234 0.38234],[0.17071 0.11237 0.11237],0.7919905506647517
1300,[-0.48568 0.24724 0.24724],[0.12288 0.05955 0.05955],0.7768192874114557
1400,[-0.45429 0.13643 0.13643],[0.08196 0.01554 0.01554],0.7619386428132808
1500,[-1.12481 0.38522 0.38522],[0.36783 0.12268 0.12268],0.7473430498187978
1600,[-0.53240 -0.03437 -0.03437],[0.10482 0.06299 0.06299],0.7330270480182665
1700,[-0.96870 0.19672 0.19672],[0.11441 0.02605 0.02605],0.7189852816008054
1800,[-0.43369 -0.06791 -0.06791],[0.04480 0.05778 0.05778],0.705212497350724
1900,[-0.52824 0.11422 0.11422],[0.11625 0.06084 0.06084],0.6917035426822101
2000,[-0.80082 0.38631 0.38631],[0.19487 0.09296 0.09296],0.6784533637116886
2100,[-0.44683 0.09333 0.09333],[0.08890 0.06349 0.06349],0.6654570033670938
2200,[-0.54550 0.24829 0.24829],[0.08789 0.04221 0.04221],0.6527095995333525
2300,[-0.31796 0.13202 0.13202],[0.01812 0.02824 0.02824],0.6402063832334086
2400,[-0.57900 0.25726 0.25726],[0.17463 0.05428 0.05428],0.6279426768440843
2500,[-0.51163 0.22569 0.22569],[0.16192 0.03581 0.03581],0.6159138923461105
2600,[-0.22066 0.02773 0.02773],[0.01403 0.02391 0.02391],0.6041155296076918
2700,[-0.43129 0.19002 0.19002],[0.05400 0.06916 0.06916],0.5925431747009424
2800,[-0.39026 0.09257 0.09257],[0.13710 0.16257 0.16257],0.5811924982505915
2900,[-0.50601 0.22512 0.22512],[0.02517 0.03039 0.03039],0.5700592538142826
3000,[-0.31519 0.11421 0.11421],[0.01295 0.01424 0.01424],0.5591392762939287
3100,[-0.42152 0.20207 0.20207],[0.03976 0.03111 0.03111],0.5484284803774964
3200,[-0.46444 0.12173 0.12173],[0.10128 0.15305 0.15305],0.5379228590106419
3300,[-0.47983 0.34885 0.34885],[0.17379 0.08740 0.08740],0.5276184818975981
3400,[-0.39731 0.30177 0.30177],[0.04768 0.02353 0.02353],0.5175114940308205
3500,[-0.62513 0.31409 0.31409],[0.27694 0.06574 0.06574],0.5075981142487541
3600,[-0.63140 0.43637 0.43637],[0.17020 0.02382 0.02382],0.4978746338212661
3700,[-0.32348 0.16962 0.16962],[0.06205 0.02158 0.02158],0.48833741506215295
3800,[-0.72429 0.39947 0.39947],[0.08358 0.03675 0.03675],0.47898288996823385
3900,[-0.50318 0.31277 0.31277],[0.03433 0.01739 0.01739],0.46980755888450715
4000,[-0.31840 0.20910 0.20910],[0.02500 0.00963 0.00963],0.4608079891948918
4100,[-0.93799 0.46676 0.46676],[0.11191 0.01838 0.01838],0.45198081403803075
4200,[-0.20817 0.11396 0.11396],[0.00792 0.01422 0.01422],0.4433227310477052
4300,[-0.39635 0.34505 0.34505],[0.02113 0.01189 0.01189],0.43483050111737453
4400,[-0.22466 0.19484 0.19484],[0.02330 0.01545 0.01545],0.42650094718838294
4500,[-0.19890 0.08209 0.08209],[0.01272 0.01574 0.01574],0.4183309530613763
4600,[-0.40226 0.26407 0.26407],[0.06022 0.02566 0.02566],0.41031746223049576
4700,[-0.54951 0.22891 0.22891],[0.05719 0.02971 0.02971],0.4024574767398885
4800,[-0.66772 0.39264 0.39264],[0.10638 0.03896 0.03896],0.39474805606213775
4900,[-0.48254 0.34661 0.34661],[0.00808 0.01199 0.01199],0.3871863159981707
5000,[-0.29331 0.14887 0.14887],[0.00277 0.01618 0.01618],0.37976942759823823
5100,[-0.37077 0.33022 0.33022],[0.02707 0.01037 0.01037],0.37249461610356654
5200,[-0.40955 0.30629 0.30629],[0.09127 0.03915 0.03915],0.36535915990828843
5300,[-0.19853 0.09781 0.09781],[0.01458 0.00653 0.00653],0.3583603895412437
5400,[-0.41570 0.22067 0.22067],[0.02779 0.01098 0.01098],0.35149568666730197
5500,[-0.41479 0.21885 0.21885],[0.09268 0.04987 0.04987],0.34476248310780105
5600,[-0.43761 0.23990 0.23990],[0.19505 0.06812 0.06812],0.33815825987976045
5700,[-0.26077 0.16728 0.16728],[0.03385 0.01898 0.01898],0.33168054625349885
5800,[-0.30458 0.19274 0.19274],[0.01542 0.01671 0.01671],0.32532691882829134
5900,[-0.24061 0.15310 0.15310],[0.06583 0.04824 0.04824],0.3190950006257518
6000,[-0.56164 0.39518 0.39518],[0.08115 0.03194 0.03194],0.312982460200566
6100,[-0.37584 0.18997 0.18997],[0.04226 0.00803 0.00803],0.3069870107682693
6200,[-0.59431 0.43165 0.43165],[0.15187 0.05191 0.05191],0.30110640934973165
6300,[-0.37161 0.24466 0.24466],[0.04696 0.03283 0.03283],0.29533845593202374
6400,[-0.37538 0.16433 0.16433],[0.06506 0.00927 0.00927],0.2896809926453638
6500,[-0.36577 0.23840 0.23840],[0.04726 0.01749 0.01749],0.2841319029558341
6600,[-0.35439 0.24604 0.24604],[0.02119 0.01302 0.01302],0.27868911087355025
6700,[-0.46582 0.30432 0.30432],[0.12412 0.03920 0.03920],0.27335058017600533
6800,[-0.54087 0.40117 0.40117],[0.06864 0.03959 0.03959],0.26811431364629784
6900,[-0.59442 0.40070 0.40070],[0.01571 0.02225 0.02225],0.26297835232593786
7000,[-0.54984 0.35572 0.35572],[0.23398 0.05592 0.05592],0.25794077478198096
7100,[-0.35192 0.19418 0.19418],[0.06536 0.06379 0.06379],0.2529996963881896
7200,[-0.32068 0.22376 0.22376],[0.01937 0.00634 0.00634],0.24815326861997006
