number,rewards,variances,exploration_value
0,[-5.38724 1.41529 1.41529],[15.95243 0.26622 0.26622],0.9988953697090716
100,[-6.73428 0.65575 0.65575],[12.28346 0.34739 0.34739],0.9797606658876263
200,[-3.58728 0.18552 0.18552],[1.84212 0.46235 0.46235],0.9609925038496699
300,[-2.31252 -0.29093 -0.29093],[10.42654 0.85933 0.85933],0.9425838621706605
400,[-0.97434 -0.15137 -0.15137],[0.43598 0.33899 0.33899],0.9245278539275122
500,[-1.12551 -0.40913 -0.40913],[1.19040 0.09975 0.09975],0.9068177241220878
600,[-1.21276 0.17884 0.17884],[1.23757 0.30193 0.30193],0.889446847154093
700,[-1.78681 0.16065 0.16065],[1.15099 0.14983 0.14983],0.8724087243423219
800,[-0.77505 -0.13477 -0.13477],[0.22793 0.09185 0.09185],0.8556969814934174
900,[-0.44903 0.19479 0.19479],[0.08796 0.08595 0.08595],0.8393053665172148
1000,[-0.95822 0.37105 0.37105],[0.41706 0.19655 0.19655],0.8232277470877281
1100,[-1.01843 0.26477 0.26477],[0.50324 0.16946 0.16946],0.8074581083489812
1200,[-1.49031 0.37749 0.37749],[0.58634 0.15217 0.15217],0.7919905506647517
1300,[-0.64816 -0.07921 -0.07921],[0.29104 0.14116 0.14116],0.7768192874114557
1400,[-0.43276 0.25362 0.25362],[0.09127 0.07971 0.07971],0.7619386428132808
1500,[-0.92670 0.08328 0.08328],[0.19910 0.11878 0.11878],0.7473430498187978
1600,[-0.63068 0.25627 0.25627],[0.10922 0.09640 0.09640],0.7330270480182665
1700,[-0.76530 0.29203 0.29203],[0.09408 0.06011 0.06011],0.7189852816008054
1800,[-0.41716 -0.13838 -0.13838],[0.29016 0.03142 0.03142],0.705212497350724
1900,[-0.53804 0.25072 0.25072],[0.09410 0.07710 0.07710],0.6917035426822101
2000,[-0.78773 0.33812 0.33812],[0.12973 0.02104 0.02104],0.6784533637116886
2100,[-0.61074 0.31118 0.31118],[0.11820 0.03413 0.03413],0.6654570033670938
2200,[-0.51377 0.32186 0.32186],[0.08992 0.07812 0.07812],0.6527095995333525
2300,[-0.30002 0.20083 0.20083],[0.00574 0.01276 0.01276],0.6402063832334086
2400,[-0.59927 0.28677 0.28677],[0.23559 0.05998 0.05998],0.6279426768440843
2500,[-0.48969 0.18286 0.18286],[0.25666 0.09593 0.09593],0.6159138923461105
2600,[-0.19054 0.01401 0.01401],[0.00567 0.04054 0.04054],0.6041155296076918
2700,[-0.39579 0.28612 0.28612],[0.04106 0.03961 0.03961],0.5925431747009424
2800,[-0.54553 0.29100 0.29100],[0.36541 0.19978 0.19978],0.5811924982505915
2900,[-0.58073 0.33790 0.33790],[0.04080 0.05654 0.05654],0.5700592538142826
