iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,7.14370,0.54139,2.74821,7.72298,0.53931,2.74897,7.83232,0.53950,2.74878
1,200,2.51267,0.51531,2.74774,2.71140,0.51494,2.74772,2.68717,0.51386,2.74832
2,300,1.35427,0.48561,2.74621,1.22490,0.48325,2.74712,1.28485,0.48489,2.74642
3,400,0.74027,0.45638,2.74529,0.63916,0.45460,2.74508,0.64806,0.45299,2.74494
4,500,0.44181,0.42636,2.74340,0.35285,0.42657,2.74334,0.37350,0.42570,2.74333
5,600,0.35679,0.40029,2.74244,0.24637,0.40187,2.74211,0.27012,0.40141,2.74224
6,700,0.33453,0.37381,2.74086,0.20964,0.37445,2.74080,0.22183,0.37416,2.74022
7,800,0.32796,0.34825,2.73906,0.17881,0.34784,2.73947,0.18699,0.34795,2.73907
8,900,0.32242,0.32443,2.73831,0.16285,0.32382,2.73774,0.16478,0.32455,2.73795
9,1000,0.32230,0.30157,2.73663,0.15908,0.30178,2.73646,0.15716,0.30177,2.73596
10,1100,0.33103,0.28211,2.73544,0.15343,0.28107,2.73546,0.15247,0.28194,2.73512
11,1200,0.32947,0.26278,2.73327,0.15033,0.26303,2.73415,0.14650,0.26254,2.73289
12,1300,0.32799,0.24487,2.73211,0.14929,0.24437,2.73203,0.14852,0.24370,2.73226
13,1400,0.34465,0.22845,2.73123,0.15233,0.22848,2.73045,0.15195,0.22772,2.73035
14,1500,0.34126,0.21371,2.72915,0.15672,0.21326,2.72953,0.15638,0.21276,2.72937
15,1600,0.34654,0.20003,2.72816,0.15874,0.19972,2.72860,0.15508,0.19911,2.72750
16,1700,0.34587,0.18709,2.72688,0.16278,0.18638,2.72632,0.15726,0.18633,2.72671
17,1800,0.35424,0.17500,2.72486,0.17274,0.17480,2.72494,0.16354,0.17472,2.72455
18,1900,0.34260,0.16431,2.72348,0.17438,0.16432,2.72330,0.16612,0.16421,2.72341
19,2000,0.35967,0.15475,2.72155,0.18315,0.15397,2.72135,0.16792,0.15420,2.72172
20,2100,0.36699,0.14525,2.71939,0.18183,0.14566,2.72041,0.16930,0.14488,2.72040
21,2200,0.35286,0.13698,2.71862,0.18993,0.13660,2.71805,0.17045,0.13693,2.71815
22,2300,0.36628,0.12967,2.71644,0.19851,0.12938,2.71612,0.17716,0.12894,2.71655
23,2400,0.36906,0.12211,2.71516,0.20352,0.12231,2.71420,0.18390,0.12222,2.71451
24,2500,0.36296,0.11590,2.71213,0.21016,0.11597,2.71237,0.18649,0.11575,2.71228
25,2600,0.37122,0.11032,2.71111,0.21769,0.11020,2.71005,0.19926,0.11026,2.71010
26,2700,0.35515,0.10504,2.70829,0.21936,0.10481,2.70794,0.20340,0.10471,2.70832
27,2800,0.35759,0.10048,2.70547,0.23298,0.10046,2.70680,0.21957,0.10027,2.70579
28,2900,0.36761,0.09635,2.70408,0.24140,0.09643,2.70389,0.22028,0.09639,2.70397
29,3000,0.36631,0.09267,2.70189,0.24129,0.09275,2.70152,0.23727,0.09262,2.70190
30,3100,0.37475,0.08938,2.69905,0.26007,0.08941,2.69974,0.24980,0.08938,2.69927
31,3200,0.37079,0.08636,2.69667,0.26424,0.08646,2.69729,0.26220,0.08655,2.69687
32,3300,0.38199,0.08417,2.69463,0.27157,0.08402,2.69510,0.27686,0.08419,2.69466
33,3400,0.37550,0.08121,2.69230,0.28532,0.08146,2.69268,0.29097,0.08146,2.69258
34,3500,0.39301,0.07926,2.68959,0.29920,0.07944,2.68937,0.29676,0.07921,2.68957
35,3600,0.40273,0.07707,2.68753,0.31649,0.07694,2.68726,0.31520,0.07716,2.68781
36,3700,0.39807,0.07538,2.68517,0.32054,0.07504,2.68560,0.33165,0.07535,2.68493
37,3800,0.39581,0.07346,2.68266,0.34770,0.07357,2.68201,0.34565,0.07350,2.68252
38,3900,0.39959,0.07179,2.67886,0.34852,0.07190,2.67897,0.35260,0.07176,2.67913
39,4000,0.39295,0.07029,2.67645,0.36735,0.06999,2.67692,0.37427,0.07011,2.67696
40,4100,0.39713,0.06868,2.67424,0.38289,0.06866,2.67335,0.39224,0.06885,2.67285
41,4200,0.41179,0.06716,2.67107,0.39435,0.06725,2.67067,0.40529,0.06731,2.67105
42,4300,0.40506,0.06620,2.66809,0.40761,0.06622,2.66728,0.41489,0.06641,2.66783
43,4400,0.41123,0.06518,2.66425,0.42490,0.06469,2.66360,0.43194,0.06484,2.66434
44,4500,0.40795,0.06389,2.66042,0.43773,0.06399,2.66053,0.45564,0.06377,2.66138
45,4600,0.41447,0.06260,2.65798,0.46271,0.06275,2.65744,0.46008,0.06271,2.65788
46,4700,0.40290,0.06213,2.65470,0.46602,0.06210,2.65346,0.47839,0.06194,2.65422
47,4800,0.41938,0.06095,2.64976,0.47087,0.06114,2.64966,0.48412,0.06105,2.64952
48,4900,0.43275,0.06019,2.64700,0.48127,0.06015,2.64525,0.50118,0.06020,2.64711
49,5000,0.42231,0.05916,2.64161,0.51315,0.05928,2.64206,0.52802,0.05947,2.64309
50,5100,0.43038,0.05885,2.63774,0.52158,0.05894,2.63829,0.54259,0.05892,2.63743
51,5200,0.42826,0.05790,2.63393,0.53712,0.05833,2.63365,0.54976,0.05814,2.63365
52,5300,0.42475,0.05742,2.62988,0.55559,0.05767,2.63128,0.57045,0.05754,2.62895
53,5400,0.42933,0.05661,2.62594,0.56910,0.05671,2.62594,0.58416,0.05699,2.62531
54,5500,0.42013,0.05651,2.61997,0.57124,0.05628,2.62016,0.58842,0.05662,2.62001
55,5600,0.45158,0.05599,2.61534,0.59326,0.05611,2.61698,0.60544,0.05583,2.61479
56,5700,0.44881,0.05564,2.61101,0.61034,0.05547,2.61103,0.62697,0.05555,2.61134
57,5800,0.44484,0.05517,2.60580,0.62441,0.05490,2.60563,0.61876,0.05534,2.60466
58,5900,0.46390,0.05483,2.60015,0.64626,0.05457,2.60125,0.65281,0.05483,2.59984
59,6000,0.47502,0.05447,2.59443,0.65423,0.05471,2.59444,0.65211,0.05455,2.59461
60,6100,0.46386,0.05447,2.58734,0.65052,0.05446,2.58823,0.67848,0.05414,2.58780
