number,rewards,variances,exploration_value
0,[-5.67987 -5.67987],[49.41283 49.41283],0.9988953697090716
100,[-14.37498 -14.37498],[10.75870 10.75870],0.9797606658876263
200,[-4.17198 -4.17198],[7.86133 7.86133],0.9609925038496699
300,[-8.48893 -8.48893],[87.89174 87.89174],0.9425838621706605
400,[-3.05406 -3.05406],[0.79017 0.79017],0.9245278539275122
500,[-6.37026 -6.37026],[5.15601 5.15601],0.9068177241220878
600,[-7.41455 -7.41455],[27.76190 27.76190],0.889446847154093
700,[-4.80171 -4.80171],[2.40004 2.40004],0.8724087243423219
800,[-4.19175 -4.19175],[3.01928 3.01928],0.8556969814934174
900,[-6.98007 -6.98007],[6.78163 6.78163],0.8393053665172148
1000,[-6.54894 -6.54894],[5.82625 5.82625],0.8232277470877281
1100,[-6.93865 -6.93865],[17.06869 17.06869],0.8074581083489812
1200,[-6.73738 -6.73738],[14.34929 14.34929],0.7919905506647517
1300,[-6.31614 -6.31614],[14.29039 14.29039],0.7768192874114557
1400,[-3.01818 -3.01818],[2.47600 2.47600],0.7619386428132808
1500,[-5.81024 -5.81024],[25.06884 25.06884],0.7473430498187978
1600,[-5.08325 -5.08325],[1.56525 1.56525],0.7330270480182665
1700,[-3.24882 -3.24882],[1.00276 1.00276],0.7189852816008054
1800,[-4.37911 -4.37911],[2.93689 2.93689],0.705212497350724
1900,[-3.57907 -3.57907],[6.79790 6.79790],0.6917035426822101
2000,[-2.76561 -2.76561],[7.52672 7.52672],0.6784533637116886
2100,[-2.70697 -2.70697],[1.24689 1.24689],0.6654570033670938
2200,[-3.16527 -3.16527],[1.63406 1.63406],0.6527095995333525
2300,[-1.94911 -1.94911],[0.82571 0.82571],0.6402063832334086
2400,[-2.08795 -2.08795],[0.71560 0.71560],0.6279426768440843
2500,[-1.87317 -1.87317],[1.57190 1.57190],0.6159138923461105
2600,[-1.46708 -1.46708],[0.38191 0.38191],0.6041155296076918
2700,[-3.00572 -3.00572],[0.38269 0.38269],0.5925431747009424
2800,[-1.26019 -1.26019],[0.05383 0.05383],0.5811924982505915
2900,[-1.03043 -1.03043],[0.12293 0.12293],0.5700592538142826
3000,[-1.10113 -1.10113],[0.12975 0.12975],0.5591392762939287
3100,[-1.19305 -1.19305],[0.24257 0.24257],0.5484284803774964
3200,[-1.93121 -1.93121],[1.53486 1.53486],0.5379228590106419
3300,[-1.46407 -1.46407],[0.50984 0.50984],0.5276184818975981
3400,[-0.93819 -0.93819],[0.22313 0.22313],0.5175114940308205
3500,[-1.78585 -1.78585],[1.51871 1.51871],0.5075981142487541
3600,[-1.66757 -1.66757],[1.02522 1.02522],0.4978746338212661
3700,[-1.74762 -1.74762],[3.32306 3.32306],0.48833741506215295
3800,[-1.11123 -1.11123],[0.69013 0.69013],0.47898288996823385
3900,[-0.73655 -0.73655],[0.18972 0.18972],0.46980755888450715
4000,[-1.20918 -1.20918],[0.53761 0.53761],0.4608079891948918
4100,[-0.82400 -0.82400],[0.11009 0.11009],0.45198081403803075
