number,rewards,variances,exploration_value
0,[-5.67987 -5.67987],[49.41283 49.41283],0.9988953697090716
100,[-7.65173 -7.65173],[15.96177 15.96177],0.9797606658876263
200,[-8.23635 -8.23635],[26.77685 26.77685],0.9609925038496699
300,[-2.93358 -2.93358],[1.34932 1.34932],0.9425838621706605
400,[-3.38299 -3.38299],[1.11008 1.11008],0.9245278539275122
500,[-7.47983 -7.47983],[11.69576 11.69576],0.9068177241220878
600,[-7.96446 -7.96446],[25.93779 25.93779],0.889446847154093
700,[-3.69126 -3.69126],[1.54724 1.54724],0.8724087243423219
800,[-5.62663 -5.62663],[4.74555 4.74555],0.8556969814934174
900,[-6.21358 -6.21358],[5.96037 5.96037],0.8393053665172148
1000,[-3.55252 -3.55252],[1.89688 1.89688],0.8232277470877281
1100,[-4.85613 -4.85613],[8.60604 8.60604],0.8074581083489812
1200,[-4.11777 -4.11777],[4.63919 4.63919],0.7919905506647517
1300,[-4.64949 -4.64949],[7.51794 7.51794],0.7768192874114557
1400,[-2.15670 -2.15670],[0.49975 0.49975],0.7619386428132808
1500,[-4.38570 -4.38570],[15.92136 15.92136],0.7473430498187978
1600,[-2.50921 -2.50921],[0.50299 0.50299],0.7330270480182665
1700,[-2.77103 -2.77103],[2.03968 2.03968],0.7189852816008054
1800,[-2.13170 -2.13170],[0.75683 0.75683],0.705212497350724
1900,[-1.65280 -1.65280],[0.96640 0.96640],0.6917035426822101
2000,[-2.13752 -2.13752],[1.78999 1.78999],0.6784533637116886
2100,[-1.27899 -1.27899],[0.30710 0.30710],0.6654570033670938
2200,[-2.23600 -2.23600],[1.53989 1.53989],0.6527095995333525
2300,[-1.46518 -1.46518],[0.26956 0.26956],0.6402063832334086
2400,[-2.12703 -2.12703],[0.96734 0.96734],0.6279426768440843
2500,[-1.23456 -1.23456],[1.23663 1.23663],0.6159138923461105
2600,[-0.95397 -0.95397],[0.23989 0.23989],0.6041155296076918
2700,[-2.07493 -2.07493],[0.17977 0.17977],0.5925431747009424
2800,[-0.86991 -0.86991],[0.34753 0.34753],0.5811924982505915
2900,[-0.78787 -0.78787],[0.08327 0.08327],0.5700592538142826
3000,[-0.90256 -0.90256],[0.25739 0.25739],0.5591392762939287
3100,[-0.85002 -0.85002],[0.13895 0.13895],0.5484284803774964
3200,[-1.56982 -1.56982],[1.68803 1.68803],0.5379228590106419
3300,[-1.40798 -1.40798],[0.62915 0.62915],0.5276184818975981
3400,[-0.91350 -0.91350],[0.13098 0.13098],0.5175114940308205
3500,[-1.77194 -1.77194],[1.63592 1.63592],0.5075981142487541
3600,[-1.42720 -1.42720],[0.95834 0.95834],0.4978746338212661
3700,[-1.71884 -1.71884],[3.43414 3.43414],0.48833741506215295
3800,[-0.97433 -0.97433],[0.65072 0.65072],0.47898288996823385
3900,[-0.62075 -0.62075],[0.18218 0.18218],0.46980755888450715
4000,[-1.08547 -1.08547],[0.59381 0.59381],0.4608079891948918
4100,[-0.83442 -0.83442],[0.30100 0.30100],0.45198081403803075
4200,[-1.20561 -1.20561],[1.22885 1.22885],0.4433227310477052
4300,[-1.06701 -1.06701],[0.35920 0.35920],0.43483050111737453
4400,[-1.37528 -1.37528],[0.71075 0.71075],0.42650094718838294
4500,[-1.14414 -1.14414],[1.28092 1.28092],0.4183309530613763
4600,[-1.63621 -1.63621],[2.65315 2.65315],0.41031746223049576
4700,[-1.59913 -1.59913],[0.46921 0.46921],0.4024574767398885
4800,[-0.77845 -0.77845],[0.38157 0.38157],0.39474805606213775
4900,[-0.86206 -0.86206],[0.02583 0.02583],0.3871863159981707
5000,[-1.14370 -1.14370],[0.40507 0.40507],0.37976942759823823
5100,[-0.62670 -0.62670],[0.12402 0.12402],0.37249461610356654
5200,[-1.16282 -1.16282],[0.60815 0.60815],0.36535915990828843
5300,[-1.37137 -1.37137],[0.18129 0.18129],0.3583603895412437
5400,[-0.89879 -0.89879],[0.17946 0.17946],0.35149568666730197
5500,[-1.11843 -1.11843],[1.08513 1.08513],0.34476248310780105
5600,[-1.19770 -1.19770],[0.53814 0.53814],0.33815825987976045
5700,[-1.43101 -1.43101],[0.75318 0.75318],0.33168054625349885
5800,[-1.35306 -1.35306],[0.88066 0.88066],0.32532691882829134
5900,[-0.68148 -0.68148],[0.18157 0.18157],0.3190950006257518
6000,[-0.70359 -0.70359],[0.09497 0.09497],0.312982460200566
6100,[-1.41137 -1.41137],[0.62076 0.62076],0.3069870107682693
6200,[-1.36740 -1.36740],[1.08922 1.08922],0.30110640934973165
6300,[-1.47535 -1.47535],[0.56567 0.56567],0.29533845593202374
6400,[-0.81113 -0.81113],[0.26158 0.26158],0.2896809926453638
6500,[-1.05711 -1.05711],[0.20739 0.20739],0.2841319029558341
