iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,3.63696,0.40322,2.07317,4.02953,0.40296,2.07337
1,200,1.13409,0.39849,2.07161,1.62457,0.39877,2.07141
2,300,0.99242,0.38276,2.07035,1.11621,0.38191,2.06999
3,400,0.98793,0.36650,2.06887,0.80761,0.36531,2.06881
4,500,1.00858,0.35298,2.06801,0.56489,0.35174,2.06807
5,600,0.99115,0.33818,2.06663,0.49408,0.33698,2.06654
6,700,0.99100,0.32446,2.06582,0.47728,0.32468,2.06530
7,800,1.00194,0.31179,2.06431,0.47657,0.31133,2.06448
8,900,1.01353,0.30008,2.06317,0.49212,0.30015,2.06356
9,1000,0.99868,0.28781,2.06225,0.49320,0.28782,2.06204
10,1100,1.01779,0.27616,2.06153,0.48911,0.27625,2.06121
11,1200,1.00787,0.26425,2.05997,0.48787,0.26425,2.06049
12,1300,0.99291,0.25386,2.05912,0.48691,0.25348,2.05959
13,1400,0.97457,0.24337,2.05858,0.50134,0.24388,2.05808
14,1500,1.00336,0.23381,2.05714,0.48501,0.23359,2.05726
15,1600,1.02269,0.22509,2.05633,0.48875,0.22422,2.05615
16,1700,1.02552,0.21585,2.05557,0.49985,0.21532,2.05539
17,1800,1.02266,0.20664,2.05446,0.51155,0.20614,2.05467
18,1900,0.98620,0.19790,2.05356,0.51601,0.19791,2.05348
19,2000,0.99131,0.18986,2.05182,0.52557,0.19023,2.05239
20,2100,0.99511,0.18246,2.05041,0.55565,0.18243,2.05111
21,2200,1.00764,0.17522,2.04991,0.52866,0.17512,2.05000
22,2300,1.02213,0.16774,2.04841,0.51512,0.16776,2.04855
23,2400,0.97435,0.16104,2.04790,0.53234,0.16107,2.04777
24,2500,0.98151,0.15482,2.04643,0.53126,0.15469,2.04677
25,2600,1.02373,0.14857,2.04569,0.53875,0.14805,2.04502
26,2700,0.99756,0.14236,2.04504,0.53695,0.14232,2.04459
27,2800,1.02877,0.13690,2.04328,0.53412,0.13650,2.04393
28,2900,0.98246,0.13095,2.04188,0.54505,0.13112,2.04188
29,3000,1.01357,0.12608,2.04089,0.57950,0.12615,2.04131
30,3100,1.00497,0.12120,2.03961,0.54645,0.12075,2.03898
31,3200,1.00027,0.11626,2.03813,0.56695,0.11622,2.03873
32,3300,1.03814,0.11177,2.03650,0.53498,0.11144,2.03730
33,3400,0.97930,0.10732,2.03610,0.54736,0.10728,2.03610
34,3500,0.99285,0.10308,2.03434,0.54068,0.10294,2.03444
35,3600,1.00871,0.09898,2.03300,0.55876,0.09876,2.03257
36,3700,0.99629,0.09506,2.03136,0.53939,0.09488,2.03082
37,3800,1.00090,0.09135,2.03013,0.55688,0.09146,2.02964
38,3900,0.99382,0.08791,2.02862,0.55081,0.08783,2.02829
39,4000,1.00668,0.08469,2.02695,0.55116,0.08467,2.02730
40,4100,0.99958,0.08132,2.02531,0.58887,0.08148,2.02527
41,4200,1.01170,0.07866,2.02321,0.59894,0.07870,2.02392
42,4300,1.03741,0.07590,2.02171,0.59088,0.07596,2.02218
43,4400,0.99004,0.07318,2.01966,0.56948,0.07311,2.01946
44,4500,1.02546,0.07078,2.01827,0.57203,0.07051,2.01897
45,4600,0.99032,0.06843,2.01619,0.55908,0.06834,2.01626
46,4700,1.00490,0.06614,2.01418,0.57077,0.06610,2.01375
47,4800,1.02303,0.06405,2.01215,0.61340,0.06401,2.01279
48,4900,0.98863,0.06200,2.00994,0.59054,0.06183,2.01001
49,5000,1.01767,0.06026,2.00699,0.57126,0.06002,2.00781
50,5100,1.00294,0.05844,2.00573,0.57573,0.05835,2.00580
51,5200,1.00532,0.05683,2.00383,0.56620,0.05675,2.00456
52,5300,1.03115,0.05526,2.00232,0.54711,0.05529,2.00144
53,5400,1.02015,0.05390,1.99950,0.58396,0.05395,1.99955
54,5500,1.01702,0.05272,1.99768,0.58496,0.05279,1.99848
55,5600,1.02739,0.05145,1.99520,0.57479,0.05166,1.99478
56,5700,1.00685,0.05035,1.99248,0.58572,0.05032,1.99278
57,5800,1.00484,0.04937,1.99022,0.56091,0.04928,1.99066
58,5900,0.97836,0.04835,1.98754,0.56913,0.04840,1.98743
59,6000,1.02819,0.04759,1.98494,0.58220,0.04764,1.98520
60,6100,1.01179,0.04676,1.98274,0.55343,0.04670,1.98319
61,6200,0.98630,0.04605,1.97972,0.59257,0.04613,1.98004
62,6300,0.97748,0.04509,1.97854,0.58033,0.04555,1.97814
63,6400,1.00015,0.04469,1.97525,0.56497,0.04455,1.97603
64,6500,1.00945,0.04415,1.97257,0.57488,0.04415,1.97269
65,6600,0.95095,0.04312,1.97005,0.57845,0.04334,1.96993
66,6700,1.01447,0.04334,1.96708,0.57717,0.04329,1.96709
67,6800,0.96816,0.04269,1.96331,0.58295,0.04277,1.96354
68,6900,0.97507,0.04237,1.96011,0.57949,0.04235,1.96137
69,7000,1.01804,0.04211,1.95807,0.57504,0.04179,1.95802
70,7100,1.01424,0.04166,1.95510,0.56601,0.04163,1.95490
71,7200,0.98585,0.04134,1.95003,0.56021,0.04135,1.95148
72,7300,1.03588,0.04109,1.94867,0.59523,0.04117,1.94804
73,7400,1.00150,0.04077,1.94367,0.57825,0.04063,1.94521
74,7500,1.01728,0.04060,1.94158,0.56987,0.04071,1.94064
75,7600,1.00069,0.04042,1.93829,0.59032,0.04039,1.93866
76,7700,0.98742,0.04030,1.93386,0.59944,0.04015,1.93409
77,7800,0.99777,0.03995,1.93066,0.57349,0.04013,1.93039
78,7900,1.01582,0.03990,1.92735,0.57462,0.04001,1.92706
79,8000,0.98629,0.03969,1.92312,0.56243,0.03945,1.92284
80,8100,1.00374,0.03967,1.91932,0.58516,0.03976,1.91871
81,8200,0.99828,0.03964,1.91570,0.57737,0.03965,1.91675
82,8300,1.01038,0.03950,1.91128,0.57694,0.03950,1.91122
83,8400,0.98805,0.03941,1.90859,0.58403,0.03931,1.90597
84,8500,0.98899,0.03919,1.90444,0.57793,0.03961,1.90333
85,8600,0.96805,0.03961,1.89961,0.56820,0.03950,1.89823
86,8700,0.98930,0.03930,1.89526,0.56490,0.03940,1.89455
87,8800,0.98191,0.03926,1.89064,0.58585,0.03936,1.89096
88,8900,1.03133,0.03948,1.88590,0.59480,0.03930,1.88610
89,9000,0.97301,0.03944,1.88111,0.58636,0.03949,1.88236
90,9100,1.00949,0.03936,1.87860,0.58366,0.03927,1.87754
91,9200,1.02536,0.03955,1.87302,0.58565,0.03920,1.87201
92,9300,1.01025,0.03958,1.86708,0.58930,0.03958,1.86653
93,9400,1.00056,0.03954,1.86389,0.63064,0.03958,1.86348
94,9500,1.00830,0.03984,1.85551,0.56731,0.03970,1.85628
95,9600,0.99661,0.03984,1.85263,0.59798,0.03966,1.85626
96,9700,0.98538,0.03962,1.84930,0.56222,0.03975,1.84854
97,9800,0.99807,0.03975,1.84251,0.60146,0.03986,1.84294
98,9900,0.99646,0.03979,1.83748,0.57434,0.03994,1.83701
99,10000,1.03499,0.04027,1.83067,0.57445,0.03991,1.83257
100,10100,0.98579,0.04005,1.82820,0.58439,0.04024,1.82676
