iteration,episode,1_iql_loss,2_iql_loss
0,100,0.99175,0.91275
1,200,0.97653,0.70576
2,300,0.98294,0.45112
3,400,0.98288,0.40934
4,500,1.00768,0.41490
5,600,0.99532,0.42216
6,700,0.98734,0.41359
7,800,1.00943,0.42061
8,900,1.00437,0.43387
9,1000,0.99114,0.42694
10,1100,1.00859,0.41912
11,1200,1.00479,0.41948
12,1300,0.99104,0.41758
13,1400,0.96488,0.42692
14,1500,0.99879,0.40995
15,1600,1.01186,0.41513
16,1700,1.01777,0.43185
17,1800,1.00964,0.43062
18,1900,0.97725,0.43236
19,2000,0.99343,0.43528
20,2100,0.98450,0.45862
21,2200,1.00503,0.44115
22,2300,1.01858,0.44962
23,2400,0.97361,0.44059
24,2500,0.97882,0.43965
25,2600,1.01120,0.45431
26,2700,0.99745,0.45253
27,2800,1.01997,0.45481
28,2900,0.97520,0.46188
29,3000,1.01037,0.46549
30,3100,1.01261,0.46947
31,3200,0.99015,0.46564
32,3300,1.03056,0.46425
33,3400,0.97969,0.47592
34,3500,0.99338,0.46685
35,3600,1.00751,0.46919
36,3700,0.98787,0.46844
37,3800,0.98328,0.47680
38,3900,0.99052,0.46813
39,4000,1.00207,0.47413
40,4100,0.98381,0.49332
41,4200,1.00043,0.48357
42,4300,1.03088,0.49558
43,4400,0.97375,0.48435
44,4500,1.01515,0.49154
45,4600,0.99222,0.49802
46,4700,0.99313,0.49258
47,4800,1.01719,0.50197
48,4900,0.98096,0.49457
49,5000,1.00653,0.51999
50,5100,0.99484,0.48444
51,5200,1.00446,0.48896
52,5300,1.02144,0.49765
53,5400,1.02070,0.50875
54,5500,1.00846,0.50555
55,5600,1.01917,0.50923
56,5700,0.99958,0.50352
57,5800,0.99765,0.50997
58,5900,0.96923,0.49985
59,6000,1.02297,0.51439
60,6100,1.01267,0.49591
61,6200,0.98741,0.51476
62,6300,0.96298,0.51671
63,6400,0.99118,0.50800
64,6500,0.99972,0.51139
65,6600,0.93725,0.51056
66,6700,1.01395,0.51966
67,6800,0.96675,0.53635
68,6900,0.96240,0.52344
69,7000,1.01454,0.53663
70,7100,1.01038,0.52082
71,7200,0.98001,0.53331
72,7300,1.02862,0.53974
73,7400,0.99883,0.54099
74,7500,1.00684,0.54437
75,7600,0.98844,0.56000
76,7700,0.97947,0.54335
77,7800,0.99354,0.54247
78,7900,1.00247,0.53500
79,8000,0.97776,0.54039
80,8100,0.99648,0.54396
81,8200,0.99306,0.54964
82,8300,1.00573,0.54394
83,8400,0.97887,0.55601
84,8500,0.98288,0.54837
85,8600,0.96880,0.55380
86,8700,0.99134,0.55948
87,8800,0.97071,0.55399
88,8900,1.02981,0.56450
89,9000,0.96772,0.56961
90,9100,0.98967,0.56933
91,9200,1.01343,0.55820
92,9300,1.01431,0.57976
93,9400,1.00299,0.59874
94,9500,1.00557,0.57182
95,9600,0.99060,0.59077
96,9700,0.98746,0.55211
