number,rewards,variances,exploration_value
0,[-5.67987 -5.67987],[49.41283 49.41283],0.9988953697090716
100,[-11.20480 -11.20480],[21.02790 21.02790],0.9797606658876263
200,[-3.08492 -3.08492],[1.99944 1.99944],0.9609925038496699
300,[-7.42903 -7.42903],[74.85542 74.85542],0.9425838621706605
400,[-10.33683 -10.33683],[15.67081 15.67081],0.9245278539275122
500,[-9.09389 -9.09389],[5.58582 5.58582],0.9068177241220878
600,[-9.05128 -9.05128],[10.41483 10.41483],0.889446847154093
700,[-7.65501 -7.65501],[39.18285 39.18285],0.8724087243423219
800,[-8.87931 -8.87931],[6.04024 6.04024],0.8556969814934174
900,[-11.04555 -11.04555],[14.09446 14.09446],0.8393053665172148
1000,[-6.02736 -6.02736],[2.07425 2.07425],0.8232277470877281
1100,[-5.18814 -5.18814],[6.76844 6.76844],0.8074581083489812
1200,[-6.33061 -6.33061],[10.82341 10.82341],0.7919905506647517
1300,[-4.46517 -4.46517],[1.19598 1.19598],0.7768192874114557
1400,[-3.09753 -3.09753],[0.70558 0.70558],0.7619386428132808
1500,[-4.07997 -4.07997],[2.31513 2.31513],0.7473430498187978
1600,[-1.53385 -1.53385],[0.85281 0.85281],0.7330270480182665
1700,[-2.28172 -2.28172],[0.53662 0.53662],0.7189852816008054
1800,[-2.48363 -2.48363],[0.86533 0.86533],0.705212497350724
1900,[-1.08813 -1.08813],[0.14901 0.14901],0.6917035426822101
2000,[-2.81172 -2.81172],[1.83454 1.83454],0.6784533637116886
2100,[-1.19050 -1.19050],[0.17123 0.17123],0.6654570033670938
2200,[-2.01854 -2.01854],[0.13073 0.13073],0.6527095995333525
2300,[-1.17334 -1.17334],[0.20284 0.20284],0.6402063832334086
2400,[-1.81992 -1.81992],[0.59883 0.59883],0.6279426768440843
2500,[-1.03111 -1.03111],[1.46080 1.46080],0.6159138923461105
2600,[-1.00396 -1.00396],[0.31783 0.31783],0.6041155296076918
2700,[-1.93082 -1.93082],[0.47739 0.47739],0.5925431747009424
2800,[-0.81128 -0.81128],[0.33175 0.33175],0.5811924982505915
2900,[-0.74538 -0.74538],[0.05476 0.05476],0.5700592538142826
3000,[-0.96705 -0.96705],[0.26399 0.26399],0.5591392762939287
3100,[-0.83883 -0.83883],[0.19727 0.19727],0.5484284803774964
3200,[-1.28129 -1.28129],[1.30736 1.30736],0.5379228590106419
3300,[-1.35813 -1.35813],[0.56159 0.56159],0.5276184818975981
3400,[-0.84791 -0.84791],[0.12607 0.12607],0.5175114940308205
3500,[-1.82566 -1.82566],[1.52993 1.52993],0.5075981142487541
3600,[-1.51436 -1.51436],[1.16856 1.16856],0.4978746338212661
3700,[-1.77227 -1.77227],[3.29331 3.29331],0.48833741506215295
3800,[-0.89672 -0.89672],[0.71000 0.71000],0.47898288996823385
3900,[-0.68180 -0.68180],[0.20587 0.20587],0.46980755888450715
