iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
0,100,1.03802,0.02307,7.97597,0.50289
1,200,0.99145,0.01047,2.82379,0.38722
2,300,0.95974,0.00745,2.55398,0.37010
3,400,1.00124,0.00611,2.41698,0.36485
4,500,0.97951,0.00531,1.96523,0.35938
5,600,0.98757,0.00478,1.72186,0.35325
6,700,0.98449,0.00439,1.70472,0.34909
7,800,0.99144,0.00408,1.67983,0.34475
8,900,1.00012,0.00381,1.73830,0.34511
9,1000,0.98955,0.00360,1.76943,0.34279
10,1100,0.98990,0.00342,1.71647,0.33945
11,1200,1.00180,0.00326,1.69394,0.33980
12,1300,0.99163,0.00312,1.66927,0.33505
13,1400,1.00189,0.00300,1.67328,0.33343
14,1500,0.96722,0.00289,1.68414,0.33638
15,1600,0.99043,0.00279,1.68727,0.33353
16,1700,0.99025,0.00271,1.67546,0.33333
17,1800,0.98413,0.00262,1.67060,0.33339
18,1900,0.99369,0.00255,1.70127,0.33328
19,2000,1.01762,0.00248,1.66450,0.33158
20,2100,0.99939,0.00242,1.63973,0.33235
21,2200,0.98663,0.00236,1.66141,0.32945
22,2300,0.98124,0.00231,1.63678,0.32943
23,2400,0.97543,0.00225,1.68524,0.33264
24,2500,0.96280,0.00221,1.70674,0.32812
25,2600,0.99362,0.00216,1.64718,0.32910
26,2700,0.97827,0.00212,1.70827,0.32732
27,2800,1.00027,0.00208,1.67899,0.32540
28,2900,0.98034,0.00204,1.68989,0.32652
29,3000,0.96710,0.00201,1.69781,0.32721
30,3100,1.00672,0.00197,1.67540,0.32547
31,3200,0.96114,0.00194,1.67690,0.32605
32,3300,0.96427,0.00191,1.76658,0.32427
33,3400,0.98985,0.00188,1.73621,0.32580
34,3500,0.99302,0.00186,1.68473,0.32239
35,3600,0.97758,0.00183,1.70336,0.32169
36,3700,1.02587,0.00180,1.74313,0.32254
37,3800,1.00986,0.00178,1.72006,0.32031
38,3900,0.98816,0.00175,1.69540,0.32212
39,4000,0.98632,0.00173,1.68060,0.32056
40,4100,0.98302,0.00171,1.67745,0.31761
41,4200,0.98438,0.00169,1.74896,0.31953
42,4300,1.00131,0.00167,1.70676,0.31758
43,4400,0.99748,0.00165,1.67780,0.31404
44,4500,0.99703,0.00163,1.71205,0.31691
45,4600,0.97015,0.00161,1.67129,0.31286
46,4700,0.95877,0.00160,1.73462,0.31491
47,4800,0.97754,0.00158,1.68032,0.31206
48,4900,0.96428,0.00156,1.67019,0.30912
49,5000,1.01310,0.00155,1.67320,0.31121
50,5100,0.98349,0.00153,1.63961,0.30838
51,5200,1.02350,0.00151,1.60553,0.30422
52,5300,0.97568,0.00150,1.63712,0.30376
53,5400,0.98010,0.00149,1.70128,0.30512
54,5500,1.00768,0.00147,1.68770,0.30225
55,5600,0.97245,0.00146,1.63477,0.30331
56,5700,0.99267,0.00145,1.67196,0.30038
57,5800,0.97789,0.00143,1.68081,0.29857
58,5900,1.00646,0.00142,1.59629,0.29722
59,6000,0.94880,0.00141,1.64441,0.29710
60,6100,0.98966,0.00140,1.73213,0.29531
61,6200,1.00380,0.00139,1.68035,0.29154
62,6300,0.97102,0.00137,1.59854,0.29158
63,6400,0.99607,0.00136,1.66880,0.29032
64,6500,0.98137,0.00135,1.56031,0.28533
65,6600,0.99949,0.00134,1.64945,0.28788
66,6700,0.96456,0.00133,1.61011,0.28596
67,6800,0.99613,0.00132,1.64310,0.28346
68,6900,0.99251,0.00131,1.58381,0.28188
69,7000,1.01332,0.00130,1.61753,0.27997
70,7100,1.00784,0.00129,1.62064,0.28245
71,7200,1.00022,0.00128,1.60593,0.27801
72,7300,0.99619,0.00128,1.64943,0.27871
73,7400,0.94726,0.00127,1.68949,0.27526
74,7500,0.95796,0.00126,1.60547,0.27437
75,7600,0.99280,0.00125,1.61191,0.27410
76,7700,0.96805,0.00124,1.59467,0.27090
77,7800,1.01881,0.00123,1.60352,0.27041
78,7900,1.00609,0.00122,1.62259,0.26889
79,8000,0.96415,0.00122,1.59218,0.26836
80,8100,0.95869,0.00121,1.53092,0.26890
81,8200,0.98213,0.00120,1.67832,0.26801
82,8300,0.98212,0.00119,1.59837,0.26453
83,8400,0.98321,0.00119,1.57818,0.26366
84,8500,0.95781,0.00118,1.55350,0.26227
85,8600,0.99084,0.00117,1.60159,0.25937
86,8700,1.00399,0.00117,1.56187,0.26117
87,8800,0.99633,0.00116,1.52818,0.25912
88,8900,1.00259,0.00115,1.54245,0.25922
