iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
0,100,5.97026,0.42259,4.94802,0.37949
1,200,2.04721,0.31261,2.18002,0.30248
2,300,2.05821,0.29909,2.06568,0.29426
3,400,2.22180,0.29499,1.95014,0.29005
4,500,2.10029,0.29153,1.55579,0.28874
5,600,2.14944,0.28861,1.47165,0.28823
6,700,2.13913,0.28732,1.44139,0.28541
7,800,2.14085,0.28387,1.45543,0.28263
8,900,2.20333,0.28331,1.50366,0.28265
9,1000,2.22913,0.28084,1.50360,0.27799
10,1100,2.19930,0.27860,1.47357,0.27739
11,1200,2.20165,0.27768,1.46374,0.27876
12,1300,2.20004,0.27671,1.42394,0.27299
13,1400,2.24804,0.27670,1.45898,0.27462
14,1500,2.17952,0.27302,1.45132,0.27498
15,1600,2.27859,0.27439,1.42993,0.27259
16,1700,2.27430,0.27309,1.43118,0.27246
17,1800,2.27316,0.27279,1.43803,0.27281
18,1900,2.33299,0.27105,1.45520,0.27264
19,2000,2.34941,0.27206,1.43619,0.27013
20,2100,2.30883,0.27150,1.44430,0.27074
21,2200,2.28654,0.26965,1.41678,0.26875
22,2300,2.30270,0.26951,1.41623,0.26914
23,2400,2.31340,0.26971,1.43388,0.26919
24,2500,2.26352,0.26762,1.43457,0.26623
25,2600,2.30444,0.26752,1.40002,0.26674
26,2700,2.29729,0.26575,1.41555,0.26375
27,2800,2.35119,0.26784,1.42052,0.26448
28,2900,2.28087,0.26468,1.46878,0.26536
29,3000,2.31942,0.26607,1.43050,0.26616
30,3100,2.37719,0.26598,1.43846,0.26480
31,3200,2.31183,0.26576,1.41618,0.26419
32,3300,2.26301,0.26237,1.45994,0.26271
33,3400,2.30700,0.26167,1.46461,0.26198
34,3500,2.29647,0.26057,1.40741,0.25949
35,3600,2.31782,0.26181,1.41434,0.25917
36,3700,2.30949,0.25776,1.43877,0.25903
37,3800,2.30461,0.25958,1.40608,0.25753
38,3900,2.27817,0.25855,1.39638,0.25620
39,4000,2.25809,0.25463,1.40005,0.25525
40,4100,2.22741,0.25425,1.36163,0.25286
41,4200,2.22145,0.25080,1.38720,0.25333
42,4300,2.19060,0.24956,1.38256,0.25147
43,4400,2.19750,0.24899,1.38237,0.24929
44,4500,2.20581,0.25017,1.38805,0.24968
45,4600,2.13638,0.24622,1.37538,0.24856
46,4700,2.13689,0.24785,1.41949,0.24803
47,4800,2.16557,0.24709,1.38365,0.24649
48,4900,2.09138,0.24326,1.37025,0.24355
49,5000,2.18718,0.24418,1.33991,0.24156
50,5100,2.13121,0.24311,1.36640,0.24209
51,5200,2.19188,0.24049,1.36813,0.24100
52,5300,2.09158,0.24013,1.33652,0.23884
53,5400,2.11144,0.23949,1.36811,0.23971
54,5500,2.12600,0.23670,1.32733,0.23527
55,5600,2.07079,0.23572,1.36023,0.23587
56,5700,2.05480,0.23407,1.36819,0.23454
57,5800,2.03707,0.23228,1.40594,0.23306
58,5900,2.06232,0.23239,1.36045,0.23236
59,6000,2.01762,0.23296,1.37269,0.23146
60,6100,2.05370,0.23052,1.37483,0.23019
61,6200,2.03679,0.23057,1.37812,0.22734
62,6300,1.98695,0.22731,1.30125,0.22677
63,6400,2.01865,0.22645,1.38890,0.22767
64,6500,1.97772,0.22570,1.30118,0.22329
65,6600,2.01785,0.22589,1.34820,0.22428
66,6700,1.96598,0.22454,1.32478,0.22164
67,6800,1.94522,0.22062,1.37444,0.22241
68,6900,1.92656,0.21987,1.31635,0.21929
69,7000,1.96250,0.21903,1.29570,0.21742
70,7100,1.93195,0.21769,1.31877,0.21883
71,7200,1.90965,0.21749,1.32689,0.21631
72,7300,1.93107,0.21526,1.37570,0.21744
73,7400,1.86913,0.21659,1.33636,0.21550
74,7500,1.85361,0.21535,1.30963,0.21605
75,7600,1.88900,0.21328,1.33180,0.21369
76,7700,1.83563,0.21187,1.34346,0.21176
77,7800,1.88930,0.21354,1.29712,0.21081
78,7900,1.88635,0.21006,1.29816,0.21052
79,8000,1.82479,0.20860,1.27394,0.20931
