number,rewards,variances,exploration_value
0,[-2.64238 -2.64238],[5.91048 5.91048],0.9988953697090716
100,[-9.05212 -9.05212],[104.46708 104.46708],0.9797606658876263
200,[-6.43650 -6.43650],[1.35735 1.35735],0.9609925038496699
300,[-4.76202 -4.76202],[14.33885 14.33885],0.9425838621706605
400,[-7.15288 -7.15288],[21.93446 21.93446],0.9245278539275122
500,[-8.38388 -8.38388],[7.62240 7.62240],0.9068177241220878
600,[-3.57306 -3.57306],[4.72113 4.72113],0.889446847154093
700,[-2.46672 -2.46672],[1.98752 1.98752],0.8724087243423219
800,[-5.05785 -5.05785],[2.50919 2.50919],0.8556969814934174
900,[-2.99125 -2.99125],[4.32175 4.32175],0.8393053665172148
1000,[-1.24856 -1.24856],[0.65881 0.65881],0.8232277470877281
1100,[-1.33643 -1.33643],[0.33018 0.33018],0.8074581083489812
1200,[-1.44730 -1.44730],[0.40361 0.40361],0.7919905506647517
1300,[-1.34464 -1.34464],[0.41004 0.41004],0.7768192874114557
1400,[-1.37641 -1.37641],[0.46741 0.46741],0.7619386428132808
1500,[-1.22672 -1.22672],[0.68629 0.68629],0.7473430498187978
1600,[-1.94648 -1.94648],[1.43965 1.43965],0.7330270480182665
1700,[-0.67372 -0.67372],[0.39381 0.39381],0.7189852816008054
1800,[-1.79302 -1.79302],[1.30419 1.30419],0.705212497350724
1900,[-0.84497 -0.84497],[0.12296 0.12296],0.6917035426822101
2000,[-1.32183 -1.32183],[0.52535 0.52535],0.6784533637116886
2100,[-1.36648 -1.36648],[1.91932 1.91932],0.6654570033670938
2200,[-1.41087 -1.41087],[1.62069 1.62069],0.6527095995333525
2300,[-1.29296 -1.29296],[0.20845 0.20845],0.6402063832334086
2400,[-0.82509 -0.82509],[0.33365 0.33365],0.6279426768440843
2500,[-1.17506 -1.17506],[0.12891 0.12891],0.6159138923461105
2600,[-1.33286 -1.33286],[0.94744 0.94744],0.6041155296076918
2700,[-1.24180 -1.24180],[0.33874 0.33874],0.5925431747009424
2800,[-1.47500 -1.47500],[0.26297 0.26297],0.5811924982505915
2900,[-1.30119 -1.30119],[0.06533 0.06533],0.5700592538142826
3000,[-1.25614 -1.25614],[0.43309 0.43309],0.5591392762939287
3100,[-1.96631 -1.96631],[0.65441 0.65441],0.5484284803774964
3200,[-1.72225 -1.72225],[1.11430 1.11430],0.5379228590106419
3300,[-1.71872 -1.71872],[0.61671 0.61671],0.5276184818975981
3400,[-1.42455 -1.42455],[0.52121 0.52121],0.5175114940308205
3500,[-0.47095 -0.47095],[0.03203 0.03203],0.5075981142487541
3600,[-0.74339 -0.74339],[0.17952 0.17952],0.4978746338212661
3700,[-1.23672 -1.23672],[0.41143 0.41143],0.48833741506215295
3800,[-0.73972 -0.73972],[0.09972 0.09972],0.47898288996823385
3900,[-1.06084 -1.06084],[0.37334 0.37334],0.46980755888450715
4000,[-1.56317 -1.56317],[1.39195 1.39195],0.4608079891948918
4100,[-1.48158 -1.48158],[0.66808 0.66808],0.45198081403803075
4200,[-0.87342 -0.87342],[0.25481 0.25481],0.4433227310477052
4300,[-1.07665 -1.07665],[1.22896 1.22896],0.43483050111737453
4400,[-1.44469 -1.44469],[0.25728 0.25728],0.42650094718838294
4500,[-1.71165 -1.71165],[1.04646 1.04646],0.4183309530613763
4600,[-1.03846 -1.03846],[0.41685 0.41685],0.41031746223049576
4700,[-0.71328 -0.71328],[0.08483 0.08483],0.4024574767398885
4800,[-1.70523 -1.70523],[0.68681 0.68681],0.39474805606213775
4900,[-0.89474 -0.89474],[0.34909 0.34909],0.3871863159981707
5000,[-1.39016 -1.39016],[0.21735 0.21735],0.37976942759823823
5100,[-1.44029 -1.44029],[1.66126 1.66126],0.37249461610356654
5200,[-0.26360 -0.26360],[0.04543 0.04543],0.36535915990828843
