number,rewards,variances,exploration_value
0,[-2.64238 -2.64238],[5.91048 5.91048],0.9988953697090716
100,[-12.22111 -12.22111],[73.79592 73.79592],0.9797606658876263
200,[-10.62715 -10.62715],[169.16511 169.16511],0.9609925038496699
300,[-4.83798 -4.83798],[28.35130 28.35130],0.9425838621706605
400,[-12.27443 -12.27443],[47.85009 47.85009],0.9245278539275122
500,[-11.26744 -11.26744],[21.52256 21.52256],0.9068177241220878
600,[-14.52891 -14.52891],[57.51051 57.51051],0.889446847154093
700,[-12.28209 -12.28209],[23.57160 23.57160],0.8724087243423219
800,[-15.59110 -15.59110],[76.53111 76.53111],0.8556969814934174
900,[-16.59204 -16.59204],[106.02328 106.02328],0.8393053665172148
1000,[-7.01416 -7.01416],[14.65817 14.65817],0.8232277470877281
1100,[-5.27082 -5.27082],[2.77614 2.77614],0.8074581083489812
1200,[-4.81356 -4.81356],[3.26083 3.26083],0.7919905506647517
1300,[-4.60528 -4.60528],[3.77438 3.77438],0.7768192874114557
1400,[-4.42931 -4.42931],[1.13217 1.13217],0.7619386428132808
1500,[-3.43493 -3.43493],[0.72009 0.72009],0.7473430498187978
1600,[-3.08772 -3.08772],[2.34144 2.34144],0.7330270480182665
1700,[-1.47107 -1.47107],[0.40164 0.40164],0.7189852816008054
1800,[-1.66771 -1.66771],[0.24662 0.24662],0.705212497350724
1900,[-1.26265 -1.26265],[0.32288 0.32288],0.6917035426822101
2000,[-2.12113 -2.12113],[2.25344 2.25344],0.6784533637116886
2100,[-1.27177 -1.27177],[0.98876 0.98876],0.6654570033670938
2200,[-2.30454 -2.30454],[3.32623 3.32623],0.6527095995333525
2300,[-1.56215 -1.56215],[0.11098 0.11098],0.6402063832334086
2400,[-1.13678 -1.13678],[0.55881 0.55881],0.6279426768440843
2500,[-1.48364 -1.48364],[0.09600 0.09600],0.6159138923461105
2600,[-1.56610 -1.56610],[1.08273 1.08273],0.6041155296076918
2700,[-1.20378 -1.20378],[0.28303 0.28303],0.5925431747009424
2800,[-1.54767 -1.54767],[0.45816 0.45816],0.5811924982505915
2900,[-1.60275 -1.60275],[0.83172 0.83172],0.5700592538142826
3000,[-1.08693 -1.08693],[0.74281 0.74281],0.5591392762939287
3100,[-1.83211 -1.83211],[0.63463 0.63463],0.5484284803774964
3200,[-2.30802 -2.30802],[1.52073 1.52073],0.5379228590106419
3300,[-1.52068 -1.52068],[0.35788 0.35788],0.5276184818975981
3400,[-1.52770 -1.52770],[0.51279 0.51279],0.5175114940308205
3500,[-0.44294 -0.44294],[0.02042 0.02042],0.5075981142487541
3600,[-0.84939 -0.84939],[0.24043 0.24043],0.4978746338212661
3700,[-1.43072 -1.43072],[0.37900 0.37900],0.48833741506215295
3800,[-0.84850 -0.84850],[0.13293 0.13293],0.47898288996823385
3900,[-1.33117 -1.33117],[0.95184 0.95184],0.46980755888450715
4000,[-1.84402 -1.84402],[2.20641 2.20641],0.4608079891948918
4100,[-1.33924 -1.33924],[0.57804 0.57804],0.45198081403803075
4200,[-0.98722 -0.98722],[0.32617 0.32617],0.4433227310477052
4300,[-1.12075 -1.12075],[0.95563 0.95563],0.43483050111737453
4400,[-1.47161 -1.47161],[0.09678 0.09678],0.42650094718838294
4500,[-1.92328 -1.92328],[1.15205 1.15205],0.4183309530613763
4600,[-0.97878 -0.97878],[0.18701 0.18701],0.41031746223049576
