iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
0,100,16.83286,0.87469,24.13397,1.01977
1,200,4.80023,0.86743,8.26567,1.04930
2,300,1.05873,0.85789,2.48785,1.04324
3,400,1.01411,0.84818,1.40722,1.01915
4,500,0.99148,0.83880,0.93578,1.01211
5,600,1.00100,0.82961,0.70681,0.99711
6,700,0.99779,0.81965,0.61847,0.98711
7,800,1.01194,0.81021,0.56551,0.97905
8,900,0.99807,0.80149,0.56564,0.96039
9,1000,1.00032,0.79273,0.55534,0.95536
10,1100,1.00995,0.78387,0.56464,0.94774
11,1200,1.01699,0.77556,0.59559,0.93504
12,1300,1.00656,0.76698,0.59500,0.92295
13,1400,1.01502,0.75843,0.62778,0.91075
14,1500,0.97044,0.74891,0.63031,0.89346
15,1600,1.00290,0.74098,0.63818,0.88237
16,1700,0.99880,0.73194,0.62887,0.86904
17,1800,0.98369,0.72437,0.68824,0.84871
18,1900,1.01327,0.71631,0.68849,0.83497
19,2000,1.03392,0.70769,0.70132,0.82426
20,2100,1.01478,0.69996,0.68412,0.80810
21,2200,0.99122,0.69163,0.70083,0.79692
22,2300,0.98276,0.68351,0.74472,0.78754
23,2400,1.00424,0.67547,0.71593,0.77131
24,2500,0.97788,0.66752,0.81422,0.75974
25,2600,1.02087,0.65965,0.79388,0.74877
26,2700,0.99341,0.65208,0.75964,0.73890
27,2800,1.01512,0.64403,0.80632,0.72828
28,2900,1.00274,0.63585,0.87446,0.71529
29,3000,0.97574,0.62854,0.86424,0.70553
30,3100,1.02046,0.62074,0.84696,0.69769
31,3200,0.98557,0.61281,0.79176,0.68414
32,3300,0.97972,0.60514,0.84163,0.67783
33,3400,1.00231,0.59720,0.85006,0.66737
34,3500,1.00578,0.58964,0.95786,0.65510
35,3600,0.98991,0.58218,0.87868,0.64729
36,3700,1.02450,0.57486,0.87627,0.63642
37,3800,1.00715,0.56704,0.89406,0.63169
38,3900,0.99835,0.56003,0.92295,0.62104
39,4000,1.01230,0.55310,0.89702,0.61200
40,4100,0.99864,0.54545,0.93661,0.60294
41,4200,1.00173,0.53804,0.94008,0.59391
42,4300,1.00808,0.53088,0.92104,0.58665
43,4400,1.01257,0.52391,0.83754,0.57887
44,4500,1.02281,0.51660,1.00240,0.57042
45,4600,0.98096,0.50977,0.91839,0.56416
46,4700,0.97574,0.50257,0.97787,0.55384
47,4800,1.00450,0.49585,0.96694,0.54602
48,4900,1.00591,0.48870,0.89624,0.54037
49,5000,1.04281,0.48174,0.88152,0.53256
50,5100,1.00347,0.47447,0.83743,0.52500
51,5200,1.04681,0.46722,0.86650,0.51916
52,5300,0.97979,0.46000,0.91780,0.51127
53,5400,0.99602,0.45289,0.85036,0.50428
54,5500,1.04213,0.44567,0.96790,0.49894
55,5600,0.98739,0.43886,1.01037,0.49023
56,5700,1.00082,0.43208,1.07379,0.48561
57,5800,1.01064,0.42529,0.89976,0.47922
58,5900,1.01636,0.41840,0.85228,0.47133
59,6000,0.97517,0.41161,0.96282,0.46575
60,6100,1.00537,0.40535,0.85878,0.45907
61,6200,1.02458,0.39884,0.91875,0.45391
62,6300,1.00280,0.39202,0.84139,0.44751
63,6400,1.02981,0.38564,0.88593,0.43997
64,6500,0.99569,0.37934,0.83957,0.43579
65,6600,1.01527,0.37261,0.87376,0.42892
66,6700,0.98246,0.36665,0.94603,0.42553
67,6800,1.03601,0.36028,0.95136,0.41859
68,6900,1.02093,0.35394,0.83388,0.41323
69,7000,1.01223,0.34783,0.82099,0.40693
70,7100,1.02686,0.34145,0.80513,0.40145
71,7200,1.00809,0.33527,0.90067,0.39776
72,7300,1.01718,0.32913,0.99114,0.39215
73,7400,0.95912,0.32325,0.80011,0.38712
74,7500,0.98280,0.31703,0.88974,0.38097
75,7600,1.02705,0.31109,0.93570,0.37655
76,7700,0.99947,0.30556,0.93879,0.37122
77,7800,1.04573,0.29946,0.87263,0.36820
78,7900,1.03369,0.29393,0.86384,0.36130
79,8000,0.99537,0.28805,0.82153,0.35616
80,8100,0.98096,0.28241,0.82490,0.35198
81,8200,0.98594,0.27704,0.89128,0.34865
82,8300,1.00911,0.27159,0.77962,0.34327
83,8400,1.01744,0.26615,0.79514,0.33922
84,8500,0.97678,0.26088,0.82294,0.33468
85,8600,1.01406,0.25548,0.80875,0.33054
86,8700,1.03022,0.25031,0.77676,0.32537
87,8800,1.02261,0.24522,0.78351,0.32076
