iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,3.65174,0.38951,1.09888,5.87241,0.48164,1.61061
1,200,1.20037,0.38130,1.09848,2.03800,0.47757,1.61106
2,300,0.99037,0.37332,1.09839,1.22461,0.46413,1.61069
3,400,0.97039,0.36524,1.09838,0.88728,0.45274,1.61061
4,500,1.01773,0.35773,1.09858,0.60366,0.44422,1.61062
5,600,1.02554,0.35009,1.09852,0.49233,0.43312,1.61051
6,700,1.02934,0.34312,1.09854,0.46893,0.42427,1.61098
7,800,0.99813,0.33588,1.09864,0.47090,0.41546,1.61099
8,900,0.99905,0.32866,1.09858,0.49440,0.40658,1.61090
9,1000,1.01326,0.32181,1.09873,0.48699,0.39559,1.61078
10,1100,1.01114,0.31482,1.09856,0.49291,0.38666,1.61124
11,1200,1.01796,0.30801,1.09848,0.49573,0.37473,1.61077
12,1300,1.03132,0.30147,1.09843,0.50751,0.36647,1.61105
13,1400,0.98070,0.29524,1.09855,0.50998,0.35760,1.61110
14,1500,1.00139,0.28839,1.09838,0.52430,0.35004,1.61113
15,1600,1.03251,0.28233,1.09825,0.53295,0.34091,1.61104
16,1700,0.99701,0.27572,1.09823,0.53497,0.33198,1.61070
17,1800,0.99908,0.26953,1.09823,0.53773,0.32360,1.61083
18,1900,0.97760,0.26352,1.09803,0.51965,0.31628,1.61082
19,2000,1.01452,0.25784,1.09816,0.52243,0.30844,1.61070
20,2100,1.02875,0.25207,1.09806,0.52670,0.30158,1.61054
21,2200,1.01656,0.24602,1.09791,0.53049,0.29438,1.61040
22,2300,1.01868,0.24048,1.09775,0.53097,0.28648,1.61047
23,2400,0.97816,0.23502,1.09771,0.52027,0.28001,1.61046
24,2500,1.04302,0.22945,1.09762,0.52470,0.27251,1.61017
25,2600,0.99234,0.22422,1.09758,0.53770,0.26607,1.60999
26,2700,1.01059,0.21897,1.09750,0.57235,0.26021,1.61020
27,2800,1.01234,0.21330,1.09740,0.56814,0.25408,1.60983
28,2900,1.00595,0.20863,1.09743,0.55642,0.24838,1.61007
29,3000,0.99603,0.20343,1.09712,0.55222,0.24206,1.60987
30,3100,0.97612,0.19882,1.09707,0.53791,0.23617,1.60944
31,3200,1.02599,0.19406,1.09714,0.58298,0.23029,1.60942
32,3300,0.99368,0.18888,1.09678,0.57075,0.22506,1.60916
33,3400,1.01120,0.18428,1.09651,0.57543,0.21930,1.60906
34,3500,1.00460,0.17972,1.09653,0.57456,0.21399,1.60899
35,3600,1.01034,0.17519,1.09663,0.57309,0.20915,1.60879
36,3700,1.02093,0.17068,1.09601,0.58571,0.20404,1.60877
37,3800,0.97432,0.16622,1.09630,0.56292,0.19901,1.60870
38,3900,0.99148,0.16173,1.09567,0.59423,0.19404,1.60843
39,4000,0.98762,0.15750,1.09564,0.62487,0.18967,1.60849
40,4100,1.01187,0.15348,1.09569,0.59448,0.18505,1.60846
41,4200,1.00361,0.14894,1.09497,0.58290,0.18022,1.60809
42,4300,1.01201,0.14485,1.09511,0.54972,0.17629,1.60823
43,4400,1.04279,0.14120,1.09506,0.59112,0.17165,1.60796
44,4500,1.02166,0.13686,1.09426,0.56888,0.16759,1.60799
45,4600,1.00183,0.13302,1.09438,0.59005,0.16338,1.60778
46,4700,0.99255,0.12899,1.09384,0.61410,0.15945,1.60766
47,4800,0.99666,0.12522,1.09350,0.62927,0.15546,1.60750
48,4900,1.00812,0.12161,1.09338,0.59177,0.15098,1.60740
49,5000,1.01139,0.11794,1.09292,0.61243,0.14734,1.60721
50,5100,1.01320,0.11413,1.09235,0.59775,0.14445,1.60733
51,5200,0.99442,0.11103,1.09295,0.59913,0.14057,1.60759
52,5300,1.02666,0.10735,1.09228,0.60103,0.13646,1.60698
53,5400,0.96944,0.10373,1.09135,0.58772,0.13344,1.60703
54,5500,0.99920,0.10052,1.09180,0.59806,0.12966,1.60700
55,5600,1.00229,0.09722,1.09137,0.59415,0.12644,1.60654
56,5700,1.00986,0.09393,1.09058,0.62612,0.12345,1.60670
57,5800,0.97294,0.09076,1.09007,0.63159,0.12009,1.60637
58,5900,0.99161,0.08769,1.08959,0.63445,0.11733,1.60659
59,6000,1.00448,0.08479,1.08893,0.62386,0.11393,1.60627
60,6100,0.99608,0.08189,1.08836,0.61457,0.11131,1.60622
61,6200,1.00082,0.07903,1.08815,0.61210,0.10854,1.60621
62,6300,1.01843,0.07625,1.08746,0.62023,0.10580,1.60622
63,6400,0.99201,0.07358,1.08730,0.63500,0.10303,1.60558
64,6500,1.03259,0.07091,1.08666,0.60690,0.10000,1.60609
65,6600,1.00134,0.06841,1.08632,0.60707,0.09777,1.60557
66,6700,1.03608,0.06581,1.08566,0.62418,0.09491,1.60537
67,6800,0.98757,0.06343,1.08520,0.57996,0.09268,1.60544
68,6900,0.98813,0.06097,1.08480,0.61466,0.09026,1.60500
69,7000,0.99534,0.05880,1.08424,0.58090,0.08819,1.60528
70,7100,1.01472,0.05639,1.08282,0.57919,0.08603,1.60530
71,7200,0.95972,0.05419,1.08264,0.60044,0.08379,1.60516
72,7300,0.98148,0.05205,1.08209,0.59203,0.08153,1.60507
73,7400,1.03303,0.05023,1.08209,0.62475,0.07957,1.60500
74,7500,1.01754,0.04827,1.08193,0.61216,0.07750,1.60467
75,7600,1.03726,0.04618,1.08072,0.57989,0.07598,1.60469
76,7700,0.98950,0.04416,1.07968,0.60073,0.07427,1.60480
77,7800,0.98508,0.04252,1.07944,0.56248,0.07272,1.60442
78,7900,0.98724,0.04077,1.07802,0.61905,0.07110,1.60453
79,8000,0.98072,0.03915,1.07806,0.58961,0.06959,1.60443
80,8100,0.97907,0.03747,1.07777,0.60345,0.06855,1.60418
81,8200,0.98807,0.03605,1.07784,0.62250,0.06722,1.60432
82,8300,1.01825,0.03437,1.07690,0.59563,0.06600,1.60430
83,8400,1.05687,0.03311,1.07680,0.57552,0.06446,1.60402
84,8500,1.01730,0.03155,1.07469,0.59169,0.06341,1.60404
85,8600,1.00200,0.03028,1.07404,0.61444,0.06232,1.60398
86,8700,1.01901,0.02907,1.07351,0.59740,0.06126,1.60412
87,8800,1.00262,0.02794,1.07199,0.56961,0.06048,1.60361
88,8900,0.99500,0.02698,1.07265,0.58408,0.05915,1.60396
89,9000,1.01630,0.02595,1.07193,0.57496,0.05859,1.60376
90,9100,1.04779,0.02501,1.07068,0.62545,0.05778,1.60342
91,9200,1.04157,0.02430,1.07000,0.59792,0.05662,1.60341
92,9300,0.97132,0.02342,1.06885,0.58231,0.05610,1.60350
93,9400,0.96222,0.02269,1.06972,0.60953,0.05515,1.60320
94,9500,1.04184,0.02188,1.06731,0.56353,0.05419,1.60311
95,9600,1.01393,0.02122,1.06724,0.58442,0.05348,1.60319
96,9700,0.98595,0.02060,1.06604,0.59149,0.05275,1.60343
97,9800,1.00188,0.02001,1.06612,0.62377,0.05211,1.60314
98,9900,0.96237,0.01942,1.06437,0.58104,0.05114,1.60301
99,10000,0.99522,0.01882,1.06409,0.57835,0.05060,1.60296
100,10100,0.95617,0.01846,1.06474,0.57688,0.05012,1.60281
101,10200,1.01566,0.01790,1.06191,0.60297,0.04922,1.60287
102,10300,0.98022,0.01739,1.06195,0.59472,0.04882,1.60259
103,10400,0.97464,0.01696,1.06054,0.60709,0.04830,1.60295
104,10500,0.97674,0.01658,1.06044,0.58390,0.04760,1.60262
105,10600,0.98400,0.01615,1.05910,0.59084,0.04725,1.60254
106,10700,1.00279,0.01580,1.05875,0.61431,0.04642,1.60232
107,10800,0.99403,0.01541,1.05686,0.59038,0.04590,1.60219
108,10900,1.00420,0.01518,1.05714,0.59011,0.04515,1.60229
109,11000,1.02583,0.01483,1.05594,0.58480,0.04490,1.60206
110,11100,0.99776,0.01450,1.05449,0.59542,0.04425,1.60204
111,11200,0.96629,0.01427,1.05534,0.60839,0.04395,1.60230
112,11300,1.01224,0.01390,1.05216,0.59108,0.04344,1.60201
113,11400,0.95541,0.01367,1.05201,0.58059,0.04287,1.60178
114,11500,1.04071,0.01339,1.05088,0.59315,0.04254,1.60161
115,11600,0.97574,0.01317,1.04955,0.59817,0.04219,1.60157
116,11700,0.99573,0.01301,1.05017,0.58041,0.04177,1.60173
117,11800,0.94917,0.01275,1.04895,0.59686,0.04110,1.60172
118,11900,1.00182,0.01262,1.04964,0.57024,0.04074,1.60125
119,12000,0.97503,0.01231,1.04586,0.61485,0.04045,1.60119
120,12100,0.97594,0.01207,1.04490,0.59289,0.04002,1.60119
121,12200,0.97081,0.01200,1.04440,0.59752,0.03967,1.60140
122,12300,0.97164,0.01174,1.04236,0.59047,0.03923,1.60095
123,12400,0.93211,0.01165,1.04214,0.56342,0.03880,1.60069
124,12500,1.00058,0.01150,1.04280,0.58492,0.03828,1.60091
125,12600,0.98259,0.01132,1.04059,0.59034,0.03792,1.60060
126,12700,0.95837,0.01127,1.04057,0.60461,0.03796,1.60072
127,12800,1.00688,0.01117,1.03950,0.61100,0.03749,1.60075
128,12900,1.03314,0.01092,1.03744,0.61785,0.03704,1.60040
129,13000,0.93930,0.01076,1.03627,0.57455,0.03654,1.60031
130,13100,1.01722,0.01076,1.03654,0.60116,0.03632,1.60016
131,13200,1.00018,0.01064,1.03489,0.59798,0.03589,1.60029
132,13300,0.98198,0.01048,1.03194,0.58171,0.03563,1.59998
133,13400,0.98514,0.01039,1.03249,0.59718,0.03531,1.59994
134,13500,0.99180,0.01038,1.03186,0.59633,0.03514,1.59988
135,13600,0.98782,0.01027,1.03249,0.61342,0.03443,1.59972
136,13700,0.97618,0.01017,1.03002,0.63635,0.03449,1.59959
137,13800,1.01676,0.01005,1.02792,0.58420,0.03404,1.59954
138,13900,1.00669,0.01005,1.02891,0.62456,0.03369,1.59927
139,14000,1.00121,0.00990,1.02557,0.59069,0.03351,1.59903
140,14100,1.01799,0.00985,1.02609,0.61533,0.03338,1.59927
141,14200,0.97474,0.00982,1.02481,0.60236,0.03301,1.59903
142,14300,1.00238,0.00974,1.02338,0.61064,0.03290,1.59883
143,14400,0.97978,0.00964,1.01924,0.62013,0.03245,1.59850
144,14500,0.97556,0.00960,1.02088,0.61725,0.03228,1.59850
145,14600,0.96647,0.00955,1.01896,0.64001,0.03202,1.59832
146,14700,0.98362,0.00952,1.01786,0.61283,0.03179,1.59815
147,14800,0.95067,0.00947,1.01799,0.61592,0.03146,1.59787
148,14900,0.97489,0.00941,1.01544,0.61779,0.03135,1.59775
149,15000,0.97004,0.00935,1.01407,0.59125,0.03096,1.59755
150,15100,1.02029,0.00935,1.01365,0.61168,0.03080,1.59751
151,15200,0.95662,0.00923,1.01006,0.61759,0.03046,1.59741
152,15300,0.99959,0.00926,1.01088,0.64052,0.03031,1.59724
153,15400,0.99829,0.00930,1.01227,0.61410,0.03006,1.59720
154,15500,0.97899,0.00924,1.00999,0.61660,0.02968,1.59686
155,15600,1.00584,0.00919,1.00794,0.62461,0.02956,1.59702
156,15700,0.95889,0.00913,1.00660,0.61741,0.02942,1.59655
157,15800,0.96132,0.00912,1.00611,0.62223,0.02927,1.59632
158,15900,0.97487,0.00917,1.00482,0.63718,0.02898,1.59626
159,16000,0.98589,0.00898,1.00127,0.63576,0.02874,1.59624
160,16100,0.98878,0.00900,1.00210,0.61890,0.02858,1.59616
161,16200,0.97301,0.00896,0.99829,0.64348,0.02832,1.59599
162,16300,0.98022,0.00902,0.99957,0.62385,0.02804,1.59533
163,16400,0.97532,0.00897,0.99696,0.63179,0.02797,1.59547
164,16500,0.99020,0.00896,0.99534,0.63057,0.02770,1.59521
165,16600,1.01844,0.00901,0.99502,0.62114,0.02739,1.59509
166,16700,0.96177,0.00896,0.99321,0.64280,0.02739,1.59480
167,16800,0.99886,0.00897,0.99263,0.65824,0.02714,1.59500
168,16900,0.96597,0.00889,0.98823,0.62860,0.02689,1.59431
169,17000,0.98526,0.00899,0.99239,0.63582,0.02692,1.59431
170,17100,0.97965,0.00893,0.98833,0.62735,0.02647,1.59414
171,17200,0.99565,0.00901,0.98902,0.64676,0.02647,1.59385
172,17300,0.99637,0.00891,0.98636,0.64355,0.02636,1.59364
173,17400,0.94324,0.00895,0.98662,0.65675,0.02614,1.59328
174,17500,0.96717,0.00895,0.98449,0.63052,0.02598,1.59333
175,17600,1.02807,0.00896,0.98222,0.66830,0.02578,1.59290
176,17700,0.96108,0.00888,0.97856,0.66759,0.02569,1.59261
177,17800,0.96609,0.00898,0.97902,0.65998,0.02546,1.59279
178,17900,0.97393,0.00896,0.97554,0.64856,0.02531,1.59256
179,18000,0.98516,0.00905,0.97720,0.65671,0.02512,1.59222
180,18100,0.96813,0.00896,0.97359,0.65616,0.02504,1.59193
181,18200,0.99970,0.00908,0.97251,0.64272,0.02465,1.59193
