iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
0,100,18.11299,0.89383,19.04907,0.89404
1,200,5.85573,0.88679,7.01755,0.88648
2,300,1.11405,0.87406,2.15864,0.87132
3,400,0.99138,0.84457,1.26285,0.84575
4,500,1.02857,0.83385,0.81001,0.83093
5,600,1.03333,0.81152,0.62921,0.81209
6,700,1.03674,0.79538,0.53351,0.79370
7,800,0.99033,0.77450,0.49832,0.77270
8,900,1.00273,0.75155,0.53745,0.75431
9,1000,1.02134,0.72969,0.51174,0.72665
10,1100,1.03310,0.70651,0.51933,0.70511
11,1200,1.02080,0.68475,0.53431,0.68484
12,1300,1.03629,0.66686,0.55132,0.66605
13,1400,0.98718,0.64603,0.55338,0.64691
14,1500,1.00382,0.62780,0.55976,0.62813
15,1600,1.04086,0.60982,0.57981,0.61178
16,1700,0.99653,0.58888,0.59045,0.59004
17,1800,1.00152,0.57458,0.59466,0.57506
18,1900,0.97131,0.55655,0.60445,0.55921
19,2000,1.02693,0.54267,0.58244,0.54270
20,2100,1.03246,0.52662,0.61278,0.52844
21,2200,1.00844,0.51120,0.62128,0.51300
22,2300,1.01795,0.49841,0.60923,0.49616
23,2400,0.99166,0.48397,0.60186,0.48285
24,2500,1.04179,0.47121,0.61763,0.46825
25,2600,0.99951,0.45514,0.62570,0.45526
26,2700,1.01263,0.44462,0.71252,0.44238
27,2800,1.00982,0.43162,0.67751,0.42928
28,2900,1.01514,0.42053,0.66397,0.41885
29,3000,1.00715,0.40734,0.61561,0.40753
30,3100,0.99460,0.39515,0.62437,0.39591
31,3200,1.02637,0.38493,0.70574,0.38445
32,3300,0.99977,0.37349,0.69171,0.37246
33,3400,1.00924,0.36384,0.69715,0.36301
34,3500,1.00377,0.35206,0.66000,0.35108
35,3600,1.01757,0.34274,0.69252,0.34138
36,3700,1.03371,0.33200,0.68393,0.33182
37,3800,0.96947,0.32178,0.67544,0.32151
38,3900,0.99109,0.31266,0.69997,0.31337
39,4000,0.99193,0.30435,0.72244,0.30398
40,4100,1.00708,0.29442,0.70700,0.29480
41,4200,1.00601,0.28666,0.70654,0.28615
42,4300,1.02384,0.27885,0.66282,0.27756
43,4400,1.05247,0.26976,0.67353,0.26985
44,4500,1.01547,0.26154,0.65893,0.26177
45,4600,1.00500,0.25377,0.68494,0.25390
46,4700,0.99562,0.24569,0.70392,0.24709
47,4800,0.99438,0.23890,0.69049,0.23896
48,4900,1.01406,0.23205,0.65972,0.23162
49,5000,1.01096,0.22453,0.69528,0.22416
50,5100,1.01182,0.21710,0.63985,0.21893
51,5200,0.99965,0.21147,0.67693,0.21130
52,5300,1.02005,0.20576,0.72407,0.20506
53,5400,0.97200,0.19903,0.67066,0.19880
54,5500,1.00314,0.19203,0.71267,0.19226
55,5600,0.99545,0.18680,0.66304,0.18725
56,5700,1.00567,0.18203,0.71072,0.18144
57,5800,0.98076,0.17555,0.71630,0.17606
58,5900,1.00292,0.17149,0.70466,0.17118
59,6000,1.00276,0.16645,0.74012,0.16575
60,6100,0.99695,0.16120,0.70690,0.16195
61,6200,1.00118,0.15686,0.69131,0.15673
62,6300,1.01975,0.15287,0.69300,0.15265
63,6400,0.98894,0.14888,0.72630,0.14860
64,6500,1.04121,0.14537,0.72591,0.14360
65,6600,1.00172,0.14154,0.67012,0.14121
66,6700,1.04530,0.13837,0.68094,0.13727
67,6800,0.98288,0.13436,0.63314,0.13444
68,6900,0.99565,0.13192,0.69444,0.13183
69,7000,0.99727,0.12952,0.68714,0.12917
70,7100,1.02232,0.12694,0.67633,0.12650
71,7200,0.95549,0.12421,0.67487,0.12483
72,7300,0.97469,0.12140,0.63840,0.12219
73,7400,1.02548,0.12080,0.66917,0.11967
74,7500,1.02853,0.11841,0.68405,0.11754
75,7600,1.03010,0.11625,0.64264,0.11583
76,7700,0.98557,0.11409,0.63999,0.11405
77,7800,0.99332,0.11247,0.61867,0.11254
78,7900,0.98410,0.11083,0.69339,0.11059
79,8000,0.97754,0.10867,0.62634,0.10881
80,8100,0.97389,0.10779,0.68826,0.10786
81,8200,0.98760,0.10627,0.66660,0.10614
82,8300,1.01903,0.10454,0.66630,0.10479
83,8400,1.05741,0.10405,0.64754,0.10286
84,8500,1.02187,0.10181,0.63797,0.10172
85,8600,1.00463,0.10093,0.76914,0.10014
86,8700,1.00334,0.09942,0.67821,0.09885
87,8800,1.00821,0.09794,0.64599,0.09821
88,8900,1.00276,0.09664,0.65157,0.09619
89,9000,1.01894,0.09573,0.62569,0.09586
90,9100,1.05850,0.09520,0.68719,0.09469
91,9200,1.04190,0.09382,0.69730,0.09320
92,9300,0.96537,0.09231,0.67325,0.09243
93,9400,0.96476,0.09096,0.67798,0.09130
94,9500,1.03772,0.08988,0.65480,0.08982
95,9600,1.01429,0.08895,0.66314,0.08903
96,9700,0.99884,0.08787,0.64967,0.08779
97,9800,0.99586,0.08674,0.66272,0.08683
98,9900,0.96877,0.08529,0.64749,0.08545
99,10000,0.99874,0.08511,0.63327,0.08463
100,10100,0.95904,0.08372,0.64603,0.08407
101,10200,1.00472,0.08296,0.64854,0.08281
102,10300,0.98754,0.08225,0.66484,0.08209
103,10400,0.97999,0.08082,0.67059,0.08105
104,10500,0.97858,0.08025,0.61082,0.08022
105,10600,0.99410,0.07958,0.66213,0.07973
106,10700,1.00701,0.07870,0.65769,0.07872
107,10800,1.00037,0.07776,0.63063,0.07758
108,10900,1.01404,0.07706,0.65842,0.07622
109,11000,1.02774,0.07642,0.64708,0.07606
110,11100,0.99444,0.07523,0.63891,0.07489
111,11200,0.96903,0.07429,0.63612,0.07453
112,11300,1.01867,0.07370,0.63428,0.07414
113,11400,0.95210,0.07264,0.63255,0.07280
114,11500,1.04583,0.07234,0.62952,0.07228
115,11600,0.97648,0.07132,0.64330,0.07178
116,11700,1.00077,0.07065,0.61847,0.07069
117,11800,0.95240,0.07000,0.65129,0.06993
118,11900,1.01219,0.06933,0.61603,0.06933
119,12000,0.97740,0.06869,0.63727,0.06880
120,12100,0.97553,0.06787,0.64431,0.06787
121,12200,0.96484,0.06717,0.65777,0.06708
122,12300,0.98052,0.06638,0.63653,0.06678
123,12400,0.93398,0.06561,0.62407,0.06558
124,12500,1.00267,0.06493,0.61089,0.06478
125,12600,0.97959,0.06447,0.60667,0.06433
126,12700,0.96128,0.06391,0.62317,0.06417
127,12800,1.01107,0.06306,0.61903,0.06313
128,12900,1.03373,0.06266,0.63439,0.06242
129,13000,0.93434,0.06171,0.61653,0.06159
130,13100,1.01890,0.06127,0.60715,0.06125
131,13200,1.01020,0.06082,0.62146,0.06059
132,13300,0.97551,0.06014,0.59579,0.06030
133,13400,0.97654,0.05927,0.61433,0.05918
134,13500,0.97855,0.05885,0.60737,0.05899
135,13600,0.98487,0.05835,0.62327,0.05792
136,13700,0.97664,0.05761,0.64797,0.05790
137,13800,1.01686,0.05733,0.58316,0.05687
138,13900,1.00901,0.05673,0.63290,0.05655
139,14000,1.00375,0.05652,0.59798,0.05622
140,14100,1.01926,0.05598,0.62355,0.05592
141,14200,0.97500,0.05500,0.60751,0.05508
142,14300,1.00198,0.05490,0.60098,0.05521
143,14400,0.98929,0.05428,0.62208,0.05426
144,14500,0.98686,0.05376,0.60590,0.05381
145,14600,0.95728,0.05329,0.64423,0.05334
146,14700,0.98763,0.05263,0.59155,0.05277
147,14800,0.95849,0.05214,0.61637,0.05233
148,14900,0.98632,0.05154,0.61021,0.05189
149,15000,0.97679,0.05122,0.58896,0.05119
150,15100,1.01495,0.05110,0.60604,0.05099
151,15200,0.96262,0.05002,0.60162,0.05037
152,15300,1.00563,0.05006,0.60193,0.04989
153,15400,0.99505,0.04965,0.60727,0.04945
154,15500,0.98635,0.04929,0.59425,0.04884
155,15600,1.00932,0.04878,0.61254,0.04861
156,15700,0.96412,0.04800,0.60808,0.04805
157,15800,0.95848,0.04791,0.61050,0.04788
158,15900,0.97833,0.04747,0.61018,0.04734
159,16000,1.00321,0.04654,0.61027,0.04706
160,16100,0.97818,0.04654,0.60252,0.04650
161,16200,0.97797,0.04598,0.62356,0.04613
162,16300,0.97936,0.04552,0.58599,0.04579
163,16400,0.97280,0.04505,0.61802,0.04547
164,16500,0.99398,0.04469,0.59759,0.04502
165,16600,1.01433,0.04474,0.58070,0.04427
166,16700,0.95857,0.04403,0.60715,0.04404
167,16800,1.01294,0.04378,0.62430,0.04372
168,16900,0.97333,0.04317,0.58574,0.04339
169,17000,0.98482,0.04298,0.59983,0.04346
170,17100,0.99680,0.04287,0.58425,0.04259
171,17200,0.99797,0.04236,0.60168,0.04256
172,17300,0.99319,0.04201,0.60197,0.04218
173,17400,0.95090,0.04173,0.60863,0.04186
174,17500,0.96735,0.04117,0.59238,0.04161
175,17600,1.02590,0.04114,0.62303,0.04101
176,17700,0.96795,0.04037,0.60109,0.04077
177,17800,0.97522,0.04037,0.60764,0.04040
178,17900,0.96189,0.04004,0.59402,0.04005
179,18000,0.99352,0.03971,0.61544,0.03970
180,18100,0.98829,0.03935,0.60760,0.03940
181,18200,1.00213,0.03933,0.59630,0.03887
182,18300,1.03131,0.03904,0.60745,0.03882
183,18400,1.00823,0.03849,0.60684,0.03856
184,18500,1.00641,0.03835,0.62268,0.03811
185,18600,1.00000,0.03805,0.59565,0.03786
186,18700,1.00484,0.03775,0.60514,0.03766
187,18800,1.00180,0.03742,0.60054,0.03717
188,18900,0.97790,0.03684,0.62004,0.03692
189,19000,0.99308,0.03679,0.61891,0.03690
190,19100,1.00871,0.03660,0.59952,0.03653
191,19200,1.00019,0.03652,0.61181,0.03595
192,19300,0.95791,0.03581,0.63471,0.03595
193,19400,0.95351,0.03553,0.65388,0.03546
194,19500,0.98891,0.03530,0.63276,0.03543
195,19600,0.93409,0.03519,0.61171,0.03522
196,19700,1.00675,0.03489,0.61952,0.03494
197,19800,1.00198,0.03464,0.60246,0.03465
198,19900,1.02014,0.03465,0.63396,0.03456
199,20000,0.97633,0.03408,0.63695,0.03412
200,20100,1.02037,0.03382,0.61677,0.03397
201,20200,0.98144,0.03369,0.61172,0.03376
202,20300,0.96666,0.03335,0.62583,0.03355
203,20400,0.98296,0.03321,0.62522,0.03326
204,20500,0.98485,0.03310,0.60521,0.03284
205,20600,1.00649,0.03286,0.64463,0.03312
206,20700,1.01620,0.03251,0.62081,0.03258
207,20800,0.98276,0.03209,0.63344,0.03239
208,20900,1.00026,0.03206,0.62541,0.03190
209,21000,0.99162,0.03179,0.63184,0.03191
210,21100,0.99032,0.03167,0.63162,0.03160
211,21200,1.00034,0.03125,0.61865,0.03166
212,21300,1.01415,0.03133,0.61002,0.03109
213,21400,0.96997,0.03109,0.60924,0.03104
214,21500,1.04242,0.03113,0.62523,0.03083
215,21600,0.98171,0.03061,0.63978,0.03073
216,21700,0.99966,0.03051,0.64248,0.03022
217,21800,0.99186,0.03023,0.63393,0.03030
218,21900,0.99496,0.03003,0.64009,0.02989
219,22000,0.94163,0.02961,0.60149,0.02996
220,22100,0.95241,0.02953,0.64256,0.02969
221,22200,1.01313,0.02940,0.64403,0.02952
222,22300,1.00662,0.02925,0.63568,0.02933
223,22400,0.99224,0.02923,0.64213,0.02906
224,22500,0.96324,0.02873,0.63539,0.02871
225,22600,0.98045,0.02865,0.61294,0.02896
226,22700,0.98945,0.02873,0.61483,0.02864
227,22800,0.95254,0.02822,0.62588,0.02839
228,22900,1.00741,0.02836,0.63399,0.02815
229,23000,1.00561,0.02820,0.62442,0.02799
230,23100,1.00389,0.02807,0.65214,0.02794
231,23200,0.97251,0.02783,0.63610,0.02784
232,23300,0.95933,0.02717,0.62854,0.02760
233,23400,1.02398,0.02749,0.61636,0.02730
234,23500,1.02339,0.02723,0.62113,0.02723
235,23600,0.94825,0.02702,0.62339,0.02705
236,23700,0.99994,0.02688,0.62363,0.02688
237,23800,0.95517,0.02666,0.65363,0.02676
238,23900,1.03722,0.02654,0.61670,0.02655
239,24000,0.96102,0.02641,0.67141,0.02670
240,24100,0.99159,0.02636,0.64236,0.02621
241,24200,0.99308,0.02603,0.64162,0.02619
242,24300,0.96562,0.02600,0.61412,0.02594
243,24400,0.94250,0.02587,0.61251,0.02583
244,24500,0.99315,0.02576,0.65375,0.02582
245,24600,0.98803,0.02553,0.63792,0.02544
246,24700,0.98896,0.02557,0.62834,0.02538
247,24800,0.97417,0.02523,0.62200,0.02529
248,24900,0.93929,0.02514,0.67581,0.02523
