number,rewards,variances,exploration_value
0,[-22.41520 -22.41520 -22.41520],[4.04800 4.04800 4.04800],0.9988953697090716
100,[-19.79851 -19.79851 -19.79851],[23.36636 23.36636 23.36636],0.9797606658876263
200,[-13.14573 -13.14573 -13.14573],[4.07137 4.07137 4.07137],0.9609925038496699
300,[-9.19786 -9.19786 -9.19786],[1.02279 1.02279 1.02279],0.9425838621706605
400,[-11.92848 -11.92848 -11.92848],[2.56427 2.56427 2.56427],0.9245278539275122
500,[-11.45079 -11.45079 -11.45079],[1.14833 1.14833 1.14833],0.9068177241220878
600,[-14.93984 -14.93984 -14.93984],[4.48486 4.48486 4.48486],0.889446847154093
700,[-10.26652 -10.26652 -10.26652],[2.40431 2.40431 2.40431],0.8724087243423219
800,[-12.85523 -12.85523 -12.85523],[5.73869 5.73869 5.73869],0.8556969814934174
900,[-11.54549 -11.54549 -11.54549],[15.89835 15.89835 15.89835],0.8393053665172148
1000,[-11.78330 -11.78330 -11.78330],[9.81727 9.81727 9.81727],0.8232277470877281
1100,[-13.49185 -13.49185 -13.49185],[7.31099 7.31099 7.31099],0.8074581083489812
1200,[-14.37865 -14.37865 -14.37865],[7.13939 7.13939 7.13939],0.7919905506647517
1300,[-12.92812 -12.92812 -12.92812],[3.62208 3.62208 3.62208],0.7768192874114557
1400,[-12.52825 -12.52825 -12.52825],[5.63131 5.63131 5.63131],0.7619386428132808
1500,[-11.47794 -11.47794 -11.47794],[3.57420 3.57420 3.57420],0.7473430498187978
1600,[-11.78290 -11.78290 -11.78290],[2.82997 2.82997 2.82997],0.7330270480182665
1700,[-10.26506 -10.26506 -10.26506],[1.43212 1.43212 1.43212],0.7189852816008054
1800,[-11.60863 -11.60863 -11.60863],[2.92093 2.92093 2.92093],0.705212497350724
1900,[-9.70255 -9.70255 -9.70255],[2.38434 2.38434 2.38434],0.6917035426822101
2000,[-11.99505 -11.99505 -11.99505],[5.02698 5.02698 5.02698],0.6784533637116886
