iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,4.82369,0.31888,3.75183,0.28728,3.28768,0.26644
1,200,2.25367,0.23723,2.05491,0.23116,1.96107,0.22311
2,300,1.98399,0.23060,1.91096,0.22798,1.83271,0.22347
3,400,1.82165,0.23046,1.78668,0.22626,1.66017,0.22407
4,500,1.62830,0.22724,1.70012,0.22582,1.53159,0.22217
5,600,1.53087,0.22415,1.53528,0.22243,1.45347,0.22170
6,700,1.49331,0.22289,1.55673,0.22216,1.43797,0.21929
7,800,1.40694,0.22431,1.43896,0.22202,1.33536,0.21808
8,900,1.31008,0.22284,1.33160,0.22370,1.25065,0.21889
9,1000,1.27801,0.22090,1.24610,0.22155,1.22179,0.22029
10,1100,1.27095,0.22152,1.21257,0.21815,1.19527,0.21828
11,1200,1.23041,0.22185,1.17875,0.22028,1.17180,0.21854
12,1300,1.17892,0.21972,1.18920,0.22045,1.16446,0.22029
13,1400,1.19621,0.22125,1.16785,0.21879,1.17081,0.22005
14,1500,1.26126,0.22149,1.21911,0.21957,1.20891,0.22059
15,1600,1.20280,0.21941,1.20690,0.21885,1.18831,0.21888
16,1700,1.20714,0.21980,1.18777,0.21915,1.15610,0.21853
17,1800,1.19306,0.22045,1.19583,0.22129,1.18113,0.21860
18,1900,1.21064,0.21974,1.20318,0.21925,1.19288,0.21908
19,2000,1.24709,0.22123,1.19487,0.21961,1.20585,0.21846
20,2100,1.21416,0.22030,1.24496,0.22241,1.22654,0.21971
21,2200,1.21815,0.21989,1.21052,0.21971,1.21942,0.21906
22,2300,1.21312,0.22070,1.24063,0.22132,1.21617,0.21991
23,2400,1.22125,0.22133,1.19002,0.21664,1.26151,0.22105
24,2500,1.23193,0.22142,1.22590,0.22088,1.23005,0.21886
25,2600,1.25306,0.22017,1.26554,0.21983,1.26765,0.22316
26,2700,1.24779,0.21936,1.27949,0.22203,1.24512,0.22152
27,2800,1.24492,0.22151,1.29207,0.22119,1.24283,0.22060
28,2900,1.25302,0.22159,1.27856,0.22145,1.27579,0.22225
29,3000,1.26504,0.22265,1.31620,0.22456,1.25612,0.22221
30,3100,1.26924,0.22264,1.32856,0.22455,1.28451,0.22429
31,3200,1.30466,0.22455,1.31184,0.22450,1.31084,0.22442
32,3300,1.32028,0.22525,1.33678,0.22699,1.31778,0.22466
33,3400,1.33967,0.22708,1.33402,0.22544,1.34196,0.22540
34,3500,1.34276,0.22618,1.34101,0.22762,1.30514,0.22654
35,3600,1.33964,0.22702,1.32326,0.22503,1.32886,0.22804
36,3700,1.33449,0.22751,1.38013,0.22974,1.36144,0.22857
37,3800,1.33663,0.23073,1.34649,0.22742,1.34335,0.23123
38,3900,1.33569,0.22762,1.32954,0.22887,1.31375,0.22859
39,4000,1.36552,0.23236,1.36209,0.22961,1.36609,0.23265
40,4100,1.35695,0.23066,1.35274,0.23201,1.33467,0.23084
41,4200,1.36876,0.23373,1.36210,0.23245,1.35910,0.23188
42,4300,1.34036,0.23267,1.33853,0.23174,1.34002,0.23217
43,4400,1.36886,0.23318,1.37530,0.23254,1.35439,0.23394
44,4500,1.36396,0.23209,1.35522,0.23288,1.33292,0.23286
45,4600,1.39034,0.23498,1.39384,0.23421,1.32369,0.23129
46,4700,1.38998,0.23774,1.39383,0.23599,1.39863,0.23805
47,4800,1.40854,0.23608,1.39201,0.23619,1.38944,0.23535
48,4900,1.44120,0.23779,1.42322,0.23705,1.39997,0.23586
49,5000,1.42395,0.23635,1.40109,0.23402,1.39195,0.23555
50,5100,1.41557,0.23843,1.37682,0.23597,1.38551,0.23687
51,5200,1.40810,0.23828,1.42018,0.23575,1.41801,0.23590
52,5300,1.45023,0.23838,1.47690,0.23894,1.39600,0.23676
53,5400,1.44854,0.23672,1.46977,0.23682,1.48711,0.24147
54,5500,1.51217,0.23955,1.46803,0.23688,1.45532,0.23884
55,5600,1.46664,0.23786,1.49550,0.23904,1.47060,0.23832
56,5700,1.45439,0.23750,1.46423,0.23761,1.47731,0.23767
57,5800,1.47507,0.23724,1.49355,0.23823,1.47886,0.23903
58,5900,1.49773,0.23928,1.48909,0.23967,1.52395,0.23943
59,6000,1.52845,0.23866,1.50500,0.23979,1.48253,0.24010
60,6100,1.50423,0.24024,1.51322,0.24017,1.49805,0.24123
61,6200,1.51254,0.23844,1.53432,0.24077,1.51708,0.23949
62,6300,1.52986,0.23925,1.49907,0.23934,1.51279,0.24235
63,6400,1.54782,0.23891,1.51886,0.23690,1.50859,0.23877
64,6500,1.52685,0.23858,1.53475,0.23992,1.51893,0.24120
65,6600,1.53533,0.24142,1.49375,0.23794,1.54206,0.23917
66,6700,1.53223,0.23891,1.48380,0.23729,1.51923,0.24101
67,6800,1.53765,0.23916,1.54690,0.23888,1.60154,0.23971
68,6900,1.51230,0.24002,1.57177,0.24184,1.55667,0.23970
69,7000,1.53746,0.23885,1.55988,0.24184,1.57030,0.23822
70,7100,1.56152,0.23966,1.58148,0.24106,1.58833,0.23932
71,7200,1.56383,0.24074,1.57993,0.24182,1.58706,0.24051
72,7300,1.57704,0.23982,1.53029,0.23721,1.59362,0.24061
73,7400,1.55891,0.23927,1.55303,0.23908,1.58787,0.23869
74,7500,1.58409,0.23826,1.59103,0.24110,1.58243,0.23810
75,7600,1.56548,0.23853,1.57105,0.23883,1.59868,0.23968
76,7700,1.55445,0.23771,1.59837,0.23916,1.66566,0.23986
77,7800,1.55926,0.23885,1.61073,0.23812,1.66771,0.23959
78,7900,1.59591,0.23918,1.58827,0.23738,1.61618,0.23985
79,8000,1.53688,0.23750,1.61484,0.23869,1.60489,0.23791
