number,rewards,variances,exploration_value
0,[-22.41520 -22.41520 -22.41520],[4.04800 4.04800 4.04800],0.9988953697090716
100,[-20.55477 -20.55477 -20.55477],[14.81677 14.81677 14.81677],0.9797606658876263
200,[-21.27640 -21.27640 -21.27640],[5.05244 5.05244 5.05244],0.9609925038496699
300,[-10.22756 -10.22756 -10.22756],[2.25533 2.25533 2.25533],0.9425838621706605
400,[-15.65433 -15.65433 -15.65433],[11.10016 11.10016 11.10016],0.9245278539275122
500,[-17.21866 -17.21866 -17.21866],[3.58926 3.58926 3.58926],0.9068177241220878
600,[-20.57905 -20.57905 -20.57905],[16.07112 16.07112 16.07112],0.889446847154093
700,[-16.73233 -16.73233 -16.73233],[1.04709 1.04709 1.04709],0.8724087243423219
800,[-18.68073 -18.68073 -18.68073],[7.14488 7.14488 7.14488],0.8556969814934174
900,[-17.53471 -17.53471 -17.53471],[2.77482 2.77482 2.77482],0.8393053665172148
1000,[-18.39101 -18.39101 -18.39101],[1.50971 1.50971 1.50971],0.8232277470877281
1100,[-15.42477 -15.42477 -15.42477],[4.14679 4.14679 4.14679],0.8074581083489812
1200,[-16.09032 -16.09032 -16.09032],[4.97704 4.97704 4.97704],0.7919905506647517
1300,[-17.90391 -17.90391 -17.90391],[6.34881 6.34881 6.34881],0.7768192874114557
1400,[-17.08096 -17.08096 -17.08096],[7.60449 7.60449 7.60449],0.7619386428132808
1500,[-15.85431 -15.85431 -15.85431],[9.48421 9.48421 9.48421],0.7473430498187978
1600,[-14.92585 -14.92585 -14.92585],[3.83548 3.83548 3.83548],0.7330270480182665
1700,[-14.97792 -14.97792 -14.97792],[5.10362 5.10362 5.10362],0.7189852816008054
1800,[-10.68083 -10.68083 -10.68083],[0.98886 0.98886 0.98886],0.705212497350724
1900,[-12.23119 -12.23119 -12.23119],[3.62836 3.62836 3.62836],0.6917035426822101
2000,[-13.34025 -13.34025 -13.34025],[17.98376 17.98376 17.98376],0.6784533637116886
2100,[-10.76051 -10.76051 -10.76051],[1.79162 1.79162 1.79162],0.6654570033670938
2200,[-13.17208 -13.17208 -13.17208],[2.68217 2.68217 2.68217],0.6527095995333525
2300,[-10.19090 -10.19090 -10.19090],[1.08599 1.08599 1.08599],0.6402063832334086
2400,[-10.04272 -10.04272 -10.04272],[6.07389 6.07389 6.07389],0.6279426768440843
2500,[-9.14206 -9.14206 -9.14206],[1.15411 1.15411 1.15411],0.6159138923461105
2600,[-11.71008 -11.71008 -11.71008],[1.60312 1.60312 1.60312],0.6041155296076918
2700,[-8.68030 -8.68030 -8.68030],[0.82295 0.82295 0.82295],0.5925431747009424
2800,[-8.24796 -8.24796 -8.24796],[0.48387 0.48387 0.48387],0.5811924982505915
2900,[-8.58624 -8.58624 -8.58624],[2.74145 2.74145 2.74145],0.5700592538142826
3000,[-7.42145 -7.42145 -7.42145],[0.64217 0.64217 0.64217],0.5591392762939287
3100,[-7.42747 -7.42747 -7.42747],[0.81499 0.81499 0.81499],0.5484284803774964
3200,[-7.99548 -7.99548 -7.99548],[0.13358 0.13358 0.13358],0.5379228590106419
3300,[-6.50570 -6.50570 -6.50570],[0.48793 0.48793 0.48793],0.5276184818975981
3400,[-9.02545 -9.02545 -9.02545],[0.83401 0.83401 0.83401],0.5175114940308205
3500,[-7.54130 -7.54130 -7.54130],[1.30658 1.30658 1.30658],0.5075981142487541
3600,[-7.31151 -7.31151 -7.31151],[0.34706 0.34706 0.34706],0.4978746338212661
3700,[-8.21103 -8.21103 -8.21103],[0.81266 0.81266 0.81266],0.48833741506215295
3800,[-6.44917 -6.44917 -6.44917],[1.12119 1.12119 1.12119],0.47898288996823385
3900,[-7.08172 -7.08172 -7.08172],[1.16603 1.16603 1.16603],0.46980755888450715
4000,[-7.15323 -7.15323 -7.15323],[0.29924 0.29924 0.29924],0.4608079891948918
4100,[-7.83627 -7.83627 -7.83627],[0.29860 0.29860 0.29860],0.45198081403803075
4200,[-7.54984 -7.54984 -7.54984],[0.89313 0.89313 0.89313],0.4433227310477052
4300,[-8.55021 -8.55021 -8.55021],[1.31864 1.31864 1.31864],0.43483050111737453
4400,[-7.35433 -7.35433 -7.35433],[1.83167 1.83167 1.83167],0.42650094718838294
4500,[-7.89084 -7.89084 -7.89084],[1.09147 1.09147 1.09147],0.4183309530613763
4600,[-8.25291 -8.25291 -8.25291],[1.60010 1.60010 1.60010],0.41031746223049576
4700,[-7.75756 -7.75756 -7.75756],[1.02885 1.02885 1.02885],0.4024574767398885
4800,[-8.19554 -8.19554 -8.19554],[0.94247 0.94247 0.94247],0.39474805606213775
4900,[-6.85992 -6.85992 -6.85992],[1.06485 1.06485 1.06485],0.3871863159981707
5000,[-7.92889 -7.92889 -7.92889],[0.72827 0.72827 0.72827],0.37976942759823823
5100,[-7.23898 -7.23898 -7.23898],[0.28470 0.28470 0.28470],0.37249461610356654
5200,[-7.61558 -7.61558 -7.61558],[0.52769 0.52769 0.52769],0.36535915990828843
5300,[-8.66277 -8.66277 -8.66277],[3.12848 3.12848 3.12848],0.3583603895412437
