number,rewards,variances,exploration_value
0,[-14.28978 -14.28978 -14.28978],[15.99129 15.99129 15.99129],0.9988953697090716
100,[-12.34179 -12.34179 -12.34179],[5.68510 5.68510 5.68510],0.9797606658876263
200,[-11.86481 -11.86481 -11.86481],[9.39125 9.39125 9.39125],0.9609925038496699
300,[-13.93713 -13.93713 -13.93713],[6.00635 6.00635 6.00635],0.9425838621706605
400,[-13.87339 -13.87339 -13.87339],[16.40111 16.40111 16.40111],0.9245278539275122
500,[-13.58259 -13.58259 -13.58259],[0.73169 0.73169 0.73169],0.9068177241220878
600,[-10.76314 -10.76314 -10.76314],[2.93334 2.93334 2.93334],0.889446847154093
700,[-12.51161 -12.51161 -12.51161],[6.46491 6.46491 6.46491],0.8724087243423219
800,[-13.05670 -13.05670 -13.05670],[2.23280 2.23280 2.23280],0.8556969814934174
900,[-12.18681 -12.18681 -12.18681],[4.65700 4.65700 4.65700],0.8393053665172148
1000,[-12.36620 -12.36620 -12.36620],[1.77510 1.77510 1.77510],0.8232277470877281
1100,[-10.06169 -10.06169 -10.06169],[0.59580 0.59580 0.59580],0.8074581083489812
1200,[-9.76403 -9.76403 -9.76403],[0.95911 0.95911 0.95911],0.7919905506647517
1300,[-10.84230 -10.84230 -10.84230],[3.41246 3.41246 3.41246],0.7768192874114557
1400,[-9.08665 -9.08665 -9.08665],[1.90207 1.90207 1.90207],0.7619386428132808
1500,[-9.03064 -9.03064 -9.03064],[1.64524 1.64524 1.64524],0.7473430498187978
1600,[-8.65780 -8.65780 -8.65780],[0.24522 0.24522 0.24522],0.7330270480182665
1700,[-8.95601 -8.95601 -8.95601],[0.30419 0.30419 0.30419],0.7189852816008054
1800,[-9.22039 -9.22039 -9.22039],[1.15799 1.15799 1.15799],0.705212497350724
1900,[-9.04361 -9.04361 -9.04361],[2.69039 2.69039 2.69039],0.6917035426822101
2000,[-8.57597 -8.57597 -8.57597],[0.50530 0.50530 0.50530],0.6784533637116886
2100,[-8.94093 -8.94093 -8.94093],[0.83956 0.83956 0.83956],0.6654570033670938
2200,[-7.97775 -7.97775 -7.97775],[0.38707 0.38707 0.38707],0.6527095995333525
2300,[-7.76076 -7.76076 -7.76076],[0.07954 0.07954 0.07954],0.6402063832334086
2400,[-8.69860 -8.69860 -8.69860],[1.06702 1.06702 1.06702],0.6279426768440843
2500,[-7.52514 -7.52514 -7.52514],[0.32182 0.32182 0.32182],0.6159138923461105
2600,[-7.39910 -7.39910 -7.39910],[0.46477 0.46477 0.46477],0.6041155296076918
2700,[-7.68441 -7.68441 -7.68441],[1.56043 1.56043 1.56043],0.5925431747009424
2800,[-8.26682 -8.26682 -8.26682],[1.08515 1.08515 1.08515],0.5811924982505915
2900,[-8.30838 -8.30838 -8.30838],[1.25913 1.25913 1.25913],0.5700592538142826
3000,[-8.01269 -8.01269 -8.01269],[1.66782 1.66782 1.66782],0.5591392762939287
3100,[-7.26509 -7.26509 -7.26509],[0.29704 0.29704 0.29704],0.5484284803774964
3200,[-9.06055 -9.06055 -9.06055],[0.55354 0.55354 0.55354],0.5379228590106419
3300,[-9.38549 -9.38549 -9.38549],[1.79353 1.79353 1.79353],0.5276184818975981
3400,[-9.49781 -9.49781 -9.49781],[1.13654 1.13654 1.13654],0.5175114940308205
3500,[-8.88113 -8.88113 -8.88113],[3.02198 3.02198 3.02198],0.5075981142487541
3600,[-9.23299 -9.23299 -9.23299],[0.73031 0.73031 0.73031],0.4978746338212661
3700,[-7.85670 -7.85670 -7.85670],[0.93304 0.93304 0.93304],0.48833741506215295
3800,[-9.82788 -9.82788 -9.82788],[0.34015 0.34015 0.34015],0.47898288996823385
3900,[-9.09112 -9.09112 -9.09112],[1.33796 1.33796 1.33796],0.46980755888450715
4000,[-9.27183 -9.27183 -9.27183],[0.64069 0.64069 0.64069],0.4608079891948918
4100,[-9.24911 -9.24911 -9.24911],[0.88328 0.88328 0.88328],0.45198081403803075
4200,[-9.54351 -9.54351 -9.54351],[0.96603 0.96603 0.96603],0.4433227310477052
4300,[-8.42922 -8.42922 -8.42922],[1.67039 1.67039 1.67039],0.43483050111737453
4400,[-7.60908 -7.60908 -7.60908],[0.52593 0.52593 0.52593],0.42650094718838294
4500,[-9.12553 -9.12553 -9.12553],[1.69074 1.69074 1.69074],0.4183309530613763
4600,[-9.88663 -9.88663 -9.88663],[2.67984 2.67984 2.67984],0.41031746223049576
4700,[-8.52759 -8.52759 -8.52759],[0.55364 0.55364 0.55364],0.4024574767398885
4800,[-8.96276 -8.96276 -8.96276],[1.48787 1.48787 1.48787],0.39474805606213775
4900,[-8.95033 -8.95033 -8.95033],[4.50801 4.50801 4.50801],0.3871863159981707
5000,[-9.37973 -9.37973 -9.37973],[1.98525 1.98525 1.98525],0.37976942759823823
5100,[-8.38095 -8.38095 -8.38095],[2.05043 2.05043 2.05043],0.37249461610356654
5200,[-9.95076 -9.95076 -9.95076],[1.42905 1.42905 1.42905],0.36535915990828843
5300,[-9.04123 -9.04123 -9.04123],[2.49729 2.49729 2.49729],0.3583603895412437
5400,[-8.74472 -8.74472 -8.74472],[2.40985 2.40985 2.40985],0.35149568666730197
5500,[-8.09715 -8.09715 -8.09715],[3.81844 3.81844 3.81844],0.34476248310780105
5600,[-9.13622 -9.13622 -9.13622],[4.91759 4.91759 4.91759],0.33815825987976045
5700,[-7.84808 -7.84808 -7.84808],[1.11419 1.11419 1.11419],0.33168054625349885
5800,[-7.91371 -7.91371 -7.91371],[2.53938 2.53938 2.53938],0.32532691882829134
5900,[-10.32163 -10.32163 -10.32163],[2.70467 2.70467 2.70467],0.3190950006257518
6000,[-7.87401 -7.87401 -7.87401],[1.92029 1.92029 1.92029],0.312982460200566
6100,[-7.61953 -7.61953 -7.61953],[1.72131 1.72131 1.72131],0.3069870107682693
6200,[-8.84868 -8.84868 -8.84868],[0.85740 0.85740 0.85740],0.30110640934973165
6300,[-9.33104 -9.33104 -9.33104],[0.91423 0.91423 0.91423],0.29533845593202374
6400,[-7.80527 -7.80527 -7.80527],[1.04659 1.04659 1.04659],0.2896809926453638
6500,[-7.68314 -7.68314 -7.68314],[3.21344 3.21344 3.21344],0.2841319029558341
6600,[-7.76488 -7.76488 -7.76488],[0.69109 0.69109 0.69109],0.27868911087355025
6700,[-7.10883 -7.10883 -7.10883],[1.10429 1.10429 1.10429],0.27335058017600533
6800,[-7.44004 -7.44004 -7.44004],[1.67388 1.67388 1.67388],0.26811431364629784
6900,[-7.31350 -7.31350 -7.31350],[0.57122 0.57122 0.57122],0.26297835232593786
7000,[-8.47820 -8.47820 -8.47820],[2.86321 2.86321 2.86321],0.25794077478198096
7100,[-8.30398 -8.30398 -8.30398],[0.78519 0.78519 0.78519],0.2529996963881896
7200,[-7.29769 -7.29769 -7.29769],[0.26344 0.26344 0.26344],0.24815326861997006
7300,[-7.75732 -7.75732 -7.75732],[2.34136 2.34136 2.34136],0.2433996783628142
7400,[-8.56982 -8.56982 -8.56982],[1.22763 1.22763 1.22763],0.23873714723398948
7500,[-7.37580 -7.37580 -7.37580],[1.40619 1.40619 1.40619],0.23416393091721965
7600,[-7.54727 -7.54727 -7.54727],[1.24764 1.24764 1.24764],0.2296783185101154
7700,[-8.73311 -8.73311 -8.73311],[2.03054 2.03054 2.03054],0.2252786318840993
7800,[-7.37218 -7.37218 -7.37218],[0.61341 0.61341 0.61341],0.2209632250565976
7900,[-8.05486 -8.05486 -8.05486],[2.70633 2.70633 2.70633],0.2167304835752537
8000,[-7.40723 -7.40723 -7.40723],[0.74561 0.74561 0.74561],0.21257882391394362
8100,[-6.48552 -6.48552 -6.48552],[2.77631 2.77631 2.77631],0.208506692880351
8200,[-6.45663 -6.45663 -6.45663],[0.89000 0.89000 0.89000],0.20451256703490245
8300,[-8.77573 -8.77573 -8.77573],[0.99614 0.99614 0.99614],0.20059495212082465
8400,[-8.19299 -8.19299 -8.19299],[1.93128 1.93128 1.93128],0.196752382505123
8500,[-7.57903 -7.57903 -7.57903],[1.83522 1.83522 1.83522],0.19298342063027152
8600,[-9.17686 -9.17686 -9.17686],[1.83662 1.83662 1.83662],0.18928665647639956
8700,[-8.32953 -8.32953 -8.32953],[0.76708 0.76708 0.76708],0.18566070703378476
8800,[-7.45405 -7.45405 -7.45405],[1.49615 1.49615 1.49615],0.18210421578545158
8900,[-6.96415 -6.96415 -6.96415],[0.98570 0.98570 0.98570],0.17861585219967707
9000,[-7.80206 -7.80206 -7.80206],[2.33656 2.33656 2.33656],0.17519431123222665
9100,[-8.18419 -8.18419 -8.18419],[0.90583 0.90583 0.90583],0.17183831283811357
9200,[-7.47965 -7.47965 -7.47965],[2.49577 2.49577 2.49577],0.1685466014927179
9300,[-8.51249 -8.51249 -8.51249],[3.10402 3.10402 3.10402],0.16531794572208017
9400,[-8.53627 -8.53627 -8.53627],[5.93177 5.93177 5.93177],0.16215113764218753
9500,[-8.13725 -8.13725 -8.13725],[1.65668 1.65668 1.65668],0.15904499250708942
9600,[-8.14165 -8.14165 -8.14165],[1.95951 1.95951 1.95951],0.15599834826566805
9700,[-7.84645 -7.84645 -7.84645],[0.86971 0.86971 0.86971],0.1530100651268971
9800,[-7.54759 -7.54759 -7.54759],[1.17042 1.17042 1.17042],0.15007902513343338
9900,[-7.76845 -7.76845 -7.76845],[1.12808 1.12808 1.12808],0.14720413174337166
10000,[-7.58584 -7.58584 -7.58584],[0.90556 0.90556 0.90556],0.14438430942001573
10100,[-7.18917 -7.18917 -7.18917],[0.47488 0.47488 0.47488],0.14161850322950267
10200,[-6.79197 -6.79197 -6.79197],[2.43558 2.43558 2.43558],0.13890567844613977
10300,[-6.95318 -6.95318 -6.95318],[0.29070 0.29070 0.29070],0.13624482016529874
10400,[-8.05106 -8.05106 -8.05106],[2.17424 2.17424 2.17424],0.1336349329237267
10500,[-7.75954 -7.75954 -7.75954],[0.46071 0.46071 0.46071],0.13107504032712913
10600,[-7.38736 -7.38736 -7.38736],[1.21179 1.21179 1.21179],0.1285641846848873
10700,[-7.48655 -7.48655 -7.48655],[0.92395 0.92395 0.92395],0.1261014266517737
10800,[-8.25826 -8.25826 -8.25826],[1.09056 1.09056 1.09056],0.12368584487653073
10900,[-7.51232 -7.51232 -7.51232],[1.78646 1.78646 1.78646],0.12131653565718102
11000,[-7.61496 -7.61496 -7.61496],[1.65806 1.65806 1.65806],0.11899261260293736
11100,[-7.90947 -7.90947 -7.90947],[1.36784 1.36784 1.36784],0.1167132063025952
11200,[-7.80944 -7.80944 -7.80944],[3.28476 3.28476 3.28476],0.11447746399927272
11300,[-7.32838 -7.32838 -7.32838],[0.50499 0.50499 0.50499],0.11228454927138284
11400,[-7.25700 -7.25700 -7.25700],[1.06617 1.06617 1.06617],0.11013364171971564
11500,[-8.42965 -8.42965 -8.42965],[1.49690 1.49690 1.49690],0.10802393666051861
11600,[-7.20061 -7.20061 -7.20061],[0.34645 0.34645 0.34645],0.1059546448244499
11700,[-8.52835 -8.52835 -8.52835],[0.87911 0.87911 0.87911],0.1039249920613054
11800,[-8.59820 -8.59820 -8.59820],[0.62033 0.62033 0.62033],0.10193421905039614
11900,[-7.62975 -7.62975 -7.62975],[0.51308 0.51308 0.51308],0.09998158101647696
12000,[-7.22984 -7.22984 -7.22984],[1.27445 1.27445 1.27445],0.09806634745111607
12100,[-7.00220 -7.00220 -7.00220],[2.12199 2.12199 2.12199],0.09618780183940234
12200,[-7.43437 -7.43437 -7.43437],[2.47213 2.47213 2.47213],0.09434524139188641
12300,[-7.60681 -7.60681 -7.60681],[0.51248 0.51248 0.51248],0.09253797678165741
12400,[-8.31732 -8.31732 -8.31732],[0.48988 0.48988 0.48988],0.09076533188645854
12500,[-8.28211 -8.28211 -8.28211],[3.37804 3.37804 3.37804],0.08902664353573696
12600,[-8.58274 -8.58274 -8.58274],[1.21849 1.21849 1.21849],0.08732126126254666
12700,[-7.69848 -7.69848 -7.69848],[0.70780 0.70780 0.70780],0.08564854706019692
12800,[-8.18237 -8.18237 -8.18237],[2.16152 2.16152 2.16152],0.08400787514356634
12900,[-8.06554 -8.06554 -8.06554],[0.35625 0.35625 0.35625],0.08239863171498804
13000,[-7.14090 -7.14090 -7.14090],[2.43506 2.43506 2.43506],0.08082021473462091
13100,[-7.86215 -7.86215 -7.86215],[1.02373 1.02373 1.02373],0.07927203369521665
13200,[-7.91924 -7.91924 -7.91924],[3.02910 3.02910 3.02910],0.07775350940120238
13300,[-7.65503 -7.65503 -7.65503],[0.32208 0.32208 0.32208],0.07626407375199792
13400,[-7.07589 -7.07589 -7.07589],[0.11149 0.11149 0.11149],0.07480316952948014
13500,[-8.38220 -8.38220 -8.38220],[2.86063 2.86063 2.86063],0.07337025018952063
13600,[-7.50518 -7.50518 -7.50518],[1.35228 1.35228 1.35228],0.07196477965751596
13700,[-8.09422 -8.09422 -8.09422],[1.49115 1.49115 1.49115],0.07058623212783487
13800,[-8.30663 -8.30663 -8.30663],[1.95404 1.95404 1.95404],0.06923409186710754
13900,[-7.74782 -7.74782 -7.74782],[0.50018 0.50018 0.50018],0.06790785302128181
14000,[-7.28077 -7.28077 -7.28077],[2.08400 2.08400 2.08400],0.06660701942637696
14100,[-7.36102 -7.36102 -7.36102],[1.08804 1.08804 1.08804],0.06533110442286261
14200,[-7.38584 -7.38584 -7.38584],[0.99494 0.99494 0.99494],0.06407963067359165
14300,[-6.97738 -6.97738 -6.97738],[0.10999 0.10999 0.10999],0.06285212998522217
14400,[-6.92536 -6.92536 -6.92536],[0.59959 0.59959 0.59959],0.06164814313306115
14500,[-7.73108 -7.73108 -7.73108],[1.09334 1.09334 1.09334],0.060467219689260644
14600,[-7.18147 -7.18147 -7.18147],[0.70474 0.70474 0.70474],0.05930891785430729
14700,[-7.23489 -7.23489 -7.23489],[0.46174 0.46174 0.46174],0.058172804291739794
14800,[-8.26779 -8.26779 -8.26779],[1.77024 1.77024 1.77024],0.05705845396602985
14900,[-7.77049 -7.77049 -7.77049],[1.42571 1.42571 1.42571],0.0559654499835732
15000,[-7.35230 -7.35230 -7.35230],[1.12709 1.12709 1.12709],0.054893383436722246
15100,[-8.07302 -8.07302 -8.07302],[0.63833 0.63833 0.63833],0.05384185325080839
15200,[-8.94917 -8.94917 -8.94917],[2.78203 2.78203 2.78203],0.052810466034095
15300,[-7.60735 -7.60735 -7.60735],[0.96043 0.96043 0.96043],0.0517988359306045
15400,[-9.10067 -9.10067 -9.10067],[0.67729 0.67729 0.67729],0.050806584475763444
15500,[-7.40513 -7.40513 -7.40513],[0.20324 0.20324 0.20324],0.04983334045481433
15600,[-6.91825 -6.91825 -6.91825],[0.39839 0.39839 0.39839],0.04887873976393924
15700,[-7.71866 -7.71866 -7.71866],[1.77479 1.77479 1.77479],0.04794242527404348
15800,[-7.44510 -7.44510 -7.44510],[0.55186 0.55186 0.55186],0.04702404669714843
15900,[-7.84054 -7.84054 -7.84054],[0.93701 0.93701 0.93701],0.046123260455344255
16000,[-6.94107 -6.94107 -6.94107],[0.68650 0.68650 0.68650],0.04523972955225327
16100,[-7.03498 -7.03498 -7.03498],[0.34903 0.34903 0.34903],0.04437312344695435
16200,[-8.10134 -8.10134 -8.10134],[1.45200 1.45200 1.45200],0.043523117930323194
16300,[-7.42785 -7.42785 -7.42785],[2.77861 2.77861 2.77861],0.04268939500374168
16400,[-7.49320 -7.49320 -7.49320],[0.49376 0.49376 0.49376],0.041871642760129536
16500,[-7.41888 -7.41888 -7.41888],[0.47620 0.47620 0.47620],0.04106955526725636
16600,[-8.51109 -8.51109 -8.51109],[2.19567 2.19567 2.19567],0.04028283245328805
16700,[-7.44692 -7.44692 -7.44692],[0.61503 0.61503 0.61503],0.03951117999452536
16800,[-7.15456 -7.15456 -7.15456],[0.75505 0.75505 0.75505],0.03875430920529417
16900,[-7.11628 -7.11628 -7.11628],[0.92349 0.92349 0.92349],0.0380119369299437
17000,[-6.79195 -6.79195 -6.79195],[0.17875 0.17875 0.17875],0.037283785436914234
17100,[-7.71655 -7.71655 -7.71655],[0.39045 0.39045 0.39045],0.03656958231483421
17200,[-7.21541 -7.21541 -7.21541],[1.59305 1.59305 1.59305],0.03586906037060684
17300,[-7.87632 -7.87632 -7.87632],[1.49011 1.49011 1.49011],0.03518195752945035
17400,[-6.97474 -6.97474 -6.97474],[0.35742 0.35742 0.35742],0.03450801673685192
17500,[-7.32984 -7.32984 -7.32984],[0.95225 0.95225 0.95225],0.03384698586239955
17600,[-7.51335 -7.51335 -7.51335],[0.93698 0.93698 0.93698],0.03319861760545757
17700,[-7.69556 -7.69556 -7.69556],[1.82959 1.82959 1.82959],0.03256266940264736
17800,[-7.43561 -7.43561 -7.43561],[0.32402 0.32402 0.32402],0.03193890333710149
17900,[-7.62386 -7.62386 -7.62386],[2.31135 2.31135 2.31135],0.03132708604945565
18000,[-7.38341 -7.38341 -7.38341],[0.69691 0.69691 0.69691],0.030726988650546044
18100,[-7.99836 -7.99836 -7.99836],[0.40986 0.40986 0.40986],0.03013838663577808
18200,[-7.63801 -7.63801 -7.63801],[0.77152 0.77152 0.77152],0.029561059801136994
