iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,6.13749,0.43350,6.59503,0.44153,6.30912,0.43276
1,200,2.58212,0.34669,2.62024,0.34957,2.65329,0.34583
2,300,2.32379,0.33982,2.32252,0.34228,2.30985,0.34388
3,400,2.24313,0.34148,2.15300,0.33746,2.23129,0.34030
4,500,2.17313,0.33792,2.08307,0.33484,2.13926,0.33966
5,600,2.01539,0.33873,2.03610,0.33726,2.03667,0.34135
6,700,1.96012,0.33770,2.01268,0.33576,1.95359,0.34112
7,800,1.91180,0.33687,1.99574,0.33841,1.91339,0.33966
8,900,1.86635,0.33796,1.88736,0.33793,1.80496,0.33842
9,1000,1.84516,0.33793,1.84455,0.33647,1.74175,0.33981
10,1100,1.84055,0.34020,1.81985,0.33850,1.69441,0.33858
11,1200,1.79009,0.33781,1.74834,0.33912,1.67969,0.33713
12,1300,1.73361,0.33640,1.74181,0.33917,1.72002,0.34063
13,1400,1.77302,0.34022,1.76366,0.33957,1.70358,0.33981
14,1500,1.73008,0.33848,1.69575,0.33975,1.76961,0.34185
15,1600,1.73627,0.33936,1.71098,0.34004,1.72987,0.34150
16,1700,1.74869,0.34068,1.69449,0.34014,1.71833,0.34086
17,1800,1.77239,0.34441,1.73058,0.34063,1.72126,0.34120
18,1900,1.74459,0.34102,1.69501,0.33826,1.73717,0.34270
19,2000,1.72286,0.34155,1.68559,0.33981,1.73134,0.34083
20,2100,1.72238,0.34350,1.71336,0.34367,1.70238,0.33812
21,2200,1.69965,0.34354,1.70494,0.34142,1.70902,0.34091
22,2300,1.72950,0.34573,1.70544,0.34321,1.69448,0.33810
23,2400,1.70452,0.34213,1.71148,0.34216,1.69376,0.33856
24,2500,1.69630,0.34159,1.73687,0.34370,1.68395,0.33959
25,2600,1.71755,0.34409,1.72176,0.34152,1.71282,0.34247
26,2700,1.69649,0.34479,1.73314,0.34243,1.67927,0.33813
27,2800,1.71403,0.34733,1.72372,0.34399,1.72304,0.33974
28,2900,1.73569,0.34485,1.76268,0.34807,1.73087,0.33856
29,3000,1.70209,0.34776,1.75169,0.34775,1.69563,0.34082
30,3100,1.70455,0.34784,1.74057,0.34636,1.73081,0.34124
31,3200,1.71510,0.34903,1.78208,0.34851,1.72619,0.34160
32,3300,1.69377,0.34861,1.76785,0.34724,1.74328,0.34412
33,3400,1.70113,0.34846,1.73427,0.34719,1.74949,0.34434
34,3500,1.69609,0.34866,1.70581,0.34619,1.73214,0.34427
35,3600,1.72022,0.34861,1.75445,0.34672,1.73363,0.34486
36,3700,1.73512,0.34943,1.74712,0.34743,1.72182,0.34199
37,3800,1.70995,0.35088,1.75582,0.34768,1.71838,0.34137
38,3900,1.75623,0.35237,1.71150,0.34760,1.69806,0.34375
39,4000,1.68820,0.35191,1.73922,0.34807,1.72476,0.34449
40,4100,1.72166,0.35327,1.76166,0.34975,1.72881,0.34713
41,4200,1.74935,0.35394,1.73964,0.35141,1.71015,0.34346
42,4300,1.69076,0.35377,1.76834,0.34996,1.74865,0.34695
43,4400,1.70398,0.34811,1.76948,0.34917,1.75700,0.34531
44,4500,1.71172,0.35253,1.78488,0.35258,1.77288,0.34836
45,4600,1.72952,0.35315,1.74794,0.34968,1.75475,0.34808
46,4700,1.73819,0.35031,1.79992,0.35238,1.75806,0.34812
47,4800,1.80870,0.35499,1.81671,0.35148,1.79943,0.34870
48,4900,1.87396,0.35396,1.85974,0.35313,1.79516,0.34930
49,5000,1.76424,0.35703,1.83079,0.35328,1.84886,0.35031
50,5100,1.77050,0.35236,1.87518,0.35273,1.80456,0.34930
51,5200,1.78996,0.35393,1.81747,0.35227,1.81041,0.34582
52,5300,1.79984,0.35426,1.81545,0.35156,1.79106,0.34899
53,5400,1.85486,0.35176,1.87013,0.35375,1.86148,0.34473
54,5500,1.85187,0.35142,1.87207,0.35359,1.85017,0.34636
55,5600,1.83784,0.35568,1.84908,0.35072,1.84555,0.34748
56,5700,1.85033,0.35271,1.88974,0.35269,1.85718,0.34516
57,5800,1.84541,0.35438,1.90231,0.35131,1.86667,0.34648
58,5900,1.85851,0.35426,1.91718,0.35325,1.89263,0.34623
59,6000,1.86957,0.35227,1.87229,0.35174,1.90698,0.34479
60,6100,1.85460,0.35295,1.87338,0.34961,1.94421,0.34513
61,6200,1.93190,0.35264,1.89966,0.35254,1.92062,0.34668
62,6300,1.91589,0.35445,1.91843,0.35033,1.88149,0.34342
63,6400,1.92572,0.35045,1.92469,0.34907,1.86811,0.34276
64,6500,1.91523,0.35118,1.87539,0.34947,1.92371,0.34294
65,6600,1.90937,0.34975,1.93238,0.34963,1.91467,0.34393
66,6700,1.99273,0.35090,1.92447,0.34845,1.88855,0.34304
67,6800,1.94326,0.35088,1.94598,0.35033,1.95455,0.34107
68,6900,1.92497,0.35114,1.97638,0.35079,1.97997,0.34219
69,7000,1.94123,0.35128,1.97632,0.35000,1.95486,0.34055
70,7100,1.92048,0.35101,1.97499,0.34642,1.93536,0.33659
71,7200,1.92246,0.34935,1.99520,0.34965,1.96120,0.33736
72,7300,1.96183,0.34713,1.92191,0.34604,1.96782,0.33919
73,7400,1.92658,0.34948,1.95292,0.34493,1.94952,0.33885
74,7500,1.96515,0.34787,1.96614,0.34753,1.99135,0.33588
75,7600,1.94943,0.34592,1.94707,0.34569,1.99231,0.33675
76,7700,2.00757,0.34865,1.98477,0.34597,2.00984,0.33440
