number,rewards,variances,exploration_value
0,[-14.28978 -14.28978 -14.28978],[15.99129 15.99129 15.99129],0.9988953697090716
100,[-10.89089 -10.89089 -10.89089],[6.85762 6.85762 6.85762],0.9797606658876263
200,[-10.22372 -10.22372 -10.22372],[5.19547 5.19547 5.19547],0.9609925038496699
300,[-17.75111 -17.75111 -17.75111],[6.91531 6.91531 6.91531],0.9425838621706605
400,[-14.07927 -14.07927 -14.07927],[3.81325 3.81325 3.81325],0.9245278539275122
500,[-12.53442 -12.53442 -12.53442],[6.88987 6.88987 6.88987],0.9068177241220878
600,[-14.36958 -14.36958 -14.36958],[11.77812 11.77812 11.77812],0.889446847154093
700,[-12.65689 -12.65689 -12.65689],[1.43158 1.43158 1.43158],0.8724087243423219
800,[-11.55457 -11.55457 -11.55457],[3.98520 3.98520 3.98520],0.8556969814934174
900,[-11.21740 -11.21740 -11.21740],[1.93702 1.93702 1.93702],0.8393053665172148
1000,[-10.77353 -10.77353 -10.77353],[3.07258 3.07258 3.07258],0.8232277470877281
1100,[-10.51375 -10.51375 -10.51375],[3.37337 3.37337 3.37337],0.8074581083489812
1200,[-10.36920 -10.36920 -10.36920],[1.27021 1.27021 1.27021],0.7919905506647517
1300,[-10.05202 -10.05202 -10.05202],[2.77049 2.77049 2.77049],0.7768192874114557
1400,[-9.55892 -9.55892 -9.55892],[1.48722 1.48722 1.48722],0.7619386428132808
1500,[-7.98590 -7.98590 -7.98590],[2.25914 2.25914 2.25914],0.7473430498187978
1600,[-7.51641 -7.51641 -7.51641],[0.81744 0.81744 0.81744],0.7330270480182665
1700,[-8.01296 -8.01296 -8.01296],[1.98405 1.98405 1.98405],0.7189852816008054
1800,[-7.49132 -7.49132 -7.49132],[2.87377 2.87377 2.87377],0.705212497350724
1900,[-7.34957 -7.34957 -7.34957],[0.32182 0.32182 0.32182],0.6917035426822101
2000,[-8.12885 -8.12885 -8.12885],[0.99494 0.99494 0.99494],0.6784533637116886
2100,[-8.17091 -8.17091 -8.17091],[0.83969 0.83969 0.83969],0.6654570033670938
2200,[-7.74536 -7.74536 -7.74536],[1.20024 1.20024 1.20024],0.6527095995333525
2300,[-7.72323 -7.72323 -7.72323],[2.54979 2.54979 2.54979],0.6402063832334086
2400,[-7.42305 -7.42305 -7.42305],[1.01791 1.01791 1.01791],0.6279426768440843
2500,[-6.43036 -6.43036 -6.43036],[0.40928 0.40928 0.40928],0.6159138923461105
2600,[-7.01447 -7.01447 -7.01447],[0.85268 0.85268 0.85268],0.6041155296076918
2700,[-7.70459 -7.70459 -7.70459],[1.17539 1.17539 1.17539],0.5925431747009424
2800,[-8.18542 -8.18542 -8.18542],[1.27933 1.27933 1.27933],0.5811924982505915
2900,[-8.26060 -8.26060 -8.26060],[0.46799 0.46799 0.46799],0.5700592538142826
3000,[-7.55739 -7.55739 -7.55739],[0.19459 0.19459 0.19459],0.5591392762939287
3100,[-7.04317 -7.04317 -7.04317],[0.15541 0.15541 0.15541],0.5484284803774964
3200,[-8.02988 -8.02988 -8.02988],[0.06771 0.06771 0.06771],0.5379228590106419
3300,[-8.26261 -8.26261 -8.26261],[2.08326 2.08326 2.08326],0.5276184818975981
3400,[-8.29623 -8.29623 -8.29623],[1.20543 1.20543 1.20543],0.5175114940308205
3500,[-7.63479 -7.63479 -7.63479],[2.20143 2.20143 2.20143],0.5075981142487541
3600,[-8.85299 -8.85299 -8.85299],[0.20337 0.20337 0.20337],0.4978746338212661
3700,[-6.96998 -6.96998 -6.96998],[0.60494 0.60494 0.60494],0.48833741506215295
3800,[-9.01748 -9.01748 -9.01748],[2.14357 2.14357 2.14357],0.47898288996823385
3900,[-7.28432 -7.28432 -7.28432],[1.26000 1.26000 1.26000],0.46980755888450715
4000,[-8.01631 -8.01631 -8.01631],[1.42102 1.42102 1.42102],0.4608079891948918
4100,[-7.77425 -7.77425 -7.77425],[0.31363 0.31363 0.31363],0.45198081403803075
4200,[-7.56515 -7.56515 -7.56515],[0.86886 0.86886 0.86886],0.4433227310477052
4300,[-6.90128 -6.90128 -6.90128],[1.03302 1.03302 1.03302],0.43483050111737453
4400,[-7.23903 -7.23903 -7.23903],[0.97847 0.97847 0.97847],0.42650094718838294
4500,[-8.18331 -8.18331 -8.18331],[0.82165 0.82165 0.82165],0.4183309530613763
4600,[-8.22280 -8.22280 -8.22280],[1.84307 1.84307 1.84307],0.41031746223049576
4700,[-7.52756 -7.52756 -7.52756],[0.54444 0.54444 0.54444],0.4024574767398885
