iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,6.64346,0.53574,1.61052,7.29814,0.55945,1.61193,6.48250,0.52741,1.61043
1,200,2.14494,0.52572,1.61037,2.43995,0.54619,1.61172,2.26310,0.52639,1.61116
2,300,1.37194,0.51506,1.61070,1.41414,0.53441,1.61154,1.32732,0.51929,1.61160
3,400,1.06865,0.50754,1.61154,1.07980,0.52438,1.61200,1.04836,0.51331,1.61193
4,500,0.89643,0.50022,1.61078,0.92826,0.51014,1.61171,0.90791,0.50428,1.61040
5,600,0.81356,0.48994,1.61142,0.82232,0.49834,1.61153,0.80076,0.49486,1.61067
6,700,0.74974,0.47737,1.61090,0.73326,0.49034,1.61135,0.74116,0.48335,1.61057
7,800,0.68882,0.46806,1.61108,0.66869,0.47610,1.61121,0.67336,0.47275,1.61078
8,900,0.63964,0.45878,1.61107,0.60231,0.46679,1.61105,0.60592,0.46454,1.61123
9,1000,0.61684,0.44796,1.61063,0.58389,0.45693,1.61064,0.56264,0.45476,1.61150
10,1100,0.57332,0.43861,1.61083,0.55757,0.44800,1.61106,0.53098,0.44525,1.61087
11,1200,0.56860,0.43252,1.61089,0.54235,0.43943,1.61158,0.54007,0.43784,1.61116
12,1300,0.53890,0.42229,1.61094,0.54115,0.42598,1.61036,0.53707,0.42805,1.61098
13,1400,0.53727,0.41393,1.60997,0.54017,0.41713,1.61025,0.51941,0.41842,1.61085
14,1500,0.53722,0.40550,1.60966,0.53225,0.40886,1.61051,0.53553,0.41009,1.61023
15,1600,0.52952,0.39442,1.61100,0.53211,0.39754,1.61022,0.52184,0.39969,1.61035
16,1700,0.53253,0.38629,1.61024,0.53954,0.38886,1.61014,0.53737,0.39204,1.61030
17,1800,0.53423,0.37762,1.60973,0.54940,0.38048,1.61011,0.52068,0.38227,1.60974
18,1900,0.52206,0.36997,1.61028,0.53559,0.37269,1.61009,0.51942,0.37540,1.60994
19,2000,0.52260,0.36085,1.61001,0.52703,0.36392,1.60915,0.51682,0.36655,1.60968
20,2100,0.53423,0.35340,1.61039,0.54194,0.35590,1.60948,0.52417,0.35856,1.60977
21,2200,0.53284,0.34467,1.60977,0.55140,0.34749,1.60935,0.53486,0.35006,1.60951
22,2300,0.51829,0.33706,1.60949,0.53634,0.34005,1.60909,0.53750,0.34263,1.60993
23,2400,0.52812,0.33018,1.60927,0.54660,0.33269,1.60855,0.52792,0.33523,1.60961
24,2500,0.52337,0.32331,1.60841,0.55341,0.32476,1.60857,0.52907,0.32887,1.60948
25,2600,0.52278,0.31708,1.60861,0.54114,0.31857,1.60864,0.53490,0.32019,1.60953
26,2700,0.53843,0.31044,1.60823,0.54478,0.31112,1.60805,0.54239,0.31260,1.60940
27,2800,0.52270,0.30305,1.60897,0.54221,0.30295,1.60750,0.53816,0.30608,1.60923
28,2900,0.52669,0.29736,1.60878,0.54524,0.29622,1.60783,0.53407,0.30042,1.60947
29,3000,0.52637,0.29057,1.60824,0.55021,0.29072,1.60811,0.55146,0.29384,1.60916
30,3100,0.52910,0.28479,1.60848,0.55274,0.28523,1.60815,0.54582,0.28708,1.60909
31,3200,0.52752,0.27883,1.60823,0.54398,0.27741,1.60798,0.54782,0.28106,1.60883
32,3300,0.52750,0.27272,1.60835,0.55273,0.27367,1.60858,0.55312,0.27462,1.60954
33,3400,0.52986,0.26597,1.60894,0.55589,0.26700,1.60796,0.55802,0.26820,1.60924
34,3500,0.52480,0.26050,1.60811,0.58475,0.26089,1.60789,0.54511,0.26250,1.60951
35,3600,0.54926,0.25532,1.60827,0.55636,0.25587,1.60774,0.54658,0.25768,1.60895
36,3700,0.53417,0.25068,1.60792,0.56826,0.25075,1.60783,0.55832,0.25164,1.60826
37,3800,0.54695,0.24484,1.60795,0.56259,0.24506,1.60761,0.55610,0.24750,1.60795
38,3900,0.55807,0.23997,1.60835,0.57947,0.24009,1.60738,0.57357,0.24187,1.60843
39,4000,0.54538,0.23501,1.60798,0.56629,0.23517,1.60806,0.58550,0.23704,1.60803
40,4100,0.54724,0.23073,1.60811,0.58787,0.23003,1.60709,0.57345,0.23039,1.60869
41,4200,0.55671,0.22568,1.60836,0.59933,0.22511,1.60755,0.57318,0.22684,1.60812
42,4300,0.54628,0.22060,1.60743,0.57343,0.22089,1.60737,0.58141,0.22240,1.60739
43,4400,0.56653,0.21650,1.60761,0.59282,0.21629,1.60716,0.58350,0.21751,1.60741
44,4500,0.57316,0.21227,1.60747,0.59739,0.21165,1.60760,0.57155,0.21241,1.60666
45,4600,0.57403,0.20720,1.60707,0.59919,0.20737,1.60673,0.58119,0.20825,1.60691
46,4700,0.57909,0.20354,1.60777,0.60035,0.20392,1.60740,0.59588,0.20451,1.60656
47,4800,0.59679,0.19950,1.60759,0.60620,0.19908,1.60746,0.60237,0.19936,1.60634
48,4900,0.60668,0.19512,1.60749,0.61124,0.19517,1.60692,0.59252,0.19530,1.60634
49,5000,0.59005,0.19100,1.60772,0.61242,0.19065,1.60644,0.60180,0.19143,1.60664
50,5100,0.59843,0.18712,1.60718,0.62134,0.18717,1.60682,0.60898,0.18731,1.60654
51,5200,0.59198,0.18269,1.60682,0.61264,0.18339,1.60586,0.60958,0.18361,1.60568
52,5300,0.59957,0.17959,1.60650,0.62006,0.17971,1.60677,0.62078,0.17942,1.60550
53,5400,0.59792,0.17562,1.60627,0.62139,0.17604,1.60624,0.62353,0.17636,1.60596
54,5500,0.60137,0.17206,1.60682,0.61228,0.17230,1.60614,0.61744,0.17246,1.60542
55,5600,0.60745,0.16812,1.60643,0.64631,0.16809,1.60540,0.61931,0.16806,1.60556
56,5700,0.60499,0.16461,1.60584,0.63416,0.16529,1.60610,0.61042,0.16488,1.60568
57,5800,0.60572,0.16147,1.60643,0.64149,0.16206,1.60591,0.62172,0.16144,1.60536
58,5900,0.61423,0.15785,1.60596,0.63555,0.15837,1.60539,0.61459,0.15818,1.60512
59,6000,0.61649,0.15482,1.60627,0.61611,0.15503,1.60585,0.63270,0.15420,1.60490
60,6100,0.61645,0.15170,1.60592,0.64155,0.15173,1.60542,0.66381,0.15151,1.60480
61,6200,0.61657,0.14871,1.60641,0.63662,0.14893,1.60603,0.63979,0.14835,1.60483
62,6300,0.62214,0.14587,1.60624,0.63560,0.14556,1.60562,0.63384,0.14562,1.60481
63,6400,0.61723,0.14232,1.60586,0.62301,0.14194,1.60560,0.63595,0.14236,1.60469
64,6500,0.62529,0.13931,1.60588,0.63389,0.14006,1.60607,0.64209,0.13936,1.60467
65,6600,0.63168,0.13647,1.60599,0.65204,0.13659,1.60543,0.64190,0.13603,1.60482
66,6700,0.63539,0.13354,1.60624,0.62983,0.13405,1.60524,0.64695,0.13347,1.60425
67,6800,0.63291,0.13126,1.60566,0.63467,0.13118,1.60540,0.64002,0.13066,1.60477
68,6900,0.62515,0.12822,1.60602,0.64160,0.12837,1.60515,0.65079,0.12793,1.60474
69,7000,0.64587,0.12508,1.60571,0.64615,0.12595,1.60579,0.65256,0.12530,1.60442
70,7100,0.63140,0.12283,1.60582,0.68538,0.12321,1.60531,0.65319,0.12232,1.60428
71,7200,0.62636,0.12022,1.60553,0.64355,0.12046,1.60496,0.65621,0.12018,1.60430
72,7300,0.62115,0.11755,1.60569,0.63248,0.11806,1.60563,0.66067,0.11770,1.60425
73,7400,0.63902,0.11485,1.60512,0.65607,0.11530,1.60535,0.65593,0.11518,1.60377
74,7500,0.63391,0.11273,1.60533,0.64077,0.11298,1.60514,0.65683,0.11291,1.60399
75,7600,0.63899,0.11002,1.60511,0.66664,0.11059,1.60490,0.65367,0.11029,1.60353
76,7700,0.63774,0.10768,1.60510,0.64807,0.10836,1.60520,0.65044,0.10787,1.60342
77,7800,0.65857,0.10546,1.60595,0.66411,0.10593,1.60522,0.64584,0.10580,1.60348
78,7900,0.62420,0.10307,1.60553,0.67580,0.10368,1.60470,0.66436,0.10334,1.60311
79,8000,0.64155,0.10107,1.60552,0.64317,0.10170,1.60542,0.64986,0.10100,1.60272
80,8100,0.64199,0.09874,1.60541,0.65969,0.09957,1.60538,0.66066,0.09902,1.60308
81,8200,0.64254,0.09701,1.60489,0.66048,0.09732,1.60550,0.65699,0.09664,1.60208
82,8300,0.64857,0.09465,1.60511,0.68411,0.09523,1.60506,0.67595,0.09490,1.60307
83,8400,0.64523,0.09275,1.60461,0.67253,0.09308,1.60498,0.67141,0.09283,1.60286
84,8500,0.64463,0.09073,1.60515,0.65038,0.09102,1.60551,0.66203,0.09082,1.60279
85,8600,0.68015,0.08893,1.60454,0.66405,0.08926,1.60491,0.66514,0.08898,1.60276
86,8700,0.63348,0.08696,1.60480,0.66805,0.08727,1.60410,0.67213,0.08709,1.60279
87,8800,0.64593,0.08503,1.60422,0.67725,0.08531,1.60522,0.70172,0.08487,1.60305
88,8900,0.62727,0.08309,1.60450,0.66686,0.08355,1.60475,0.67479,0.08325,1.60247
89,9000,0.64447,0.08147,1.60426,0.68150,0.08186,1.60472,0.67352,0.08156,1.60257
90,9100,0.64682,0.07966,1.60493,0.67990,0.08019,1.60451,0.66283,0.07989,1.60268
91,9200,0.65305,0.07816,1.60498,0.68706,0.07872,1.60513,0.67886,0.07851,1.60246
92,9300,0.64891,0.07693,1.60424,0.66929,0.07708,1.60452,0.67369,0.07664,1.60165
93,9400,0.65849,0.07528,1.60382,0.64883,0.07561,1.60485,0.67961,0.07556,1.60180
94,9500,0.64935,0.07396,1.60448,0.67313,0.07408,1.60477,0.67598,0.07383,1.60185
95,9600,0.66940,0.07259,1.60437,0.68635,0.07292,1.60408,0.68379,0.07254,1.60148
96,9700,0.65758,0.07118,1.60443,0.67761,0.07159,1.60476,0.68140,0.07134,1.60133
97,9800,0.65867,0.06997,1.60421,0.68041,0.07057,1.60442,0.69132,0.06984,1.60176
98,9900,0.67548,0.06890,1.60381,0.68996,0.06909,1.60410,0.67552,0.06907,1.60154
99,10000,0.66122,0.06780,1.60403,0.69027,0.06809,1.60423,0.68708,0.06776,1.60166
100,10100,0.67367,0.06680,1.60408,0.67418,0.06678,1.60467,0.68293,0.06664,1.60090
101,10200,0.66951,0.06563,1.60402,0.67260,0.06577,1.60433,0.67429,0.06547,1.60151
102,10300,0.66621,0.06459,1.60345,0.67225,0.06469,1.60445,0.68579,0.06454,1.60079
103,10400,0.67390,0.06352,1.60426,0.69036,0.06345,1.60449,0.68418,0.06351,1.60121
104,10500,0.66009,0.06236,1.60406,0.69548,0.06270,1.60411,0.68579,0.06243,1.60083
105,10600,0.66969,0.06148,1.60342,0.69023,0.06156,1.60394,0.69868,0.06136,1.60004
106,10700,0.65938,0.06065,1.60372,0.69298,0.06067,1.60417,0.69661,0.06058,1.60051
107,10800,0.67085,0.05972,1.60390,0.70520,0.06011,1.60451,0.69930,0.05985,1.60038
108,10900,0.67093,0.05887,1.60419,0.70510,0.05917,1.60464,0.70025,0.05879,1.60068
109,11000,0.66841,0.05801,1.60378,0.70325,0.05818,1.60383,0.71337,0.05818,1.60017
110,11100,0.65638,0.05713,1.60353,0.70326,0.05741,1.60427,0.69797,0.05720,1.59994
111,11200,0.67383,0.05638,1.60361,0.69404,0.05668,1.60400,0.72857,0.05659,1.59974
112,11300,0.67936,0.05584,1.60345,0.70732,0.05599,1.60423,0.69670,0.05562,1.59956
113,11400,0.68112,0.05501,1.60392,0.70948,0.05512,1.60388,0.70762,0.05509,1.60012
114,11500,0.64988,0.05426,1.60365,0.70899,0.05430,1.60422,0.69802,0.05412,1.59941
115,11600,0.67182,0.05372,1.60324,0.72636,0.05356,1.60396,0.70802,0.05363,1.59987
116,11700,0.65942,0.05306,1.60344,0.71960,0.05299,1.60367,0.72024,0.05275,1.59905
117,11800,0.66794,0.05226,1.60342,0.72319,0.05238,1.60366,0.71663,0.05206,1.59908
118,11900,0.67293,0.05169,1.60312,0.71819,0.05157,1.60307,0.72667,0.05157,1.59935
119,12000,0.67966,0.05108,1.60313,0.71342,0.05112,1.60395,0.72553,0.05101,1.59913
120,12100,0.70616,0.05030,1.60314,0.70182,0.05043,1.60345,0.70442,0.05053,1.59855
121,12200,0.68417,0.04968,1.60305,0.69277,0.04974,1.60344,0.71324,0.04981,1.59915
122,12300,0.67692,0.04924,1.60281,0.71546,0.04934,1.60328,0.70267,0.04936,1.59876
