iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,7.02459,0.55117,2.70800,7.11619,0.55124,2.70732,7.07028,0.55188,2.70718
1,200,2.16992,0.52491,2.70669,2.32276,0.52447,2.70618,2.27019,0.52415,2.70568
2,300,1.35488,0.49615,2.70550,1.35255,0.49580,2.70542,1.29717,0.49547,2.70471
3,400,1.04566,0.46889,2.70298,1.03599,0.46700,2.70237,1.02531,0.46664,2.70322
4,500,0.88454,0.44302,2.70163,0.90125,0.44214,2.70118,0.90235,0.44080,2.70119
5,600,0.80586,0.41415,2.69975,0.80993,0.41228,2.69987,0.79783,0.41345,2.70036
6,700,0.74543,0.38822,2.69842,0.72263,0.38793,2.69743,0.73202,0.38791,2.69793
7,800,0.67737,0.36583,2.69606,0.65802,0.36557,2.69629,0.66465,0.36509,2.69623
8,900,0.62238,0.34286,2.69467,0.59438,0.34229,2.69447,0.59456,0.34329,2.69421
9,1000,0.60297,0.32168,2.69287,0.57604,0.32133,2.69293,0.54561,0.32076,2.69307
10,1100,0.57285,0.30085,2.69159,0.55647,0.30135,2.69096,0.52545,0.30017,2.69154
11,1200,0.56958,0.28339,2.68977,0.53988,0.28221,2.68973,0.53428,0.28253,2.68913
12,1300,0.54140,0.26479,2.68793,0.54166,0.26362,2.68794,0.52869,0.26433,2.68773
13,1400,0.53817,0.24696,2.68682,0.54578,0.24693,2.68701,0.52054,0.24654,2.68622
14,1500,0.53761,0.23151,2.68469,0.53905,0.23103,2.68493,0.52210,0.23032,2.68436
15,1600,0.52841,0.21582,2.68276,0.53540,0.21549,2.68325,0.51631,0.21552,2.68325
16,1700,0.52927,0.20200,2.68167,0.53683,0.20162,2.68096,0.53179,0.20172,2.68145
17,1800,0.53994,0.18850,2.67987,0.52743,0.18843,2.67918,0.51658,0.18850,2.67870
