iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,24.87885,1.03974,25.05269,1.04107,25.03551,1.04275
1,200,8.51923,1.01321,8.95769,1.01134,8.73188,1.01059
2,300,2.79165,0.97192,2.81446,0.97155,2.68849,0.97221
3,400,1.59472,0.93921,1.56294,0.93479,1.53348,0.93221
4,500,1.11475,0.91165,1.10642,0.91040,1.11573,0.90791
5,600,0.91303,0.87412,0.92171,0.87116,0.91690,0.87597
6,700,0.82439,0.84204,0.81383,0.84022,0.83117,0.84059
7,800,0.75173,0.81499,0.76396,0.81525,0.77008,0.81343
8,900,0.70960,0.78934,0.70516,0.78505,0.72559,0.78867
9,1000,0.68157,0.75676,0.67855,0.75754,0.66335,0.75610
10,1100,0.62938,0.72778,0.62842,0.72828,0.61154,0.72566
11,1200,0.62807,0.70517,0.59695,0.70365,0.59819,0.70406
12,1300,0.59498,0.67728,0.58888,0.67029,0.57988,0.67606
13,1400,0.57061,0.64738,0.57639,0.64730,0.55930,0.64822
14,1500,0.57884,0.62314,0.57919,0.62206,0.55326,0.61995
15,1600,0.56947,0.59801,0.56475,0.59495,0.54451,0.59552
16,1700,0.56821,0.57372,0.55382,0.56949,0.55557,0.57167
17,1800,0.57624,0.54871,0.55092,0.54837,0.53377,0.54680
18,1900,0.56189,0.52306,0.55524,0.52357,0.54661,0.52457
19,2000,0.55910,0.50111,0.55882,0.50077,0.54233,0.50207
20,2100,0.55897,0.47813,0.54671,0.47870,0.54165,0.47984
21,2200,0.55615,0.45747,0.55429,0.45789,0.54024,0.45833
22,2300,0.55785,0.43674,0.54560,0.43779,0.55501,0.43641
23,2400,0.55719,0.41968,0.54309,0.41824,0.54732,0.42095
24,2500,0.55682,0.40155,0.54794,0.40161,0.54512,0.40128
25,2600,0.54922,0.38493,0.55143,0.38540,0.54379,0.38216
26,2700,0.56347,0.36741,0.54254,0.36866,0.55279,0.36610
27,2800,0.54620,0.35171,0.54440,0.35185,0.54584,0.35160
28,2900,0.54606,0.33632,0.54577,0.33497,0.53522,0.33771
29,3000,0.54743,0.32228,0.56341,0.32155,0.55062,0.32227
30,3100,0.54624,0.30830,0.54894,0.30919,0.54621,0.30912
31,3200,0.54735,0.29500,0.55456,0.29277,0.55701,0.29475
32,3300,0.53844,0.28221,0.56715,0.28328,0.55228,0.28249
33,3400,0.54346,0.27144,0.54819,0.26993,0.54818,0.27110
34,3500,0.55709,0.25948,0.56446,0.25904,0.55464,0.25889
35,3600,0.56489,0.24836,0.56697,0.24889,0.56131,0.24866
36,3700,0.55466,0.23834,0.56606,0.23899,0.56764,0.23838
37,3800,0.55641,0.22881,0.56739,0.22798,0.56087,0.22955
38,3900,0.57427,0.21974,0.57205,0.21937,0.57265,0.21911
39,4000,0.56507,0.21119,0.57376,0.21116,0.57035,0.21154
40,4100,0.57012,0.20337,0.58124,0.20392,0.58631,0.20190
41,4200,0.56936,0.19633,0.59932,0.19473,0.59255,0.19652
42,4300,0.58617,0.18837,0.58558,0.18876,0.58732,0.18820
43,4400,0.57341,0.18194,0.59224,0.18259,0.59994,0.18253
44,4500,0.57812,0.17602,0.59701,0.17575,0.59378,0.17662
45,4600,0.58983,0.17130,0.58446,0.17057,0.60696,0.17047
46,4700,0.60432,0.16667,0.60763,0.16618,0.61122,0.16605
47,4800,0.59771,0.16148,0.61445,0.16082,0.60306,0.16155
48,4900,0.60384,0.15791,0.60571,0.15694,0.60671,0.15593
49,5000,0.59153,0.15355,0.62255,0.15281,0.63984,0.15296
50,5100,0.61300,0.15034,0.62837,0.15029,0.61162,0.14954
