number,rewards,variances,exploration_value
0,[-15.27062 -15.27062 -15.27062],[7.13139 7.13139 7.13139],0.9988953697090716
100,[-9.71831 -9.71831 -9.71831],[3.89846 3.89846 3.89846],0.9797606658876263
200,[-9.27351 -9.27351 -9.27351],[1.31801 1.31801 1.31801],0.9609925038496699
300,[-11.40234 -11.40234 -11.40234],[0.75981 0.75981 0.75981],0.9425838621706605
400,[-12.14568 -12.14568 -12.14568],[13.70852 13.70852 13.70852],0.9245278539275122
500,[-13.02924 -13.02924 -13.02924],[10.89382 10.89382 10.89382],0.9068177241220878
600,[-12.87954 -12.87954 -12.87954],[2.11055 2.11055 2.11055],0.889446847154093
700,[-14.53013 -14.53013 -14.53013],[26.41255 26.41255 26.41255],0.8724087243423219
800,[-13.67687 -13.67687 -13.67687],[4.14343 4.14343 4.14343],0.8556969814934174
900,[-11.78323 -11.78323 -11.78323],[2.21707 2.21707 2.21707],0.8393053665172148
1000,[-9.76554 -9.76554 -9.76554],[0.73729 0.73729 0.73729],0.8232277470877281
1100,[-10.14516 -10.14516 -10.14516],[3.01961 3.01961 3.01961],0.8074581083489812
1200,[-9.68901 -9.68901 -9.68901],[1.28807 1.28807 1.28807],0.7919905506647517
1300,[-9.17026 -9.17026 -9.17026],[1.63207 1.63207 1.63207],0.7768192874114557
1400,[-8.14107 -8.14107 -8.14107],[0.20996 0.20996 0.20996],0.7619386428132808
1500,[-8.71827 -8.71827 -8.71827],[3.01446 3.01446 3.01446],0.7473430498187978
1600,[-8.94076 -8.94076 -8.94076],[0.23427 0.23427 0.23427],0.7330270480182665
1700,[-8.05325 -8.05325 -8.05325],[1.17606 1.17606 1.17606],0.7189852816008054
1800,[-8.17497 -8.17497 -8.17497],[1.45407 1.45407 1.45407],0.705212497350724
1900,[-8.20941 -8.20941 -8.20941],[1.04932 1.04932 1.04932],0.6917035426822101
2000,[-7.19745 -7.19745 -7.19745],[0.43908 0.43908 0.43908],0.6784533637116886
2100,[-7.64090 -7.64090 -7.64090],[1.41764 1.41764 1.41764],0.6654570033670938
2200,[-8.41951 -8.41951 -8.41951],[3.31155 3.31155 3.31155],0.6527095995333525
2300,[-7.08760 -7.08760 -7.08760],[0.69528 0.69528 0.69528],0.6402063832334086
2400,[-7.37117 -7.37117 -7.37117],[1.66368 1.66368 1.66368],0.6279426768440843
2500,[-8.08226 -8.08226 -8.08226],[1.19225 1.19225 1.19225],0.6159138923461105
2600,[-7.89055 -7.89055 -7.89055],[1.08078 1.08078 1.08078],0.6041155296076918
2700,[-7.90674 -7.90674 -7.90674],[2.98492 2.98492 2.98492],0.5925431747009424
2800,[-7.32306 -7.32306 -7.32306],[0.35391 0.35391 0.35391],0.5811924982505915
2900,[-8.57108 -8.57108 -8.57108],[1.19415 1.19415 1.19415],0.5700592538142826
3000,[-8.51741 -8.51741 -8.51741],[0.36169 0.36169 0.36169],0.5591392762939287
3100,[-7.54978 -7.54978 -7.54978],[0.71241 0.71241 0.71241],0.5484284803774964
3200,[-6.77840 -6.77840 -6.77840],[0.60591 0.60591 0.60591],0.5379228590106419
3300,[-7.47364 -7.47364 -7.47364],[0.98194 0.98194 0.98194],0.5276184818975981
3400,[-7.83506 -7.83506 -7.83506],[1.10958 1.10958 1.10958],0.5175114940308205
3500,[-8.24250 -8.24250 -8.24250],[1.73334 1.73334 1.73334],0.5075981142487541
3600,[-7.39666 -7.39666 -7.39666],[1.58181 1.58181 1.58181],0.4978746338212661
3700,[-8.20023 -8.20023 -8.20023],[2.07779 2.07779 2.07779],0.48833741506215295
3800,[-7.62232 -7.62232 -7.62232],[0.99998 0.99998 0.99998],0.47898288996823385
3900,[-7.96070 -7.96070 -7.96070],[0.84542 0.84542 0.84542],0.46980755888450715
4000,[-6.79898 -6.79898 -6.79898],[1.04897 1.04897 1.04897],0.4608079891948918
