number,rewards,variances,exploration_value
0,[-15.27062 -15.27062 -15.27062],[7.13139 7.13139 7.13139],0.9988953697090716
100,[-10.87999 -10.87999 -10.87999],[4.36366 4.36366 4.36366],0.9797606658876263
200,[-7.90214 -7.90214 -7.90214],[0.66545 0.66545 0.66545],0.9609925038496699
300,[-12.05727 -12.05727 -12.05727],[8.96947 8.96947 8.96947],0.9425838621706605
400,[-15.83591 -15.83591 -15.83591],[10.07709 10.07709 10.07709],0.9245278539275122
500,[-15.02593 -15.02593 -15.02593],[8.06971 8.06971 8.06971],0.9068177241220878
600,[-16.80592 -16.80592 -16.80592],[4.00604 4.00604 4.00604],0.889446847154093
700,[-18.45650 -18.45650 -18.45650],[7.46575 7.46575 7.46575],0.8724087243423219
800,[-16.21967 -16.21967 -16.21967],[7.84028 7.84028 7.84028],0.8556969814934174
900,[-13.46052 -13.46052 -13.46052],[0.96479 0.96479 0.96479],0.8393053665172148
1000,[-15.61389 -15.61389 -15.61389],[1.05999 1.05999 1.05999],0.8232277470877281
1100,[-14.76484 -14.76484 -14.76484],[4.68835 4.68835 4.68835],0.8074581083489812
1200,[-13.14985 -13.14985 -13.14985],[2.53134 2.53134 2.53134],0.7919905506647517
1300,[-12.31813 -12.31813 -12.31813],[2.23894 2.23894 2.23894],0.7768192874114557
1400,[-11.88764 -11.88764 -11.88764],[1.39620 1.39620 1.39620],0.7619386428132808
1500,[-12.93224 -12.93224 -12.93224],[2.64888 2.64888 2.64888],0.7473430498187978
1600,[-11.02959 -11.02959 -11.02959],[0.37571 0.37571 0.37571],0.7330270480182665
1700,[-10.76882 -10.76882 -10.76882],[9.04993 9.04993 9.04993],0.7189852816008054
1800,[-10.04643 -10.04643 -10.04643],[4.38561 4.38561 4.38561],0.705212497350724
1900,[-10.05141 -10.05141 -10.05141],[0.25285 0.25285 0.25285],0.6917035426822101
2000,[-11.29946 -11.29946 -11.29946],[3.94940 3.94940 3.94940],0.6784533637116886
2100,[-8.64023 -8.64023 -8.64023],[1.95778 1.95778 1.95778],0.6654570033670938
2200,[-9.35963 -9.35963 -9.35963],[1.50253 1.50253 1.50253],0.6527095995333525
2300,[-8.74071 -8.74071 -8.74071],[5.25086 5.25086 5.25086],0.6402063832334086
2400,[-8.08298 -8.08298 -8.08298],[1.77270 1.77270 1.77270],0.6279426768440843
2500,[-8.33026 -8.33026 -8.33026],[0.48932 0.48932 0.48932],0.6159138923461105
2600,[-8.99485 -8.99485 -8.99485],[7.02806 7.02806 7.02806],0.6041155296076918
2700,[-8.32880 -8.32880 -8.32880],[3.65752 3.65752 3.65752],0.5925431747009424
2800,[-8.58193 -8.58193 -8.58193],[1.13051 1.13051 1.13051],0.5811924982505915
2900,[-9.27000 -9.27000 -9.27000],[1.99832 1.99832 1.99832],0.5700592538142826
3000,[-8.53066 -8.53066 -8.53066],[1.34437 1.34437 1.34437],0.5591392762939287
3100,[-8.15807 -8.15807 -8.15807],[0.78939 0.78939 0.78939],0.5484284803774964
3200,[-7.42924 -7.42924 -7.42924],[0.41967 0.41967 0.41967],0.5379228590106419
3300,[-7.89045 -7.89045 -7.89045],[0.38992 0.38992 0.38992],0.5276184818975981
3400,[-7.62828 -7.62828 -7.62828],[2.78298 2.78298 2.78298],0.5175114940308205
3500,[-7.88557 -7.88557 -7.88557],[1.82570 1.82570 1.82570],0.5075981142487541
3600,[-7.18371 -7.18371 -7.18371],[0.19407 0.19407 0.19407],0.4978746338212661
3700,[-7.51821 -7.51821 -7.51821],[3.07167 3.07167 3.07167],0.48833741506215295
3800,[-7.99947 -7.99947 -7.99947],[0.34593 0.34593 0.34593],0.47898288996823385
3900,[-8.59346 -8.59346 -8.59346],[1.12243 1.12243 1.12243],0.46980755888450715
4000,[-6.96714 -6.96714 -6.96714],[0.81813 0.81813 0.81813],0.4608079891948918
4100,[-6.33450 -6.33450 -6.33450],[0.39372 0.39372 0.39372],0.45198081403803075
4200,[-8.02499 -8.02499 -8.02499],[1.64974 1.64974 1.64974],0.4433227310477052
4300,[-7.88437 -7.88437 -7.88437],[2.09757 2.09757 2.09757],0.43483050111737453
4400,[-8.29780 -8.29780 -8.29780],[1.97317 1.97317 1.97317],0.42650094718838294
4500,[-7.43113 -7.43113 -7.43113],[2.66330 2.66330 2.66330],0.4183309530613763
4600,[-7.39987 -7.39987 -7.39987],[2.22258 2.22258 2.22258],0.41031746223049576
4700,[-6.81050 -6.81050 -6.81050],[0.50389 0.50389 0.50389],0.4024574767398885
4800,[-8.04351 -8.04351 -8.04351],[0.95885 0.95885 0.95885],0.39474805606213775
4900,[-9.12438 -9.12438 -9.12438],[1.15800 1.15800 1.15800],0.3871863159981707
5000,[-8.25210 -8.25210 -8.25210],[2.26201 2.26201 2.26201],0.37976942759823823
5100,[-7.34897 -7.34897 -7.34897],[0.18537 0.18537 0.18537],0.37249461610356654
5200,[-8.41239 -8.41239 -8.41239],[0.27430 0.27430 0.27430],0.36535915990828843
5300,[-7.28970 -7.28970 -7.28970],[1.04313 1.04313 1.04313],0.3583603895412437
5400,[-7.70815 -7.70815 -7.70815],[2.57336 2.57336 2.57336],0.35149568666730197
5500,[-7.39900 -7.39900 -7.39900],[5.84676 5.84676 5.84676],0.34476248310780105
5600,[-8.45166 -8.45166 -8.45166],[1.14066 1.14066 1.14066],0.33815825987976045
5700,[-7.15773 -7.15773 -7.15773],[2.51625 2.51625 2.51625],0.33168054625349885
5800,[-6.80475 -6.80475 -6.80475],[0.46868 0.46868 0.46868],0.32532691882829134
5900,[-8.31484 -8.31484 -8.31484],[0.89061 0.89061 0.89061],0.3190950006257518
6000,[-8.31197 -8.31197 -8.31197],[0.63360 0.63360 0.63360],0.312982460200566
