iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
0,100,6.44323,0.43856,6.25772,0.43108,6.70322,0.44730,5.94292,0.42465
1,200,2.68044,0.35230,2.63707,0.34332,2.71724,0.34884,2.44614,0.32340
2,300,2.39235,0.34404,2.28437,0.34083,2.43231,0.34451,2.38321,0.31790
3,400,2.26442,0.34018,2.22885,0.33453,2.29718,0.34137,2.22860,0.31570
4,500,2.18655,0.33525,2.30200,0.33576,2.31402,0.34004,1.95019,0.31337
5,600,2.23833,0.33427,2.31669,0.33377,2.23290,0.33551,2.00577,0.31345
6,700,2.28100,0.33279,2.26103,0.33089,2.19467,0.33900,1.99434,0.31030
7,800,2.27846,0.33148,2.13743,0.32958,2.16396,0.33417,1.91552,0.31247
8,900,2.16696,0.33056,2.26531,0.32948,2.28717,0.33348,1.95667,0.31659
9,1000,2.30956,0.32974,2.26908,0.32952,2.18083,0.33338,1.89010,0.31539
10,1100,2.17248,0.32670,2.16575,0.32811,2.22992,0.33299,1.98019,0.31649
11,1200,2.24188,0.32646,2.10677,0.32438,2.22073,0.33471,1.90765,0.31760
12,1300,2.20358,0.32699,2.20447,0.32544,2.24414,0.33397,1.94981,0.31705
13,1400,2.32520,0.32911,2.20161,0.32392,2.26547,0.33302,1.91908,0.31625
14,1500,2.17248,0.33148,2.24043,0.32153,2.27819,0.33390,1.90154,0.31670
15,1600,2.16158,0.32977,2.10780,0.32116,2.23105,0.33420,1.94878,0.31534
16,1700,2.12265,0.32635,2.23226,0.32131,2.20638,0.33314,1.95445,0.31832
17,1800,2.06753,0.32391,2.11421,0.31905,2.20425,0.33222,2.00248,0.31686
18,1900,2.27636,0.32482,2.23922,0.31987,2.25496,0.33351,1.93530,0.31855
19,2000,2.10883,0.32315,2.04436,0.31572,2.16214,0.33206,1.98664,0.31704
20,2100,2.20114,0.32235,2.09373,0.31503,2.20204,0.33166,1.98291,0.32319
21,2200,2.15032,0.32299,2.18008,0.31462,2.22066,0.33010,2.11089,0.32271
22,2300,2.20942,0.32201,2.16711,0.31220,2.28706,0.33114,1.98537,0.32150
23,2400,2.20010,0.32156,2.17066,0.31046,2.16461,0.33058,2.03634,0.32270
24,2500,2.27551,0.32216,2.12759,0.30866,2.22575,0.32873,1.96170,0.32357
25,2600,2.26441,0.32001,2.13230,0.30727,2.19778,0.33098,2.07805,0.32519
26,2700,2.15749,0.32409,2.08392,0.30584,2.17879,0.32834,1.98719,0.32150
27,2800,2.13237,0.31938,2.17572,0.30384,2.30054,0.33094,2.04518,0.32672
28,2900,2.26405,0.31803,2.05045,0.30270,2.20277,0.33163,2.01444,0.32829
29,3000,2.18283,0.31902,2.10899,0.30096,2.18239,0.33417,2.00191,0.32654
30,3100,2.15559,0.31852,2.15611,0.29899,2.19959,0.32978,2.01514,0.32919
31,3200,2.26991,0.31993,2.18346,0.29849,2.30815,0.33317,2.04028,0.32816
32,3300,2.17332,0.31669,2.08896,0.29900,2.27448,0.33204,1.97183,0.32697
33,3400,2.18808,0.31725,2.12348,0.29534,2.26527,0.32933,1.99031,0.33057
34,3500,2.19044,0.31796,2.11032,0.29597,2.27007,0.32956,2.06759,0.33008
35,3600,2.22835,0.31549,2.09016,0.29287,2.23458,0.33009,2.00550,0.32905
36,3700,2.23955,0.31459,2.02871,0.28748,2.22906,0.33050,2.02256,0.33018
37,3800,2.13000,0.31149,2.24406,0.28787,2.24914,0.33071,2.01375,0.32665
38,3900,2.14133,0.31186,2.03635,0.28635,2.30867,0.32943,1.90541,0.32862
39,4000,2.27376,0.31445,2.08455,0.28438,2.21298,0.33109,2.03212,0.32954
40,4100,2.16590,0.30934,2.12369,0.28279,2.22160,0.33156,1.92051,0.33096
41,4200,2.13753,0.30968,2.06103,0.28252,2.21377,0.32902,2.02005,0.33036
42,4300,2.16501,0.31308,1.99568,0.27837,2.17395,0.32785,1.93129,0.32951
43,4400,2.23547,0.31316,2.09412,0.27572,2.25808,0.32844,1.88782,0.32579
44,4500,2.22101,0.31049,2.11915,0.27575,2.28281,0.32844,1.88973,0.32840
45,4600,2.25817,0.31271,2.16205,0.27235,2.24810,0.32806,1.96059,0.32730
46,4700,2.26446,0.31040,2.16883,0.27333,2.31913,0.32697,1.97008,0.32561
47,4800,2.22016,0.31411,2.06504,0.27520,2.30379,0.32744,1.90068,0.32740
48,4900,2.18445,0.31306,2.02440,0.27060,2.17642,0.32585,1.97610,0.32662
49,5000,2.14731,0.31637,2.18664,0.26966,2.33048,0.32769,1.93170,0.32743
50,5100,2.33369,0.31678,2.12301,0.27220,2.21127,0.32740,1.92507,0.32636
51,5200,2.26388,0.31588,2.17509,0.27242,2.28068,0.32649,1.99673,0.32744
52,5300,2.32105,0.31546,2.06772,0.27219,2.26399,0.32797,1.93714,0.32372
53,5400,2.23354,0.31536,2.21880,0.27331,2.25102,0.32719,2.03984,0.32613
54,5500,2.29723,0.31763,2.15475,0.27524,2.33173,0.32793,1.97888,0.32613
55,5600,2.26391,0.31717,2.18403,0.27356,2.27384,0.32700,1.98457,0.32675
56,5700,2.31708,0.31713,2.28129,0.27327,2.29127,0.32942,1.91154,0.32433
57,5800,2.32410,0.31990,2.19410,0.27734,2.36715,0.32941,1.88701,0.32450
58,5900,2.31297,0.31936,2.29485,0.28076,2.35472,0.32999,1.92598,0.32518
