number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.95295],[0.00000 0.00000 0.00000 0.47518],0.9988953697090716
100,[0.00000 0.00000 0.00000 -0.92446],[0.00000 0.00000 0.00000 2.31365],0.9797606658876263
200,[0.00000 0.00000 0.00000 -3.06202],[0.00000 0.00000 0.00000 2.33850],0.9609925038496699
300,[0.08000 0.08000 0.08000 -0.85982],[0.02560 0.02560 0.02560 0.63445],0.9425838621706605
400,[0.16000 0.16000 0.16000 -0.25727],[0.10240 0.10240 0.10240 0.10912],0.9245278539275122
500,[0.08000 0.08000 0.08000 -0.82705],[0.02560 0.02560 0.02560 1.68820],0.9068177241220878
600,[0.16000 0.16000 0.16000 -0.24490],[0.10240 0.10240 0.10240 0.09733],0.889446847154093
700,[0.24000 0.24000 0.24000 -0.44050],[0.10240 0.10240 0.10240 0.12658],0.8724087243423219
800,[0.16000 0.16000 0.16000 -2.41502],[0.10240 0.10240 0.10240 7.82787],0.8556969814934174
900,[0.00000 0.00000 0.00000 -0.20073],[0.00000 0.00000 0.00000 0.03382],0.8393053665172148
1000,[0.08000 0.08000 0.08000 -0.11214],[0.02560 0.02560 0.02560 0.03355],0.8232277470877281
1100,[0.32000 0.32000 0.32000 -0.32906],[0.08960 0.08960 0.08960 0.09158],0.8074581083489812
1200,[0.16000 0.16000 0.16000 -0.18787],[0.10240 0.10240 0.10240 0.11857],0.7919905506647517
1300,[0.00000 0.00000 0.00000 -0.16349],[0.00000 0.00000 0.00000 0.10206],0.7768192874114557
1400,[0.40000 0.40000 0.40000 -0.47617],[0.38400 0.38400 0.38400 0.34347],0.7619386428132808
1500,[0.64000 0.64000 0.64000 -0.71678],[0.29440 0.29440 0.29440 0.40398],0.7473430498187978
1600,[0.56000 0.56000 0.56000 -0.56034],[0.35840 0.35840 0.35840 0.35856],0.7330270480182665
1700,[0.24000 0.24000 0.24000 -0.42603],[0.10240 0.10240 0.10240 0.14985],0.7189852816008054
1800,[0.08000 0.08000 0.08000 -0.12779],[0.02560 0.02560 0.02560 0.02180],0.705212497350724
1900,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.6917035426822101
2000,[0.24000 0.24000 0.24000 -0.25501],[0.10240 0.10240 0.10240 0.09572],0.6784533637116886
2100,[0.16000 0.16000 0.16000 -0.17172],[0.10240 0.10240 0.10240 0.09920],0.6654570033670938
2200,[0.00000 0.00000 0.00000 -0.00707],[0.00000 0.00000 0.00000 0.00020],0.6527095995333525
2300,[0.16000 0.16000 0.16000 -0.17177],[0.03840 0.03840 0.03840 0.04461],0.6402063832334086
2400,[0.40000 0.40000 0.40000 -0.40000],[0.64000 0.64000 0.64000 0.64000],0.6279426768440843
2500,[0.00000 0.00000 0.00000 -0.01511],[0.00000 0.00000 0.00000 0.00047],0.6159138923461105
2600,[0.16000 0.16000 0.16000 -0.16172],[0.10240 0.10240 0.10240 0.10461],0.6041155296076918
2700,[0.24000 0.24000 0.24000 -0.24000],[0.03840 0.03840 0.03840 0.03840],0.5925431747009424
2800,[0.16000 0.16000 0.16000 -0.18626],[0.10240 0.10240 0.10240 0.09503],0.5811924982505915
2900,[0.24000 0.24000 0.24000 -0.24132],[0.10240 0.10240 0.10240 0.10177],0.5700592538142826
3000,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.5591392762939287
3100,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.5484284803774964
3200,[0.00000 0.00000 0.00000 -0.00477],[0.00000 0.00000 0.00000 0.00009],0.5379228590106419
3300,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.5276184818975981
3400,[0.24000 0.24000 0.24000 -0.24457],[0.03840 0.03840 0.03840 0.03629],0.5175114940308205
3500,[0.24000 0.24000 0.24000 -0.24000],[0.03840 0.03840 0.03840 0.03840],0.5075981142487541
3600,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.4978746338212661
3700,[0.16000 0.16000 0.16000 -0.16097],[0.10240 0.10240 0.10240 0.10209],0.48833741506215295
3800,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.47898288996823385
3900,[0.00000 0.00000 0.00000 -0.00433],[0.00000 0.00000 0.00000 0.00005],0.46980755888450715
4000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.4608079891948918
4100,[0.40000 0.40000 0.40000 -0.40673],[0.25600 0.25600 0.25600 0.25594],0.45198081403803075
4200,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.4433227310477052
4300,[0.48000 0.48000 0.48000 -0.48362],[0.60160 0.60160 0.60160 0.59818],0.43483050111737453
4400,[0.24000 0.24000 0.24000 -0.27287],[0.10240 0.10240 0.10240 0.09254],0.42650094718838294
4500,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.4183309530613763
4600,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.41031746223049576
4700,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.4024574767398885
4800,[0.56000 0.56000 0.56000 -0.56761],[0.87040 0.87040 0.87040 0.86520],0.39474805606213775
4900,[0.16000 0.16000 0.16000 -0.18988],[0.03840 0.03840 0.03840 0.03176],0.3871863159981707
5000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.37976942759823823
5100,[0.40000 0.40000 0.40000 -0.40000],[0.25600 0.25600 0.25600 0.25600],0.37249461610356654
5200,[0.40000 0.40000 0.40000 -0.40208],[0.19200 0.19200 0.19200 0.19202],0.36535915990828843
5300,[0.08000 0.08000 0.08000 -0.08244],[0.02560 0.02560 0.02560 0.02523],0.3583603895412437
5400,[0.56000 0.56000 0.56000 -0.56000],[0.10240 0.10240 0.10240 0.10240],0.35149568666730197
5500,[0.00000 0.00000 0.00000 -0.01546],[0.00000 0.00000 0.00000 0.00058],0.34476248310780105
5600,[0.32000 0.32000 0.32000 -0.32000],[0.08960 0.08960 0.08960 0.08960],0.33815825987976045
5700,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.33168054625349885
5800,[0.08000 0.08000 0.08000 -0.08421],[0.02560 0.02560 0.02560 0.02500],0.32532691882829134
5900,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.3190950006257518
6000,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.312982460200566
6100,[0.08000 0.08000 0.08000 -0.08287],[0.02560 0.02560 0.02560 0.02517],0.3069870107682693
6200,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.30110640934973165
6300,[0.00000 0.00000 0.00000 -0.00439],[0.00000 0.00000 0.00000 0.00008],0.29533845593202374
6400,[0.08000 0.08000 0.08000 -0.09101],[0.02560 0.02560 0.02560 0.02956],0.2896809926453638
6500,[0.40000 0.40000 0.40000 -0.40000],[0.38400 0.38400 0.38400 0.38400],0.2841319029558341
6600,[0.16000 0.16000 0.16000 -0.21579],[0.10240 0.10240 0.10240 0.09700],0.27868911087355025
6700,[0.24000 0.24000 0.24000 -0.28960],[0.10240 0.10240 0.10240 0.10216],0.27335058017600533
6800,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.26811431364629784
6900,[0.08000 0.08000 0.08000 -0.08420],[0.02560 0.02560 0.02560 0.02500],0.26297835232593786
7000,[0.16000 0.16000 0.16000 -0.17333],[0.10240 0.10240 0.10240 0.09885],0.25794077478198096
7100,[0.40000 0.40000 0.40000 -0.40903],[0.25600 0.25600 0.25600 0.24910],0.2529996963881896
7200,[0.00000 0.00000 0.00000 -0.00292],[0.00000 0.00000 0.00000 0.00003],0.24815326861997006
7300,[0.16000 0.16000 0.16000 -0.23035],[0.03840 0.03840 0.03840 0.03568],0.2433996783628142
7400,[0.56000 0.56000 0.56000 -0.56000],[0.29440 0.29440 0.29440 0.29440],0.23873714723398948
7500,[0.08000 0.08000 0.08000 -0.08761],[0.02560 0.02560 0.02560 0.02447],0.23416393091721965
7600,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2296783185101154
7700,[0.32000 0.32000 0.32000 -0.38782],[0.08960 0.08960 0.08960 0.11885],0.2252786318840993
7800,[0.00000 0.00000 0.00000 -0.02419],[0.00000 0.00000 0.00000 0.00220],0.2209632250565976
7900,[0.00000 0.00000 0.00000 -0.12134],[0.00000 0.00000 0.00000 0.05338],0.2167304835752537
8000,[0.16000 0.16000 0.16000 -0.16628],[0.03840 0.03840 0.03840 0.04132],0.21257882391394362
8100,[0.24000 0.24000 0.24000 -0.24632],[0.10240 0.10240 0.10240 0.09944],0.208506692880351
8200,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.20451256703490245
8300,[0.16000 0.16000 0.16000 -0.28852],[0.03840 0.03840 0.03840 0.09870],0.20059495212082465
8400,[0.16000 0.16000 0.16000 -0.25120],[0.10240 0.10240 0.10240 0.10785],0.196752382505123
8500,[0.16000 0.16000 0.16000 -0.16247],[0.03840 0.03840 0.03840 0.03961],0.19298342063027152
8600,[0.16000 0.16000 0.16000 -0.31063],[0.03840 0.03840 0.03840 0.02775],0.18928665647639956
8700,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.18566070703378476
8800,[0.00000 0.00000 0.00000 -0.12749],[0.00000 0.00000 0.00000 0.05553],0.18210421578545158
8900,[0.24000 0.24000 0.24000 -0.25587],[0.10240 0.10240 0.10240 0.09572],0.17861585219967707
9000,[0.16000 0.16000 0.16000 -0.33735],[0.03840 0.03840 0.03840 0.10914],0.17519431123222665
9100,[0.40000 0.40000 0.40000 -0.51669],[0.25600 0.25600 0.25600 0.27080],0.17183831283811357
9200,[0.72000 0.72000 0.72000 -0.78557],[0.79360 0.79360 0.79360 0.85049],0.1685466014927179
9300,[0.08000 0.08000 0.08000 -0.28541],[0.02560 0.02560 0.02560 0.07608],0.16531794572208017
9400,[0.16000 0.16000 0.16000 -0.37270],[0.03840 0.03840 0.03840 0.27321],0.16215113764218753
9500,[0.08000 0.08000 0.08000 -0.08166],[0.02560 0.02560 0.02560 0.02535],0.15904499250708942
9600,[0.16000 0.16000 0.16000 -0.25584],[0.03840 0.03840 0.03840 0.04490],0.15599834826566805
9700,[0.48000 0.48000 0.48000 -0.56471],[0.40960 0.40960 0.40960 0.38710],0.1530100651268971
9800,[0.24000 0.24000 0.24000 -0.63809],[0.10240 0.10240 0.10240 0.23610],0.15007902513343338
9900,[0.08000 0.08000 0.08000 -0.21487],[0.02560 0.02560 0.02560 0.07273],0.14720413174337166
10000,[0.16000 0.16000 0.16000 -0.40666],[0.10240 0.10240 0.10240 0.14326],0.14438430942001573
10100,[0.24000 0.24000 0.24000 -0.36596],[0.10240 0.10240 0.10240 0.09334],0.14161850322950267
10200,[0.24000 0.24000 0.24000 -0.26194],[0.10240 0.10240 0.10240 0.09379],0.13890567844613977
10300,[0.40000 0.40000 0.40000 -0.64323],[0.38400 0.38400 0.38400 0.47525],0.13624482016529874
10400,[0.08000 0.08000 0.08000 -0.16226],[0.02560 0.02560 0.02560 0.05906],0.1336349329237267
10500,[0.16000 0.16000 0.16000 -0.43615],[0.03840 0.03840 0.03840 0.15904],0.13107504032712913
10600,[0.00000 0.00000 0.00000 -0.12640],[0.00000 0.00000 0.00000 0.03655],0.1285641846848873
10700,[0.00000 0.00000 0.00000 -0.09622],[0.00000 0.00000 0.00000 0.00840],0.1261014266517737
10800,[0.16000 0.16000 0.16000 -0.32464],[0.03840 0.03840 0.03840 0.05550],0.12368584487653073
10900,[0.32000 0.32000 0.32000 -0.53385],[0.08960 0.08960 0.08960 0.35324],0.12131653565718102
11000,[0.40000 0.40000 0.40000 -0.65590],[0.12800 0.12800 0.12800 0.22473],0.11899261260293736
11100,[0.08000 0.08000 0.08000 -0.47608],[0.02560 0.02560 0.02560 0.15557],0.1167132063025952
11200,[0.72000 0.72000 0.72000 -0.93948],[0.79360 0.79360 0.79360 0.62253],0.11447746399927272
11300,[0.48000 0.48000 0.48000 -1.05715],[0.34560 0.34560 0.34560 0.17535],0.11228454927138284
11400,[0.88000 0.88000 0.88000 -1.19684],[0.34560 0.34560 0.34560 0.54111],0.11013364171971564
11500,[0.40000 0.40000 0.40000 -0.77188],[0.38400 0.38400 0.38400 0.18029],0.10802393666051861
11600,[0.08000 0.08000 0.08000 -0.41939],[0.02560 0.02560 0.02560 0.26665],0.1059546448244499
11700,[0.24000 0.24000 0.24000 -0.66279],[0.10240 0.10240 0.10240 0.45074],0.1039249920613054
11800,[0.24000 0.24000 0.24000 -0.94772],[0.10240 0.10240 0.10240 0.16493],0.10193421905039614
11900,[0.32000 0.32000 0.32000 -0.47918],[0.08960 0.08960 0.08960 0.13084],0.09998158101647696
12000,[0.08000 0.08000 0.08000 -0.52593],[0.02560 0.02560 0.02560 0.13501],0.09806634745111607
12100,[0.32000 0.32000 0.32000 -0.55599],[0.21760 0.21760 0.21760 0.15162],0.09618780183940234
12200,[0.24000 0.24000 0.24000 -0.45524],[0.10240 0.10240 0.10240 0.15745],0.09434524139188641
12300,[0.72000 0.72000 0.72000 -1.06335],[1.17760 1.17760 1.17760 0.84091],0.09253797678165741
12400,[0.48000 0.48000 0.48000 -0.89476],[0.92160 0.92160 0.92160 0.79392],0.09076533188645854
12500,[1.04000 1.04000 1.04000 -1.28241],[2.85440 2.85440 2.85440 2.49051],0.08902664353573696
12600,[0.40000 0.40000 0.40000 -1.06569],[0.19200 0.19200 0.19200 0.25073],0.08732126126254666
12700,[0.40000 0.40000 0.40000 -0.68736],[0.19200 0.19200 0.19200 0.41609],0.08564854706019692
12800,[0.08000 0.08000 0.08000 -0.59538],[0.02560 0.02560 0.02560 0.05849],0.08400787514356634
12900,[0.40000 0.40000 0.40000 -0.89912],[0.19200 0.19200 0.19200 0.45308],0.08239863171498804
13000,[0.48000 0.48000 0.48000 -0.61617],[0.34560 0.34560 0.34560 0.32841],0.08082021473462091
13100,[1.20000 1.20000 1.20000 -1.48791],[0.83200 0.83200 0.83200 1.09947],0.07927203369521665
13200,[0.08000 0.08000 0.08000 -0.61672],[0.02560 0.02560 0.02560 0.15316],0.07775350940120238
13300,[0.64000 0.64000 0.64000 -0.96733],[0.29440 0.29440 0.29440 0.40990],0.07626407375199792
13400,[0.16000 0.16000 0.16000 -0.41730],[0.10240 0.10240 0.10240 0.22460],0.07480316952948014
13500,[1.76000 1.76000 1.76000 -2.20409],[1.63840 1.63840 1.63840 1.65853],0.07337025018952063
13600,[0.16000 0.16000 0.16000 -0.78300],[0.03840 0.03840 0.03840 0.18927],0.07196477965751596
13700,[0.96000 0.96000 0.96000 -1.57793],[0.99840 0.99840 0.99840 1.32109],0.07058623212783487
13800,[0.56000 0.56000 0.56000 -1.03724],[0.87040 0.87040 0.87040 1.12605],0.06923409186710754
13900,[0.16000 0.16000 0.16000 -0.76894],[0.03840 0.03840 0.03840 0.05913],0.06790785302128181
14000,[0.48000 0.48000 0.48000 -1.03803],[0.21760 0.21760 0.21760 0.46549],0.06660701942637696
14100,[0.00000 0.00000 0.00000 -0.21155],[0.00000 0.00000 0.00000 0.05942],0.06533110442286261
14200,[1.12000 1.12000 1.12000 -1.62361],[0.98560 0.98560 0.98560 1.11226],0.06407963067359165
14300,[0.64000 0.64000 0.64000 -1.13243],[0.87040 0.87040 0.87040 0.55805],0.06285212998522217
14400,[1.04000 1.04000 1.04000 -1.29810],[2.85440 2.85440 2.85440 2.82031],0.06164814313306115
14500,[0.40000 0.40000 0.40000 -0.61485],[0.38400 0.38400 0.38400 0.29364],0.060467219689260644
14600,[0.08000 0.08000 0.08000 -0.32233],[0.02560 0.02560 0.02560 0.03954],0.05930891785430729
14700,[0.80000 0.80000 0.80000 -1.06900],[0.32000 0.32000 0.32000 0.15423],0.058172804291739794
14800,[0.64000 0.64000 0.64000 -0.89370],[0.23040 0.23040 0.23040 0.12205],0.05705845396602985
14900,[0.40000 0.40000 0.40000 -0.52768],[0.25600 0.25600 0.25600 0.47948],0.0559654499835732
15000,[0.72000 0.72000 0.72000 -0.88920],[0.92160 0.92160 0.92160 1.16847],0.054893383436722246
15100,[0.24000 0.24000 0.24000 -0.32782],[0.23040 0.23040 0.23040 0.20002],0.05384185325080839
15200,[0.64000 0.64000 0.64000 -0.84229],[0.29440 0.29440 0.29440 0.23416],0.052810466034095
15300,[0.88000 0.88000 0.88000 -1.08243],[0.08960 0.08960 0.08960 0.17049],0.0517988359306045
15400,[0.56000 0.56000 0.56000 -0.81480],[0.55040 0.55040 0.55040 0.69760],0.050806584475763444
15500,[0.48000 0.48000 0.48000 -0.80440],[0.15360 0.15360 0.15360 0.17781],0.04983334045481433
15600,[1.44000 1.44000 1.44000 -1.72472],[1.70240 1.70240 1.70240 2.24773],0.04887873976393924
15700,[0.48000 0.48000 0.48000 -0.53629],[0.34560 0.34560 0.34560 0.42255],0.04794242527404348
15800,[0.00000 0.00000 0.00000 -0.40120],[0.00000 0.00000 0.00000 0.09053],0.04702404669714843
15900,[1.04000 1.04000 1.04000 -1.14548],[1.51040 1.51040 1.51040 1.93544],0.046123260455344255
16000,[0.16000 0.16000 0.16000 -0.41701],[0.03840 0.03840 0.03840 0.12302],0.04523972955225327
16100,[0.64000 0.64000 0.64000 -0.87541],[0.61440 0.61440 0.61440 0.91819],0.04437312344695435
16200,[0.32000 0.32000 0.32000 -0.38586],[0.08960 0.08960 0.08960 0.09545],0.043523117930323194
16300,[1.20000 1.20000 1.20000 -1.49519],[1.53600 1.53600 1.53600 1.98064],0.04268939500374168
16400,[0.64000 0.64000 0.64000 -0.85111],[0.55040 0.55040 0.55040 0.66734],0.041871642760129536
16500,[0.88000 0.88000 0.88000 -1.06388],[0.85760 0.85760 0.85760 1.18028],0.04106955526725636
16600,[0.56000 0.56000 0.56000 -0.61422],[0.48640 0.48640 0.48640 0.48562],0.04028283245328805
