iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,6.42055,0.50056,1.60951,6.50072,0.50708,1.61125,6.56430,0.50830,1.61206,4.52429,0.43034,1.61163
1,200,2.14406,0.49817,1.60923,2.11032,0.50637,1.61006,2.17509,0.50168,1.61091,1.79786,0.44115,1.61165
2,300,1.19043,0.48358,1.61006,1.14028,0.49223,1.60907,1.29782,0.48667,1.61094,1.23489,0.43668,1.61198
3,400,1.07959,0.47880,1.61013,1.05553,0.48720,1.60901,1.23284,0.47611,1.61131,0.99906,0.42275,1.61101
4,500,1.04434,0.46984,1.60996,1.05882,0.47836,1.60924,1.09269,0.46262,1.61063,0.79679,0.41511,1.61123
5,600,1.02629,0.45922,1.60996,1.02320,0.46906,1.60982,1.02367,0.45559,1.61013,0.83246,0.40633,1.61043
6,700,1.00047,0.45142,1.61088,1.10948,0.45881,1.61029,0.96853,0.44661,1.60963,0.84869,0.40009,1.61058
7,800,1.07814,0.44539,1.61151,0.99378,0.44898,1.61026,1.02625,0.43590,1.61095,0.79001,0.39035,1.61066
8,900,1.06243,0.43475,1.61130,1.14789,0.43761,1.61071,1.01718,0.42661,1.61011,0.83889,0.38151,1.61023
9,1000,1.00092,0.42556,1.61193,1.02560,0.42709,1.61014,1.02042,0.41594,1.61001,0.76498,0.37028,1.61015
10,1100,1.00418,0.41474,1.61208,0.99106,0.41800,1.61030,0.99780,0.40851,1.60980,0.79533,0.36031,1.60979
11,1200,1.07034,0.40521,1.61160,0.94469,0.40883,1.61014,0.98507,0.40213,1.60928,0.81268,0.35106,1.61011
12,1300,0.96734,0.39715,1.61219,1.04953,0.39841,1.61008,1.05593,0.39321,1.61042,0.80303,0.34356,1.60933
13,1400,1.10907,0.38554,1.61214,0.98191,0.39056,1.60990,0.97644,0.38648,1.60991,0.77127,0.33535,1.60941
14,1500,0.96426,0.37688,1.61164,1.00984,0.38217,1.61009,0.93367,0.37639,1.61002,0.75180,0.32764,1.60912
15,1600,1.03208,0.36828,1.61195,0.91819,0.37361,1.61005,1.08185,0.36843,1.60956,0.87653,0.31893,1.60979
16,1700,1.07323,0.36104,1.61257,1.03905,0.36451,1.61006,0.99205,0.36169,1.60958,0.85334,0.31117,1.60971
17,1800,1.02104,0.35276,1.61133,0.98812,0.35572,1.60977,0.97700,0.35376,1.61020,0.86894,0.30380,1.60936
18,1900,1.02797,0.34473,1.61217,0.98713,0.34985,1.60948,1.09520,0.34618,1.61080,0.82600,0.29652,1.60940
19,2000,1.00080,0.33785,1.61178,1.00678,0.34320,1.61007,0.98139,0.33851,1.60932,0.84661,0.29101,1.60930
20,2100,1.05180,0.33199,1.61202,0.98683,0.33535,1.60941,1.02257,0.33200,1.60981,0.83232,0.28196,1.60892
21,2200,0.98367,0.32428,1.61256,0.99384,0.32858,1.60947,1.07065,0.32525,1.60970,0.91957,0.27657,1.60891
22,2300,0.99761,0.31679,1.61126,1.02263,0.32046,1.60936,0.98866,0.31844,1.61008,0.87302,0.26918,1.60916
23,2400,1.02969,0.31035,1.61225,0.98142,0.31490,1.60972,0.96300,0.31192,1.60914,0.85521,0.26260,1.60895
24,2500,1.12651,0.30315,1.61255,1.01910,0.30863,1.60882,1.06151,0.30599,1.60916,0.83388,0.25759,1.60910
25,2600,1.00482,0.29781,1.61238,1.10732,0.30241,1.60941,0.94672,0.30034,1.60882,0.91876,0.25136,1.60899
26,2700,1.00788,0.29079,1.61220,0.99769,0.29645,1.60886,0.97871,0.29331,1.60892,0.96783,0.24565,1.60948
27,2800,0.96889,0.28510,1.61289,1.03135,0.28901,1.60914,1.07778,0.28722,1.60819,0.89182,0.23943,1.60875
28,2900,1.07869,0.27920,1.61228,0.99086,0.28242,1.60826,1.10781,0.28188,1.60825,0.91934,0.23383,1.60904
