number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.95295],[0.00000 0.00000 0.00000 0.47518],0.9988953697090716
100,[0.00000 0.00000 0.00000 -0.14103],[0.00000 0.00000 0.00000 0.07955],0.9797606658876263
200,[0.08000 0.08000 0.08000 -1.79633],[0.02560 0.02560 0.02560 5.93126],0.9609925038496699
300,[0.00000 0.00000 0.00000 -0.44745],[0.00000 0.00000 0.00000 0.25221],0.9425838621706605
400,[0.24000 0.24000 0.24000 -2.31971],[0.23040 0.23040 0.23040 5.73391],0.9245278539275122
500,[0.40000 0.40000 0.40000 -1.63575],[0.25600 0.25600 0.25600 3.44267],0.9068177241220878
600,[0.24000 0.24000 0.24000 -1.66014],[0.23040 0.23040 0.23040 2.26326],0.889446847154093
700,[1.20000 1.20000 1.20000 -2.53992],[5.76000 5.76000 5.76000 6.78785],0.8724087243423219
800,[0.32000 0.32000 0.32000 -1.61709],[0.40960 0.40960 0.40960 2.52058],0.8556969814934174
900,[0.00000 0.00000 0.00000 -0.40876],[0.00000 0.00000 0.00000 0.18842],0.8393053665172148
1000,[0.16000 0.16000 0.16000 -0.33961],[0.10240 0.10240 0.10240 0.33872],0.8232277470877281
1100,[0.16000 0.16000 0.16000 -0.19751],[0.10240 0.10240 0.10240 0.09656],0.8074581083489812
1200,[0.32000 0.32000 0.32000 -0.39172],[0.21760 0.21760 0.21760 0.19066],0.7919905506647517
1300,[0.08000 0.08000 0.08000 -0.17054],[0.02560 0.02560 0.02560 0.07301],0.7768192874114557
1400,[0.00000 0.00000 0.00000 -0.03059],[0.00000 0.00000 0.00000 0.00141],0.7619386428132808
1500,[0.64000 0.64000 0.64000 -0.64258],[0.16640 0.16640 0.16640 0.16313],0.7473430498187978
1600,[0.24000 0.24000 0.24000 -0.34045],[0.10240 0.10240 0.10240 0.17429],0.7330270480182665
1700,[0.16000 0.16000 0.16000 -0.38645],[0.10240 0.10240 0.10240 0.14485],0.7189852816008054
1800,[0.16000 0.16000 0.16000 -0.21619],[0.10240 0.10240 0.10240 0.09529],0.705212497350724
1900,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.6917035426822101
2000,[0.32000 0.32000 0.32000 -0.33666],[0.21760 0.21760 0.21760 0.20805],0.6784533637116886
2100,[0.08000 0.08000 0.08000 -0.08469],[0.02560 0.02560 0.02560 0.02494],0.6654570033670938
2200,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.6527095995333525
2300,[0.32000 0.32000 0.32000 -0.32366],[0.21760 0.21760 0.21760 0.22409],0.6402063832334086
2400,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.6279426768440843
2500,[0.08000 0.08000 0.08000 -0.09397],[0.02560 0.02560 0.02560 0.03032],0.6159138923461105
2600,[0.48000 0.48000 0.48000 -0.48172],[0.60160 0.60160 0.60160 0.59996],0.6041155296076918
2700,[0.32000 0.32000 0.32000 -0.32000],[0.15360 0.15360 0.15360 0.15360],0.5925431747009424
2800,[0.24000 0.24000 0.24000 -0.25270],[0.10240 0.10240 0.10240 0.09695],0.5811924982505915
2900,[0.24000 0.24000 0.24000 -0.24000],[0.23040 0.23040 0.23040 0.23040],0.5700592538142826
3000,[0.24000 0.24000 0.24000 -0.24000],[0.03840 0.03840 0.03840 0.03840],0.5591392762939287
3100,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.5484284803774964
3200,[0.08000 0.08000 0.08000 -0.11161],[0.02560 0.02560 0.02560 0.02454],0.5379228590106419
3300,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.5276184818975981
3400,[0.00000 0.00000 0.00000 -0.00457],[0.00000 0.00000 0.00000 0.00008],0.5175114940308205
3500,[0.16000 0.16000 0.16000 -0.16149],[0.10240 0.10240 0.10240 0.10431],0.5075981142487541
3600,[0.32000 0.32000 0.32000 -0.32000],[0.08960 0.08960 0.08960 0.08960],0.4978746338212661
3700,[0.40000 0.40000 0.40000 -0.42184],[0.25600 0.25600 0.25600 0.24044],0.48833741506215295
3800,[0.40000 0.40000 0.40000 -0.40000],[0.12800 0.12800 0.12800 0.12800],0.47898288996823385
3900,[0.00000 0.00000 0.00000 -0.00375],[0.00000 0.00000 0.00000 0.00006],0.46980755888450715
4000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.4608079891948918
4100,[0.24000 0.24000 0.24000 -0.25447],[0.10240 0.10240 0.10240 0.10935],0.45198081403803075
4200,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.4433227310477052
4300,[0.24000 0.24000 0.24000 -0.24703],[0.23040 0.23040 0.23040 0.22723],0.43483050111737453
4400,[0.48000 0.48000 0.48000 -0.50190],[0.34560 0.34560 0.34560 0.37085],0.42650094718838294
4500,[0.08000 0.08000 0.08000 -0.08026],[0.02560 0.02560 0.02560 0.02556],0.4183309530613763
4600,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.41031746223049576
4700,[0.80000 0.80000 0.80000 -0.80000],[0.57600 0.57600 0.57600 0.57600],0.4024574767398885
4800,[0.16000 0.16000 0.16000 -0.16878],[0.03840 0.03840 0.03840 0.03894],0.39474805606213775
4900,[0.00000 0.00000 0.00000 -0.00957],[0.00000 0.00000 0.00000 0.00011],0.3871863159981707
5000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.37976942759823823
5100,[0.32000 0.32000 0.32000 -0.32000],[0.21760 0.21760 0.21760 0.21760],0.37249461610356654
5200,[0.80000 0.80000 0.80000 -0.80208],[1.08800 1.08800 1.08800 1.08802],0.36535915990828843
5300,[0.08000 0.08000 0.08000 -0.08244],[0.02560 0.02560 0.02560 0.02523],0.3583603895412437
5400,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.35149568666730197
5500,[0.32000 0.32000 0.32000 -0.32489],[0.08960 0.08960 0.08960 0.09057],0.34476248310780105
5600,[0.40000 0.40000 0.40000 -0.40000],[0.25600 0.25600 0.25600 0.25600],0.33815825987976045
5700,[0.24000 0.24000 0.24000 -0.24000],[0.23040 0.23040 0.23040 0.23040],0.33168054625349885
5800,[0.32000 0.32000 0.32000 -0.32421],[0.15360 0.15360 0.15360 0.15772],0.32532691882829134
