number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.95295],[0.00000 0.00000 0.00000 0.47518],0.9988953697090716
100,[0.00000 0.00000 0.00000 -0.14103],[0.00000 0.00000 0.00000 0.07955],0.9797606658876263
200,[0.32000 0.32000 0.32000 -3.95114],[0.40960 0.40960 0.40960 7.15015],0.9609925038496699
300,[0.48000 0.48000 0.48000 -2.91231],[0.34560 0.34560 0.34560 4.26491],0.9425838621706605
400,[0.32000 0.32000 0.32000 -0.67547],[0.40960 0.40960 0.40960 0.27935],0.9245278539275122
500,[0.08000 0.08000 0.08000 -1.47011],[0.02560 0.02560 0.02560 1.60161],0.9068177241220878
600,[0.24000 0.24000 0.24000 -4.46741],[0.23040 0.23040 0.23040 1.37876],0.889446847154093
700,[0.00000 0.00000 0.00000 -1.28144],[0.00000 0.00000 0.00000 1.35144],0.8724087243423219
800,[0.00000 0.00000 0.00000 -2.60464],[0.00000 0.00000 0.00000 3.07088],0.8556969814934174
900,[0.00000 0.00000 0.00000 -1.37072],[0.00000 0.00000 0.00000 0.76727],0.8393053665172148
1000,[0.32000 0.32000 0.32000 -1.17735],[0.40960 0.40960 0.40960 1.76547],0.8232277470877281
1100,[0.00000 0.00000 0.00000 -2.47071],[0.00000 0.00000 0.00000 4.70642],0.8074581083489812
1200,[0.16000 0.16000 0.16000 -0.27792],[0.03840 0.03840 0.03840 0.05059],0.7919905506647517
1300,[0.08000 0.08000 0.08000 -0.65912],[0.02560 0.02560 0.02560 0.81672],0.7768192874114557
1400,[0.16000 0.16000 0.16000 -0.87921],[0.10240 0.10240 0.10240 0.97883],0.7619386428132808
1500,[0.48000 0.48000 0.48000 -0.60458],[0.08960 0.08960 0.08960 0.03208],0.7473430498187978
1600,[0.56000 0.56000 0.56000 -0.64557],[0.16640 0.16640 0.16640 0.09982],0.7330270480182665
1700,[0.00000 0.00000 0.00000 -0.26242],[0.00000 0.00000 0.00000 0.06222],0.7189852816008054
1800,[0.24000 0.24000 0.24000 -0.36280],[0.10240 0.10240 0.10240 0.07266],0.705212497350724
1900,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.6917035426822101
2000,[0.48000 0.48000 0.48000 -0.48316],[0.40960 0.40960 0.40960 0.40660],0.6784533637116886
2100,[0.16000 0.16000 0.16000 -0.16703],[0.10240 0.10240 0.10240 0.10035],0.6654570033670938
2200,[0.00000 0.00000 0.00000 -0.03879],[0.00000 0.00000 0.00000 0.00602],0.6527095995333525
2300,[0.00000 0.00000 0.00000 -0.00492],[0.00000 0.00000 0.00000 0.00010],0.6402063832334086
2400,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.6279426768440843
2500,[0.08000 0.08000 0.08000 -0.09511],[0.02560 0.02560 0.02560 0.03251],0.6159138923461105
2600,[0.24000 0.24000 0.24000 -0.24172],[0.10240 0.10240 0.10240 0.10296],0.6041155296076918
2700,[0.32000 0.32000 0.32000 -0.32000],[0.15360 0.15360 0.15360 0.15360],0.5925431747009424
2800,[0.40000 0.40000 0.40000 -0.41604],[0.25600 0.25600 0.25600 0.25179],0.5811924982505915
2900,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.5700592538142826
3000,[0.80000 0.80000 0.80000 -0.80000],[0.44800 0.44800 0.44800 0.44800],0.5591392762939287
3100,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.5484284803774964
3200,[0.48000 0.48000 0.48000 -0.48714],[0.60160 0.60160 0.60160 0.59495],0.5379228590106419
3300,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.5276184818975981
3400,[0.16000 0.16000 0.16000 -0.16712],[0.10240 0.10240 0.10240 0.10032],0.5175114940308205
3500,[0.08000 0.08000 0.08000 -0.08446],[0.02560 0.02560 0.02560 0.02497],0.5075981142487541
3600,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.4978746338212661
3700,[0.00000 0.00000 0.00000 -0.00515],[0.00000 0.00000 0.00000 0.00011],0.48833741506215295
3800,[0.16000 0.16000 0.16000 -0.17133],[0.10240 0.10240 0.10240 0.09929],0.47898288996823385
3900,[0.00000 0.00000 0.00000 -0.00375],[0.00000 0.00000 0.00000 0.00006],0.46980755888450715
4000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.4608079891948918
4100,[0.08000 0.08000 0.08000 -0.09661],[0.02560 0.02560 0.02560 0.02548],0.45198081403803075
4200,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.4433227310477052
4300,[0.32000 0.32000 0.32000 -0.32156],[0.21760 0.21760 0.21760 0.21661],0.43483050111737453
4400,[0.24000 0.24000 0.24000 -0.26190],[0.23040 0.23040 0.23040 0.22121],0.42650094718838294
4500,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.4183309530613763
4600,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.41031746223049576
4700,[0.32000 0.32000 0.32000 -0.33915],[0.40960 0.40960 0.40960 0.39881],0.4024574767398885
4800,[0.00000 0.00000 0.00000 -0.00761],[0.00000 0.00000 0.00000 0.00009],0.39474805606213775
4900,[0.08000 0.08000 0.08000 -0.10602],[0.02560 0.02560 0.02560 0.02290],0.3871863159981707
5000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.37976942759823823
5100,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.37249461610356654
5200,[0.08000 0.08000 0.08000 -0.08208],[0.02560 0.02560 0.02560 0.02528],0.36535915990828843
5300,[0.08000 0.08000 0.08000 -0.08244],[0.02560 0.02560 0.02560 0.02719],0.3583603895412437
5400,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.35149568666730197
5500,[0.16000 0.16000 0.16000 -0.16489],[0.10240 0.10240 0.10240 0.10274],0.34476248310780105
5600,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.33815825987976045
5700,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.33168054625349885
5800,[0.56000 0.56000 0.56000 -0.59272],[0.61440 0.61440 0.61440 0.58084],0.32532691882829134
