iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,3.82317,0.40186,2.98221,3.86056,0.40207,2.98208,3.88729,0.40133,2.98211,3.73787,0.40139,2.98192
1,200,1.38327,0.38108,2.98173,1.34546,0.38173,2.98212,1.35792,0.38080,2.98201,1.43255,0.37990,2.98165
2,300,1.05438,0.35464,2.97983,1.06949,0.35440,2.98004,1.15630,0.35353,2.97960,1.15160,0.35370,2.98021
3,400,0.95396,0.32465,2.97796,1.02068,0.32487,2.97756,1.02512,0.32436,2.97726,0.97624,0.32368,2.97795
4,500,0.93523,0.29709,2.97489,1.09859,0.29737,2.97498,0.99453,0.29655,2.97466,0.87966,0.29621,2.97462
5,600,0.98181,0.27329,2.97300,1.11317,0.27272,2.97293,1.10109,0.27305,2.97304,0.82196,0.27270,2.97233
6,700,0.97547,0.25131,2.96988,0.91038,0.25096,2.97012,1.05059,0.25098,2.96981,0.73801,0.25085,2.96955
7,800,0.92162,0.23105,2.96777,0.92646,0.23091,2.96718,0.95599,0.23104,2.96771,0.77163,0.23052,2.96771
8,900,1.05104,0.21317,2.96532,1.00166,0.21287,2.96498,0.95915,0.21268,2.96511,0.80918,0.21234,2.96509
9,1000,1.05385,0.19581,2.96291,0.96932,0.19596,2.96250,1.01314,0.19562,2.96307,0.78427,0.19574,2.96238
10,1100,1.01365,0.18129,2.96018,0.99563,0.18098,2.96035,0.96394,0.18057,2.96014,0.78077,0.18000,2.96073
11,1200,1.01136,0.16724,2.95788,1.04294,0.16706,2.95808,0.94715,0.16738,2.95819,0.79337,0.16678,2.95799
12,1300,0.96648,0.15513,2.95548,0.98699,0.15497,2.95525,0.98191,0.15456,2.95562,0.87115,0.15459,2.95544
13,1400,0.91421,0.14394,2.95265,0.98477,0.14378,2.95298,1.01009,0.14339,2.95234,0.82177,0.14354,2.95276
14,1500,0.98206,0.13397,2.95068,1.01674,0.13369,2.95004,1.01908,0.13345,2.95010,0.82149,0.13357,2.95063
15,1600,0.86271,0.12468,2.94723,1.00353,0.12421,2.94713,0.94612,0.12430,2.94732,0.90180,0.12435,2.94717
16,1700,0.87117,0.11657,2.94422,0.91599,0.11619,2.94410,1.02729,0.11632,2.94413,0.87244,0.11621,2.94420
17,1800,0.96142,0.10929,2.94049,1.04722,0.10910,2.94062,1.03756,0.10908,2.94113,0.81474,0.10931,2.94102
18,1900,1.02828,0.10290,2.93721,0.94307,0.10292,2.93745,0.91468,0.10289,2.93683,0.81272,0.10290,2.93734
19,2000,1.04121,0.09738,2.93361,0.95202,0.09723,2.93360,0.92023,0.09714,2.93373,0.81456,0.09705,2.93422
20,2100,0.98527,0.09255,2.93043,1.02574,0.09237,2.93041,1.01534,0.09251,2.93007,0.77830,0.09257,2.93013
21,2200,0.95904,0.08824,2.92692,0.99113,0.08818,2.92697,0.97989,0.08848,2.92646,0.82610,0.08841,2.92633
22,2300,1.03844,0.08484,2.92266,0.98022,0.08470,2.92299,1.01598,0.08488,2.92320,0.87362,0.08483,2.92250
23,2400,1.04664,0.08152,2.91906,0.92407,0.08186,2.91947,1.05469,0.08163,2.91854,0.81215,0.08140,2.91942
24,2500,1.01896,0.07907,2.91447,0.92965,0.07916,2.91451,1.02203,0.07888,2.91490,0.85002,0.07914,2.91482
25,2600,1.02729,0.07664,2.91021,0.97888,0.07662,2.91145,0.98538,0.07675,2.91056,0.86849,0.07641,2.91088
26,2700,0.99502,0.07434,2.90684,1.03215,0.07423,2.90615,0.94368,0.07423,2.90658,0.91059,0.07433,2.90624
27,2800,0.98371,0.07280,2.90080,1.03259,0.07265,2.90134,0.99092,0.07287,2.90086,0.89174,0.07277,2.90153
28,2900,1.07672,0.07101,2.89664,1.05674,0.07094,2.89620,1.04019,0.07107,2.89595,0.84744,0.07093,2.89673
29,3000,0.96482,0.06934,2.89109,0.99153,0.06970,2.89213,1.01004,0.06966,2.89084,0.88672,0.06924,2.89160
30,3100,1.06619,0.06837,2.88616,1.02255,0.06827,2.88622,0.96008,0.06798,2.88531,0.88817,0.06814,2.88525
31,3200,0.92460,0.06712,2.88071,1.04247,0.06719,2.87989,1.07877,0.06697,2.88063,0.90652,0.06716,2.88046
32,3300,0.96015,0.06626,2.87376,1.00535,0.06590,2.87351,1.02098,0.06622,2.87543,0.91216,0.06593,2.87371
33,3400,1.06213,0.06538,2.86686,0.93710,0.06530,2.86844,1.00746,0.06532,2.86709,0.87987,0.06539,2.86742
34,3500,1.02307,0.06454,2.86117,0.99640,0.06433,2.86079,0.92036,0.06479,2.86042,0.98333,0.06459,2.85946
35,3600,1.04595,0.06412,2.85480,1.10397,0.06387,2.85339,0.95029,0.06379,2.85245,0.81196,0.06378,2.85173
36,3700,1.00228,0.06347,2.84477,1.01056,0.06326,2.84552,0.97822,0.06325,2.84599,0.92986,0.06333,2.84638
37,3800,1.01103,0.06313,2.83792,0.99026,0.06277,2.83880,0.93398,0.06281,2.83920,0.90573,0.06285,2.83792
38,3900,1.03448,0.06230,2.83116,0.96989,0.06247,2.83285,1.03491,0.06251,2.83064,0.94784,0.06252,2.82941
39,4000,1.05989,0.06229,2.82194,1.01753,0.06231,2.82245,1.00219,0.06229,2.82430,0.92052,0.06238,2.82376
40,4100,1.04620,0.06196,2.81461,0.96130,0.06184,2.81223,0.91335,0.06199,2.81379,0.84598,0.06204,2.81340
41,4200,0.95173,0.06192,2.80493,0.97693,0.06193,2.80320,0.97381,0.06205,2.80488,0.97585,0.06230,2.80398
42,4300,1.03909,0.06208,2.79405,1.02386,0.06202,2.79421,1.03542,0.06199,2.79515,0.87200,0.06181,2.79638
43,4400,0.98737,0.06231,2.78506,1.06505,0.06228,2.78560,1.09838,0.06209,2.78365,1.00134,0.06229,2.78645
44,4500,0.92778,0.06206,2.77399,0.93328,0.06221,2.77493,0.96260,0.06240,2.77272,0.85653,0.06206,2.77394
45,4600,1.00269,0.06273,2.76210,0.94220,0.06215,2.76272,0.97778,0.06239,2.76135,0.92926,0.06271,2.76328
46,4700,0.95388,0.06270,2.75259,1.05780,0.06282,2.75402,1.00507,0.06258,2.75303,0.90941,0.06252,2.75202
47,4800,1.04017,0.06297,2.74188,0.97586,0.06302,2.73907,1.02006,0.06293,2.74054,0.97779,0.06348,2.74409
48,4900,1.00878,0.06345,2.73065,1.05905,0.06331,2.72848,0.96033,0.06366,2.72878,0.99219,0.06342,2.72752
49,5000,0.94396,0.06350,2.71933,1.03138,0.06347,2.71491,1.05539,0.06380,2.71511,0.95449,0.06358,2.71644
50,5100,0.94238,0.06385,2.70498,0.95838,0.06389,2.70383,0.97991,0.06410,2.70420,0.91802,0.06422,2.70157
51,5200,0.99769,0.06477,2.69117,0.96321,0.06444,2.69228,0.91367,0.06444,2.69407,0.92077,0.06445,2.68837
52,5300,1.01592,0.06473,2.67915,0.98693,0.06510,2.68086,0.99602,0.06462,2.68010,0.91879,0.06472,2.67716
53,5400,1.03588,0.06467,2.66408,1.05853,0.06499,2.66500,0.97176,0.06497,2.66498,0.97341,0.06479,2.66822
54,5500,1.02650,0.06536,2.65210,1.05601,0.06516,2.65467,1.04500,0.06507,2.65414,0.90489,0.06512,2.65068
55,5600,0.97209,0.06484,2.64140,0.99643,0.06521,2.63698,1.03745,0.06526,2.63579,0.94704,0.06556,2.63795
56,5700,0.95487,0.06599,2.62482,0.98391,0.06541,2.62041,0.95891,0.06541,2.62798,0.94538,0.06566,2.62016
57,5800,1.01360,0.06574,2.60867,0.96581,0.06521,2.61450,0.95971,0.06576,2.61447,0.85316,0.06576,2.61307
58,5900,1.03540,0.06551,2.59603,1.01123,0.06566,2.59310,0.98314,0.06548,2.59970,0.92449,0.06591,2.59673
59,6000,0.99073,0.06532,2.58490,0.96395,0.06534,2.58034,1.05641,0.06521,2.58517,0.96016,0.06499,2.58681
60,6100,1.04529,0.06518,2.57258,0.94968,0.06539,2.56974,0.96570,0.06518,2.56664,0.91549,0.06482,2.57018
61,6200,0.97590,0.06503,2.55814,0.98756,0.06469,2.55567,1.00468,0.06507,2.55704,0.96010,0.06504,2.56283
62,6300,0.93454,0.06494,2.54300,1.03478,0.06467,2.54994,0.97562,0.06432,2.54771,0.96697,0.06437,2.54370
63,6400,1.00383,0.06360,2.53070,0.97876,0.06392,2.53462,0.95772,0.06403,2.52823,0.98543,0.06357,2.53063
64,6500,1.02889,0.06317,2.52228,0.99984,0.06330,2.52221,0.99621,0.06255,2.51249,0.95993,0.06335,2.51997
65,6600,0.88039,0.06277,2.51534,0.97131,0.06249,2.51178,1.04043,0.06277,2.50562,0.97893,0.06239,2.50799
66,6700,0.98985,0.06188,2.49640,1.01815,0.06174,2.49285,1.01951,0.06153,2.49995,0.97390,0.06135,2.50054
67,6800,0.99133,0.06138,2.48527,1.02160,0.06118,2.48099,1.01421,0.06091,2.48003,0.95217,0.06133,2.48779
68,6900,0.94823,0.06081,2.47838,1.02074,0.06052,2.47558,0.90641,0.06061,2.47531,0.95126,0.06060,2.47577
69,7000,1.00025,0.05979,2.46198,1.00133,0.06019,2.46070,1.01395,0.05962,2.46795,0.96052,0.05946,2.46296
70,7100,1.00991,0.05858,2.45440,0.96919,0.05898,2.45730,1.04452,0.05920,2.45415,0.96702,0.05884,2.46069
71,7200,0.94309,0.05825,2.45724,1.01455,0.05817,2.45813,1.00110,0.05807,2.45053,1.01547,0.05833,2.44781
72,7300,1.10433,0.05731,2.44932,1.02175,0.05745,2.43945,0.93117,0.05720,2.45161,1.02134,0.05737,2.44834
73,7400,0.93000,0.05666,2.44798,0.96225,0.05634,2.44087,1.04482,0.05595,2.44338,0.95488,0.05640,2.44388
74,7500,0.99816,0.05540,2.43097,1.02444,0.05530,2.43566,0.99169,0.05531,2.43522,0.94477,0.05577,2.43771
75,7600,1.02571,0.05458,2.43472,1.02370,0.05455,2.43340,0.99330,0.05474,2.43552,0.94958,0.05457,2.43339
76,7700,0.97560,0.05401,2.43086,1.03001,0.05366,2.42960,0.98047,0.05406,2.43118,0.95345,0.05369,2.42176
77,7800,0.99202,0.05285,2.41977,0.96960,0.05318,2.42848,1.01890,0.05271,2.43105,1.00643,0.05264,2.43155
78,7900,1.02260,0.05176,2.42747,1.01943,0.05176,2.43210,0.96100,0.05211,2.42015,0.93964,0.05178,2.41845
79,8000,1.05637,0.05074,2.42072,1.03236,0.05106,2.40686,0.95688,0.05102,2.42206,0.89697,0.05125,2.41976
80,8100,0.94269,0.05019,2.41758,0.92840,0.05042,2.41048,0.97841,0.05031,2.40988,0.98262,0.05012,2.41156
81,8200,0.98636,0.04942,2.41410,1.00563,0.04916,2.41213,1.03812,0.04942,2.41172,0.96567,0.04954,2.40577
82,8300,1.02373,0.04869,2.40518,0.96326,0.04872,2.40851,1.00167,0.04848,2.40358,1.03859,0.04846,2.41187
83,8400,1.00351,0.04794,2.40526,1.01310,0.04755,2.40407,1.00690,0.04763,2.39859,0.94091,0.04796,2.40192
84,8500,1.02355,0.04713,2.40888,0.98559,0.04704,2.39507,0.98737,0.04678,2.40363,0.93743,0.04730,2.39644
85,8600,0.92258,0.04644,2.40456,0.99959,0.04632,2.39414,0.97068,0.04626,2.39778,0.97547,0.04618,2.39787
86,8700,1.02269,0.04547,2.39382,1.03616,0.04522,2.40377,1.09486,0.04563,2.40251,0.96176,0.04555,2.39830
87,8800,1.01681,0.04482,2.40145,0.94066,0.04480,2.39659,0.99131,0.04450,2.40151,0.95068,0.04478,2.39846
88,8900,0.99497,0.04335,2.39477,1.01051,0.04355,2.39314,1.03635,0.04387,2.39500,0.95445,0.04372,2.39727
89,9000,0.94765,0.04333,2.38949,0.95517,0.04287,2.39109,0.92923,0.04282,2.39191,1.00999,0.04314,2.38769
90,9100,0.96125,0.04233,2.38880,1.01971,0.04235,2.39731,0.98869,0.04249,2.38360,1.03772,0.04219,2.38216
91,9200,0.99507,0.04173,2.38551,0.97402,0.04151,2.38558,1.07626,0.04163,2.38973,0.92779,0.04168,2.39198
92,9300,1.00812,0.04077,2.38406,0.95351,0.04072,2.38438,1.07225,0.04081,2.38062,0.96470,0.04079,2.38871
93,9400,0.96993,0.04014,2.38456,1.00303,0.04030,2.38101,1.02791,0.04025,2.39038,0.93315,0.04006,2.38897
94,9500,1.02385,0.03943,2.38960,1.05531,0.03931,2.37664,1.00983,0.03941,2.38711,0.96448,0.03928,2.38592
95,9600,1.07237,0.03842,2.38406,0.95966,0.03865,2.38771,0.97848,0.03847,2.38662,0.94590,0.03866,2.39122
96,9700,1.01122,0.03796,2.38096,0.94713,0.03793,2.37990,0.99371,0.03780,2.37357,0.97602,0.03792,2.38348
97,9800,1.05939,0.03741,2.39641,1.02705,0.03728,2.37391,0.99051,0.03724,2.37636,0.94569,0.03718,2.38348
98,9900,1.06732,0.03677,2.38274,0.99905,0.03636,2.38051,1.00171,0.03649,2.38060,0.90050,0.03651,2.37609
99,10000,1.08594,0.03591,2.37442,0.96734,0.03579,2.38676,0.93392,0.03599,2.36765,0.98479,0.03582,2.37594
100,10100,1.04312,0.03518,2.37039,0.99624,0.03514,2.37493,0.94557,0.03507,2.38098,0.94789,0.03502,2.37072
101,10200,1.05271,0.03459,2.37291,0.99737,0.03458,2.38056,1.02142,0.03463,2.37321,0.94454,0.03470,2.35687
102,10300,1.03220,0.03385,2.37419,0.96599,0.03394,2.37015,0.98003,0.03376,2.37492,0.95984,0.03396,2.38119
103,10400,1.16902,0.03313,2.37548,0.99648,0.03317,2.37006,0.99236,0.03300,2.37056,0.95263,0.03334,2.37119
104,10500,1.07683,0.03276,2.36772,1.02244,0.03278,2.36324,0.97626,0.03286,2.36735,0.95994,0.03270,2.36986
105,10600,1.13684,0.03212,2.36875,1.03072,0.03195,2.37487,0.99731,0.03199,2.36517,0.94280,0.03197,2.36622
106,10700,1.14390,0.03145,2.36981,0.96905,0.03137,2.36573,1.00838,0.03146,2.35675,0.96713,0.03159,2.36236
107,10800,1.15237,0.03080,2.35827,1.00705,0.03105,2.36437,1.01588,0.03090,2.36217,0.94704,0.03109,2.35900
108,10900,1.16186,0.03058,2.35509,0.95668,0.03032,2.35883,1.01247,0.03045,2.37447,0.94989,0.03053,2.36809
109,11000,1.16396,0.03009,2.36022,1.01232,0.02998,2.36770,0.99761,0.02987,2.35328,1.00027,0.02990,2.35539
110,11100,1.18163,0.02943,2.36373,0.98536,0.02939,2.36506,0.99227,0.02946,2.35948,0.97317,0.02920,2.36911
111,11200,1.13976,0.02870,2.35613,1.02403,0.02897,2.36410,1.02565,0.02887,2.36015,0.92471,0.02886,2.35845
112,11300,1.20576,0.02830,2.36205,1.02381,0.02855,2.36354,0.98447,0.02845,2.35079,0.97458,0.02841,2.36810
113,11400,1.19449,0.02782,2.35392,0.98838,0.02791,2.35621,0.97504,0.02770,2.36216,0.94796,0.02784,2.35092
114,11500,1.15964,0.02730,2.35621,0.96921,0.02736,2.35039,1.03882,0.02742,2.35528,0.98604,0.02729,2.36203
115,11600,1.17694,0.02692,2.34764,1.01417,0.02689,2.35824,1.04089,0.02678,2.35686,0.93432,0.02685,2.35198
116,11700,1.20090,0.02651,2.35476,1.03755,0.02654,2.35362,1.06500,0.02657,2.35103,0.96018,0.02641,2.35217
117,11800,1.26842,0.02593,2.34288,1.04711,0.02611,2.35711,1.03155,0.02588,2.35420,0.95218,0.02603,2.35014
118,11900,1.24365,0.02570,2.34097,1.04833,0.02551,2.35255,1.11510,0.02560,2.34907,0.98486,0.02570,2.34500
119,12000,1.25931,0.02533,2.34745,1.07459,0.02531,2.33997,1.03671,0.02532,2.34777,0.95206,0.02516,2.34309
120,12100,1.24951,0.02482,2.33728,1.05691,0.02494,2.35223,1.03631,0.02481,2.35364,0.97114,0.02494,2.35820
121,12200,1.21287,0.02445,2.34838,1.07500,0.02444,2.33956,1.05334,0.02451,2.33961,0.89902,0.02456,2.33745
122,12300,1.26250,0.02416,2.34613,1.05168,0.02417,2.35030,1.10692,0.02427,2.34368,1.00692,0.02420,2.34984
123,12400,1.24781,0.02388,2.33518,1.10892,0.02392,2.33130,1.07299,0.02377,2.34435,0.89587,0.02380,2.34839
124,12500,1.23640,0.02350,2.33647,1.07014,0.02343,2.33461,1.08065,0.02345,2.34048,0.97239,0.02341,2.33415
125,12600,1.31500,0.02308,2.33627,1.07863,0.02321,2.33438,1.13606,0.02304,2.33632,0.94373,0.02313,2.33227
126,12700,1.29983,0.02273,2.33597,1.11408,0.02284,2.33503,1.15335,0.02283,2.34301,0.97162,0.02293,2.33495
127,12800,1.28405,0.02255,2.33807,1.13537,0.02265,2.32925,1.14972,0.02271,2.33579,0.98870,0.02260,2.33331
128,12900,1.30675,0.02232,2.33875,1.07741,0.02213,2.33636,1.18159,0.02223,2.33360,0.95910,0.02236,2.33130
129,13000,1.34847,0.02196,2.33850,1.09088,0.02199,2.33562,1.18510,0.02188,2.33261,1.02038,0.02192,2.33506
130,13100,1.32584,0.02176,2.32764,1.15089,0.02174,2.32919,1.15166,0.02181,2.33225,1.03668,0.02174,2.33121
131,13200,1.36432,0.02140,2.33263,1.13959,0.02143,2.32925,1.14170,0.02155,2.33581,1.01493,0.02143,2.33049
132,13300,1.37078,0.02132,2.32914,1.12638,0.02122,2.32903,1.16927,0.02127,2.32775,0.98926,0.02125,2.32509
133,13400,1.32001,0.02106,2.31636,1.14500,0.02110,2.33567,1.17073,0.02102,2.32842,0.94958,0.02094,2.32583
134,13500,1.36979,0.02077,2.31844,1.19496,0.02075,2.32091,1.17625,0.02076,2.31600,0.98930,0.02077,2.32116
135,13600,1.32757,0.02063,2.32733,1.16821,0.02059,2.32357,1.12827,0.02056,2.31970,1.01208,0.02053,2.33162
136,13700,1.36626,0.02044,2.32766,1.19193,0.02037,2.31717,1.22716,0.02046,2.31864,0.99195,0.02036,2.31715
137,13800,1.34731,0.02042,2.32002,1.17995,0.02023,2.31882,1.17189,0.02015,2.32690,0.96939,0.02019,2.31633
138,13900,1.39192,0.01992,2.31757,1.21342,0.01999,2.31674,1.16132,0.01993,2.31386,1.02838,0.02015,2.32411
139,14000,1.35483,0.01985,2.31811,1.23452,0.01980,2.31448,1.21764,0.01980,2.31882,0.98073,0.01995,2.31672
