iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
0,100,23.72278,1.02525,23.68692,1.02240,25.99099,1.06953,25.96282,1.07883
1,200,7.20065,1.02026,7.57160,1.04681,8.33808,1.07063,7.77327,1.08120
2,300,2.08084,1.04967,2.13968,1.06069,2.32198,1.06442,2.79486,1.09046
3,400,1.48460,1.03972,1.55611,1.04500,1.64923,1.04394,1.79909,1.09250
4,500,1.24936,1.02927,1.43834,1.02969,1.32443,1.02665,1.20104,1.07761
5,600,1.22565,1.01771,1.30376,1.01923,1.34034,1.01725,1.02987,1.05750
6,700,1.16046,1.00942,1.08744,1.02134,1.20432,1.01332,0.89252,1.05356
7,800,1.07139,0.99304,1.09466,1.00944,1.13656,1.00288,0.90169,1.03207
8,900,1.11643,0.98277,1.08534,0.99609,1.06428,0.99313,0.86386,1.01669
9,1000,1.11837,0.97217,1.12044,0.98171,1.14664,0.97745,0.91832,0.99664
10,1100,1.07807,0.95849,1.11930,0.97013,1.01880,0.96717,0.85730,0.99166
11,1200,1.08612,0.94423,1.09720,0.96260,1.05615,0.95709,0.84981,0.97921
12,1300,1.01990,0.93344,0.96839,0.94935,1.06773,0.94006,0.84959,0.96822
13,1400,0.96604,0.92722,1.07288,0.94281,1.11633,0.93190,0.81950,0.95137
14,1500,0.99032,0.91697,0.99725,0.93335,1.10187,0.92016,0.81364,0.93525
15,1600,1.02478,0.90951,1.07713,0.91592,1.03181,0.91229,0.88816,0.92497
16,1700,0.98295,0.90532,0.99004,0.90952,1.00382,0.89950,0.89928,0.90182
17,1800,1.09501,0.89218,1.06570,0.90164,1.14309,0.89523,0.84668,0.89798
18,1900,1.08177,0.88753,1.09999,0.89351,0.96465,0.88874,0.87059,0.88003
19,2000,1.03884,0.87831,1.08755,0.89134,1.08234,0.87953,0.81641,0.86297
20,2100,1.05613,0.87363,1.05895,0.87683,1.09963,0.87465,0.86039,0.85354
21,2200,1.02628,0.86411,1.13845,0.87601,1.02076,0.86523,0.91576,0.84115
22,2300,1.02907,0.85914,1.10405,0.86624,1.13850,0.85869,0.94776,0.82744
23,2400,1.07418,0.85253,0.99925,0.85894,1.07855,0.85264,0.83153,0.81382
24,2500,1.06319,0.84161,1.02350,0.85316,1.06994,0.84383,0.89171,0.80111
25,2600,1.02539,0.83748,1.01658,0.84316,1.11316,0.83959,0.86930,0.78744
26,2700,0.99145,0.82776,1.06962,0.83610,1.05260,0.82858,0.91193,0.77452
27,2800,1.08101,0.81993,1.00392,0.83249,1.08481,0.82150,0.93625,0.76220
28,2900,1.12801,0.81003,1.12021,0.82183,1.07398,0.81380,0.84524,0.74967
29,3000,0.99983,0.80122,1.02107,0.81847,1.07022,0.81381,0.93339,0.73936
30,3100,1.05043,0.79750,1.04601,0.81080,1.05447,0.80300,0.88692,0.72891
31,3200,1.05970,0.78760,1.08093,0.80405,1.07073,0.79536,0.92504,0.71509
32,3300,1.03099,0.78359,0.99995,0.79674,1.04685,0.78772,0.86559,0.70175
33,3400,1.03188,0.77811,1.04220,0.79061,1.09028,0.78397,0.88823,0.69556
34,3500,0.98472,0.77112,1.06355,0.78396,1.02256,0.77581,0.96749,0.68369
35,3600,1.01804,0.76310,1.07591,0.77924,1.04310,0.77019,0.90502,0.67527
36,3700,1.06011,0.75973,1.07572,0.77050,0.96942,0.76666,0.93860,0.66223
37,3800,1.13830,0.74906,0.98592,0.76339,1.00129,0.76353,0.96857,0.65446
38,3900,1.12597,0.74104,1.04677,0.75849,1.09441,0.75396,1.03975,0.64359
39,4000,1.10022,0.73674,1.04968,0.75665,1.01338,0.74559,0.88684,0.63556
40,4100,1.08718,0.72923,1.06325,0.74895,1.11448,0.74119,0.87576,0.62447
41,4200,0.99624,0.72360,1.00406,0.73666,1.06601,0.73384,0.89839,0.61805
42,4300,1.01257,0.71327,1.12019,0.73524,1.06754,0.72749,0.96249,0.60599
43,4400,1.02525,0.71428,1.06704,0.72673,1.03760,0.72028,0.98070,0.59924
44,4500,1.09590,0.69996,0.99072,0.72134,1.04333,0.71283,0.88974,0.59154
45,4600,1.04614,0.69279,0.98884,0.71537,0.98827,0.69923,0.95287,0.58570
46,4700,1.08917,0.68638,1.03987,0.70712,1.07747,0.69664,0.93617,0.57417
