iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
0,100,3.97105,0.29028,3.03047,0.25876,2.64377,0.24074,2.36570,0.22755
1,200,1.84286,0.20696,1.74466,0.20000,1.53474,0.19636,1.71208,0.19019
2,300,1.74456,0.19928,1.61576,0.19504,1.48890,0.19285,1.66729,0.19041
3,400,1.70530,0.19719,1.67317,0.19373,1.55208,0.19202,1.47854,0.18853
4,500,1.78053,0.19579,1.60385,0.19422,1.63334,0.19156,1.48917,0.19150
5,600,1.86071,0.19768,1.62813,0.19523,1.62296,0.19366,1.42559,0.19287
6,700,1.75057,0.19685,1.68478,0.19240,1.78411,0.19356,1.40682,0.19287
7,800,1.71724,0.19554,1.67069,0.19496,1.69007,0.19367,1.43430,0.19387
8,900,1.74201,0.19721,1.71915,0.19635,1.62855,0.19528,1.42223,0.19538
9,1000,1.64709,0.19721,1.64258,0.19568,1.68749,0.19556,1.47441,0.19575
10,1100,1.66502,0.20019,1.68762,0.19935,1.64400,0.19602,1.48559,0.19403
11,1200,1.68345,0.19857,1.65167,0.19672,1.68928,0.19674,1.47092,0.19732
12,1300,1.78008,0.19691,1.71119,0.19844,1.59372,0.19644,1.50915,0.19775
13,1400,1.72770,0.19792,1.56244,0.19603,1.66930,0.19384,1.47353,0.19586
14,1500,1.70802,0.19748,1.69036,0.19522,1.59231,0.19511,1.47013,0.19608
15,1600,1.66658,0.19675,1.60755,0.19565,1.73639,0.19646,1.49704,0.19487
16,1700,1.71466,0.19962,1.60321,0.19769,1.64446,0.19644,1.44502,0.19805
17,1800,1.62965,0.19953,1.72557,0.20190,1.66264,0.19743,1.48224,0.19721
18,1900,1.66111,0.19960,1.66166,0.19843,1.62895,0.19920,1.43294,0.19710
19,2000,1.70704,0.19806,1.71765,0.19860,1.63956,0.19812,1.40256,0.20012
20,2100,1.57676,0.19899,1.63256,0.19782,1.62154,0.19917,1.53780,0.19952
21,2200,1.59200,0.19917,1.71283,0.19901,1.64681,0.19735,1.45725,0.19955
22,2300,1.59910,0.19874,1.72844,0.20110,1.54558,0.19758,1.47435,0.19794
23,2400,1.73387,0.19984,1.63024,0.20031,1.64360,0.19926,1.50330,0.19758
24,2500,1.64307,0.19791,1.68647,0.19761,1.68259,0.19864,1.45061,0.19745
25,2600,1.61588,0.19925,1.65388,0.19876,1.64440,0.19706,1.57743,0.19972
26,2700,1.70092,0.19804,1.59229,0.19946,1.69422,0.19814,1.54245,0.19974
27,2800,1.58448,0.19995,1.67381,0.19782,1.67661,0.19794,1.53571,0.19772
28,2900,1.67504,0.19927,1.71211,0.19731,1.71186,0.19920,1.52030,0.19798
29,3000,1.82660,0.20033,1.64824,0.19722,1.68089,0.19737,1.48899,0.19780
30,3100,1.59734,0.19750,1.73125,0.19804,1.57743,0.19739,1.53987,0.19882
31,3200,1.62763,0.19702,1.65424,0.19608,1.64977,0.19802,1.42111,0.19586
32,3300,1.69333,0.19832,1.74722,0.19706,1.59457,0.19602,1.57281,0.19812
