number,rewards,variances,exploration_value
0,[-2.60158 -0.40800 -0.40800],[1.53093 0.17872 0.17872],0.3
100,[-3.18338 0.51138 0.51138],[17.51899 0.90912 0.90912],0.2988
200,[-1.41145 -0.15706 -0.15706],[0.43715 0.24210 0.24210],0.2976
300,[-2.17902 0.38180 0.38180],[1.59143 0.06387 0.06387],0.2964
400,[-2.40683 0.46201 0.46201],[1.51863 0.45300 0.45300],0.29519999999999996
500,[-1.63270 -0.02154 -0.02154],[0.27015 0.25880 0.25880],0.294
600,[-1.39695 0.07960 0.07960],[0.13668 0.17743 0.17743],0.2928
700,[-1.50410 0.46910 0.46910],[0.28367 0.12796 0.12796],0.29159999999999997
800,[-2.31894 0.57912 0.57912],[1.53653 0.29266 0.29266],0.2904
900,[-1.30740 0.53741 0.53741],[0.22982 0.17449 0.17449],0.28919999999999996
1000,[-1.24683 0.47270 0.47270],[0.37734 0.07642 0.07642],0.288
1100,[-1.68367 0.74682 0.74682],[0.85523 0.16421 0.16421],0.2868
1200,[-4.68476 1.37091 1.37091],[26.85027 0.81863 0.81863],0.28559999999999997
1300,[-1.09091 0.48838 0.48838],[0.19931 0.10161 0.10161],0.2844
1400,[-1.85163 0.83226 0.83226],[1.60125 0.23084 0.23084],0.28319999999999995
1500,[-1.66458 0.83595 0.83595],[0.00890 0.01424 0.01424],0.282
1600,[-0.94319 0.36415 0.36415],[0.47437 0.11408 0.11408],0.2808
1700,[-1.10943 0.59164 0.59164],[0.53875 0.15929 0.15929],0.2796
1800,[-1.49560 0.76627 0.76627],[2.72033 0.13909 0.13909],0.2784
1900,[-1.07001 0.50062 0.50062],[0.95411 0.19045 0.19045],0.2772
2000,[-0.70173 0.35726 0.35726],[0.13340 0.20036 0.20036],0.276
2100,[-0.80919 0.44973 0.44973],[0.47519 0.13326 0.13326],0.2748
2200,[-1.05482 0.58430 0.58430],[0.38652 0.02692 0.02692],0.2736
2300,[-0.50411 0.36537 0.36537],[0.02105 0.02497 0.02497],0.2724
2400,[-1.00189 0.50210 0.50210],[0.09794 0.07122 0.07122],0.2712
2500,[-1.39591 0.63980 0.63980],[2.04464 0.21072 0.21072],0.27
2600,[-0.61406 0.38143 0.38143],[0.17119 0.05623 0.05623],0.2688
2700,[-1.09697 0.54263 0.54263],[0.80754 0.07555 0.07555],0.2676
2800,[-1.13309 0.60603 0.60603],[0.32003 0.11679 0.11679],0.26639999999999997
2900,[-1.57215 0.69433 0.69433],[2.30676 0.20502 0.20502],0.2652
3000,[-0.75187 0.49912 0.49912],[0.11049 0.03142 0.03142],0.264
3100,[-0.63789 0.37109 0.37109],[0.07041 0.02017 0.02017],0.2628
3200,[-0.36564 0.16995 0.16995],[0.04196 0.02983 0.02983],0.2616
3300,[-1.03809 0.53432 0.53432],[0.78700 0.15242 0.15242],0.26039999999999996
3400,[-1.10076 0.57000 0.57000],[1.43002 0.29449 0.29449],0.2592
3500,[-1.52008 0.65761 0.65761],[1.53691 0.22096 0.22096],0.258
3600,[-0.79874 0.42109 0.42109],[0.34672 0.04070 0.04070],0.2568
3700,[-1.39570 0.69556 0.69556],[0.81469 0.12207 0.12207],0.2556
3800,[-0.50017 0.22578 0.22578],[0.08651 0.06154 0.06154],0.25439999999999996
3900,[-0.52596 0.39220 0.39220],[0.08566 0.02803 0.02803],0.2532
4000,[-1.38578 0.55069 0.55069],[2.13602 0.13143 0.13143],0.252
4100,[-0.69304 0.44077 0.44077],[0.43728 0.13433 0.13433],0.25079999999999997
4200,[-0.81075 0.47700 0.47700],[0.26080 0.10199 0.10199],0.2496
4300,[-1.03733 0.56069 0.56069],[0.88377 0.11879 0.11879],0.24839999999999998
4400,[-0.88269 0.29838 0.29838],[1.54498 0.11398 0.11398],0.24719999999999998
4500,[-0.69342 0.45694 0.45694],[0.18212 0.01924 0.01924],0.24599999999999997
4600,[-0.76017 0.38879 0.38879],[0.12007 0.01080 0.01080],0.24479999999999996
4700,[-1.18327 0.68127 0.68127],[0.58604 0.12806 0.12806],0.2436
4800,[-1.18279 0.70448 0.70448],[0.40961 0.06979 0.06979],0.2424
4900,[-0.87318 0.53637 0.53637],[0.29287 0.03964 0.03964],0.2412
5000,[-0.70446 0.32620 0.32620],[0.06007 0.03231 0.03231],0.24
5100,[-1.40245 0.61889 0.61889],[0.23103 0.13490 0.13490],0.2388
5200,[-0.94250 0.61566 0.61566],[0.08896 0.01924 0.01924],0.2376
5300,[-1.30589 0.58238 0.58238],[0.75416 0.15318 0.15318],0.2364
5400,[-1.05571 0.62958 0.62958],[0.70182 0.12886 0.12886],0.2352
5500,[-0.49920 0.38647 0.38647],[0.00604 0.01884 0.01884],0.23399999999999999
5600,[-1.01487 0.53668 0.53668],[0.41891 0.02009 0.02009],0.2328
5700,[-0.83464 0.42220 0.42220],[0.45042 0.14804 0.14804],0.2316
5800,[-0.75048 0.26055 0.26055],[0.28420 0.00304 0.00304],0.2304
5900,[-0.58350 0.17666 0.17666],[0.12950 0.07327 0.07327],0.2292
6000,[-0.62498 0.18113 0.18113],[0.45713 0.06271 0.06271],0.22799999999999998
6100,[-0.83470 0.42198 0.42198],[0.54464 0.10999 0.10999],0.2268
6200,[-0.65674 0.30944 0.30944],[0.02518 0.00463 0.00463],0.2256
6300,[-0.80551 0.42265 0.42265],[0.14876 0.10840 0.10840],0.2244
6400,[-1.29703 0.69087 0.69087],[0.33769 0.04562 0.04562],0.22319999999999998
6500,[-0.85864 0.49590 0.49590],[0.51483 0.14860 0.14860],0.222
6600,[-1.09285 0.56202 0.56202],[0.58402 0.00673 0.00673],0.2208
6700,[-1.04416 0.48906 0.48906],[0.33997 0.03695 0.03695],0.2196
6800,[-0.95528 0.45954 0.45954],[0.33893 0.08667 0.08667],0.21839999999999998
6900,[-0.70206 0.42412 0.42412],[0.14178 0.10240 0.10240],0.21719999999999998
7000,[-0.75533 0.44365 0.44365],[0.12792 0.09472 0.09472],0.216
7100,[-0.52829 0.02698 0.02698],[0.17711 0.04095 0.04095],0.2148
7200,[-0.91910 0.29499 0.29499],[0.38881 0.19791 0.19791],0.21359999999999998
7300,[-0.85202 0.52931 0.52931],[0.19860 0.02931 0.02931],0.21239999999999998
7400,[-0.57306 0.21833 0.21833],[0.02169 0.03196 0.03196],0.21119999999999997
7500,[-0.84565 0.31149 0.31149],[0.57705 0.08358 0.08358],0.21
7600,[-0.68017 0.26154 0.26154],[0.15794 0.05665 0.05665],0.20879999999999999
7700,[-1.08050 0.52706 0.52706],[0.41074 0.02891 0.02891],0.20759999999999998
7800,[-0.71560 0.50110 0.50110],[0.09805 0.04267 0.04267],0.20639999999999997
7900,[-0.51668 0.37674 0.37674],[0.04771 0.03364 0.03364],0.20520000000000002
8000,[-1.01912 0.66349 0.66349],[0.21687 0.05538 0.05538],0.20400000000000001
8100,[-0.76109 0.45003 0.45003],[0.08644 0.05224 0.05224],0.2028
8200,[-0.97318 0.50860 0.50860],[0.38026 0.08311 0.08311],0.2016
