number,rewards,variances,exploration_value
0,[-2.60158 -0.40800 -0.40800],[1.53093 0.17872 0.17872],0.3
100,[-4.57708 0.91227 0.91227],[10.23944 0.55168 0.55168],0.2988
200,[-2.78062 0.59490 0.59490],[0.70238 0.31237 0.31237],0.2976
300,[-3.47233 0.25028 0.25028],[2.46644 1.67657 1.67657],0.2964
400,[-5.96666 1.35475 1.35475],[3.11888 0.41148 0.41148],0.29519999999999996
500,[-4.00545 0.68762 0.68762],[11.68763 0.22162 0.22162],0.294
600,[-4.55395 0.64196 0.64196],[8.93614 0.26511 0.26511],0.2928
700,[-3.53400 0.32350 0.32350],[12.23031 1.53379 1.53379],0.29159999999999997
800,[-2.42277 0.46575 0.46575],[1.39106 0.52804 0.52804],0.2904
900,[-4.13381 0.52108 0.52108],[24.83322 1.21003 1.21003],0.28919999999999996
1000,[-4.08501 0.55162 0.55162],[7.17552 0.46789 0.46789],0.288
1100,[-4.79100 0.97960 0.97960],[4.96580 0.28945 0.28945],0.2868
1200,[-6.04482 1.29128 1.29128],[15.78250 1.02890 1.02890],0.28559999999999997
1300,[-5.03638 1.36444 1.36444],[13.61696 0.51838 0.51838],0.2844
1400,[-1.94585 0.44251 0.44251],[1.88297 0.27079 0.27079],0.28319999999999995
1500,[-2.98694 0.82861 0.82861],[0.91952 0.10644 0.10644],0.282
1600,[-4.02219 0.85746 0.85746],[3.80422 0.55011 0.55011],0.2808
1700,[-2.91684 0.71600 0.71600],[1.68847 0.08514 0.08514],0.2796
1800,[-2.42542 0.75738 0.75738],[3.94803 0.36977 0.36977],0.2784
1900,[-5.23937 0.63458 0.63458],[7.20930 0.14559 0.14559],0.2772
2000,[-4.44392 1.30461 1.30461],[2.75431 0.15829 0.15829],0.276
2100,[-4.38924 1.12624 1.12624],[1.86719 0.17630 0.17630],0.2748
2200,[-4.14429 1.13947 1.13947],[7.90174 0.21833 0.21833],0.2736
2300,[-5.10340 1.39074 1.39074],[6.30748 0.39306 0.39306],0.2724
2400,[-2.59998 0.61771 0.61771],[4.87423 0.48334 0.48334],0.2712
2500,[-4.54894 1.31224 1.31224],[12.44045 0.72402 0.72402],0.27
2600,[-5.37149 1.30108 1.30108],[19.73777 1.06136 1.06136],0.2688
2700,[-2.65622 0.60380 0.60380],[2.86131 0.13299 0.13299],0.2676
2800,[-5.74100 1.47485 1.47485],[4.81381 0.19694 0.19694],0.26639999999999997
2900,[-2.28007 1.05575 1.05575],[2.54335 0.32551 0.32551],0.2652
3000,[-1.71267 0.72099 0.72099],[1.87375 0.11963 0.11963],0.264
3100,[-1.65784 0.67266 0.67266],[3.07500 0.35826 0.35826],0.2628
3200,[-4.65182 1.37499 1.37499],[6.47827 0.51315 0.51315],0.2616
3300,[-4.02080 1.35990 1.35990],[3.85145 0.32525 0.32525],0.26039999999999996
3400,[-1.97947 0.83582 0.83582],[0.69342 0.10734 0.10734],0.2592
3500,[-4.30488 1.47137 1.47137],[16.34137 0.62822 0.62822],0.258
3600,[-4.03865 1.41356 1.41356],[2.31518 0.14420 0.14420],0.2568
3700,[-4.64516 1.50910 1.50910],[5.78566 0.33113 0.33113],0.2556
3800,[-3.61068 1.26355 1.26355],[2.09502 0.10676 0.10676],0.25439999999999996
3900,[-3.04395 1.18491 1.18491],[0.39729 0.03752 0.03752],0.2532
4000,[-7.47627 2.06276 2.06276],[17.10194 0.36587 0.36587],0.252
4100,[-3.66401 1.35274 1.35274],[0.44675 0.08937 0.08937],0.25079999999999997
4200,[-5.14029 1.57141 1.57141],[8.63953 0.36922 0.36922],0.2496
4300,[-0.91404 0.50249 0.50249],[0.60251 0.27920 0.27920],0.24839999999999998
4400,[-3.16973 1.20969 1.20969],[1.31795 0.06928 0.06928],0.24719999999999998
4500,[-2.14964 1.01487 1.01487],[0.07258 0.00387 0.00387],0.24599999999999997
4600,[-3.07984 1.17927 1.17927],[2.27318 0.12126 0.12126],0.24479999999999996
4700,[-2.63333 1.32228 1.32228],[0.26167 0.05584 0.05584],0.2436
4800,[-2.67521 1.25556 1.25556],[1.95684 0.15139 0.15139],0.2424
4900,[-2.33296 1.04300 1.04300],[2.24352 0.16430 0.16430],0.2412
5000,[-2.75471 1.31745 1.31745],[1.11806 0.17556 0.17556],0.24
5100,[-2.47934 1.17094 1.17094],[0.44320 0.06021 0.06021],0.2388
5200,[-2.36448 1.05970 1.05970],[0.35207 0.05806 0.05806],0.2376
5300,[-3.91667 1.49458 1.49458],[0.44847 0.03278 0.03278],0.2364
5400,[-5.94255 1.83424 1.83424],[1.35789 0.03755 0.03755],0.2352
5500,[-4.65090 1.53935 1.53935],[7.62841 0.36989 0.36989],0.23399999999999999
5600,[-3.38655 1.19113 1.19113],[6.81827 0.27742 0.27742],0.2328
5700,[-4.77442 1.64149 1.64149],[2.72331 0.15923 0.15923],0.2316
5800,[-2.70109 1.11340 1.11340],[1.01875 0.09360 0.09360],0.2304
5900,[-3.66688 1.38808 1.38808],[2.06843 0.25115 0.25115],0.2292
6000,[-6.44368 1.95775 1.95775],[3.47689 0.11771 0.11771],0.22799999999999998
6100,[-4.80016 1.63798 1.63798],[1.29136 0.05492 0.05492],0.2268
6200,[-3.16592 1.13409 1.13409],[0.48320 0.02367 0.02367],0.2256
6300,[-4.52764 1.62639 1.62639],[3.08475 0.17593 0.17593],0.2244
6400,[-6.15157 1.93060 1.93060],[3.84396 0.21658 0.21658],0.22319999999999998
6500,[-5.16117 1.79213 1.79213],[4.71290 0.21766 0.21766],0.222
6600,[-3.12448 1.27289 1.27289],[1.30310 0.06036 0.06036],0.2208
6700,[-6.15014 1.88988 1.88988],[11.89574 0.45074 0.45074],0.2196
6800,[-6.05622 1.85800 1.85800],[12.40025 0.44051 0.44051],0.21839999999999998
6900,[-5.23329 1.80351 1.80351],[5.26738 0.32836 0.32836],0.21719999999999998
7000,[-3.39966 1.35703 1.35703],[5.88428 0.25351 0.25351],0.216
7100,[-0.97649 0.45812 0.45812],[0.25155 0.16056 0.16056],0.2148
7200,[-2.46141 1.00982 1.00982],[2.32534 0.33448 0.33448],0.21359999999999998
7300,[-2.21874 1.10184 1.10184],[0.89093 0.14280 0.14280],0.21239999999999998
7400,[-1.66695 0.91516 0.91516],[0.03574 0.02099 0.02099],0.21119999999999997
7500,[-2.54276 1.04976 1.04976],[1.31517 0.08780 0.08780],0.21
7600,[-2.56281 1.03095 1.03095],[1.98987 0.28257 0.28257],0.20879999999999999
7700,[-3.21413 1.21145 1.21145],[2.79455 0.14475 0.14475],0.20759999999999998
7800,[-2.89651 1.22407 1.22407],[1.73979 0.10649 0.10649],0.20639999999999997
7900,[-1.98335 1.05700 1.05700],[0.38193 0.05702 0.05702],0.20520000000000002
8000,[-3.11582 1.34834 1.34834],[0.57870 0.03463 0.03463],0.20400000000000001
8100,[-2.26164 1.08141 1.08141],[1.03387 0.13687 0.13687],0.2028
8200,[-3.24384 1.37939 1.37939],[1.78367 0.15325 0.15325],0.2016
8300,[-2.48828 1.11850 1.11850],[1.01275 0.15636 0.15636],0.2004
8400,[-1.89121 0.93517 0.93517],[0.17077 0.06139 0.06139],0.19920000000000002
8500,[-2.03714 0.91483 0.91483],[0.53752 0.06408 0.06408],0.198
8600,[-1.90296 0.88690 0.88690],[0.72014 0.09399 0.09399],0.1968
8700,[-2.59239 1.24410 1.24410],[0.66287 0.02893 0.02893],0.1956
