iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-2.91495,2.13430,0.56236,1.61526,-4.09046,3.06263,0.69775,1.60204,-4.13479,4.40726,0.73172,1.60898
1,200,-3.89994,0.60804,0.61944,1.61576,-4.69489,0.61594,0.77575,1.60187,-5.23676,0.94998,0.85622,1.60669
2,300,-3.81635,0.39170,0.56470,1.61550,-4.83080,0.49631,0.70001,1.60527,-5.07941,0.47736,0.72281,1.61140
3,400,-4.17822,0.19516,0.55723,1.61437,-5.13146,0.37173,0.67763,1.60562,-5.43100,0.38469,0.69383,1.61134
4,500,-4.53868,0.24929,0.56030,1.61401,-5.77217,0.34047,0.69620,1.60572,-5.81796,0.38229,0.67490,1.61142
5,600,-5.00903,0.32151,0.56548,1.61253,-6.40050,0.54009,0.71838,1.60426,-6.25368,0.58163,0.65039,1.61354
6,700,-5.44975,0.36881,0.56104,1.61078,-7.07507,0.54340,0.73269,1.60024,-6.74169,0.35081,0.64356,1.61470
7,800,-5.83330,0.56224,0.54903,1.60963,-7.64798,0.36451,0.73128,1.59737,-7.10071,0.27986,0.62881,1.61396
8,900,-6.11999,0.69420,0.53269,1.60869,-8.02793,0.60550,0.71450,1.59677,-7.45727,0.44535,0.60961,1.61361
9,1000,-6.37349,0.44071,0.52713,1.60717,-8.53402,0.58898,0.69972,1.59707,-7.90924,0.46459,0.60584,1.61327
10,1100,-6.73274,0.81760,0.51337,1.60662,-9.19099,1.00508,0.68986,1.59689,-8.44741,0.71265,0.60907,1.61293
11,1200,-7.33132,0.77681,0.50678,1.60560,-9.60792,0.66428,0.68029,1.59706,-8.92697,0.44750,0.60615,1.61306
12,1300,-7.59256,0.60680,0.49279,1.60441,-10.06648,0.61140,0.66382,1.59663,-9.39478,0.49436,0.59319,1.61247
13,1400,-7.80984,0.59771,0.47869,1.60292,-10.46195,0.44163,0.63701,1.59784,-9.71704,0.43841,0.57714,1.61272
14,1500,-8.11169,0.60325,0.46359,1.60247,-10.61442,0.44730,0.62041,1.59739,-10.02774,1.01915,0.55800,1.61271
15,1600,-8.34850,0.43038,0.44767,1.60091,-10.93243,0.37593,0.60124,1.59723,-10.14031,0.43586,0.54149,1.61173
16,1700,-8.53659,0.46875,0.43127,1.60018,-11.32062,0.47319,0.57902,1.59741,-10.52501,0.35079,0.52553,1.61163
17,1800,-8.84609,0.56469,0.41771,1.59829,-11.44635,0.44732,0.55856,1.59783,-10.62694,0.37878,0.51309,1.61123
18,1900,-8.96218,0.72762,0.40509,1.59729,-11.73420,0.79646,0.54203,1.59807,-10.95515,0.69899,0.49912,1.61090
19,2000,-9.14023,0.98313,0.39214,1.59606,-12.01102,0.65244,0.53027,1.59826,-11.27614,0.65355,0.48650,1.61057
20,2100,-9.22675,0.93843,0.38238,1.59526,-12.34374,0.77414,0.51648,1.59870,-11.52309,0.85278,0.47695,1.61023
21,2200,-9.41475,0.97954,0.37059,1.59464,-12.53511,0.73906,0.50225,1.59818,-11.75083,0.53142,0.46543,1.60979
22,2300,-9.64041,0.94651,0.36150,1.59301,-12.73349,0.72538,0.48948,1.59912,-12.04334,0.73827,0.45718,1.60936
23,2400,-9.68048,0.93807,0.34907,1.59198,-12.96071,0.64844,0.47532,1.59939,-12.23205,0.74430,0.44204,1.60891
24,2500,-9.86760,0.78363,0.34015,1.59070,-13.15506,0.55330,0.46173,1.59938,-12.26704,0.71298,0.43479,1.60843
25,2600,-9.84129,0.71422,0.33317,1.59034,-13.35955,0.45741,0.45042,1.59953,-12.62867,0.40573,0.42797,1.60776
26,2700,-9.94312,0.59089,0.32535,1.58902,-13.55473,0.50662,0.43645,1.59967,-12.86060,0.33227,0.42269,1.60750
27,2800,-10.06656,0.52410,0.31571,1.58872,-13.76602,0.49070,0.42722,1.60046,-13.00014,0.28292,0.41401,1.60659
28,2900,-10.19181,0.48903,0.30942,1.58782,-13.73063,0.47086,0.41296,1.60106,-13.14577,0.27996,0.40606,1.60651
