iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-3.97962,3.45070,0.74367,2.71228,-4.18638,3.42831,0.74677,2.71179,-4.23243,3.35319,0.75290,2.71262
1,200,-5.57417,0.99754,0.91856,2.70522,-5.46032,0.69585,0.91801,2.70491,-5.50202,0.83647,0.92346,2.70475
2,300,-5.29002,0.57698,0.76095,2.70169,-5.20444,0.57141,0.75187,2.70197,-5.29523,0.46258,0.75738,2.70190
3,400,-5.59317,0.38564,0.70548,2.69851,-5.48548,0.42894,0.70230,2.69884,-5.56038,0.47933,0.70665,2.69871
4,500,-5.73846,0.36179,0.65329,2.69669,-5.70161,0.39920,0.64567,2.69664,-5.83269,0.36176,0.65210,2.69664
5,600,-6.16691,0.44485,0.61458,2.69612,-6.14777,0.35853,0.61111,2.69544,-6.24985,0.41311,0.61542,2.69509
6,700,-6.45156,0.40362,0.57328,2.69384,-6.42125,0.31578,0.57183,2.69366,-6.48124,0.36442,0.57646,2.69374
7,800,-6.67536,0.40918,0.52852,2.69163,-6.61516,0.33348,0.52778,2.69140,-6.58538,0.37500,0.52552,2.69163
8,900,-6.73544,0.37419,0.48912,2.68933,-6.93227,0.38004,0.48794,2.68899,-6.83349,0.71780,0.48657,2.68923
9,1000,-6.88392,0.56710,0.45002,2.68673,-7.10409,0.32398,0.44830,2.68670,-7.05538,0.44701,0.45376,2.68722
10,1100,-6.85956,0.62597,0.41174,2.68469,-7.04686,0.47686,0.41236,2.68481,-7.04587,0.39894,0.41754,2.68473
11,1200,-7.01712,0.56770,0.38807,2.68217,-7.22160,0.41987,0.38776,2.68176,-7.15887,0.47227,0.38967,2.68210
12,1300,-7.32062,0.38966,0.36803,2.67930,-7.41233,0.67164,0.36468,2.67930,-7.33616,0.34920,0.36583,2.67924
13,1400,-7.28459,0.63762,0.34259,2.67650,-7.55301,0.37687,0.34095,2.67576,-7.48758,0.39289,0.34160,2.67614
14,1500,-7.41367,0.94377,0.31809,2.67326,-7.54084,0.42955,0.31535,2.67339,-7.59967,0.32396,0.31444,2.67288
15,1600,-7.39033,0.93605,0.28932,2.67045,-7.62207,0.33905,0.28992,2.67026,-7.67349,0.29788,0.28916,2.67021
16,1700,-7.31501,0.91383,0.26696,2.66697,-7.75783,0.56833,0.26747,2.66668,-7.69106,0.35861,0.26873,2.66678
17,1800,-7.30573,0.85335,0.24697,2.66373,-7.77671,0.23791,0.24647,2.66351,-7.76219,0.31629,0.24641,2.66446
18,1900,-7.23366,0.84804,0.22935,2.66073,-7.70337,0.30132,0.22728,2.66062,-7.67369,0.28274,0.22837,2.66060
19,2000,-7.13769,0.66474,0.21438,2.65748,-7.74535,0.34519,0.21332,2.65684,-7.87820,0.57787,0.21317,2.65701
20,2100,-7.15845,0.82581,0.19795,2.65356,-7.78848,0.22265,0.19768,2.65320,-7.65556,0.36307,0.19854,2.65329
21,2200,-7.09981,0.62022,0.18735,2.65017,-7.70213,0.21195,0.18500,2.65054,-7.79683,0.31500,0.18593,2.64993
22,2300,-7.02872,0.66561,0.17300,2.64648,-7.78585,0.22529,0.17178,2.64613,-7.79934,0.25918,0.17262,2.64629
23,2400,-6.87478,0.59153,0.15921,2.64254,-7.77065,0.21525,0.16057,2.64272,-7.82813,0.20406,0.16051,2.64226
