iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-12.46006,34.85219,2.34595,-12.89262,30.03905,2.34409,-12.39670,30.69590,2.36618
1,200,-15.16327,3.45102,2.67096,-15.37417,3.50453,2.68909,-15.00656,4.54965,2.69676
2,300,-16.44658,1.48459,2.65713,-16.03259,3.72499,2.65344,-16.39612,2.89400,2.65548
3,400,-17.11532,1.65031,2.51435,-17.39538,3.90217,2.52274,-17.02102,3.20867,2.52259
4,500,-17.88493,1.86347,2.34075,-17.43687,3.49002,2.32446,-18.01065,2.74367,2.33457
5,600,-20.06162,4.88981,2.39316,-19.31342,2.80655,2.38485,-19.76540,2.62979,2.40054
6,700,-21.07236,5.50226,2.51760,-21.51246,5.80259,2.50642,-21.49297,4.99314,2.53967
7,800,-24.28193,6.86032,2.57050,-24.24993,5.11594,2.57817,-24.36295,5.07474,2.55412
8,900,-26.94364,6.27743,2.60759,-25.98482,7.83529,2.59506,-26.79116,5.26278,2.60133
9,1000,-28.37634,6.69969,2.51157,-27.69377,9.37131,2.49077,-28.04916,5.60433,2.48878
10,1100,-29.85960,11.22985,2.44378,-28.31389,10.90014,2.41180,-29.00469,8.26163,2.41514
11,1200,-30.99196,11.84448,2.34497,-31.19714,12.70824,2.34945,-30.96261,9.36613,2.33060
12,1300,-32.57015,11.39114,2.25310,-32.20401,11.42034,2.25840,-32.90144,11.09824,2.30156
13,1400,-33.68980,8.17299,2.20631,-32.77066,11.67141,2.18861,-33.02753,10.72946,2.19368
14,1500,-34.73059,8.98804,2.09967,-34.50784,12.42369,2.10009,-34.78801,13.75675,2.09222
15,1600,-35.91297,10.83797,2.03273,-35.48060,12.45352,2.04471,-36.01516,11.47736,2.03997
16,1700,-36.43073,14.03331,1.94303,-35.83975,17.26131,1.94552,-36.50066,15.54425,1.96425
17,1800,-36.83343,15.89209,1.89035,-37.16397,18.64205,1.89925,-37.48770,14.97654,1.89289
18,1900,-37.62121,18.56508,1.83280,-37.60560,20.40556,1.83079,-38.33725,15.28822,1.83475
19,2000,-38.07889,18.17219,1.78608,-38.41228,19.99062,1.79416,-39.55806,15.55450,1.79566
20,2100,-39.67650,17.75357,1.76204,-39.41167,17.13063,1.75090,-40.32349,12.78609,1.74885
21,2200,-40.21526,16.36327,1.74054,-40.12927,14.52820,1.71946,-40.75811,10.50113,1.71550
22,2300,-41.08991,12.57909,1.67890,-41.17242,12.21092,1.69357,-41.50206,9.70537,1.68448
23,2400,-41.69344,10.88982,1.63583,-41.82059,10.69565,1.65317,-42.23935,10.21336,1.64280
24,2500,-42.61399,10.85229,1.60970,-42.49205,9.94735,1.61245,-42.98109,9.29298,1.59955
25,2600,-42.64249,13.07868,1.55964,-42.94854,12.57394,1.55350,-43.16220,10.58954,1.55902
26,2700,-43.61417,19.19429,1.52889,-43.48650,13.75581,1.51139,-43.53293,14.33128,1.52758
27,2800,-43.93023,17.72125,1.48706,-43.89700,14.30898,1.48202,-43.69883,16.51873,1.48738
28,2900,-44.23895,16.02653,1.45141,-43.90612,17.13939,1.45505,-44.01841,13.71882,1.45795
29,3000,-44.07412,17.09049,1.42142,-45.12762,13.34135,1.41788,-45.18931,14.03500,1.41095
30,3100,-44.68672,14.85130,1.36031,-45.12548,11.97612,1.36408,-45.07696,12.99252,1.36848
31,3200,-44.82313,14.34680,1.31627,-45.07061,12.41218,1.30831,-44.76798,13.22107,1.30226
32,3300,-45.04342,15.02784,1.25988,-45.15918,11.56328,1.25544,-45.01448,14.86122,1.24581
