iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
0,100,-1.85850,2.80046,0.34283,-1.79840,2.70221,0.33461,-1.83036,2.55659,0.33173
1,200,-2.02026,1.49845,0.27829,-1.98835,1.41820,0.28402,-1.85922,1.21281,0.27115
2,300,-2.50750,1.13255,0.28733,-2.44810,1.10088,0.27754,-2.41456,1.06275,0.27315
3,400,-2.92683,1.02921,0.27386,-2.74120,0.97392,0.26843,-2.67973,1.01387,0.26715
4,500,-3.25572,0.99980,0.27222,-2.93469,0.99466,0.27000,-2.96677,0.95721,0.26226
5,600,-3.56362,0.95595,0.26733,-3.19520,0.99900,0.26670,-3.16756,1.04197,0.25923
6,700,-3.87809,0.91428,0.26349,-3.50791,0.93483,0.26325,-3.42801,1.11565,0.25821
7,800,-4.26767,1.17532,0.26674,-3.88298,0.97660,0.26618,-3.75983,0.94883,0.25659
8,900,-4.41526,1.09114,0.27010,-4.15539,0.93873,0.26868,-3.95262,0.92530,0.25287
9,1000,-4.79766,1.03613,0.26644,-4.41632,0.87833,0.26687,-4.15164,0.91616,0.25101
10,1100,-5.05812,0.95824,0.26632,-4.66492,0.88696,0.26905,-4.40352,0.90629,0.25009
11,1200,-5.35614,0.89772,0.26302,-4.88896,0.90629,0.26652,-4.59339,0.96819,0.24917
12,1300,-5.68307,0.98129,0.26255,-5.24594,0.88107,0.26673,-4.86140,0.94334,0.24619
13,1400,-5.88215,0.97689,0.26144,-5.50873,0.91478,0.26360,-5.17970,0.89861,0.24861
14,1500,-6.13786,0.94332,0.25871,-5.75357,0.90312,0.26295,-5.39711,0.91588,0.24997
15,1600,-6.51425,0.95751,0.25920,-6.15503,0.86525,0.26597,-5.63871,0.87106,0.25039
16,1700,-6.77573,1.30338,0.26528,-6.50066,0.91194,0.26908,-6.01945,0.94230,0.25544
17,1800,-7.13526,1.10253,0.26592,-6.78166,0.93900,0.27141,-6.23065,0.93663,0.25696
