number,rewards,variances,exploration_value
0,[-3.76074 -0.27251 -0.27251],[2.18928 0.49960 0.49960],0.3
100,[-0.80267 -0.28249 -0.28249],[0.48355 0.14509 0.14509],0.2988
200,[-0.80728 -0.23093 -0.23093],[0.20776 0.13417 0.13417],0.2976
300,[-0.64624 -0.08782 -0.08782],[0.22617 0.46455 0.46455],0.2964
400,[-0.58001 0.35899 0.35899],[0.03378 0.03874 0.03874],0.29519999999999996
500,[-0.57649 0.26741 0.26741],[0.16023 0.07078 0.07078],0.294
600,[-0.54388 0.33464 0.33464],[0.05519 0.06450 0.06450],0.2928
700,[-0.48161 0.34999 0.34999],[0.03815 0.02546 0.02546],0.29159999999999997
800,[-0.51740 0.31958 0.31958],[0.21425 0.06301 0.06301],0.2904
900,[-0.60219 0.49126 0.49126],[0.09726 0.04833 0.04833],0.28919999999999996
1000,[-0.63892 0.46528 0.46528],[0.08239 0.06323 0.06323],0.288
1100,[-0.76119 0.46161 0.46161],[0.23233 0.04442 0.04442],0.2868
1200,[-0.33312 0.34296 0.34296],[0.01686 0.01147 0.01147],0.28559999999999997
1300,[-0.61360 0.30242 0.30242],[0.11902 0.02923 0.02923],0.2844
1400,[-0.49155 0.44032 0.44032],[0.08832 0.01604 0.01604],0.28319999999999995
1500,[-0.79222 0.57615 0.57615],[0.17018 0.05345 0.05345],0.282
1600,[-0.38641 0.37035 0.37035],[0.05240 0.03560 0.03560],0.2808
1700,[-0.29849 0.28605 0.28605],[0.02283 0.01693 0.01693],0.2796
1800,[-0.26732 0.20785 0.20785],[0.02638 0.01437 0.01437],0.2784
1900,[-0.36029 0.26865 0.26865],[0.00918 0.01113 0.01113],0.2772
2000,[-0.75139 0.50462 0.50462],[0.47324 0.06521 0.06521],0.276
2100,[-0.65820 0.58822 0.58822],[0.08050 0.03317 0.03317],0.2748
2200,[-0.77658 0.40932 0.40932],[0.18644 0.04007 0.04007],0.2736
2300,[-0.35680 0.28246 0.28246],[0.02652 0.03319 0.03319],0.2724
2400,[-0.52213 0.36574 0.36574],[0.05902 0.05780 0.05780],0.2712
2500,[-0.63895 0.38166 0.38166],[0.51085 0.15001 0.15001],0.27
2600,[-0.34529 0.28796 0.28796],[0.06242 0.04505 0.04505],0.2688
2700,[-0.52388 0.41378 0.41378],[0.08071 0.03746 0.03746],0.2676
2800,[-0.39522 0.35441 0.35441],[0.03788 0.02732 0.02732],0.26639999999999997
2900,[-0.61907 0.47445 0.47445],[0.08805 0.03277 0.03277],0.2652
3000,[-0.63473 0.40417 0.40417],[0.14693 0.05009 0.05009],0.264
3100,[-0.60595 0.46918 0.46918],[0.08977 0.04717 0.04717],0.2628
3200,[-0.50370 0.45487 0.45487],[0.02851 0.01578 0.01578],0.2616
3300,[-0.41442 0.40861 0.40861],[0.03190 0.03141 0.03141],0.26039999999999996
3400,[-0.64739 0.51065 0.51065],[0.08273 0.02316 0.02316],0.2592
3500,[-0.50703 0.42492 0.42492],[0.07577 0.02314 0.02314],0.258
3600,[-0.34064 0.28622 0.28622],[0.02386 0.02356 0.02356],0.2568
3700,[-0.35469 0.27640 0.27640],[0.03622 0.01992 0.01992],0.2556
3800,[-0.54595 0.43499 0.43499],[0.12685 0.08918 0.08918],0.25439999999999996
3900,[-0.53934 0.44367 0.44367],[0.07386 0.02023 0.02023],0.2532
4000,[-0.40698 0.36859 0.36859],[0.04258 0.02040 0.02040],0.252
4100,[-0.36464 0.37005 0.37005],[0.00771 0.00515 0.00515],0.25079999999999997
4200,[-0.63301 0.50552 0.50552],[0.07891 0.01241 0.01241],0.2496
4300,[-0.37932 0.33613 0.33613],[0.02568 0.02002 0.02002],0.24839999999999998
4400,[-0.41211 0.42543 0.42543],[0.04539 0.03513 0.03513],0.24719999999999998
4500,[-0.78055 0.57299 0.57299],[0.16567 0.01331 0.01331],0.24599999999999997
4600,[-0.32868 0.26336 0.26336],[0.01630 0.01406 0.01406],0.24479999999999996
4700,[-0.47444 0.29045 0.29045],[0.17162 0.09341 0.09341],0.2436
4800,[-0.57070 0.42240 0.42240],[0.03877 0.00614 0.00614],0.2424
4900,[-0.30390 0.29546 0.29546],[0.01484 0.01118 0.01118],0.2412
5000,[-0.56256 0.40858 0.40858],[0.15815 0.01168 0.01168],0.24
5100,[-0.47929 0.31078 0.31078],[0.03115 0.00692 0.00692],0.2388
5200,[-0.66854 0.55598 0.55598],[0.31941 0.09480 0.09480],0.2376
5300,[-0.50828 0.36247 0.36247],[0.05918 0.00557 0.00557],0.2364
5400,[-0.42311 0.35790 0.35790],[0.03622 0.02210 0.02210],0.2352
5500,[-0.43959 0.35919 0.35919],[0.00610 0.02399 0.02399],0.23399999999999999
5600,[-0.29195 0.17712 0.17712],[0.03745 0.05264 0.05264],0.2328
5700,[-0.50767 0.39214 0.39214],[0.02898 0.03490 0.03490],0.2316
5800,[-1.00613 0.53451 0.53451],[0.34682 0.03651 0.03651],0.2304
5900,[-0.47950 0.30307 0.30307],[0.02500 0.00897 0.00897],0.2292
6000,[-0.50185 0.36781 0.36781],[0.09512 0.01059 0.01059],0.22799999999999998
6100,[-0.36783 0.23230 0.23230],[0.07463 0.06128 0.06128],0.2268
6200,[-0.64673 0.47985 0.47985],[0.13681 0.02900 0.02900],0.2256
6300,[-0.32301 0.27158 0.27158],[0.04732 0.04212 0.04212],0.2244
6400,[-0.36761 0.33757 0.33757],[0.02079 0.01932 0.01932],0.22319999999999998
6500,[-0.22916 0.29440 0.29440],[0.00522 0.01114 0.01114],0.222
6600,[-0.74414 0.35630 0.35630],[0.24991 0.14217 0.14217],0.2208
6700,[-0.48559 0.30763 0.30763],[0.06825 0.01593 0.01593],0.2196
6800,[-0.33166 0.31629 0.31629],[0.00850 0.00790 0.00790],0.21839999999999998
6900,[-0.47599 0.36722 0.36722],[0.08602 0.02143 0.02143],0.21719999999999998
7000,[-0.45461 0.35073 0.35073],[0.02046 0.00252 0.00252],0.216
7100,[-0.49782 0.35144 0.35144],[0.05123 0.02533 0.02533],0.2148
7200,[-0.38935 0.40768 0.40768],[0.08175 0.04489 0.04489],0.21359999999999998
7300,[-0.64798 0.47975 0.47975],[0.11112 0.03605 0.03605],0.21239999999999998
7400,[-0.30105 0.23927 0.23927],[0.03585 0.01112 0.01112],0.21119999999999997
7500,[-0.24472 0.28209 0.28209],[0.00475 0.00383 0.00383],0.21
7600,[-0.43526 0.35795 0.35795],[0.03974 0.02766 0.02766],0.20879999999999999
7700,[-0.35264 0.30567 0.30567],[0.02827 0.00568 0.00568],0.20759999999999998
7800,[-0.39618 0.37521 0.37521],[0.03883 0.03760 0.03760],0.20639999999999997
7900,[-0.39520 0.27137 0.27137],[0.03141 0.01694 0.01694],0.20520000000000002
8000,[-0.32062 0.25281 0.25281],[0.02450 0.02168 0.02168],0.20400000000000001
8100,[-0.62753 0.42486 0.42486],[0.32648 0.08074 0.08074],0.2028
8200,[-0.37847 0.34397 0.34397],[0.02670 0.02734 0.02734],0.2016
8300,[-0.17224 0.21395 0.21395],[0.00533 0.02414 0.02414],0.2004
8400,[-0.40292 0.32501 0.32501],[0.02612 0.01733 0.01733],0.19920000000000002
8500,[-0.46705 0.37112 0.37112],[0.09603 0.04862 0.04862],0.198
8600,[-0.22957 0.20795 0.20795],[0.00593 0.01458 0.01458],0.1968
8700,[-0.72361 0.53140 0.53140],[0.46887 0.07077 0.07077],0.1956
8800,[-0.60049 0.52275 0.52275],[0.09170 0.02041 0.02041],0.1944
8900,[-0.29977 0.27261 0.27261],[0.02519 0.00856 0.00856],0.1932
9000,[-0.41465 0.33071 0.33071],[0.07749 0.03915 0.03915],0.192
9100,[-0.32637 0.39527 0.39527],[0.01165 0.00580 0.00580],0.1908
9200,[-0.45625 0.22263 0.22263],[0.19883 0.03609 0.03609],0.1896
9300,[-0.34419 0.29150 0.29150],[0.03138 0.02679 0.02679],0.18839999999999998
9400,[-0.31996 0.36094 0.36094],[0.00980 0.01059 0.01059],0.1872
9500,[-0.32928 0.18134 0.18134],[0.02827 0.02109 0.02109],0.186
9600,[-0.40437 0.27565 0.27565],[0.04058 0.02809 0.02809],0.1848
9700,[-0.53579 0.45995 0.45995],[0.03147 0.02377 0.02377],0.18359999999999999
9800,[-0.52010 0.32843 0.32843],[0.03628 0.02380 0.02380],0.18239999999999998
9900,[-0.81228 0.46768 0.46768],[0.13282 0.04103 0.04103],0.1812
10000,[-0.55784 0.35603 0.35603],[0.13066 0.03276 0.03276],0.18
10100,[-0.39269 0.36826 0.36826],[0.02631 0.01448 0.01448],0.1788
10200,[-0.29703 0.28829 0.28829],[0.03747 0.04056 0.04056],0.17759999999999998
10300,[-0.67309 0.46420 0.46420],[0.18239 0.04022 0.04022],0.17639999999999997
10400,[-0.51058 0.40648 0.40648],[0.05579 0.02003 0.02003],0.1752
10500,[-0.59601 0.41189 0.41189],[0.26605 0.08168 0.08168],0.174
10600,[-0.49941 0.40945 0.40945],[0.09167 0.04968 0.04968],0.17279999999999998
10700,[-0.45589 0.31487 0.31487],[0.14877 0.07134 0.07134],0.17159999999999997
10800,[-0.79913 0.43732 0.43732],[0.66862 0.10698 0.10698],0.17039999999999997
10900,[-0.50153 0.24964 0.24964],[0.12059 0.05303 0.05303],0.1692
11000,[-0.37053 0.26057 0.26057],[0.12216 0.00857 0.00857],0.168
11100,[-0.33324 0.21063 0.21063],[0.02995 0.05446 0.05446],0.1668
11200,[-0.37241 0.35261 0.35261],[0.01287 0.00335 0.00335],0.1656
11300,[-0.56508 0.47217 0.47217],[0.18263 0.03041 0.03041],0.16440000000000002
11400,[-0.20562 0.14609 0.14609],[0.00433 0.01204 0.01204],0.1632
11500,[-0.35720 0.25215 0.25215],[0.06675 0.03332 0.03332],0.162
11600,[-0.52044 0.39627 0.39627],[0.06277 0.02130 0.02130],0.1608
11700,[-0.58398 0.35539 0.35539],[0.14788 0.00635 0.00635],0.1596
11800,[-0.39423 0.39099 0.39099],[0.00532 0.00277 0.00277],0.1584
11900,[-0.36582 0.37645 0.37645],[0.02783 0.01913 0.01913],0.1572
12000,[-0.52326 0.36145 0.36145],[0.13551 0.02310 0.02310],0.156
12100,[-0.41136 0.31385 0.31385],[0.05901 0.03802 0.03802],0.1548
12200,[-0.91866 0.33911 0.33911],[1.30743 0.03696 0.03696],0.1536
12300,[-0.57705 0.31818 0.31818],[0.35024 0.10635 0.10635],0.1524
