number,rewards,variances,exploration_value
0,[-5.88063 1.44386 1.44386],[8.34893 0.15135 0.15135],0.3
100,[-1.88428 -0.85274 -0.85274],[0.59882 0.24996 0.24996],0.2988
200,[-1.46364 0.19919 0.19919],[2.44701 0.17407 0.17407],0.2976
300,[-1.80680 0.12599 0.12599],[1.23144 0.26141 0.26141],0.2964
400,[-1.44732 0.01348 0.01348],[0.81853 0.51053 0.51053],0.29519999999999996
500,[-1.59884 -0.01274 -0.01274],[0.83649 0.48433 0.48433],0.294
600,[-1.39004 0.05596 0.05596],[0.42137 0.34864 0.34864],0.2928
700,[-1.07212 -0.24364 -0.24364],[0.12018 0.24905 0.24905],0.29159999999999997
800,[-1.12466 0.12314 0.12314],[0.76675 0.16216 0.16216],0.2904
900,[-1.39309 0.33839 0.33839],[0.69343 0.03575 0.03575],0.28919999999999996
1000,[-0.47678 -0.34661 -0.34661],[0.03400 0.15092 0.15092],0.288
1100,[-0.63726 0.11953 0.11953],[0.03333 0.11126 0.11126],0.2868
1200,[-0.78430 0.14611 0.14611],[0.19664 0.01486 0.01486],0.28559999999999997
1300,[-0.58859 0.12194 0.12194],[0.09751 0.10029 0.10029],0.2844
1400,[-0.69400 0.25897 0.25897],[0.29355 0.17786 0.17786],0.28319999999999995
1500,[-0.86015 0.37084 0.37084],[0.18695 0.03119 0.03119],0.282
1600,[-0.73714 0.31170 0.31170],[0.18677 0.09228 0.09228],0.2808
1700,[-0.82420 -0.04918 -0.04918],[0.27862 0.32688 0.32688],0.2796
1800,[-0.58062 0.31043 0.31043],[0.03749 0.07134 0.07134],0.2784
1900,[-0.79476 0.26824 0.26824],[0.33266 0.08719 0.08719],0.2772
2000,[-1.26033 0.65809 0.65809],[0.15665 0.02812 0.02812],0.276
2100,[-0.65592 0.13474 0.13474],[0.15903 0.09916 0.09916],0.2748
2200,[-0.26925 0.18687 0.18687],[0.03132 0.02688 0.02688],0.2736
2300,[-0.98408 0.56442 0.56442],[0.36798 0.07842 0.07842],0.2724
2400,[-0.36441 0.27728 0.27728],[0.06064 0.05063 0.05063],0.2712
2500,[-0.29840 0.22533 0.22533],[0.01898 0.04699 0.04699],0.27
2600,[-0.49011 0.22106 0.22106],[0.31079 0.08756 0.08756],0.2688
2700,[-0.53496 0.42621 0.42621],[0.05523 0.01922 0.01922],0.2676
2800,[-0.51489 0.38397 0.38397],[0.12995 0.06026 0.06026],0.26639999999999997
2900,[-0.75311 0.59057 0.59057],[0.16237 0.05335 0.05335],0.2652
3000,[-0.50969 0.37399 0.37399],[0.05097 0.06313 0.06313],0.264
3100,[-0.54396 0.50290 0.50290],[0.04625 0.00999 0.00999],0.2628
3200,[-0.37917 0.27868 0.27868],[0.06379 0.03743 0.03743],0.2616
3300,[-0.63377 0.47861 0.47861],[0.05750 0.03067 0.03067],0.26039999999999996
3400,[-0.40125 0.40267 0.40267],[0.02095 0.01895 0.01895],0.2592
3500,[-0.52709 0.43821 0.43821],[0.04925 0.02981 0.02981],0.258
3600,[-0.58797 0.38418 0.38418],[0.06778 0.06955 0.06955],0.2568
3700,[-0.36979 0.35892 0.35892],[0.01841 0.02387 0.02387],0.2556
3800,[-0.48070 0.36794 0.36794],[0.05207 0.01925 0.01925],0.25439999999999996
3900,[-0.57779 0.41108 0.41108],[0.08207 0.06852 0.06852],0.2532
4000,[-0.51148 0.45833 0.45833],[0.06686 0.02876 0.02876],0.252
4100,[-0.47987 0.39656 0.39656],[0.03060 0.01403 0.01403],0.25079999999999997
4200,[-0.77089 0.48682 0.48682],[0.42195 0.03740 0.03740],0.2496
4300,[-0.40352 0.29983 0.29983],[0.05852 0.05951 0.05951],0.24839999999999998
4400,[-0.27195 0.21273 0.21273],[0.01931 0.02655 0.02655],0.24719999999999998
4500,[-0.50642 0.42665 0.42665],[0.04546 0.02554 0.02554],0.24599999999999997
4600,[-0.62724 0.36668 0.36668],[0.10108 0.01575 0.01575],0.24479999999999996
4700,[-0.68851 0.32599 0.32599],[0.18768 0.03421 0.03421],0.2436
4800,[-0.50646 0.31953 0.31953],[0.06172 0.03065 0.03065],0.2424
4900,[-0.77414 0.51029 0.51029],[0.03379 0.02130 0.02130],0.2412
5000,[-0.58920 0.36768 0.36768],[0.10358 0.03673 0.03673],0.24
5100,[-0.34227 0.23423 0.23423],[0.01713 0.06448 0.06448],0.2388
5200,[-0.49587 0.42106 0.42106],[0.03396 0.02651 0.02651],0.2376
5300,[-0.37660 0.20378 0.20378],[0.01381 0.01354 0.01354],0.2364
5400,[-0.79075 0.45075 0.45075],[0.02553 0.02183 0.02183],0.2352
5500,[-0.43074 0.19681 0.19681],[0.03425 0.03658 0.03658],0.23399999999999999
5600,[-0.44212 0.39418 0.39418],[0.03821 0.01522 0.01522],0.2328
5700,[-0.58091 0.38354 0.38354],[0.06007 0.01308 0.01308],0.2316
5800,[-0.57335 0.36479 0.36479],[0.11948 0.02651 0.02651],0.2304
5900,[-0.41167 0.26672 0.26672],[0.02787 0.01873 0.01873],0.2292
6000,[-0.48619 0.22149 0.22149],[0.04177 0.00157 0.00157],0.22799999999999998
6100,[-0.64592 0.41376 0.41376],[0.02801 0.00655 0.00655],0.2268
6200,[-0.63530 0.39088 0.39088],[0.27744 0.06828 0.06828],0.2256
6300,[-0.63745 0.31196 0.31196],[0.20593 0.01450 0.01450],0.2244
6400,[-0.70212 0.35312 0.35312],[0.14887 0.03113 0.03113],0.22319999999999998
6500,[-0.42198 -0.01013 -0.01013],[0.06959 0.03456 0.03456],0.222
6600,[-0.60828 0.20154 0.20154],[0.20933 0.01764 0.01764],0.2208
6700,[-0.45232 0.22416 0.22416],[0.07265 0.01196 0.01196],0.2196
6800,[-0.78186 0.45705 0.45705],[0.13604 0.03100 0.03100],0.21839999999999998
6900,[-0.53052 0.23048 0.23048],[0.10261 0.07819 0.07819],0.21719999999999998
7000,[-0.79425 0.42359 0.42359],[0.21202 0.05136 0.05136],0.216
7100,[-0.41399 0.25500 0.25500],[0.05211 0.06249 0.06249],0.2148
7200,[-0.59588 0.15165 0.15165],[0.05394 0.00978 0.00978],0.21359999999999998
7300,[-0.66676 0.42687 0.42687],[0.18376 0.02725 0.02725],0.21239999999999998
7400,[-0.40524 0.16532 0.16532],[0.12616 0.06983 0.06983],0.21119999999999997
