iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
0,100,-1.49261,2.79606,0.24912,-1.45898,1.96702,0.22119,-1.31446,1.49091,0.20396
1,200,-1.57151,1.29956,0.18701,-1.53337,0.83132,0.18125,-1.44810,0.70811,0.17604
2,300,-1.89052,0.74633,0.17882,-1.71851,0.68341,0.17496,-1.66048,0.60476,0.17113
3,400,-2.22273,0.68124,0.17714,-1.93526,0.71348,0.17524,-1.90198,0.63587,0.17320
4,500,-2.55600,0.68311,0.17710,-2.16498,0.61029,0.17374,-2.08394,0.56798,0.17255
5,600,-2.78413,0.61709,0.17400,-2.30788,0.64086,0.17459,-2.18382,0.51222,0.17133
6,700,-3.07964,0.55248,0.16983,-2.53181,0.56198,0.16898,-2.40820,0.49972,0.16780
7,800,-3.29899,0.64767,0.16742,-2.74873,0.54821,0.16727,-2.61834,0.48578,0.16667
8,900,-3.44842,0.62492,0.16844,-2.92313,0.57295,0.16801,-2.81645,0.49594,0.16645
9,1000,-3.76031,0.59943,0.16952,-3.15563,0.56925,0.16840,-3.01868,0.52233,0.16920
10,1100,-4.00524,0.59603,0.16827,-3.35900,0.64591,0.16754,-3.17813,0.53102,0.16663
11,1200,-4.13389,0.58179,0.16801,-3.50096,0.62966,0.16750,-3.41195,0.55617,0.16716
12,1300,-4.31804,0.58719,0.16600,-3.61146,0.50037,0.16353,-3.52285,0.52890,0.16621
13,1400,-4.54823,0.65755,0.16896,-3.82283,0.55602,0.16511,-3.76583,0.50706,0.16452
14,1500,-4.76704,0.65052,0.16716,-4.06225,0.58225,0.16721,-3.94861,0.57427,0.16400
15,1600,-4.87559,0.67398,0.16465,-4.22877,0.56974,0.16481,-4.14743,0.55837,0.16432
16,1700,-5.12777,0.72904,0.16563,-4.41437,0.54879,0.16449,-4.35385,0.56081,0.16437
17,1800,-5.19381,0.65593,0.16229,-4.66806,0.58928,0.16582,-4.58738,0.60366,0.16311
18,1900,-5.42846,0.67309,0.16518,-4.77848,0.56789,0.16173,-4.81489,0.59926,0.16254
19,2000,-5.57085,0.72630,0.16245,-4.94643,0.58215,0.16102,-5.07474,0.61529,0.16156
20,2100,-5.69560,0.72704,0.15901,-5.18070,0.58545,0.16136,-5.24126,0.63125,0.16097
21,2200,-5.88772,0.75060,0.16099,-5.34604,0.58792,0.15897,-5.41224,0.65946,0.16213
22,2300,-5.99619,0.71782,0.16269,-5.56250,0.64245,0.16156,-5.69737,0.68284,0.16091
23,2400,-6.22573,0.67595,0.16221,-5.76193,0.64058,0.16129,-5.82623,0.69490,0.15979
