number,rewards,variances,exploration_value
0,[-5.88063 1.44386 1.44386],[8.34893 0.15135 0.15135],0.3
100,[-6.04158 0.41068 0.41068],[11.14450 0.65124 0.65124],0.2988
200,[-2.08402 0.34456 0.34456],[4.54239 0.17892 0.17892],0.2976
300,[-3.69492 1.08318 1.08318],[7.13445 0.40582 0.40582],0.2964
400,[-4.14597 0.68947 0.68947],[8.30564 0.33256 0.33256],0.29519999999999996
500,[-1.32735 0.13105 0.13105],[0.25109 0.12770 0.12770],0.294
600,[-1.71743 0.41627 0.41627],[0.40672 0.20735 0.20735],0.2928
700,[-1.89031 0.77930 0.77930],[1.06188 0.14074 0.14074],0.29159999999999997
800,[-1.42770 0.37118 0.37118],[1.54185 0.30465 0.30465],0.2904
900,[-2.08718 0.78272 0.78272],[1.09610 0.14564 0.14564],0.28919999999999996
1000,[-0.61183 0.24064 0.24064],[0.20932 0.07267 0.07267],0.288
1100,[-0.68373 0.09955 0.09955],[0.13310 0.13022 0.13022],0.2868
1200,[-0.92703 0.40547 0.40547],[0.17471 0.00214 0.00214],0.28559999999999997
1300,[-0.64245 0.20764 0.20764],[0.13901 0.09752 0.09752],0.2844
1400,[-0.72558 0.48344 0.48344],[0.06490 0.03397 0.03397],0.28319999999999995
1500,[-0.77441 0.49646 0.49646],[0.24010 0.04651 0.04651],0.282
1600,[-0.77503 0.51190 0.51190],[0.22313 0.16415 0.16415],0.2808
1700,[-0.86782 0.29989 0.29989],[0.10585 0.11543 0.11543],0.2796
1800,[-0.59037 0.33935 0.33935],[0.07279 0.13956 0.13956],0.2784
1900,[-0.87734 0.53181 0.53181],[0.18782 0.03945 0.03945],0.2772
2000,[-1.19251 0.72134 0.72134],[0.38228 0.06971 0.06971],0.276
2100,[-0.75959 0.37033 0.37033],[0.12386 0.05347 0.05347],0.2748
2200,[-0.47838 0.46723 0.46723],[0.06222 0.06369 0.06369],0.2736
2300,[-0.54322 0.42162 0.42162],[0.08350 0.04485 0.04485],0.2724
2400,[-0.29338 0.29483 0.29483],[0.00695 0.00330 0.00330],0.2712
2500,[-0.55934 0.53903 0.53903],[0.04201 0.03304 0.03304],0.27
2600,[-0.49629 0.28734 0.28734],[0.13808 0.10913 0.10913],0.2688
2700,[-0.48132 0.42952 0.42952],[0.14027 0.09901 0.09901],0.2676
2800,[-0.58489 0.44776 0.44776],[0.31273 0.07777 0.07777],0.26639999999999997
2900,[-0.89721 0.72100 0.72100],[0.15786 0.04238 0.04238],0.2652
3000,[-1.01899 0.69987 0.69987],[0.26253 0.05618 0.05618],0.264
3100,[-0.50173 0.47669 0.47669],[0.04265 0.01919 0.01919],0.2628
3200,[-0.42186 0.33447 0.33447],[0.09467 0.06805 0.06805],0.2616
3300,[-0.85505 0.59813 0.59813],[0.17782 0.04433 0.04433],0.26039999999999996
3400,[-0.52706 0.52385 0.52385],[0.14455 0.06007 0.06007],0.2592
3500,[-0.43219 0.36216 0.36216],[0.03918 0.01054 0.01054],0.258
3600,[-0.75291 0.52094 0.52094],[0.19156 0.07053 0.07053],0.2568
3700,[-0.30053 0.31182 0.31182],[0.01336 0.01415 0.01415],0.2556
3800,[-0.51969 0.44092 0.44092],[0.01628 0.01390 0.01390],0.25439999999999996
3900,[-0.74702 0.59607 0.59607],[0.09264 0.03959 0.03959],0.2532
4000,[-0.65138 0.58347 0.58347],[0.05523 0.03131 0.03131],0.252
4100,[-0.62755 0.48902 0.48902],[0.13636 0.04066 0.04066],0.25079999999999997
4200,[-0.71347 0.50581 0.50581],[0.18380 0.02266 0.02266],0.2496
4300,[-0.36969 0.30187 0.30187],[0.03067 0.00960 0.00960],0.24839999999999998
4400,[-0.55391 0.39388 0.39388],[0.28934 0.12925 0.12925],0.24719999999999998
4500,[-0.53721 0.42501 0.42501],[0.09586 0.06919 0.06919],0.24599999999999997
4600,[-0.85556 0.54014 0.54014],[0.05215 0.02418 0.02418],0.24479999999999996
4700,[-0.67236 0.31321 0.31321],[0.36689 0.05543 0.05543],0.2436
4800,[-0.49704 0.35885 0.35885],[0.03796 0.02675 0.02675],0.2424
4900,[-0.77700 0.50865 0.50865],[0.07255 0.05991 0.05991],0.2412
5000,[-0.71489 0.51010 0.51010],[0.03868 0.02377 0.02377],0.24
5100,[-0.42888 0.42351 0.42351],[0.04366 0.03321 0.03321],0.2388
5200,[-0.65836 0.53512 0.53512],[0.12723 0.08880 0.08880],0.2376
5300,[-0.73534 0.52181 0.52181],[0.20473 0.11039 0.11039],0.2364
5400,[-0.73041 0.48532 0.48532],[0.02494 0.05034 0.05034],0.2352
5500,[-0.68391 0.37778 0.37778],[0.50980 0.23339 0.23339],0.23399999999999999
5600,[-0.50105 0.40475 0.40475],[0.13255 0.02029 0.02029],0.2328
5700,[-0.48548 0.37413 0.37413],[0.06225 0.01599 0.01599],0.2316
5800,[-0.58842 0.46325 0.46325],[0.17917 0.08035 0.08035],0.2304
5900,[-0.37718 0.25293 0.25293],[0.03272 0.01250 0.01250],0.2292
6000,[-0.70219 0.45371 0.45371],[0.22854 0.08378 0.08378],0.22799999999999998
6100,[-0.68554 0.51443 0.51443],[0.06777 0.02439 0.02439],0.2268
6200,[-0.69744 0.43385 0.43385],[0.22892 0.05224 0.05224],0.2256
6300,[-0.88197 0.51034 0.51034],[0.33364 0.05191 0.05191],0.2244
6400,[-0.70647 0.37803 0.37803],[0.19353 0.03081 0.03081],0.22319999999999998
6500,[-0.52826 0.24892 0.24892],[0.07907 0.15023 0.15023],0.222
6600,[-0.62253 0.29458 0.29458],[0.19362 0.00690 0.00690],0.2208
6700,[-0.53501 0.33445 0.33445],[0.10943 0.05009 0.05009],0.2196
6800,[-0.71087 0.51332 0.51332],[0.14125 0.06652 0.06652],0.21839999999999998
6900,[-0.68453 0.42117 0.42117],[0.03458 0.03198 0.03198],0.21719999999999998
7000,[-1.09713 0.66613 0.66613],[0.76385 0.07839 0.07839],0.216
7100,[-0.62927 0.51995 0.51995],[0.05694 0.01809 0.01809],0.2148
7200,[-0.81217 0.41295 0.41295],[0.18528 0.03246 0.03246],0.21359999999999998
7300,[-0.51927 0.29874 0.29874],[0.14458 0.02510 0.02510],0.21239999999999998
7400,[-0.45888 0.32973 0.32973],[0.01748 0.00346 0.00346],0.21119999999999997
7500,[-0.68423 0.46572 0.46572],[0.09657 0.03062 0.03062],0.21
7600,[-0.96924 0.57951 0.57951],[0.63144 0.20805 0.20805],0.20879999999999999
7700,[-0.71513 0.47716 0.47716],[0.12531 0.03462 0.03462],0.20759999999999998
7800,[-0.28701 0.18418 0.18418],[0.00151 0.02197 0.02197],0.20639999999999997
7900,[-0.53300 0.30131 0.30131],[0.10572 0.03317 0.03317],0.20520000000000002
8000,[-0.99054 0.55824 0.55824],[0.74660 0.21965 0.21965],0.20400000000000001
8100,[-0.44200 0.33133 0.33133],[0.04410 0.03715 0.03715],0.2028
8200,[-0.40994 0.33698 0.33698],[0.01834 0.01691 0.01691],0.2016
8300,[-0.72812 0.44428 0.44428],[0.25847 0.05182 0.05182],0.2004
8400,[-0.46827 0.37150 0.37150],[0.05791 0.03392 0.03392],0.19920000000000002
8500,[-0.48335 0.40362 0.40362],[0.04937 0.02777 0.02777],0.198
8600,[-0.84375 0.50195 0.50195],[0.24045 0.03592 0.03592],0.1968
8700,[-0.54938 0.26965 0.26965],[0.01586 0.05454 0.05454],0.1956
8800,[-0.57689 0.30984 0.30984],[0.04484 0.03423 0.03423],0.1944
8900,[-0.59276 0.33506 0.33506],[0.04535 0.06466 0.06466],0.1932
9000,[-0.51737 0.39760 0.39760],[0.10792 0.03708 0.03708],0.192
9100,[-0.64448 0.37638 0.37638],[0.06703 0.03800 0.03800],0.1908
9200,[-0.55869 0.39027 0.39027],[0.07222 0.00696 0.00696],0.1896
9300,[-0.55121 0.32866 0.32866],[0.01611 0.04544 0.04544],0.18839999999999998
9400,[-0.61665 0.42957 0.42957],[0.07626 0.02099 0.02099],0.1872
9500,[-0.56519 0.45540 0.45540],[0.03466 0.00191 0.00191],0.186
9600,[-0.49838 0.32573 0.32573],[0.02733 0.01046 0.01046],0.1848
9700,[-0.42710 0.38317 0.38317],[0.03068 0.00966 0.00966],0.18359999999999999
9800,[-0.65927 0.43307 0.43307],[0.05422 0.01811 0.01811],0.18239999999999998
9900,[-0.78958 0.45264 0.45264],[0.11276 0.08391 0.08391],0.1812
10000,[-0.49605 0.38029 0.38029],[0.02259 0.05474 0.05474],0.18
10100,[-0.49397 0.24144 0.24144],[0.09210 0.01679 0.01679],0.1788
10200,[-0.49935 0.38359 0.38359],[0.06841 0.04358 0.04358],0.17759999999999998
10300,[-0.52277 0.35865 0.35865],[0.06031 0.05320 0.05320],0.17639999999999997
10400,[-0.75250 0.56494 0.56494],[0.02758 0.00751 0.00751],0.1752
10500,[-0.34571 0.36681 0.36681],[0.02051 0.02469 0.02469],0.174
10600,[-0.65624 0.32141 0.32141],[0.06001 0.00970 0.00970],0.17279999999999998
10700,[-0.54277 0.37028 0.37028],[0.03954 0.02723 0.02723],0.17159999999999997
10800,[-0.34570 0.27825 0.27825],[0.04680 0.02328 0.02328],0.17039999999999997
10900,[-0.59223 0.46555 0.46555],[0.07579 0.03002 0.03002],0.1692
11000,[-0.72653 0.38632 0.38632],[0.04209 0.01482 0.01482],0.168
11100,[-0.53332 0.42250 0.42250],[0.02864 0.01480 0.01480],0.1668
11200,[-0.44702 0.42610 0.42610],[0.05079 0.02425 0.02425],0.1656
11300,[-0.32530 0.27564 0.27564],[0.03070 0.07909 0.07909],0.16440000000000002
11400,[-0.79016 0.46454 0.46454],[0.27458 0.02219 0.02219],0.1632
11500,[-0.33444 0.32144 0.32144],[0.00807 0.01029 0.01029],0.162
11600,[-0.61192 0.52431 0.52431],[0.06134 0.02324 0.02324],0.1608
11700,[-0.60955 0.39098 0.39098],[0.01885 0.00525 0.00525],0.1596
11800,[-0.57180 0.44881 0.44881],[0.07272 0.03327 0.03327],0.1584
11900,[-0.48123 0.40041 0.40041],[0.01695 0.01320 0.01320],0.1572
12000,[-0.79785 0.54124 0.54124],[0.27319 0.02252 0.02252],0.156
12100,[-0.50280 0.39578 0.39578],[0.04285 0.03279 0.03279],0.1548
12200,[-0.56180 0.47624 0.47624],[0.11409 0.03165 0.03165],0.1536
12300,[-0.41593 0.30804 0.30804],[0.02068 0.00517 0.00517],0.1524
12400,[-0.53134 0.38890 0.38890],[0.06148 0.09210 0.09210],0.1512
12500,[-0.67300 0.49593 0.49593],[0.13653 0.05162 0.05162],0.15
12600,[-0.48261 0.48254 0.48254],[0.13967 0.04452 0.04452],0.1488
12700,[-0.55712 0.39551 0.39551],[0.03350 0.01715 0.01715],0.14759999999999998
12800,[-0.31272 0.18931 0.18931],[0.00685 0.03872 0.03872],0.1464
12900,[-0.36418 0.30555 0.30555],[0.01028 0.00418 0.00418],0.1452
13000,[-0.40779 0.36127 0.36127],[0.01357 0.01345 0.01345],0.144
