number,rewards,variances,exploration_value
0,[-5.88063 1.44386 1.44386],[8.34893 0.15135 0.15135],0.3
100,[-2.18811 0.69667 0.69667],[0.64959 0.13139 0.13139],0.2988
200,[-1.41875 -0.05425 -0.05425],[1.72924 0.15045 0.15045],0.2976
300,[-2.86567 0.47492 0.47492],[0.05910 0.02692 0.02692],0.2964
400,[-2.00446 0.19768 0.19768],[3.35035 0.55978 0.55978],0.29519999999999996
500,[-2.84201 0.19769 0.19769],[2.80660 0.11719 0.11719],0.294
600,[-4.66049 0.26854 0.26854],[4.36964 0.20030 0.20030],0.2928
700,[-1.47247 0.23522 0.23522],[0.74076 0.11030 0.11030],0.29159999999999997
800,[-3.32899 0.55576 0.55576],[5.47673 0.60773 0.60773],0.2904
900,[-3.32871 0.23126 0.23126],[8.98152 0.14977 0.14977],0.28919999999999996
1000,[-6.23525 1.31337 1.31337],[14.90038 0.79601 0.79601],0.288
1100,[-2.65318 0.43674 0.43674],[0.40355 0.13454 0.13454],0.2868
1200,[-2.83714 0.54445 0.54445],[3.93266 0.12031 0.12031],0.28559999999999997
1300,[-2.64708 0.20050 0.20050],[2.28730 0.71060 0.71060],0.2844
1400,[-2.18450 0.46027 0.46027],[0.25484 0.14343 0.14343],0.28319999999999995
1500,[-2.82249 0.53076 0.53076],[1.53678 0.25525 0.25525],0.282
1600,[-2.03523 0.17693 0.17693],[0.67594 0.16873 0.16873],0.2808
1700,[-1.45720 -0.18317 -0.18317],[0.26335 0.22439 0.22439],0.2796
1800,[-1.93522 -0.11142 -0.11142],[4.00864 1.08132 1.08132],0.2784
1900,[-1.96542 0.35920 0.35920],[2.30224 0.40020 0.40020],0.2772
2000,[-2.89111 0.35997 0.35997],[2.08587 0.37061 0.37061],0.276
2100,[-1.82189 0.21872 0.21872],[0.09711 0.19067 0.19067],0.2748
2200,[-0.78813 -0.30802 -0.30802],[0.22568 0.18240 0.18240],0.2736
2300,[-1.58684 0.18965 0.18965],[0.39477 0.31086 0.31086],0.2724
2400,[-0.98536 -0.32053 -0.32053],[0.35383 0.32438 0.32438],0.2712
2500,[-1.21047 0.29056 0.29056],[0.43884 0.17193 0.17193],0.27
2600,[-1.24061 -0.49059 -0.49059],[0.75895 0.48621 0.48621],0.2688
2700,[-1.44754 0.47537 0.47537],[0.43751 0.32284 0.32284],0.2676
2800,[-1.12846 0.07257 0.07257],[0.25439 0.07941 0.07941],0.26639999999999997
2900,[-2.07056 0.65905 0.65905],[2.20007 0.43287 0.43287],0.2652
3000,[-2.25252 0.28515 0.28515],[5.11159 0.09080 0.09080],0.264
3100,[-1.13175 0.31997 0.31997],[0.50981 0.04944 0.04944],0.2628
3200,[-1.01582 0.04193 0.04193],[0.18966 0.08160 0.08160],0.2616
3300,[-1.56645 0.16211 0.16211],[0.40869 0.10847 0.10847],0.26039999999999996
3400,[-0.50252 -0.58839 -0.58839],[0.11508 0.29320 0.29320],0.2592
3500,[-1.56136 -0.04360 -0.04360],[1.26560 0.20593 0.20593],0.258
3600,[-1.21221 -0.33181 -0.33181],[0.59643 0.06902 0.06902],0.2568
3700,[-1.05411 0.01385 0.01385],[0.11873 0.20842 0.20842],0.2556
3800,[-2.04107 0.04326 0.04326],[3.33115 0.47641 0.47641],0.25439999999999996
3900,[-1.84979 0.05760 0.05760],[1.54044 0.46437 0.46437],0.2532
4000,[-1.46270 0.03607 0.03607],[2.55204 0.23687 0.23687],0.252
4100,[-1.24358 0.15953 0.15953],[0.63610 0.21354 0.21354],0.25079999999999997
4200,[-2.30582 0.56355 0.56355],[0.67767 0.05939 0.05939],0.2496
4300,[-1.56362 0.42684 0.42684],[0.71685 0.01558 0.01558],0.24839999999999998
4400,[-1.11685 0.20160 0.20160],[0.06969 0.09364 0.09364],0.24719999999999998
4500,[-1.23204 -0.05239 -0.05239],[0.52451 0.04515 0.04515],0.24599999999999997
4600,[-1.86376 -0.03006 -0.03006],[1.67275 0.46364 0.46364],0.24479999999999996
4700,[-2.31694 -0.05362 -0.05362],[5.25289 0.23696 0.23696],0.2436
4800,[-1.97151 0.06301 0.06301],[2.62764 1.45436 1.45436],0.2424
4900,[-3.84848 0.80167 0.80167],[16.32439 0.86770 0.86770],0.2412
5000,[-3.15810 0.18239 0.18239],[2.75986 0.21694 0.21694],0.24
5100,[-2.09813 0.51778 0.51778],[1.99124 0.08812 0.08812],0.2388
5200,[-2.11055 0.75071 0.75071],[1.65513 0.23659 0.23659],0.2376
5300,[-4.23219 0.42834 0.42834],[4.15827 0.46122 0.46122],0.2364
5400,[-2.98428 0.56268 0.56268],[2.71122 0.31857 0.31857],0.2352
5500,[-3.70160 0.42709 0.42709],[2.16520 0.46823 0.46823],0.23399999999999999
5600,[-2.44150 0.63383 0.63383],[2.27644 0.08907 0.08907],0.2328
5700,[-3.70102 0.86939 0.86939],[2.43379 0.38859 0.38859],0.2316
5800,[-1.30648 0.03508 0.03508],[1.19650 0.23539 0.23539],0.2304
5900,[-1.02240 -0.26111 -0.26111],[2.03671 0.45409 0.45409],0.2292
6000,[-3.16159 0.58920 0.58920],[4.14111 0.27242 0.27242],0.22799999999999998
6100,[-2.51942 0.09641 0.09641],[3.03546 0.46741 0.46741],0.2268
6200,[-2.64038 0.31293 0.31293],[1.87297 0.02347 0.02347],0.2256
6300,[-1.60775 -0.29014 -0.29014],[1.46960 0.54859 0.54859],0.2244
6400,[-1.73391 0.04059 0.04059],[0.66252 0.18829 0.18829],0.22319999999999998
6500,[-2.27375 0.14464 0.14464],[2.45372 0.07120 0.07120],0.222
6600,[-2.67488 0.18411 0.18411],[5.27343 0.51100 0.51100],0.2208
6700,[-1.96776 0.46473 0.46473],[0.66848 0.09960 0.09960],0.2196
6800,[-2.40717 0.33402 0.33402],[0.73149 0.17634 0.17634],0.21839999999999998
6900,[-2.52319 0.03399 0.03399],[0.86819 0.03424 0.03424],0.21719999999999998
7000,[-2.79208 0.30404 0.30404],[1.18613 0.04659 0.04659],0.216
7100,[-1.34220 0.22554 0.22554],[0.14093 0.07156 0.07156],0.2148
7200,[-1.31410 0.09741 0.09741],[0.26941 0.20164 0.20164],0.21359999999999998
7300,[-2.00759 0.47069 0.47069],[1.74414 0.21176 0.21176],0.21239999999999998
7400,[-1.01674 -0.11153 -0.11153],[1.09074 0.06362 0.06362],0.21119999999999997
7500,[-2.66973 0.71753 0.71753],[1.26729 0.10619 0.10619],0.21
7600,[-1.27893 0.23251 0.23251],[0.13167 0.05993 0.05993],0.20879999999999999
7700,[-1.40865 0.05433 0.05433],[0.41918 0.04400 0.04400],0.20759999999999998
7800,[-0.43459 -0.11813 -0.11813],[0.02697 0.02773 0.02773],0.20639999999999997
7900,[-1.56096 0.13479 0.13479],[0.80059 0.52601 0.52601],0.20520000000000002
8000,[-1.36064 0.46775 0.46775],[0.36527 0.03200 0.03200],0.20400000000000001
8100,[-1.08817 0.23234 0.23234],[0.56391 0.19898 0.19898],0.2028
8200,[-1.06872 0.35850 0.35850],[0.17670 0.27157 0.27157],0.2016
8300,[-1.22477 0.38068 0.38068],[1.08262 0.27566 0.27566],0.2004
8400,[-0.83927 -0.04142 -0.04142],[0.79936 0.29274 0.29274],0.19920000000000002
8500,[-0.70595 0.18717 0.18717],[0.05865 0.09976 0.09976],0.198
8600,[-1.01106 0.20654 0.20654],[0.46023 0.12963 0.12963],0.1968
8700,[-3.78564 0.36439 0.36439],[15.13535 0.51694 0.51694],0.1956
8800,[-1.92006 0.26985 0.26985],[3.02669 0.10767 0.10767],0.1944
8900,[-1.77047 0.48277 0.48277],[1.89075 0.34236 0.34236],0.1932
9000,[-0.97824 0.18420 0.18420],[0.13818 0.09922 0.09922],0.192
9100,[-2.38418 0.26412 0.26412],[8.72775 0.19405 0.19405],0.1908
9200,[-0.87692 0.28953 0.28953],[0.23373 0.03079 0.03079],0.1896
9300,[-2.80923 0.67879 0.67879],[7.24195 0.14437 0.14437],0.18839999999999998
9400,[-1.30003 0.44599 0.44599],[0.58056 0.11767 0.11767],0.1872
9500,[-1.44980 0.61502 0.61502],[0.26807 0.07217 0.07217],0.186
9600,[-3.17781 1.02995 1.02995],[4.07037 0.35188 0.35188],0.1848
9700,[-0.79801 0.38562 0.38562],[0.15926 0.14287 0.14287],0.18359999999999999
9800,[-0.84128 0.33991 0.33991],[0.07743 0.02717 0.02717],0.18239999999999998
9900,[-1.86264 0.37099 0.37099],[1.14209 0.22322 0.22322],0.1812
10000,[-1.96139 0.73371 0.73371],[2.32075 0.14509 0.14509],0.18
10100,[-1.86519 0.25600 0.25600],[2.41395 0.40904 0.40904],0.1788
10200,[-1.53119 0.43120 0.43120],[1.26775 0.11019 0.11019],0.17759999999999998
10300,[-1.78486 0.61230 0.61230],[0.25255 0.07464 0.07464],0.17639999999999997
10400,[-1.79658 0.72090 0.72090],[1.37221 0.11406 0.11406],0.1752
10500,[-1.00050 0.40510 0.40510],[0.04122 0.02408 0.02408],0.174
10600,[-1.98553 0.27109 0.27109],[3.70311 0.07498 0.07498],0.17279999999999998
10700,[-1.87075 0.60680 0.60680],[2.29536 0.21302 0.21302],0.17159999999999997
10800,[-0.85943 0.28272 0.28272],[0.23752 0.09864 0.09864],0.17039999999999997
10900,[-1.83199 0.68320 0.68320],[0.65487 0.19786 0.19786],0.1692
11000,[-1.39325 0.28864 0.28864],[0.25427 0.03850 0.03850],0.168
11100,[-1.85114 0.76658 0.76658],[0.68377 0.21006 0.21006],0.1668
11200,[-0.86057 0.41148 0.41148],[0.14662 0.13771 0.13771],0.1656
11300,[-0.91916 0.53881 0.53881],[0.08764 0.04151 0.04151],0.16440000000000002
11400,[-1.88054 0.60533 0.60533],[1.46598 0.17848 0.17848],0.1632
11500,[-0.70697 0.43209 0.43209],[0.01952 0.02877 0.02877],0.162
11600,[-2.36237 0.85040 0.85040],[0.61180 0.13272 0.13272],0.1608
11700,[-0.66030 0.20093 0.20093],[0.03712 0.03749 0.03749],0.1596
11800,[-1.41414 0.38758 0.38758],[0.71729 0.06258 0.06258],0.1584
11900,[-0.82395 0.38481 0.38481],[0.26876 0.21478 0.21478],0.1572
12000,[-1.20514 0.40014 0.40014],[0.50078 0.10954 0.10954],0.156
12100,[-0.71317 0.10884 0.10884],[0.15041 0.15498 0.15498],0.1548
12200,[-0.81404 0.45293 0.45293],[0.12656 0.05805 0.05805],0.1536
12300,[-1.14855 0.34658 0.34658],[1.01714 0.06722 0.06722],0.1524
12400,[-0.86568 0.34631 0.34631],[0.10251 0.01165 0.01165],0.1512
12500,[-1.18295 0.48000 0.48000],[0.26994 0.11001 0.11001],0.15
12600,[-0.73861 0.30686 0.30686],[0.29432 0.02709 0.02709],0.1488
12700,[-0.73526 0.36046 0.36046],[0.22265 0.11437 0.11437],0.14759999999999998
12800,[-0.55474 0.14536 0.14536],[0.03693 0.03740 0.03740],0.1464
12900,[-0.54716 0.20691 0.20691],[0.07935 0.06322 0.06322],0.1452
13000,[-1.10732 0.41396 0.41396],[0.25802 0.20661 0.20661],0.144
13100,[-1.12648 0.65529 0.65529],[0.61433 0.10679 0.10679],0.14279999999999998
13200,[-1.29129 0.67021 0.67021],[0.37062 0.15932 0.15932],0.14159999999999998
13300,[-1.10269 0.42963 0.42963],[0.29032 0.04879 0.04879],0.1404
13400,[-1.13833 0.45967 0.45967],[1.29897 0.18872 0.18872],0.1392
13500,[-1.23604 0.59412 0.59412],[0.17722 0.03739 0.03739],0.138
13600,[-1.17361 0.41198 0.41198],[0.15955 0.17193 0.17193],0.1368
