number,rewards,variances,exploration_value
0,[-5.88063 1.44386 1.44386],[8.34893 0.15135 0.15135],0.3
100,[-2.42123 0.72597 0.72597],[0.97210 0.06892 0.06892],0.2988
200,[-1.91082 0.40410 0.40410],[2.59164 0.13629 0.13629],0.2976
300,[-2.82539 0.44743 0.44743],[3.16007 0.62930 0.62930],0.2964
400,[-1.06886 0.10055 0.10055],[1.22547 0.20276 0.20276],0.29519999999999996
500,[-8.82541 1.57465 1.57465],[7.96054 0.22726 0.22726],0.294
600,[-3.10766 0.32306 0.32306],[3.52247 0.47303 0.47303],0.2928
700,[-1.09036 -0.14106 -0.14106],[0.11272 0.10773 0.10773],0.29159999999999997
800,[-1.75031 0.16186 0.16186],[0.84212 0.29285 0.29285],0.2904
900,[-1.97277 0.35349 0.35349],[2.35808 0.08917 0.08917],0.28919999999999996
1000,[-0.75067 -0.01147 -0.01147],[0.21740 0.39715 0.39715],0.288
1100,[-2.45362 0.25897 0.25897],[2.33954 0.30568 0.30568],0.2868
1200,[-2.50571 0.05375 0.05375],[0.73330 0.34664 0.34664],0.28559999999999997
1300,[-1.71783 -0.26923 -0.26923],[1.37026 0.12046 0.12046],0.2844
1400,[-1.03736 0.11829 0.11829],[0.18425 0.08757 0.08757],0.28319999999999995
1500,[-1.53468 0.32441 0.32441],[1.24629 0.06712 0.06712],0.282
1600,[-1.11692 -0.07991 -0.07991],[0.29400 0.03159 0.03159],0.2808
1700,[-0.75227 -0.63655 -0.63655],[0.10578 0.26025 0.26025],0.2796
1800,[-1.18361 -0.07699 -0.07699],[0.20389 0.18755 0.18755],0.2784
1900,[-1.35159 0.14515 0.14515],[1.56896 0.07880 0.07880],0.2772
2000,[-1.56372 0.19651 0.19651],[0.38295 0.20663 0.20663],0.276
2100,[-1.59488 0.00873 0.00873],[0.18082 0.18261 0.18261],0.2748
2200,[-1.33247 0.30592 0.30592],[0.42530 0.09465 0.09465],0.2736
2300,[-3.29706 0.02722 0.02722],[5.08901 0.46183 0.46183],0.2724
2400,[-0.55265 0.02741 0.02741],[0.05794 0.03244 0.03244],0.2712
2500,[-0.98254 -0.03620 -0.03620],[0.27436 0.09701 0.09701],0.27
2600,[-1.12231 -0.12779 -0.12779],[0.67130 0.38845 0.38845],0.2688
2700,[-1.01757 0.18734 0.18734],[0.25851 0.11072 0.11072],0.2676
2800,[-1.14546 -0.07648 -0.07648],[0.48566 0.11630 0.11630],0.26639999999999997
2900,[-1.48109 0.35065 0.35065],[0.22247 0.13699 0.13699],0.2652
3000,[-1.61640 0.24445 0.24445],[0.84701 0.03138 0.03138],0.264
3100,[-1.31340 0.01764 0.01764],[0.59705 0.03820 0.03820],0.2628
3200,[-0.52530 -0.18995 -0.18995],[0.16100 0.13075 0.13075],0.2616
3300,[-1.13882 0.06020 0.06020],[0.32489 0.42163 0.42163],0.26039999999999996
3400,[-0.90826 0.28733 0.28733],[0.10944 0.12075 0.12075],0.2592
3500,[-0.53384 -0.25918 -0.25918],[0.03589 0.10833 0.10833],0.258
3600,[-0.93338 0.08078 0.08078],[0.52952 0.23035 0.23035],0.2568
3700,[-0.36924 0.05317 0.05317],[0.01062 0.04391 0.04391],0.2556
3800,[-0.55300 -0.11110 -0.11110],[0.06502 0.11720 0.11720],0.25439999999999996
3900,[-1.11594 0.07564 0.07564],[0.56862 0.30446 0.30446],0.2532
4000,[-0.94059 -0.48637 -0.48637],[0.52304 1.08859 1.08859],0.252
4100,[-0.84752 -0.07592 -0.07592],[0.35270 0.03960 0.03960],0.25079999999999997
4200,[-1.67328 0.39792 0.39792],[1.65413 0.31685 0.31685],0.2496
4300,[-0.81009 0.01808 0.01808],[0.11975 0.09345 0.09345],0.24839999999999998
4400,[-0.74670 0.33679 0.33679],[0.12027 0.02810 0.02810],0.24719999999999998
4500,[-1.02185 0.27222 0.27222],[0.41618 0.17279 0.17279],0.24599999999999997
4600,[-1.23514 0.02337 0.02337],[0.50113 0.35148 0.35148],0.24479999999999996
4700,[-1.00324 0.11280 0.11280],[0.24283 0.06429 0.06429],0.2436
4800,[-0.88358 0.03654 0.03654],[0.34755 0.09542 0.09542],0.2424
4900,[-1.13237 0.45614 0.45614],[0.19399 0.05815 0.05815],0.2412
5000,[-0.69468 0.01534 0.01534],[0.07065 0.06412 0.06412],0.24
5100,[-0.85549 0.32351 0.32351],[0.09299 0.01241 0.01241],0.2388
5200,[-0.95460 0.16624 0.16624],[0.24736 0.01233 0.01233],0.2376
5300,[-0.78318 0.02323 0.02323],[0.17406 0.02034 0.02034],0.2364
5400,[-0.88032 0.26927 0.26927],[0.08924 0.02261 0.02261],0.2352
5500,[-0.61044 0.08667 0.08667],[0.12000 0.04552 0.04552],0.23399999999999999
5600,[-0.57579 0.01057 0.01057],[0.09012 0.05563 0.05563],0.2328
