number,rewards,variances,exploration_value
0,[-4.49832 -4.49832],[9.00127 9.00127],0.3
100,[-9.93341 -9.93341],[19.16601 19.16601],0.2988
200,[-5.69975 -5.69975],[36.14337 36.14337],0.2976
300,[-6.85224 -6.85224],[27.99632 27.99632],0.2964
400,[-3.26478 -3.26478],[9.49068 9.49068],0.29519999999999996
500,[-2.06736 -2.06736],[1.13217 1.13217],0.294
600,[-17.60595 -17.60595],[36.78103 36.78103],0.2928
700,[-15.59748 -15.59748],[40.11888 40.11888],0.29159999999999997
800,[-12.99743 -12.99743],[53.93304 53.93304],0.2904
900,[-8.20890 -8.20890],[13.55382 13.55382],0.28919999999999996
1000,[-12.77232 -12.77232],[11.65746 11.65746],0.288
1100,[-7.98288 -7.98288],[18.08266 18.08266],0.2868
1200,[-13.40142 -13.40142],[20.38014 20.38014],0.28559999999999997
1300,[-12.65334 -12.65334],[49.54358 49.54358],0.2844
1400,[-7.81452 -7.81452],[10.22769 10.22769],0.28319999999999995
1500,[-15.10824 -15.10824],[68.00020 68.00020],0.282
1600,[-7.21971 -7.21971],[8.67463 8.67463],0.2808
1700,[-5.30396 -5.30396],[7.04733 7.04733],0.2796
1800,[-8.04489 -8.04489],[2.86000 2.86000],0.2784
1900,[-8.70902 -8.70902],[17.09938 17.09938],0.2772
2000,[-2.98516 -2.98516],[3.03980 3.03980],0.276
2100,[-3.32912 -3.32912],[9.39422 9.39422],0.2748
2200,[-5.36937 -5.36937],[14.61628 14.61628],0.2736
2300,[-1.32001 -1.32001],[1.60426 1.60426],0.2724
2400,[-2.95799 -2.95799],[16.48959 16.48959],0.2712
2500,[-2.72607 -2.72607],[5.04628 5.04628],0.27
2600,[-3.60366 -3.60366],[4.71762 4.71762],0.2688
2700,[-2.06035 -2.06035],[3.09742 3.09742],0.2676
2800,[-3.45445 -3.45445],[11.77580 11.77580],0.26639999999999997
2900,[-2.90483 -2.90483],[3.12232 3.12232],0.2652
3000,[-3.05806 -3.05806],[6.52289 6.52289],0.264
3100,[-2.20323 -2.20323],[4.11823 4.11823],0.2628
3200,[-1.77024 -1.77024],[1.17238 1.17238],0.2616
3300,[-3.51411 -3.51411],[5.66997 5.66997],0.26039999999999996
3400,[-4.43926 -4.43926],[2.86213 2.86213],0.2592
3500,[-2.73871 -2.73871],[1.25467 1.25467],0.258
3600,[-3.39863 -3.39863],[0.83504 0.83504],0.2568
