number,rewards,variances,exploration_value
0,[-4.49832 -4.49832],[9.00127 9.00127],0.3
100,[-5.38454 -5.38454],[1.66167 1.66167],0.2988
200,[-4.40508 -4.40508],[9.72311 9.72311],0.2976
300,[-8.79779 -8.79779],[13.58238 13.58238],0.2964
400,[-17.18801 -17.18801],[66.96156 66.96156],0.29519999999999996
500,[-7.80119 -7.80119],[16.78842 16.78842],0.294
600,[-19.81710 -19.81710],[64.04753 64.04753],0.2928
700,[-6.65100 -6.65100],[8.14547 8.14547],0.29159999999999997
800,[-10.99054 -10.99054],[40.42503 40.42503],0.2904
900,[-14.14466 -14.14466],[59.77436 59.77436],0.28919999999999996
1000,[-5.65382 -5.65382],[22.72347 22.72347],0.288
1100,[-15.83774 -15.83774],[17.75898 17.75898],0.2868
1200,[-9.17977 -9.17977],[21.66648 21.66648],0.28559999999999997
1300,[-9.65555 -9.65555],[28.69527 28.69527],0.2844
1400,[-6.87393 -6.87393],[8.55588 8.55588],0.28319999999999995
1500,[-15.86148 -15.86148],[36.57364 36.57364],0.282
1600,[-5.56247 -5.56247],[2.23945 2.23945],0.2808
1700,[-5.42592 -5.42592],[7.02551 7.02551],0.2796
1800,[-7.84591 -7.84591],[2.09326 2.09326],0.2784
1900,[-11.68809 -11.68809],[49.85243 49.85243],0.2772
2000,[-6.33444 -6.33444],[3.64285 3.64285],0.276
2100,[-8.71499 -8.71499],[27.45600 27.45600],0.2748
2200,[-11.73706 -11.73706],[44.08296 44.08296],0.2736
2300,[-5.30912 -5.30912],[1.43183 1.43183],0.2724
2400,[-7.50273 -7.50273],[12.77742 12.77742],0.2712
2500,[-4.91674 -4.91674],[4.34079 4.34079],0.27
2600,[-8.86395 -8.86395],[33.08786 33.08786],0.2688
2700,[-7.94090 -7.94090],[35.97801 35.97801],0.2676
2800,[-6.18813 -6.18813],[19.33660 19.33660],0.26639999999999997
2900,[-4.24019 -4.24019],[1.13994 1.13994],0.2652
3000,[-4.62664 -4.62664],[10.38954 10.38954],0.264
3100,[-6.24179 -6.24179],[8.73728 8.73728],0.2628
3200,[-3.50469 -3.50469],[3.37428 3.37428],0.2616
3300,[-4.34452 -4.34452],[2.48231 2.48231],0.26039999999999996
3400,[-9.49013 -9.49013],[14.92866 14.92866],0.2592
3500,[-6.54846 -6.54846],[20.24691 20.24691],0.258
3600,[-4.80154 -4.80154],[0.49077 0.49077],0.2568
3700,[-7.47673 -7.47673],[5.55706 5.55706],0.2556
3800,[-5.19346 -5.19346],[8.33428 8.33428],0.25439999999999996
3900,[-4.41378 -4.41378],[3.25930 3.25930],0.2532
4000,[-5.89049 -5.89049],[8.67169 8.67169],0.252
4100,[-7.22008 -7.22008],[27.66686 27.66686],0.25079999999999997
4200,[-5.66528 -5.66528],[10.87027 10.87027],0.2496
4300,[-4.57032 -4.57032],[8.28046 8.28046],0.24839999999999998
4400,[-6.05793 -6.05793],[13.87695 13.87695],0.24719999999999998
4500,[-2.02222 -2.02222],[0.96524 0.96524],0.24599999999999997
4600,[-3.87632 -3.87632],[2.57614 2.57614],0.24479999999999996
4700,[-4.31651 -4.31651],[4.35448 4.35448],0.2436
4800,[-3.87103 -3.87103],[4.17813 4.17813],0.2424
4900,[-3.59758 -3.59758],[2.93714 2.93714],0.2412
5000,[-3.97164 -3.97164],[1.31332 1.31332],0.24
5100,[-6.11937 -6.11937],[12.58444 12.58444],0.2388
5200,[-4.87062 -4.87062],[4.27353 4.27353],0.2376
5300,[-3.87883 -3.87883],[2.07653 2.07653],0.2364
5400,[-3.75611 -3.75611],[1.96044 1.96044],0.2352
5500,[-5.18165 -5.18165],[3.57767 3.57767],0.23399999999999999
5600,[-5.86045 -5.86045],[4.46567 4.46567],0.2328
5700,[-3.05226 -3.05226],[0.64114 0.64114],0.2316
5800,[-3.09369 -3.09369],[2.40078 2.40078],0.2304
5900,[-4.40088 -4.40088],[3.34624 3.34624],0.2292
6000,[-4.94574 -4.94574],[2.65996 2.65996],0.22799999999999998
6100,[-7.96513 -7.96513],[8.33452 8.33452],0.2268
