number,rewards,variances,exploration_value
0,[-4.49832 -4.49832],[9.00127 9.00127],0.3
100,[-3.96363 -3.96363],[12.36838 12.36838],0.2988
200,[-4.57725 -4.57725],[10.91859 10.91859],0.2976
300,[-3.07645 -3.07645],[3.55580 3.55580],0.2964
400,[-3.96694 -3.96694],[10.75948 10.75948],0.29519999999999996
500,[-2.63037 -2.63037],[3.73160 3.73160],0.294
600,[-9.50808 -9.50808],[69.14448 69.14448],0.2928
700,[-4.88357 -4.88357],[3.56026 3.56026],0.29159999999999997
800,[-9.02330 -9.02330],[17.45386 17.45386],0.2904
900,[-10.59120 -10.59120],[33.82528 33.82528],0.28919999999999996
1000,[-5.44099 -5.44099],[11.44886 11.44886],0.288
1100,[-14.99370 -14.99370],[16.65176 16.65176],0.2868
1200,[-6.96728 -6.96728],[27.56780 27.56780],0.28559999999999997
1300,[-20.60345 -20.60345],[53.59109 53.59109],0.2844
1400,[-4.38307 -4.38307],[1.89606 1.89606],0.28319999999999995
1500,[-11.46208 -11.46208],[28.59514 28.59514],0.282
1600,[-3.99705 -3.99705],[4.27210 4.27210],0.2808
1700,[-4.49924 -4.49924],[11.11160 11.11160],0.2796
1800,[-2.55447 -2.55447],[4.49188 4.49188],0.2784
1900,[-7.01668 -7.01668],[12.96552 12.96552],0.2772
2000,[-5.06554 -5.06554],[10.84377 10.84377],0.276
2100,[-3.60286 -3.60286],[8.67279 8.67279],0.2748
2200,[-7.87889 -7.87889],[75.67872 75.67872],0.2736
2300,[-2.40444 -2.40444],[2.01228 2.01228],0.2724
2400,[-1.46421 -1.46421],[0.72849 0.72849],0.2712
2500,[-4.22165 -4.22165],[8.09048 8.09048],0.27
2600,[-6.37996 -6.37996],[10.39906 10.39906],0.2688
2700,[-6.04119 -6.04119],[8.37756 8.37756],0.2676
2800,[-3.45394 -3.45394],[4.24844 4.24844],0.26639999999999997
2900,[-2.89740 -2.89740],[3.57741 3.57741],0.2652
3000,[-3.39157 -3.39157],[6.40538 6.40538],0.264
3100,[-2.37264 -2.37264],[1.25472 1.25472],0.2628
3200,[-4.18981 -4.18981],[26.70684 26.70684],0.2616
3300,[-2.73956 -2.73956],[1.58022 1.58022],0.26039999999999996
3400,[-1.31824 -1.31824],[0.09633 0.09633],0.2592
3500,[-2.18319 -2.18319],[3.46053 3.46053],0.258
3600,[-2.33563 -2.33563],[2.38968 2.38968],0.2568
3700,[-3.10336 -3.10336],[7.94318 7.94318],0.2556
3800,[-2.01603 -2.01603],[1.67431 1.67431],0.25439999999999996
3900,[-2.76911 -2.76911],[1.94718 1.94718],0.2532
4000,[-3.04501 -3.04501],[11.38394 11.38394],0.252
4100,[-1.81657 -1.81657],[2.10757 2.10757],0.25079999999999997
4200,[-2.83478 -2.83478],[5.71080 5.71080],0.2496
