iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
0,100,-0.07082,0.81210,0.02293,-2.67003,5.44999,0.48410
1,200,-0.12836,0.22991,0.01057,-2.51565,1.68970,0.36913
2,300,-0.18335,0.14717,0.00752,-2.83740,1.24344,0.34149
3,400,-0.20196,0.10255,0.00616,-3.09837,1.20441,0.32172
4,500,-0.26131,0.09007,0.00535,-3.57512,1.16828,0.32021
5,600,-0.31740,0.05772,0.00480,-3.85807,1.11239,0.31328
6,700,-0.33674,0.06042,0.00439,-4.17002,1.12596,0.31425
7,800,-0.39057,0.06230,0.00406,-4.60404,1.24558,0.31015
8,900,-0.42511,0.05214,0.00380,-5.13262,1.20565,0.31325
9,1000,-0.45646,0.05334,0.00359,-5.58129,1.16199,0.31345
10,1100,-0.47343,0.05559,0.00341,-5.86865,1.10455,0.31361
11,1200,-0.51405,0.04830,0.00325,-6.29501,1.09458,0.31544
12,1300,-0.53679,0.06177,0.00311,-6.56871,1.12366,0.31658
13,1400,-0.54457,0.06488,0.00299,-6.90912,1.05801,0.31515
14,1500,-0.54383,0.05625,0.00288,-7.25858,1.04491,0.31362
15,1600,-0.56388,0.05721,0.00279,-7.55211,1.06255,0.31012
16,1700,-0.62050,0.07458,0.00270,-8.14193,1.27689,0.31181
17,1800,-0.64993,0.05259,0.00262,-8.32233,1.24686,0.31137
18,1900,-0.68752,0.05280,0.00254,-8.77445,1.30377,0.31211
19,2000,-0.71776,0.08654,0.00248,-9.05796,1.09638,0.30922
20,2100,-0.78968,0.07949,0.00241,-9.49904,1.14221,0.30809
21,2200,-0.77920,0.06609,0.00236,-9.88082,1.17755,0.30985
22,2300,-0.85718,0.07360,0.00230,-10.22347,1.05616,0.30644
23,2400,-0.91168,0.07772,0.00225,-10.47398,1.19582,0.30887
24,2500,-0.94972,0.06161,0.00220,-10.85462,1.11633,0.30755
25,2600,-1.00260,0.07457,0.00216,-10.97870,1.13751,0.30570
26,2700,-1.01044,0.06438,0.00212,-11.25255,1.16404,0.30927
27,2800,-1.00625,0.10144,0.00208,-11.50841,1.24616,0.30722
28,2900,-1.07207,0.09109,0.00204,-11.84109,1.19879,0.30736
29,3000,-1.10135,0.09423,0.00201,-12.14299,1.18060,0.30419
30,3100,-1.10657,0.11289,0.00197,-12.43945,1.17054,0.30486
31,3200,-1.18808,0.11703,0.00194,-12.62651,1.23597,0.30327
32,3300,-1.20393,0.08652,0.00191,-12.93926,1.34391,0.30231
33,3400,-1.20047,0.10365,0.00188,-13.17394,1.29815,0.30059
34,3500,-1.28060,0.10637,0.00185,-13.22031,1.27828,0.29787
35,3600,-1.31764,0.12739,0.00183,-13.37989,1.30075,0.29882
36,3700,-1.32219,0.13118,0.00180,-13.55661,1.26778,0.29422
37,3800,-1.34770,0.10112,0.00178,-13.76255,1.19950,0.29379
38,3900,-1.39180,0.10292,0.00175,-13.95701,1.13219,0.28958
39,4000,-1.39346,0.10337,0.00173,-14.10907,1.38946,0.29065
40,4100,-1.45352,0.09705,0.00171,-14.34240,1.34902,0.28753
41,4200,-1.43644,0.11530,0.00169,-14.44706,1.29009,0.28591
42,4300,-1.53015,0.12236,0.00167,-14.63043,1.25908,0.28592
43,4400,-1.50948,0.10691,0.00165,-14.76927,1.28580,0.28617
44,4500,-1.52457,0.10116,0.00163,-14.88732,1.28489,0.28239
45,4600,-1.50228,0.14199,0.00161,-15.13098,1.30991,0.28179
46,4700,-1.58032,0.13845,0.00159,-15.34540,1.32423,0.28036
47,4800,-1.58108,0.09721,0.00158,-15.43052,1.34038,0.28024
48,4900,-1.62305,0.14474,0.00156,-15.60941,1.33467,0.27826
49,5000,-1.62417,0.13467,0.00154,-15.70431,1.33928,0.27474
50,5100,-1.62700,0.13750,0.00153,-15.82334,1.33201,0.27575
51,5200,-1.67677,0.13572,0.00151,-15.90062,1.32901,0.27253
52,5300,-1.68153,0.13433,0.00150,-16.06349,1.35600,0.27219
53,5400,-1.71581,0.12385,0.00149,-16.19964,1.32431,0.26937
54,5500,-1.69770,0.15256,0.00147,-16.25107,1.31663,0.27116
55,5600,-1.69569,0.13552,0.00146,-16.37498,1.31471,0.26816
56,5700,-1.78864,0.11834,0.00145,-16.46882,1.29807,0.26685
57,5800,-1.82359,0.12808,0.00143,-16.59269,1.34989,0.26544
58,5900,-1.77507,0.11596,0.00142,-16.65189,1.43715,0.26384
59,6000,-1.86341,0.15959,0.00141,-16.73170,1.37566,0.26339
60,6100,-1.85098,0.12556,0.00140,-16.79758,1.27113,0.26343
61,6200,-1.83836,0.11895,0.00138,-16.84271,1.34596,0.26201
62,6300,-1.85479,0.12806,0.00137,-16.89109,1.38590,0.25939
63,6400,-1.84859,0.14404,0.00136,-16.98821,1.27278,0.25817
64,6500,-1.87677,0.14195,0.00135,-17.01943,1.32596,0.25806
65,6600,-1.90990,0.13567,0.00134,-17.09597,1.34401,0.25774
66,6700,-1.93529,0.11509,0.00133,-17.12974,1.25724,0.25499
67,6800,-1.90841,0.13302,0.00132,-17.15050,1.24771,0.25439
68,6900,-1.99316,0.13630,0.00131,-17.21071,1.21623,0.25452
69,7000,-1.95739,0.14331,0.00130,-17.28820,1.21051,0.25172
70,7100,-1.97649,0.14673,0.00129,-17.32572,1.24854,0.25364
71,7200,-1.98111,0.11644,0.00128,-17.37014,1.22152,0.25050
72,7300,-2.02496,0.13365,0.00127,-17.35656,1.24183,0.25126
73,7400,-2.01271,0.21541,0.00127,-17.45041,1.26917,0.24884
74,7500,-1.97125,0.13765,0.00126,-17.40702,1.20563,0.24817
75,7600,-2.07628,0.14812,0.00125,-17.46047,1.23442,0.24578
76,7700,-2.06104,0.21002,0.00124,-17.50872,1.26487,0.24802
77,7800,-2.08209,0.19023,0.00123,-17.57271,1.26186,0.24677
78,7900,-2.09137,0.19291,0.00122,-17.54603,1.23766,0.24563
79,8000,-2.11452,0.21398,0.00122,-17.60155,1.26925,0.24336
80,8100,-2.11821,0.19131,0.00121,-17.56880,1.26509,0.24302
81,8200,-2.08427,0.20115,0.00120,-17.66572,1.58349,0.24343
82,8300,-2.12886,0.20048,0.00119,-17.67393,1.37964,0.24407
83,8400,-2.13199,0.17565,0.00119,-17.74739,1.33421,0.24138
84,8500,-2.15461,0.18783,0.00118,-17.78860,1.52634,0.24281
85,8600,-2.16257,0.17239,0.00117,-17.80278,1.41872,0.24086
86,8700,-2.20469,0.12648,0.00117,-17.75545,1.23976,0.24125
