number,rewards,variances,exploration_value
0,[-1.86548 -1.86548],[1.83459 1.83459],0.3
100,[-2.67491 -2.67491],[0.58277 0.58277],0.2988
200,[-4.41339 -4.41339],[22.26916 22.26916],0.2976
300,[-2.41027 -2.41027],[1.57712 1.57712],0.2964
400,[-1.50384 -1.50384],[2.80598 2.80598],0.29519999999999996
500,[-1.09484 -1.09484],[0.85843 0.85843],0.294
600,[-1.25974 -1.25974],[1.55850 1.55850],0.2928
700,[-1.91174 -1.91174],[1.50390 1.50390],0.29159999999999997
800,[-0.95942 -0.95942],[0.49644 0.49644],0.2904
900,[-2.15141 -2.15141],[2.17706 2.17706],0.28919999999999996
1000,[-2.60921 -2.60921],[4.64888 4.64888],0.288
1100,[-2.67019 -2.67019],[9.09751 9.09751],0.2868
1200,[-3.23538 -3.23538],[0.42115 0.42115],0.28559999999999997
1300,[-1.80080 -1.80080],[1.28556 1.28556],0.2844
1400,[-1.66040 -1.66040],[0.94370 0.94370],0.28319999999999995
1500,[-0.85046 -0.85046],[0.27946 0.27946],0.282
1600,[-1.26923 -1.26923],[1.22534 1.22534],0.2808
1700,[-0.82260 -0.82260],[0.25487 0.25487],0.2796
1800,[-1.18959 -1.18959],[0.67470 0.67470],0.2784
1900,[-1.06446 -1.06446],[0.43575 0.43575],0.2772
2000,[-2.00508 -2.00508],[8.26623 8.26623],0.276
2100,[-1.32755 -1.32755],[0.53560 0.53560],0.2748
2200,[-0.96259 -0.96259],[0.31104 0.31104],0.2736
2300,[-0.65530 -0.65530],[0.05044 0.05044],0.2724
2400,[-0.62485 -0.62485],[0.17392 0.17392],0.2712
2500,[-1.16522 -1.16522],[0.21856 0.21856],0.27
2600,[-1.10742 -1.10742],[0.46831 0.46831],0.2688
2700,[-1.17239 -1.17239],[0.38752 0.38752],0.2676
2800,[-1.42083 -1.42083],[0.24983 0.24983],0.26639999999999997
2900,[-0.91228 -0.91228],[0.15135 0.15135],0.2652
3000,[-1.30260 -1.30260],[2.08520 2.08520],0.264
3100,[-0.71368 -0.71368],[0.06822 0.06822],0.2628
3200,[-0.63652 -0.63652],[0.45194 0.45194],0.2616
3300,[-0.80217 -0.80217],[0.43583 0.43583],0.26039999999999996
3400,[-1.09252 -1.09252],[0.34710 0.34710],0.2592
3500,[-1.27435 -1.27435],[0.47679 0.47679],0.258
3600,[-1.44616 -1.44616],[0.14792 0.14792],0.2568
3700,[-1.09196 -1.09196],[0.27133 0.27133],0.2556
3800,[-0.44997 -0.44997],[0.05873 0.05873],0.25439999999999996
3900,[-1.50089 -1.50089],[0.65372 0.65372],0.2532
4000,[-1.09199 -1.09199],[0.61592 0.61592],0.252
4100,[-1.07013 -1.07013],[0.60878 0.60878],0.25079999999999997
4200,[-0.95697 -0.95697],[0.29107 0.29107],0.2496
4300,[-0.67506 -0.67506],[0.22504 0.22504],0.24839999999999998
4400,[-0.41358 -0.41358],[0.01739 0.01739],0.24719999999999998
4500,[-1.14408 -1.14408],[1.08121 1.08121],0.24599999999999997
4600,[-0.41426 -0.41426],[0.05795 0.05795],0.24479999999999996
4700,[-0.62474 -0.62474],[0.15941 0.15941],0.2436
4800,[-0.78071 -0.78071],[0.60276 0.60276],0.2424
4900,[-1.21266 -1.21266],[1.07031 1.07031],0.2412
5000,[-0.74039 -0.74039],[0.18389 0.18389],0.24
5100,[-0.96658 -0.96658],[0.28945 0.28945],0.2388
5200,[-0.59435 -0.59435],[0.17904 0.17904],0.2376
5300,[-0.61801 -0.61801],[0.15365 0.15365],0.2364
5400,[-0.60686 -0.60686],[0.13384 0.13384],0.2352
5500,[-0.33591 -0.33591],[0.10605 0.10605],0.23399999999999999
5600,[-1.02078 -1.02078],[0.32947 0.32947],0.2328
5700,[-0.84847 -0.84847],[0.18664 0.18664],0.2316
5800,[-0.53789 -0.53789],[0.06626 0.06626],0.2304
5900,[-0.51484 -0.51484],[0.01326 0.01326],0.2292
6000,[-0.76744 -0.76744],[0.13632 0.13632],0.22799999999999998
6100,[-0.63302 -0.63302],[0.13962 0.13962],0.2268
6200,[-0.63142 -0.63142],[0.04329 0.04329],0.2256
6300,[-0.85183 -0.85183],[0.22685 0.22685],0.2244
6400,[-0.56811 -0.56811],[0.12732 0.12732],0.22319999999999998
6500,[-0.69874 -0.69874],[0.08155 0.08155],0.222
6600,[-0.76054 -0.76054],[0.13626 0.13626],0.2208
6700,[-1.08261 -1.08261],[0.93342 0.93342],0.2196
6800,[-1.31884 -1.31884],[0.59000 0.59000],0.21839999999999998
6900,[-1.00233 -1.00233],[0.64715 0.64715],0.21719999999999998
7000,[-0.71685 -0.71685],[0.25004 0.25004],0.216
7100,[-0.71307 -0.71307],[0.23624 0.23624],0.2148
7200,[-0.38666 -0.38666],[0.03906 0.03906],0.21359999999999998
7300,[-0.68241 -0.68241],[0.16162 0.16162],0.21239999999999998
7400,[-0.96594 -0.96594],[0.06750 0.06750],0.21119999999999997
7500,[-0.67051 -0.67051],[0.10249 0.10249],0.21
7600,[-1.03301 -1.03301],[0.43527 0.43527],0.20879999999999999
7700,[-0.49121 -0.49121],[0.19120 0.19120],0.20759999999999998
7800,[-1.40013 -1.40013],[0.52259 0.52259],0.20639999999999997
7900,[-0.93380 -0.93380],[0.57495 0.57495],0.20520000000000002
8000,[-1.19126 -1.19126],[1.35153 1.35153],0.20400000000000001
8100,[-1.03734 -1.03734],[0.31340 0.31340],0.2028
8200,[-1.31146 -1.31146],[0.78168 0.78168],0.2016
8300,[-1.28954 -1.28954],[0.36792 0.36792],0.2004
8400,[-0.94712 -0.94712],[0.22628 0.22628],0.19920000000000002
8500,[-0.46876 -0.46876],[0.05558 0.05558],0.198
8600,[-0.83917 -0.83917],[0.36677 0.36677],0.1968
8700,[-1.42643 -1.42643],[2.08525 2.08525],0.1956
8800,[-0.97391 -0.97391],[1.28057 1.28057],0.1944
