iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,-2.03115,1.47706,0.39631,2.04653,-2.05490,1.46043,0.39628,2.04664
1,200,-2.48883,0.58586,0.38135,2.04615,-2.38356,0.50308,0.38054,2.04581
2,300,-2.68413,0.38843,0.36989,2.05838,-2.61566,0.35510,0.37046,2.05906
3,400,-2.88367,0.38426,0.35068,2.06048,-2.83614,0.30369,0.35024,2.06055
4,500,-3.14377,0.37055,0.33234,2.05481,-3.16720,0.29401,0.33203,2.05484
5,600,-3.35466,0.37953,0.31680,2.05136,-3.42237,0.30384,0.31645,2.05111
6,700,-3.58607,0.41090,0.30290,2.04893,-3.68839,0.33691,0.30220,2.04770
7,800,-3.85319,0.41341,0.28771,2.04731,-3.90946,0.35637,0.28799,2.04721
8,900,-4.07147,0.26565,0.27378,2.04511,-4.18257,0.25628,0.27382,2.04530
9,1000,-4.35357,0.20750,0.26206,2.04283,-4.38253,0.21549,0.26116,2.04291
10,1100,-4.57939,0.21732,0.25016,2.04156,-4.57218,0.21885,0.24961,2.04115
11,1200,-4.78437,0.22305,0.23809,2.04102,-4.70804,0.23548,0.23773,2.04110
12,1300,-5.01131,0.24155,0.22650,2.04033,-4.90318,0.20166,0.22636,2.03968
13,1400,-5.20066,0.24671,0.21646,2.03832,-5.02157,0.21258,0.21706,2.03732
14,1500,-5.24689,0.20526,0.20718,2.03644,-5.12905,0.22631,0.20679,2.03670
15,1600,-5.35949,0.21101,0.19823,2.03448,-5.26192,0.22867,0.19732,2.03431
16,1700,-5.51923,0.22512,0.18886,2.03409,-5.29077,0.26294,0.18876,2.03399
17,1800,-5.54210,0.28606,0.18056,2.03376,-5.49077,0.24833,0.18030,2.03380
18,1900,-5.63668,0.28788,0.17244,2.03301,-5.62878,0.26880,0.17233,2.03260
19,2000,-5.71443,0.28416,0.16510,2.03103,-5.62383,0.26902,0.16530,2.03156
20,2100,-5.75496,0.29015,0.15789,2.02957,-5.71432,0.28027,0.15741,2.02898
21,2200,-5.77932,0.30730,0.15061,2.02798,-5.68125,0.28393,0.15029,2.02797
22,2300,-5.81401,0.31072,0.14402,2.02645,-5.79998,0.30177,0.14396,2.02716
23,2400,-5.90681,0.49463,0.13744,2.02566,-5.78855,0.39788,0.13750,2.02498
24,2500,-5.94295,0.33478,0.13137,2.02429,-5.84568,0.32616,0.13111,2.02430
25,2600,-5.95765,0.32239,0.12547,2.02234,-5.92191,0.29704,0.12552,2.02342
26,2700,-5.96560,0.32892,0.12012,2.02217,-5.90686,0.28253,0.12029,2.02242
27,2800,-6.01204,0.28164,0.11502,2.02005,-5.93102,0.26755,0.11478,2.02045
