iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
0,100,0.07313,0.49298,0.07733,0.48102
1,200,-0.03813,0.15901,0.01452,0.19407
2,300,-0.13866,0.12781,-0.10886,0.11221
3,400,-0.20820,0.08175,-0.14525,0.10027
4,500,-0.23434,0.06596,-0.20556,0.07412
5,600,-0.29219,0.06271,-0.26223,0.06065
6,700,-0.32936,0.06481,-0.32189,0.06676
7,800,-0.38281,0.05590,-0.37707,0.05755
8,900,-0.45254,0.05874,-0.43216,0.04359
9,1000,-0.47743,0.05899,-0.47364,0.05405
10,1100,-0.52597,0.04970,-0.52422,0.05998
11,1200,-0.54875,0.05005,-0.53784,0.06600
12,1300,-0.62319,0.06160,-0.61806,0.04435
13,1400,-0.64053,0.06510,-0.61852,0.06106
14,1500,-0.66780,0.05762,-0.69340,0.08873
15,1600,-0.69458,0.05547,-0.73174,0.06828
16,1700,-0.76872,0.06164,-0.77737,0.05834
17,1800,-0.80719,0.05793,-0.80567,0.06878
18,1900,-0.84061,0.08011,-0.85612,0.06976
19,2000,-0.89605,0.07971,-0.86182,0.05355
20,2100,-0.94222,0.08561,-0.91130,0.07733
21,2200,-0.97035,0.08743,-0.96493,0.06743
22,2300,-1.02564,0.07750,-0.99720,0.10752
23,2400,-1.08497,0.07140,-1.04918,0.10049
24,2500,-1.13210,0.09177,-1.09994,0.10208
25,2600,-1.17150,0.08736,-1.16160,0.09017
26,2700,-1.23646,0.09561,-1.19729,0.09151
27,2800,-1.20954,0.10280,-1.22555,0.12609
28,2900,-1.28417,0.11315,-1.27527,0.11872
29,3000,-1.28987,0.13716,-1.33810,0.12107
30,3100,-1.35668,0.13097,-1.37667,0.11048
31,3200,-1.41663,0.12788,-1.44063,0.08381
32,3300,-1.45672,0.16421,-1.49140,0.08715
33,3400,-1.46810,0.15999,-1.52663,0.12882
34,3500,-1.56495,0.10783,-1.61613,0.12696
35,3600,-1.61166,0.11641,-1.64296,0.14256
36,3700,-1.63620,0.20223,-1.70539,0.12065
37,3800,-1.69640,0.11637,-1.74411,0.11159
38,3900,-1.74012,0.11974,-1.74207,0.18452
39,4000,-1.74469,0.11498,-1.85145,0.13006
40,4100,-1.82582,0.12938,-1.89904,0.13983
41,4200,-1.89941,0.12719,-1.90248,0.23584
42,4300,-1.90994,0.14133,-1.93463,0.14398
43,4400,-1.99058,0.13320,-2.03595,0.19561
44,4500,-2.00013,0.23146,-2.03661,0.23984
45,4600,-2.03025,0.13463,-2.11637,0.19084
46,4700,-2.08952,0.12855,-2.13298,0.18098
47,4800,-2.12937,0.17335,-2.21070,0.17301
48,4900,-2.15748,0.14516,-2.19801,0.16498
49,5000,-2.19144,0.16313,-2.28188,0.20055
50,5100,-2.22770,0.21387,-2.31191,0.18926
51,5200,-2.27065,0.19007,-2.33395,0.16148
52,5300,-2.32692,0.18034,-2.37556,0.19469
53,5400,-2.34227,0.14544,-2.39921,0.18879
54,5500,-2.37536,0.15507,-2.41314,0.19397
55,5600,-2.36647,0.26157,-2.46283,0.21513
56,5700,-2.44240,0.12512,-2.46847,0.29114
57,5800,-2.45950,0.29198,-2.56376,0.31113
58,5900,-2.51541,0.21811,-2.59918,0.22444
59,6000,-2.52423,0.19623,-2.64681,0.18506
60,6100,-2.60297,0.30027,-2.71356,0.17783
61,6200,-2.57788,0.21065,-2.69807,0.15514
62,6300,-2.64358,0.19573,-2.70021,0.19012
63,6400,-2.65989,0.25045,-2.74978,0.15616
64,6500,-2.72560,0.17797,-2.80510,0.32680
65,6600,-2.74519,0.21058,-2.78793,0.25898
66,6700,-2.76266,0.25179,-2.82124,0.17250
67,6800,-2.75953,0.19501,-2.87363,0.20884
68,6900,-2.84442,0.18048,-2.87507,0.19694
69,7000,-2.79809,0.19669,-2.91305,0.19606
70,7100,-2.81753,0.17311,-2.92455,0.30507
71,7200,-2.83615,0.19160,-2.97883,0.27506
72,7300,-2.92413,0.17068,-2.99701,0.22968
73,7400,-2.93697,0.19194,-3.02469,0.17665
