number,rewards,variances,exploration_value
0,[-1.86548 -1.86548],[1.83459 1.83459],0.3
100,[-5.91030 -5.91030],[12.72325 12.72325],0.2988
200,[-5.50933 -5.50933],[20.95530 20.95530],0.2976
300,[-8.15841 -8.15841],[17.07564 17.07564],0.2964
400,[-2.51404 -2.51404],[3.05240 3.05240],0.29519999999999996
500,[-3.30170 -3.30170],[6.88901 6.88901],0.294
600,[-4.05465 -4.05465],[8.11250 8.11250],0.2928
700,[-5.77994 -5.77994],[13.14832 13.14832],0.29159999999999997
800,[-9.54140 -9.54140],[42.03198 42.03198],0.2904
900,[-3.05263 -3.05263],[6.20606 6.20606],0.28919999999999996
1000,[-5.19611 -5.19611],[25.31930 25.31930],0.288
1100,[-9.51071 -9.51071],[12.61989 12.61989],0.2868
1200,[-5.73687 -5.73687],[16.97835 16.97835],0.28559999999999997
1300,[-3.77188 -3.77188],[6.67629 6.67629],0.2844
1400,[-5.63786 -5.63786],[7.99109 7.99109],0.28319999999999995
1500,[-2.93630 -2.93630],[2.98691 2.98691],0.282
1600,[-2.07327 -2.07327],[1.46220 1.46220],0.2808
1700,[-1.79634 -1.79634],[1.10528 1.10528],0.2796
1800,[-4.06564 -4.06564],[19.35310 19.35310],0.2784
1900,[-2.42576 -2.42576],[1.30687 1.30687],0.2772
2000,[-2.85212 -2.85212],[3.13794 3.13794],0.276
2100,[-4.69258 -4.69258],[14.43394 14.43394],0.2748
2200,[-4.89494 -4.89494],[36.80287 36.80287],0.2736
2300,[-4.75594 -4.75594],[2.96234 2.96234],0.2724
2400,[-1.29515 -1.29515],[1.17944 1.17944],0.2712
2500,[-5.81664 -5.81664],[19.11147 19.11147],0.27
2600,[-3.73508 -3.73508],[12.01759 12.01759],0.2688
2700,[-2.68525 -2.68525],[1.83647 1.83647],0.2676
2800,[-4.41538 -4.41538],[5.99502 5.99502],0.26639999999999997
2900,[-1.57286 -1.57286],[1.56228 1.56228],0.2652
3000,[-1.90191 -1.90191],[1.03409 1.03409],0.264
3100,[-1.69553 -1.69553],[2.93292 2.93292],0.2628
3200,[-2.46298 -2.46298],[0.98733 0.98733],0.2616
3300,[-2.31586 -2.31586],[1.68398 1.68398],0.26039999999999996
3400,[-2.09017 -2.09017],[2.52106 2.52106],0.2592
3500,[-2.94747 -2.94747],[1.55340 1.55340],0.258
3600,[-2.59371 -2.59371],[1.93508 1.93508],0.2568
3700,[-3.17826 -3.17826],[4.62889 4.62889],0.2556
3800,[-1.30937 -1.30937],[0.51242 0.51242],0.25439999999999996
3900,[-2.53534 -2.53534],[0.61337 0.61337],0.2532
4000,[-3.03766 -3.03766],[5.31265 5.31265],0.252
4100,[-3.04852 -3.04852],[1.23961 1.23961],0.25079999999999997
4200,[-1.53849 -1.53849],[0.21120 0.21120],0.2496
4300,[-1.59533 -1.59533],[0.72753 0.72753],0.24839999999999998
4400,[-1.68667 -1.68667],[0.74001 0.74001],0.24719999999999998
4500,[-1.80043 -1.80043],[1.58148 1.58148],0.24599999999999997
4600,[-1.29538 -1.29538],[1.14751 1.14751],0.24479999999999996
4700,[-1.10285 -1.10285],[0.22871 0.22871],0.2436
4800,[-1.50486 -1.50486],[1.25597 1.25597],0.2424
4900,[-1.68274 -1.68274],[1.68484 1.68484],0.2412
5000,[-2.15424 -2.15424],[2.83990 2.83990],0.24
5100,[-1.90996 -1.90996],[3.04124 3.04124],0.2388
5200,[-1.67996 -1.67996],[3.38766 3.38766],0.2376
5300,[-2.28510 -2.28510],[1.98580 1.98580],0.2364
5400,[-1.63054 -1.63054],[0.51630 0.51630],0.2352
5500,[-1.54510 -1.54510],[0.33680 0.33680],0.23399999999999999
5600,[-1.55737 -1.55737],[4.16289 4.16289],0.2328
5700,[-1.82008 -1.82008],[1.73006 1.73006],0.2316
5800,[-1.13078 -1.13078],[0.98195 0.98195],0.2304
5900,[-2.24599 -2.24599],[1.39940 1.39940],0.2292
6000,[-2.07609 -2.07609],[0.35086 0.35086],0.22799999999999998
6100,[-1.55043 -1.55043],[0.83071 0.83071],0.2268
6200,[-2.05801 -2.05801],[2.20776 2.20776],0.2256
6300,[-2.31167 -2.31167],[0.53542 0.53542],0.2244
6400,[-1.49910 -1.49910],[2.63494 2.63494],0.22319999999999998
6500,[-2.29108 -2.29108],[5.31524 5.31524],0.222
6600,[-2.95493 -2.95493],[1.91797 1.91797],0.2208
6700,[-3.65289 -3.65289],[3.74758 3.74758],0.2196
6800,[-2.27600 -2.27600],[0.80330 0.80330],0.21839999999999998
6900,[-1.80922 -1.80922],[0.85348 0.85348],0.21719999999999998
7000,[-1.65764 -1.65764],[2.31966 2.31966],0.216
7100,[-2.11102 -2.11102],[1.54398 1.54398],0.2148
7200,[-1.58071 -1.58071],[1.21691 1.21691],0.21359999999999998
7300,[-1.76698 -1.76698],[3.57225 3.57225],0.21239999999999998
7400,[-2.37283 -2.37283],[0.23526 0.23526],0.21119999999999997
7500,[-2.56209 -2.56209],[1.90308 1.90308],0.21
7600,[-3.02849 -3.02849],[4.51318 4.51318],0.20879999999999999
7700,[-2.98495 -2.98495],[5.13748 5.13748],0.20759999999999998
7800,[-3.22026 -3.22026],[7.13081 7.13081],0.20639999999999997
7900,[-1.72884 -1.72884],[0.70531 0.70531],0.20520000000000002
8000,[-2.46265 -2.46265],[2.13691 2.13691],0.20400000000000001
8100,[-1.33406 -1.33406],[0.18586 0.18586],0.2028
8200,[-2.92575 -2.92575],[4.33942 4.33942],0.2016
8300,[-3.51485 -3.51485],[4.40225 4.40225],0.2004
8400,[-4.28278 -4.28278],[11.06714 11.06714],0.19920000000000002
8500,[-2.13972 -2.13972],[2.66663 2.66663],0.198
8600,[-2.13363 -2.13363],[0.69208 0.69208],0.1968
8700,[-1.14259 -1.14259],[0.15319 0.15319],0.1956
8800,[-1.97971 -1.97971],[0.93514 0.93514],0.1944
8900,[-1.38117 -1.38117],[1.40670 1.40670],0.1932
9000,[-1.17124 -1.17124],[1.29035 1.29035],0.192
9100,[-3.50177 -3.50177],[2.22127 2.22127],0.1908
9200,[-1.79555 -1.79555],[1.89338 1.89338],0.1896
9300,[-2.53897 -2.53897],[0.25644 0.25644],0.18839999999999998
9400,[-1.10304 -1.10304],[0.27457 0.27457],0.1872
9500,[-2.02635 -2.02635],[0.49872 0.49872],0.186
9600,[-1.31085 -1.31085],[0.50674 0.50674],0.1848
9700,[-1.08570 -1.08570],[0.66619 0.66619],0.18359999999999999
9800,[-1.46726 -1.46726],[0.22262 0.22262],0.18239999999999998
9900,[-1.49302 -1.49302],[0.67647 0.67647],0.1812
10000,[-2.50353 -2.50353],[0.23939 0.23939],0.18
10100,[-1.81365 -1.81365],[0.50834 0.50834],0.1788
10200,[-0.74408 -0.74408],[0.21521 0.21521],0.17759999999999998
10300,[-0.90365 -0.90365],[0.52811 0.52811],0.17639999999999997
10400,[-1.24860 -1.24860],[0.86721 0.86721],0.1752
10500,[-1.95602 -1.95602],[1.33435 1.33435],0.174
10600,[-1.57766 -1.57766],[0.38807 0.38807],0.17279999999999998
10700,[-1.70159 -1.70159],[1.62937 1.62937],0.17159999999999997
10800,[-1.40257 -1.40257],[0.13127 0.13127],0.17039999999999997
10900,[-2.06575 -2.06575],[0.43154 0.43154],0.1692
11000,[-1.53259 -1.53259],[0.11170 0.11170],0.168
11100,[-1.16173 -1.16173],[0.13362 0.13362],0.1668
11200,[-1.30199 -1.30199],[0.85289 0.85289],0.1656
11300,[-1.28538 -1.28538],[0.24139 0.24139],0.16440000000000002
11400,[-1.87402 -1.87402],[3.44086 3.44086],0.1632
11500,[-1.04441 -1.04441],[0.09093 0.09093],0.162
11600,[-1.54158 -1.54158],[0.81269 0.81269],0.1608
11700,[-2.72908 -2.72908],[0.50370 0.50370],0.1596
11800,[-1.03249 -1.03249],[0.25110 0.25110],0.1584
11900,[-0.76377 -0.76377],[0.06782 0.06782],0.1572
12000,[-1.19097 -1.19097],[0.51818 0.51818],0.156
12100,[-0.78693 -0.78693],[0.02680 0.02680],0.1548
12200,[-1.14858 -1.14858],[0.87575 0.87575],0.1536
12300,[-0.55236 -0.55236],[0.04832 0.04832],0.1524
12400,[-1.64419 -1.64419],[0.63707 0.63707],0.1512
12500,[-1.60976 -1.60976],[0.69648 0.69648],0.15
12600,[-0.88526 -0.88526],[0.33710 0.33710],0.1488
12700,[-1.02719 -1.02719],[0.33124 0.33124],0.14759999999999998
12800,[-2.12163 -2.12163],[2.16014 2.16014],0.1464
12900,[-1.58142 -1.58142],[3.84978 3.84978],0.1452
13000,[-1.19605 -1.19605],[0.15009 0.15009],0.144
13100,[-1.34536 -1.34536],[0.23246 0.23246],0.14279999999999998
13200,[-0.84452 -0.84452],[0.12760 0.12760],0.14159999999999998
13300,[-1.27757 -1.27757],[0.47829 0.47829],0.1404
13400,[-0.68711 -0.68711],[0.03959 0.03959],0.1392
13500,[-1.10959 -1.10959],[0.66128 0.66128],0.138
13600,[-1.08744 -1.08744],[0.40180 0.40180],0.1368
13700,[-1.37687 -1.37687],[0.25541 0.25541],0.1356
13800,[-1.55517 -1.55517],[0.48240 0.48240],0.1344
13900,[-1.32535 -1.32535],[0.46054 0.46054],0.13319999999999999
14000,[-0.48038 -0.48038],[0.07999 0.07999],0.132
14100,[-0.98354 -0.98354],[0.24891 0.24891],0.1308
14200,[-1.02604 -1.02604],[0.33856 0.33856],0.1296
14300,[-0.97577 -0.97577],[0.33365 0.33365],0.1284
14400,[-0.99229 -0.99229],[0.14477 0.14477],0.12719999999999998
14500,[-0.90430 -0.90430],[0.20737 0.20737],0.126
14600,[-1.20240 -1.20240],[0.13703 0.13703],0.1248
14700,[-1.54891 -1.54891],[0.02642 0.02642],0.12359999999999999
14800,[-1.28993 -1.28993],[0.56840 0.56840],0.12239999999999998
14900,[-1.56792 -1.56792],[0.83815 0.83815],0.1212
15000,[-1.24480 -1.24480],[1.28556 1.28556],0.12
15100,[-0.82188 -0.82188],[0.31065 0.31065],0.1188
15200,[-1.49546 -1.49546],[0.53396 0.53396],0.1176
15300,[-1.23651 -1.23651],[0.47492 0.47492],0.1164
15400,[-1.34874 -1.34874],[0.70727 0.70727],0.1152
