iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss
0,100,-4.29890,4.06433,0.86454,-6.04087,10.05278,1.18456
1,200,-5.13676,0.69951,0.86314,-7.25030,1.67951,1.23917
2,300,-5.74768,0.54041,0.85542,-7.82891,1.03193,1.22105
3,400,-6.29424,0.54188,0.84658,-9.18000,0.98434,1.29937
4,500,-6.87727,0.49470,0.83750,-10.05114,0.85522,1.30198
5,600,-7.53304,0.46908,0.82915,-10.74315,0.60979,1.25212
6,700,-8.19630,0.61331,0.82065,-11.62391,0.82326,1.21119
7,800,-8.92578,0.40456,0.81160,-12.43801,0.66682,1.18376
8,900,-9.45688,0.36209,0.80287,-13.26259,0.79743,1.16988
9,1000,-10.09304,0.40163,0.79373,-14.12793,0.88003,1.15267
10,1100,-10.63781,0.52649,0.78487,-14.90309,1.28682,1.13688
11,1200,-11.14510,0.50389,0.77616,-15.59011,0.60967,1.11156
12,1300,-11.71928,0.38304,0.76761,-16.31213,0.71101,1.10188
13,1400,-12.24202,0.44576,0.75835,-17.01732,0.72180,1.08747
14,1500,-12.71534,0.45246,0.74972,-17.77061,0.67319,1.06671
15,1600,-13.12942,0.40399,0.74139,-18.32941,1.04670,1.04900
16,1700,-13.72869,0.39132,0.73291,-18.78122,1.08189,1.02297
17,1800,-14.22037,0.43311,0.72498,-19.41530,0.92998,1.00297
18,1900,-14.64009,0.31347,0.71669,-20.00871,0.59930,0.97861
19,2000,-15.05682,0.34277,0.70843,-20.56068,0.55119,0.96505
20,2100,-15.40815,0.55004,0.69960,-21.21586,0.60609,0.95414
21,2200,-15.80031,0.46838,0.69193,-21.65126,0.91355,0.93659
22,2300,-16.13541,0.52890,0.68401,-22.15689,0.51998,0.92246
23,2400,-16.47550,0.58811,0.67584,-22.56986,1.31976,0.92115
24,2500,-16.72370,0.51346,0.66806,-22.85172,0.89413,0.90469
25,2600,-17.06467,1.01699,0.66003,-23.26088,0.62986,0.90368
26,2700,-17.46402,0.83153,0.65225,-23.60233,0.80139,0.88770
27,2800,-17.57264,0.51293,0.64418,-23.97285,0.77053,0.87305
28,2900,-17.83973,0.82495,0.63668,-24.26153,0.87166,0.86188
29,3000,-18.38029,0.73394,0.62939,-24.79566,1.05737,0.84954
30,3100,-18.73707,0.59267,0.62115,-25.11430,0.94179,0.83764
31,3200,-19.07665,1.89203,0.61349,-25.38534,1.93322,0.82555
32,3300,-19.30336,0.67832,0.60569,-25.54840,1.44945,0.80937
33,3400,-19.41849,0.84566,0.59819,-25.83185,1.23243,0.79991
34,3500,-19.72428,0.68554,0.59024,-26.09573,0.78804,0.78553
35,3600,-19.95151,0.59567,0.58276,-26.25172,0.98409,0.77154
36,3700,-20.08824,0.53244,0.57552,-26.60812,1.43966,0.75809
37,3800,-20.32041,0.53063,0.56817,-26.67995,1.19863,0.75108
38,3900,-20.37448,0.57521,0.56089,-26.75627,1.77634,0.73804
39,4000,-20.45421,0.65072,0.55323,-26.97835,1.06939,0.72580
40,4100,-20.60394,1.11473,0.54630,-26.88297,1.25594,0.71325
41,4200,-20.85103,0.62129,0.53885,-26.93542,0.73244,0.70498
42,4300,-20.92924,0.54841,0.53184,-27.10305,0.78140,0.69702
43,4400,-20.96296,0.73979,0.52498,-27.14186,0.73244,0.68715
44,4500,-21.11513,0.69920,0.51799,-27.07191,0.71518,0.67681
45,4600,-21.22349,0.68360,0.51056,-27.21842,0.74010,0.66514
46,4700,-21.29932,0.73905,0.50359,-27.13094,0.78689,0.65445
47,4800,-21.20029,0.54593,0.49644,-26.90040,0.73501,0.64648
48,4900,-21.21669,0.69517,0.48952,-26.98876,1.02947,0.63656
49,5000,-21.25874,0.88901,0.48224,-27.27138,1.30888,0.62770
50,5100,-21.34376,0.77821,0.47470,-27.16136,1.14826,0.61925
51,5200,-21.35802,0.44686,0.46784,-27.23571,1.00890,0.61240
52,5300,-21.30372,0.35686,0.46059,-27.14376,1.57160,0.59646
53,5400,-21.36124,1.00888,0.45377,-27.12944,0.95622,0.59228
54,5500,-21.24966,0.83169,0.44676,-27.13648,0.60410,0.58107
55,5600,-21.46030,0.71353,0.43987,-27.19052,0.79731,0.57363
56,5700,-21.28376,0.78913,0.43301,-27.08093,0.80794,0.56807
57,5800,-21.21418,0.54185,0.42583,-27.02271,0.89876,0.55747
58,5900,-21.19018,0.50184,0.41960,-27.02331,0.63683,0.55095
59,6000,-21.17301,0.49333,0.41263,-26.77607,0.66888,0.54505
60,6100,-21.08585,0.48062,0.40617,-26.83321,0.65417,0.53474
61,6200,-20.98996,0.47949,0.39969,-26.67907,0.62649,0.53094
62,6300,-20.90828,0.46252,0.39259,-26.70007,0.65164,0.52176
63,6400,-20.86617,0.49846,0.38631,-26.70595,0.61844,0.51250
64,6500,-20.81621,0.46781,0.37988,-26.38857,0.63993,0.50544
65,6600,-20.69240,0.48686,0.37319,-26.53853,0.63603,0.49921
66,6700,-20.61524,0.48604,0.36696,-26.43025,0.69373,0.49225
67,6800,-20.69671,0.69112,0.36054,-26.70717,0.94835,0.48468
68,6900,-20.71917,0.51442,0.35443,-26.79864,1.37283,0.47954
69,7000,-20.47369,0.47552,0.34829,-26.64153,1.00708,0.47336
70,7100,-20.46575,0.48876,0.34230,-26.61692,0.68340,0.46681
71,7200,-20.40699,0.46969,0.33592,-26.48576,0.42989,0.46159
72,7300,-20.41706,0.45026,0.33003,-26.39239,0.37311,0.45364
73,7400,-20.21436,0.44500,0.32393,-26.36055,0.34191,0.44770
74,7500,-20.11726,0.46671,0.31773,-26.30327,0.31654,0.44142
75,7600,-20.09276,0.44955,0.31158,-26.10524,0.30091,0.43606
76,7700,-19.99799,0.47329,0.30581,-26.06805,0.32394,0.42899
77,7800,-19.97580,0.43887,0.30020,-25.98678,0.31288,0.42328
78,7900,-19.92253,0.46391,0.29433,-25.87650,0.30741,0.41873
79,8000,-19.91135,0.46680,0.28866,-25.78314,0.28633,0.41534
80,8100,-19.64935,0.46464,0.28304,-25.63499,0.30396,0.40951
81,8200,-19.48134,0.48364,0.27759,-25.55289,0.31296,0.40279
82,8300,-19.51283,0.48921,0.27203,-25.42823,0.31332,0.39777
83,8400,-19.40930,0.47713,0.26685,-25.35708,0.29189,0.39050
84,8500,-19.28375,0.47324,0.26145,-25.27504,0.29602,0.38666
85,8600,-19.22116,0.46873,0.25599,-25.10552,0.31102,0.38293
86,8700,-19.11038,0.47192,0.25060,-25.05102,0.31927,0.37685
87,8800,-18.95526,0.45206,0.24567,-24.82958,0.29584,0.37173
88,8900,-18.85116,0.48448,0.24064,-24.71419,0.33367,0.36482
89,9000,-18.81030,0.44058,0.23536,-24.62412,0.33048,0.35958
90,9100,-18.61565,0.45579,0.23036,-24.53493,0.34060,0.35607
91,9200,-18.53718,0.45587,0.22542,-24.31928,0.30717,0.35145
92,9300,-18.38836,0.44607,0.22043,-24.26980,0.32479,0.34771
93,9400,-18.30210,0.39681,0.21561,-24.09322,0.31863,0.34203
94,9500,-18.17401,0.59431,0.21067,-24.04963,0.29829,0.33646
95,9600,-18.06314,0.50187,0.20601,-23.86024,0.31825,0.33205
96,9700,-17.87312,0.42962,0.20141,-23.68233,0.29146,0.32660
97,9800,-17.89038,0.41647,0.19685,-23.68998,0.32059,0.32255
98,9900,-17.67000,0.40752,0.19220,-23.51369,0.29385,0.31822
99,10000,-17.53145,0.37914,0.18766,-23.35248,0.29037,0.31394
100,10100,-17.35808,0.39752,0.18346,-23.21467,0.34840,0.31007
101,10200,-17.30660,0.41818,0.17900,-23.10394,0.30195,0.30407
102,10300,-17.06876,0.38941,0.17455,-22.87861,0.29921,0.30074
103,10400,-16.98646,0.38338,0.17042,-22.74443,0.29727,0.29716
104,10500,-16.87234,0.38437,0.16615,-22.66848,0.29417,0.29273
105,10600,-16.70711,0.37703,0.16201,-22.57760,0.29088,0.28969
106,10700,-16.52263,0.37399,0.15799,-22.44103,0.28655,0.28495
107,10800,-16.39387,0.37887,0.15390,-22.28023,0.30395,0.28162
108,10900,-16.28729,0.38692,0.15002,-22.22188,0.35094,0.27753
109,11000,-16.18123,0.36826,0.14620,-22.15139,0.32157,0.27436
110,11100,-15.95250,0.41601,0.14229,-21.98396,0.34589,0.27152
111,11200,-15.78929,0.41219,0.13846,-21.85309,0.33878,0.26588
112,11300,-15.74263,0.35269,0.13474,-21.63775,0.30936,0.26303
113,11400,-15.49481,0.35034,0.13088,-21.51603,0.59190,0.25995
114,11500,-15.43246,0.47646,0.12733,-21.41826,0.68488,0.25655
115,11600,-15.21444,0.39781,0.12357,-21.28335,0.61251,0.25389
116,11700,-15.12122,0.41579,0.12003,-21.14438,0.53035,0.25080
117,11800,-14.93877,0.37303,0.11660,-20.97251,0.50830,0.24571
118,11900,-14.78634,0.35417,0.11309,-20.77214,0.53978,0.24257
119,12000,-14.61638,0.39252,0.11002,-20.63779,0.50821,0.24034
120,12100,-14.49399,0.25616,0.10646,-20.44097,0.53402,0.23769
121,12200,-14.36436,0.39458,0.10329,-20.33411,0.52505,0.23358
122,12300,-14.21574,0.27314,0.10030,-20.32132,0.50423,0.23159
123,12400,-13.99287,0.23683,0.09710,-20.14153,0.50848,0.22970
124,12500,-13.84769,0.41155,0.09427,-20.02382,0.50948,0.22549
125,12600,-13.74873,0.32405,0.09146,-19.86284,0.50169,0.22261
126,12700,-13.60163,0.31590,0.08841,-19.70406,0.50889,0.21962
127,12800,-13.39326,0.30242,0.08567,-19.61521,0.50671,0.21690
128,12900,-13.22096,0.29658,0.08304,-19.47790,0.51302,0.21535
129,13000,-13.09894,0.28967,0.08017,-19.37065,0.50204,0.21151
130,13100,-12.95852,0.29111,0.07762,-19.25644,0.49670,0.20852
131,13200,-12.78410,0.34022,0.07511,-19.05432,0.49767,0.20596
132,13300,-12.66033,0.33042,0.07263,-18.95769,0.49135,0.20459
133,13400,-12.55614,0.31639,0.07019,-18.90089,0.53552,0.20217
134,13500,-12.39594,0.34428,0.06764,-18.73922,0.50339,0.19905
135,13600,-12.22716,0.27349,0.06527,-18.69976,0.47616,0.19722
136,13700,-12.07777,0.28919,0.06311,-18.61028,0.48963,0.19461
137,13800,-11.92501,0.28796,0.06084,-18.31065,0.46479,0.19215
138,13900,-11.77664,0.23755,0.05859,-18.26835,0.45266,0.19093
139,14000,-11.65084,0.21337,0.05656,-18.06293,0.47434,0.18859
140,14100,-11.44014,0.22008,0.05434,-17.99725,0.46144,0.18530
141,14200,-11.30138,0.25589,0.05236,-17.99316,0.43745,0.18425
142,14300,-11.18524,0.25241,0.05037,-17.85761,0.45727,0.18276
143,14400,-11.01392,0.20971,0.04844,-17.62434,0.47909,0.17982
144,14500,-10.94260,0.18997,0.04657,-17.48897,0.47169,0.17815
145,14600,-10.79620,0.19881,0.04490,-17.46955,0.46680,0.17553
146,14700,-10.66635,0.25321,0.04310,-17.37200,0.40957,0.17530
147,14800,-10.50189,0.23985,0.04132,-17.27327,0.39959,0.17196
148,14900,-10.42398,0.27667,0.03968,-17.15661,0.53764,0.17031
149,15000,-10.28368,0.21444,0.03816,-17.05013,0.54179,0.16883
150,15100,-10.13528,0.23012,0.03661,-16.81618,0.46044,0.16755
151,15200,-10.01120,0.25533,0.03527,-16.78046,0.39565,0.16446
152,15300,-9.89002,0.23023,0.03378,-16.63030,0.39901,0.16396
153,15400,-9.76814,0.22830,0.03240,-16.56201,0.38218,0.16120
154,15500,-9.66514,0.22697,0.03104,-16.51868,0.37975,0.16095
155,15600,-9.53512,0.21912,0.02985,-16.30646,0.38818,0.15920
156,15700,-9.35841,0.19155,0.02860,-16.27763,0.37911,0.15686
157,15800,-9.27890,0.21660,0.02748,-16.16563,0.35847,0.15593
158,15900,-9.21431,0.20820,0.02643,-16.06517,0.36747,0.15404
159,16000,-9.05519,0.23228,0.02543,-15.95216,0.35476,0.15275
160,16100,-8.94418,0.20655,0.02455,-15.91648,0.36039,0.15317
161,16200,-8.79579,0.20233,0.02370,-15.79915,0.46868,0.15175
162,16300,-8.73869,0.23783,0.02289,-15.74097,0.48751,0.15039
163,16400,-8.64180,0.24375,0.02220,-15.61455,0.43299,0.14861
164,16500,-8.53606,0.19977,0.02147,-15.52785,0.33821,0.14764
165,16600,-8.43548,0.21315,0.02081,-15.42999,0.33374,0.14555
166,16700,-8.29550,0.23013,0.02021,-15.31540,0.36509,0.14490
167,16800,-8.24827,0.23138,0.01957,-15.20241,0.33214,0.14480
168,16900,-8.14010,0.24748,0.01908,-15.19537,0.38565,0.14376
169,17000,-8.05262,0.22718,0.01854,-15.14644,0.26981,0.14220
170,17100,-8.00585,0.19709,0.01805,-14.99293,0.27512,0.14054
171,17200,-7.86984,0.18684,0.01762,-14.96988,0.30101,0.14017
172,17300,-7.74671,0.16142,0.01714,-14.84183,0.35399,0.13848
173,17400,-7.71961,0.25562,0.01670,-14.71827,0.30239,0.13782
174,17500,-7.62594,0.23149,0.01625,-14.59198,0.28871,0.13635
175,17600,-7.56250,0.20514,0.01592,-14.54228,0.24636,0.13560
176,17700,-7.45445,0.20351,0.01552,-14.44586,0.24541,0.13425
177,17800,-7.39427,0.17563,0.01514,-14.35604,0.28744,0.13392
178,17900,-7.33557,0.16341,0.01483,-14.26727,0.20901,0.13254
179,18000,-7.27136,0.15619,0.01450,-14.22104,0.25791,0.13152
180,18100,-7.18312,0.25938,0.01418,-14.15403,0.28423,0.13189
181,18200,-7.09476,0.20936,0.01388,-13.98972,0.27454,0.13117
182,18300,-7.02509,0.19271,0.01359,-13.98009,0.25338,0.13021
183,18400,-7.00140,0.23641,0.01331,-13.92619,0.19742,0.12874
184,18500,-6.86406,0.24064,0.01305,-13.75698,0.25906,0.12845
185,18600,-6.79835,0.18132,0.01280,-13.75224,0.24314,0.12761
186,18700,-6.72974,0.15838,0.01257,-13.68391,0.21066,0.12626
187,18800,-6.66296,0.24593,0.01229,-13.58274,0.22547,0.12567
188,18900,-6.64139,0.20384,0.01206,-13.61596,0.30647,0.12468
189,19000,-6.57614,0.18079,0.01183,-13.46634,0.23221,0.12396
